Time,Miami,Score,Indiana,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. M. Turner (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:39.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Butler),3-0, ,,1,3,0,3,21.0
11:25.0, ,3-0,M. Turner misses 3-pt jump shot from 27 ft,,1,3,0,3,35.0
11:22.0,Defensive rebound by B. Adebayo,3-0, ,,1,3,0,3,38.0
11:06.0,B. Adebayo makes 2-pt jump shot from 18 ft,5-0, ,,1,5,0,5,54.0
10:53.0, ,5-0,J. Holiday misses 3-pt jump shot from 26 ft,,1,5,0,5,67.0
10:51.0,Defensive rebound by B. Adebayo,5-0, ,,1,5,0,5,69.0
10:42.0,G. Vincent misses 3-pt jump shot from 23 ft,5-0, ,,1,5,0,5,78.0
10:38.0, ,5-0,Defensive rebound by D. Sabonis,,1,5,0,5,82.0
10:33.0, ,5-0,M. Brogdon misses 3-pt jump shot from 26 ft,,1,5,0,5,87.0
10:31.0,Defensive rebound by B. Adebayo,5-0, ,,1,5,0,5,89.0
10:25.0,B. Adebayo misses 2-pt jump shot from 17 ft,5-0, ,,1,5,0,5,95.0
10:23.0, ,5-0,Defensive rebound by D. Sabonis,,1,5,0,5,97.0
10:10.0, ,5-2,D. Sabonis makes 2-pt layup from 2 ft (assist by J. Holiday),,1,5,2,3,110.0
9:56.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by J. Butler),7-2, ,,1,7,2,5,124.0
9:36.0, ,7-2,C. Duarte misses 2-pt jump shot from 19 ft,,1,7,2,5,144.0
9:33.0,Defensive rebound by B. Adebayo,7-2, ,,1,7,2,5,147.0
9:22.0,D. Robinson misses 3-pt jump shot from 25 ft,7-2, ,,1,7,2,5,158.0
9:20.0, ,7-2,Defensive rebound by M. Turner,,1,7,2,5,160.0
9:15.0, ,7-5,C. Duarte makes 3-pt jump shot from 25 ft,,1,7,5,2,165.0
9:00.0,Shooting foul by J. Holiday (drawn by J. Butler),7-5, ,,1,7,5,2,180.0
9:00.0,J. Butler misses free throw 1 of 2,7-5, ,,1,7,5,2,180.0
9:00.0,Offensive rebound by Team,7-5, ,,1,7,5,2,180.0
9:00.0,J. Butler makes free throw 2 of 2,8-5, ,,1,8,5,3,180.0
8:54.0, ,8-5,Personal foul by P. Tucker (drawn by J. Holiday),,1,8,5,3,186.0
8:42.0, ,8-7,C. Duarte makes 2-pt jump shot from 13 ft,,1,8,7,1,198.0
8:23.0,D. Robinson misses 3-pt jump shot from 24 ft,8-7, ,,1,8,7,1,217.0
8:20.0, ,8-7,Defensive rebound by C. Duarte,,1,8,7,1,220.0
8:13.0, ,8-9,C. Duarte makes 2-pt jump shot from 9 ft,Lead change,1,8,9,-1,227.0
8:00.0,Turnover by J. Butler (bad pass),8-9, ,,1,8,9,-1,240.0
7:52.0, ,8-9,Personal foul by B. Adebayo (drawn by D. Sabonis),,1,8,9,-1,248.0
7:52.0, ,8-9,T. Craig enters the game for D. Sabonis,,1,8,9,-1,248.0
7:41.0, ,8-9,M. Turner misses 3-pt jump shot from 27 ft,,1,8,9,-1,259.0
7:37.0,Defensive rebound by B. Adebayo,8-9, ,,1,8,9,-1,263.0
7:30.0,B. Adebayo misses 2-pt layup from 4 ft (block by M. Turner),8-9, ,,1,8,9,-1,270.0
7:27.0,Offensive rebound by G. Vincent,8-9, ,,1,8,9,-1,273.0
7:21.0,Shooting foul by M. Turner (drawn by J. Butler),8-9, ,,1,8,9,-1,279.0
