Time,Miami,Score,Brooklyn,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. K. Durant (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:43.0,K. Lowry makes 2-pt jump shot from 14 ft,2-0, ,,1,2,0,2,17.0
11:23.0, ,2-3,J. Harris makes 3-pt jump shot from 26 ft (assist by J. Harden),Lead change,1,2,3,-1,37.0
11:16.0,B. Adebayo misses 2-pt jump shot from 14 ft,2-3, ,,1,2,3,-1,44.0
11:13.0, ,2-3,Defensive rebound by K. Durant,,1,2,3,-1,47.0
11:05.0, ,2-3,B. Brown misses 3-pt jump shot from 23 ft,,1,2,3,-1,55.0
11:02.0,Defensive rebound by D. Robinson,2-3, ,,1,2,3,-1,58.0
10:57.0,J. Butler makes 2-pt jump shot from 19 ft (assist by K. Lowry),4-3, ,Lead change,1,4,3,1,63.0
10:37.0, ,4-3,J. Harris misses 2-pt jump shot from 20 ft,,1,4,3,1,83.0
10:35.0,Defensive rebound by J. Butler,4-3, ,,1,4,3,1,85.0
10:26.0,D. Robinson misses 3-pt jump shot from 25 ft,4-3, ,,1,4,3,1,94.0
10:23.0, ,4-3,Defensive rebound by K. Durant,,1,4,3,1,97.0
10:17.0, ,4-3,J. Harden misses 2-pt jump shot from 7 ft,,1,4,3,1,103.0
10:14.0,Defensive rebound by B. Adebayo,4-3, ,,1,4,3,1,106.0
10:02.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by K. Lowry),6-3, ,,1,6,3,3,118.0
9:48.0, ,6-3,J. Harris misses 3-pt jump shot from 25 ft,,1,6,3,3,132.0
9:45.0,Defensive rebound by B. Adebayo,6-3, ,,1,6,3,3,135.0
9:32.0,J. Butler misses 2-pt jump shot from 6 ft,6-3, ,,1,6,3,3,148.0
9:30.0, ,6-3,Defensive rebound by B. Brown,,1,6,3,3,150.0
9:26.0, ,6-5,B. Brown makes 2-pt layup from 1 ft,,1,6,5,1,154.0
9:21.0,Turnover by K. Lowry (bad pass),6-5, ,,1,6,5,1,159.0
9:01.0, ,6-8,B. Griffin makes 3-pt jump shot from 23 ft (assist by K. Durant),Lead change,1,6,8,-2,179.0
8:48.0,D. Robinson misses 3-pt jump shot from 23 ft,6-8, ,,1,6,8,-2,192.0
8:44.0, ,6-8,Defensive rebound by J. Harden,,1,6,8,-2,196.0
8:22.0, ,6-8,Turnover by Team (shot clock),,1,6,8,-2,218.0
8:12.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by D. Robinson),9-8, ,Lead change,1,9,8,1,228.0
7:59.0, ,9-10,K. Durant makes 2-pt jump shot from 12 ft,Lead change,1,9,10,-1,241.0
7:50.0,P. Tucker misses 3-pt jump shot from 23 ft,9-10, ,,1,9,10,-1,250.0
7:48.0, ,9-10,Defensive rebound by J. Harris,,1,9,10,-1,252.0
7:43.0, ,9-10,Personal foul by P. Tucker (drawn by K. Durant),,1,9,10,-1,257.0
7:43.0, ,9-10,P. Mills enters the game for B. Brown,,1,9,10,-1,257.0
7:40.0, ,9-10,J. Harden misses 3-pt jump shot from 25 ft,,1,9,10,-1,260.0
7:38.0,Defensive rebound by J. Butler,9-10, ,,1,9,10,-1,262.0
7:27.0,J. Butler makes 2-pt layup from 1 ft,11-10, ,Lead change,1,11,10,1,273.0
7:20.0, ,11-10,P. Mills misses 3-pt jump shot from 23 ft,,1,11,10,1,280.0
7:17.0,Defensive rebound by J. Butler,11-10, ,,1,11,10,1,283.0
7:10.0,Turnover by J. Butler (out of bounds lost ball),11-10, ,,1,11,10,1,290.0
6:58.0, ,11-10,K. Durant misses 2-pt layup from 3 ft,,1,11,10,1,302.0
6:56.0,Defensive rebound by D. Robinson,11-10, ,,1,11,10,1,304.0
6:49.0,J. Butler misses 2-pt jump shot from 4 ft,11-10, ,,1,11,10,1,311.0
6:47.0,Offensive rebound by J. Butler,11-10, ,,1,11,10,1,313.0
6:46.0,J. Butler makes 2-pt layup from 1 ft,13-10, ,,1,13,10,3,314.0
6:37.0, ,13-10,Brooklyn full timeout,,1,13,10,3,323.0
6:30.0, ,13-10,K. Durant misses 2-pt jump shot from 10 ft,,1,13,10,3,330.0
6:28.0, ,13-10,Offensive rebound by Team,,1,13,10,3,332.0
6:28.0,Loose ball foul by D. Robinson (drawn by B. Griffin),13-10, ,,1,13,10,3,332.0
6:24.0, ,13-10,J. Harden misses 3-pt jump shot from 26 ft,,1,13,10,3,336.0
6:21.0,Defensive rebound by K. Lowry,13-10, ,,1,13,10,3,339.0
6:19.0,J. Butler makes 2-pt layup from 1 ft (assist by K. Lowry),15-10, ,,1,15,10,5,341.0
6:11.0, ,15-10,Shooting foul by B. Adebayo (drawn by K. Durant),,1,15,10,5,349.0
6:11.0, ,15-11,K. Durant makes free throw 1 of 3,,1,15,11,4,349.0
6:11.0, ,15-12,K. Durant makes free throw 2 of 3,,1,15,12,3,349.0
6:11.0, ,15-12,L. Aldridge enters the game for B. Griffin,,1,15,12,3,349.0
6:11.0, ,15-13,K. Durant makes free throw 3 of 3,,1,15,13,2,349.0
5:56.0,B. Adebayo misses 2-pt jump shot from 12 ft,15-13, ,,1,15,13,2,364.0
5:53.0, ,15-13,Defensive rebound by K. Durant,,1,15,13,2,367.0
5:44.0, ,15-13,K. Durant misses 2-pt jump shot from 4 ft,,1,15,13,2,376.0
5:41.0,Defensive rebound by D. Robinson,15-13, ,,1,15,13,2,379.0
5:37.0,K. Lowry misses 3-pt jump shot from 25 ft,15-13, ,,1,15,13,2,383.0
5:33.0, ,15-13,Defensive rebound by P. Mills,,1,15,13,2,387.0
5:19.0, ,15-15,L. Aldridge makes 2-pt layup from 1 ft (assist by P. Mills),Tie,1,15,15,0,401.0
5:03.0,B. Adebayo misses 2-pt jump shot from 9 ft (block by L. Aldridge),15-15, ,,1,15,15,0,417.0
5:00.0, ,15-15,Defensive rebound by J. Harden,,1,15,15,0,420.0
4:59.0, ,15-18,J. Harris makes 3-pt jump shot from 23 ft (assist by J. Harden),Lead change,1,15,18,-3,421.0
4:58.0,Miami full timeout,15-18, ,,1,15,18,-3,422.0
4:58.0,D. Dedmon enters the game for B. Adebayo,15-18, ,,1,15,18,-3,422.0
4:58.0,T. Herro enters the game for K. Lowry,15-18, ,,1,15,18,-3,422.0
4:41.0,T. Herro misses 3-pt jump shot from 24 ft,15-18, ,,1,15,18,-3,439.0
4:40.0,Offensive rebound by Team,15-18, ,,1,15,18,-3,440.0
