Time,Miami,Score,LA Lakers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. D. Jordan (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:40.0,P. Tucker misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,20.0
11:38.0, ,0-0,Defensive rebound by D. Jordan,,1,0,0,0,22.0
11:20.0, ,0-0,K. Bazemore misses 3-pt jump shot from 25 ft,,1,0,0,0,40.0
11:16.0,Defensive rebound by K. Lowry,0-0, ,,1,0,0,0,44.0
11:12.0,Shooting foul by D. Jordan (drawn by J. Butler),0-0, ,,1,0,0,0,48.0
11:12.0,J. Butler makes free throw 1 of 2,1-0, ,,1,1,0,1,48.0
11:12.0,J. Butler makes free throw 2 of 2,2-0, ,,1,2,0,2,48.0
10:52.0, ,2-0,A. Davis misses 2-pt jump shot from 20 ft,,1,2,0,2,68.0
10:50.0,Defensive rebound by B. Adebayo,2-0, ,,1,2,0,2,70.0
10:42.0,B. Adebayo misses 2-pt jump shot from 11 ft,2-0, ,,1,2,0,2,78.0
10:38.0, ,2-0,Defensive rebound by D. Jordan,,1,2,0,2,82.0
10:33.0, ,2-0,Shooting foul by B. Adebayo (drawn by D. Jordan),,1,2,0,2,87.0
10:33.0, ,2-1,D. Jordan makes free throw 1 of 2,,1,2,1,1,87.0
10:33.0, ,2-1,D. Jordan misses free throw 2 of 2,,1,2,1,1,87.0
10:31.0,Defensive rebound by P. Tucker,2-1, ,,1,2,1,1,89.0
10:18.0,B. Adebayo misses 2-pt jump shot from 12 ft,2-1, ,,1,2,1,1,102.0
10:16.0, ,2-1,Defensive rebound by D. Jordan,,1,2,1,1,104.0
10:08.0, ,2-1,Personal foul by P. Tucker (drawn by R. Westbrook),,1,2,1,1,112.0
9:54.0, ,2-1,Turnover by R. Westbrook (bad pass; steal by B. Adebayo),,1,2,1,1,126.0
9:38.0,J. Butler misses 2-pt jump shot from 14 ft,2-1, ,,1,2,1,1,142.0
9:34.0, ,2-1,Defensive rebound by D. Jordan,,1,2,1,1,146.0
9:30.0, ,2-1,R. Westbrook misses 2-pt layup from 1 ft,,1,2,1,1,150.0
9:26.0, ,2-1,Offensive rebound by A. Davis,,1,2,1,1,154.0
9:26.0, ,2-1,A. Davis misses 2-pt layup at rim,,1,2,1,1,154.0
9:25.0, ,2-1,Offensive rebound by A. Davis,,1,2,1,1,155.0
9:15.0, ,2-1,R. Westbrook misses 3-pt jump shot from 26 ft,,1,2,1,1,165.0
9:13.0, ,2-1,Offensive rebound by D. Jordan,,1,2,1,1,167.0
9:12.0, ,2-1,Turnover by D. Jordan (lost ball; steal by D. Robinson),,1,2,1,1,168.0
9:06.0,Turnover by K. Lowry (bad pass; steal by K. Bazemore),2-1, ,,1,2,1,1,174.0
9:00.0, ,2-1,Turnover by A. Bradley (bad pass),,1,2,1,1,180.0
8:48.0,B. Adebayo misses 2-pt layup from 4 ft,2-1, ,,1,2,1,1,192.0
8:46.0, ,2-1,Defensive rebound by R. Westbrook,,1,2,1,1,194.0
8:30.0, ,2-1,A. Bradley misses 2-pt layup from 3 ft,,1,2,1,1,210.0
8:27.0,Defensive rebound by P. Tucker,2-1, ,,1,2,1,1,213.0
8:24.0,D. Robinson misses 3-pt jump shot from 26 ft,2-1, ,,1,2,1,1,216.0
8:22.0, ,2-1,Defensive rebound by R. Westbrook,,1,2,1,1,218.0
8:19.0, ,2-3,A. Bradley makes 2-pt layup from 4 ft (assist by R. Westbrook),Lead change,1,2,3,-1,221.0
8:03.0,D. Robinson misses 3-pt jump shot from 27 ft,2-3, ,,1,2,3,-1,237.0
7:59.0, ,2-3,Defensive rebound by A. Davis,,1,2,3,-1,241.0
7:53.0, ,2-3,Turnover by A. Davis (bad pass; steal by D. Robinson),,1,2,3,-1,247.0
7:49.0,B. Adebayo makes 2-pt dunk from 1 ft,4-3, ,Lead change,1,4,3,1,251.0
7:48.0, ,4-3,LA Lakers full timeout,,1,4,3,1,252.0
7:48.0, ,4-3,M. Monk enters the game for A. Bradley,,1,4,3,1,252.0
7:25.0, ,4-3,A. Davis misses 2-pt jump shot from 12 ft,,1,4,3,1,275.0
7:23.0,Defensive rebound by Team,4-3, ,,1,4,3,1,277.0
7:10.0,K. Lowry misses 3-pt jump shot from 28 ft,4-3, ,,1,4,3,1,290.0
7:07.0, ,4-3,Defensive rebound by K. Bazemore,,1,4,3,1,293.0
7:02.0, ,4-3,Turnover by K. Bazemore (bad pass; steal by J. Butler),,1,4,3,1,298.0
7:00.0,Shooting foul by R. Westbrook (drawn by B. Adebayo),4-3, ,,1,4,3,1,300.0
7:00.0,B. Adebayo makes free throw 1 of 2,5-3, ,,1,5,3,2,300.0
7:00.0,B. Adebayo makes free throw 2 of 2,6-3, ,,1,6,3,3,300.0
6:46.0, ,6-3,K. Bazemore misses 3-pt jump shot from 26 ft,,1,6,3,3,314.0
6:43.0,Defensive rebound by P. Tucker,6-3, ,,1,6,3,3,317.0
6:39.0,Offensive foul by B. Adebayo (drawn by K. Bazemore),6-3, ,,1,6,3,3,321.0
6:39.0,Turnover by B. Adebayo (offensive foul),6-3, ,,1,6,3,3,321.0
6:39.0,D. Dedmon enters the game for B. Adebayo,6-3, ,,1,6,3,3,321.0
6:30.0, ,6-5,R. Westbrook makes 2-pt jump shot from 20 ft,,1,6,5,1,330.0
6:17.0,Shooting foul by D. Jordan (drawn by D. Dedmon),6-5, ,,1,6,5,1,343.0
