Time,Miami,Score,Utah,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. R. Gobert (R. O'Neale gains possession),0-0,,,1,0,0,0,0.0
11:47.0, ,0-0,M. Conley misses 3-pt jump shot from 25 ft,,1,0,0,0,13.0
11:42.0,Defensive rebound by P. Tucker,0-0, ,,1,0,0,0,18.0
11:30.0,P. Tucker makes 2-pt jump shot from 9 ft (assist by D. Robinson),2-0, ,,1,2,0,2,30.0
11:09.0, ,2-0,D. Mitchell misses 2-pt layup from 4 ft,,1,2,0,2,51.0
11:07.0,Defensive rebound by K. Lowry,2-0, ,,1,2,0,2,53.0
11:02.0,D. Robinson misses 3-pt jump shot from 23 ft,2-0, ,,1,2,0,2,58.0
11:00.0, ,2-0,Defensive rebound by D. Mitchell,,1,2,0,2,60.0
10:50.0, ,2-2,R. Gobert makes 2-pt dunk from 3 ft (assist by M. Conley),Tie,1,2,2,0,70.0
10:31.0,K. Lowry misses 3-pt jump shot from 25 ft,2-2, ,,1,2,2,0,89.0
10:28.0, ,2-2,Defensive rebound by R. Gobert,,1,2,2,0,92.0
10:20.0, ,2-2,B. Bogdanović misses 3-pt jump shot from 23 ft,,1,2,2,0,100.0
10:18.0, ,2-2,Offensive rebound by R. O'Neale,,1,2,2,0,102.0
10:12.0, ,2-2,Personal foul by D. Robinson (drawn by R. O'Neale),,1,2,2,0,108.0
10:05.0, ,2-5,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by M. Conley),Lead change,1,2,5,-3,115.0
9:46.0,T. Herro misses 2-pt jump shot from 17 ft,2-5, ,,1,2,5,-3,134.0
9:41.0,Offensive rebound by B. Adebayo,2-5, ,,1,2,5,-3,139.0
9:40.0,B. Adebayo misses 2-pt hook shot from 5 ft,2-5, ,,1,2,5,-3,140.0
9:38.0,Offensive rebound by P. Tucker,2-5, ,,1,2,5,-3,142.0
9:34.0,T. Herro misses 2-pt jump shot from 19 ft,2-5, ,,1,2,5,-3,146.0
9:31.0, ,2-5,Defensive rebound by D. Mitchell,,1,2,5,-3,149.0
9:21.0, ,2-5,D. Mitchell misses 3-pt jump shot from 26 ft,,1,2,5,-3,159.0
9:16.0,Defensive rebound by B. Adebayo,2-5, ,,1,2,5,-3,164.0
9:10.0,K. Lowry misses 2-pt jump shot from 11 ft,2-5, ,,1,2,5,-3,170.0
9:08.0, ,2-5,Defensive rebound by R. Gobert,,1,2,5,-3,172.0
8:51.0, ,2-5,R. O'Neale misses 3-pt jump shot from 26 ft,,1,2,5,-3,189.0
8:47.0,Defensive rebound by K. Lowry,2-5, ,,1,2,5,-3,193.0
8:41.0,B. Adebayo makes 2-pt dunk from 3 ft (assist by T. Herro),4-5, ,,1,4,5,-1,199.0
8:31.0, ,4-5,Offensive foul by B. Bogdanović (drawn by D. Robinson),,1,4,5,-1,209.0
8:31.0, ,4-5,Turnover by B. Bogdanović (offensive foul),,1,4,5,-1,209.0
8:20.0,Turnover by T. Herro (out of bounds lost ball),4-5, ,,1,4,5,-1,220.0
8:02.0, ,4-5,Turnover by B. Bogdanović (lost ball; steal by B. Adebayo),,1,4,5,-1,238.0
7:56.0,Turnover by D. Robinson (bad pass; steal by D. Mitchell),4-5, ,,1,4,5,-1,244.0
7:55.0, ,4-5,Turnover by D. Mitchell (bad pass),,1,4,5,-1,245.0
7:41.0,K. Lowry makes 2-pt layup from 3 ft,6-5, ,Lead change,1,6,5,1,259.0
7:27.0, ,6-5,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,6,5,1,273.0
7:24.0,Defensive rebound by B. Adebayo,6-5, ,,1,6,5,1,276.0
7:13.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by B. Adebayo),9-5, ,,1,9,5,4,287.0
7:05.0, ,9-5,Offensive foul by D. Mitchell (drawn by K. Lowry),,1,9,5,4,295.0
7:05.0, ,9-5,Turnover by D. Mitchell (offensive foul),,1,9,5,4,295.0
