Time,Miami,Score,Washington,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. D. Gafford (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:41.0,B. Adebayo makes 2-pt jump shot from 14 ft (assist by K. Lowry),2-0, ,,1,2,0,2,19.0
11:23.0, ,2-0,S. Dinwiddie misses 3-pt jump shot from 28 ft,,1,2,0,2,37.0
11:20.0,Defensive rebound by J. Butler,2-0, ,,1,2,0,2,40.0
11:14.0,B. Adebayo misses 2-pt jump shot from 16 ft,2-0, ,,1,2,0,2,46.0
11:11.0, ,2-0,Defensive rebound by K. Caldwell-Pope,,1,2,0,2,49.0
10:54.0, ,2-3,B. Beal makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),Lead change,1,2,3,-1,66.0
10:34.0,K. Lowry misses 3-pt jump shot from 24 ft,2-3, ,,1,2,3,-1,86.0
10:31.0, ,2-3,Defensive rebound by K. Kuzma,,1,2,3,-1,89.0
10:22.0, ,2-3,Turnover by D. Gafford (out of bounds lost ball),,1,2,3,-1,98.0
10:04.0,Turnover by D. Robinson (bad pass; steal by K. Caldwell-Pope),2-3, ,,1,2,3,-1,116.0
9:56.0, ,2-3,Offensive foul by D. Gafford (drawn by K. Lowry),,1,2,3,-1,124.0
9:56.0, ,2-3,Turnover by D. Gafford (offensive foul),,1,2,3,-1,124.0
9:46.0,B. Adebayo misses 2-pt jump shot from 19 ft,2-3, ,,1,2,3,-1,134.0
9:43.0, ,2-3,Defensive rebound by S. Dinwiddie,,1,2,3,-1,137.0
9:38.0, ,2-5,D. Gafford makes 2-pt layup from 4 ft (assist by S. Dinwiddie),,1,2,5,-3,142.0
9:16.0,J. Butler misses 3-pt jump shot from 26 ft,2-5, ,,1,2,5,-3,164.0
9:12.0,Offensive rebound by B. Adebayo,2-5, ,,1,2,5,-3,168.0
9:12.0,Turnover by Team (shot clock),2-5, ,,1,2,5,-3,168.0
9:01.0, ,2-7,B. Beal makes 2-pt jump shot from 18 ft (assist by S. Dinwiddie),,1,2,7,-5,179.0
9:01.0, ,2-7,Shooting foul by D. Robinson (drawn by B. Beal),,1,2,7,-5,179.0
9:01.0, ,2-8,B. Beal makes free throw 1 of 1,,1,2,8,-6,179.0
8:53.0,J. Butler makes 2-pt jump shot from 14 ft,4-8, ,,1,4,8,-4,187.0
8:35.0, ,4-8,K. Caldwell-Pope misses 3-pt jump shot from 29 ft,,1,4,8,-4,205.0
8:31.0,Defensive rebound by D. Robinson,4-8, ,,1,4,8,-4,209.0
8:20.0,J. Butler makes 2-pt jump shot from 12 ft,6-8, ,,1,6,8,-2,220.0
8:03.0, ,6-10,B. Beal makes 2-pt layup from 4 ft,,1,6,10,-4,237.0
7:57.0,Personal foul by D. Gafford (drawn by B. Adebayo),6-10, ,,1,6,10,-4,243.0
7:57.0, ,6-10,M. Harrell enters the game for D. Gafford,,1,6,10,-4,243.0
7:50.0,K. Lowry misses 2-pt jump shot from 19 ft,6-10, ,,1,6,10,-4,250.0
7:46.0, ,6-10,Defensive rebound by M. Harrell,,1,6,10,-4,254.0
7:31.0, ,6-10,K. Kuzma misses 2-pt jump shot from 12 ft,,1,6,10,-4,269.0
7:29.0,Defensive rebound by Team,6-10, ,,1,6,10,-4,271.0
7:29.0, ,6-10,Loose ball foul by M. Harrell (drawn by K. Lowry),,1,6,10,-4,271.0
7:03.0,K. Lowry misses 2-pt jump shot from 6 ft,6-10, ,,1,6,10,-4,297.0
