Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. N. Vučević (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:40.0,K. Lowry makes 2-pt jump shot from 13 ft (assist by B. Adebayo),2-0, ,,1,2,0,2,20.0
11:22.0, ,2-0,Turnover by D. DeRozan (bad pass; steal by K. Lowry),,1,2,0,2,38.0
11:18.0,K. Lowry makes 2-pt layup at rim (assist by B. Adebayo),4-0, ,,1,4,0,4,42.0
11:02.0, ,4-0,Turnover by N. Vučević (lost ball; steal by D. Robinson),,1,4,0,4,58.0
10:51.0,J. Butler misses 2-pt jump shot from 22 ft,4-0, ,,1,4,0,4,69.0
10:48.0, ,4-0,Defensive rebound by N. Vučević,,1,4,0,4,72.0
10:39.0, ,4-3,Z. LaVine makes 3-pt jump shot from 25 ft (assist by L. Ball),,1,4,3,1,81.0
10:20.0,D. Robinson misses 3-pt jump shot from 25 ft,4-3, ,,1,4,3,1,100.0
10:18.0, ,4-3,Defensive rebound by N. Vučević,,1,4,3,1,102.0
9:57.0, ,4-3,N. Vučević misses 2-pt jump shot from 7 ft,,1,4,3,1,123.0
9:55.0,Defensive rebound by B. Adebayo,4-3, ,,1,4,3,1,125.0
9:51.0,K. Lowry misses 3-pt jump shot from 30 ft,4-3, ,,1,4,3,1,129.0
9:51.0, ,4-3,Defensive rebound by Team,,1,4,3,1,129.0
9:40.0, ,4-3,Z. LaVine misses 2-pt jump shot from 13 ft,,1,4,3,1,140.0
9:36.0, ,4-3,Offensive rebound by D. DeRozan,,1,4,3,1,144.0
9:32.0, ,4-6,J. Green makes 3-pt jump shot from 24 ft (assist by L. Ball),Lead change,1,4,6,-2,148.0
9:22.0,Shooting foul by D. DeRozan (drawn by J. Butler),4-6, ,,1,4,6,-2,158.0
9:22.0,J. Butler makes free throw 1 of 2,5-6, ,,1,5,6,-1,158.0
9:22.0,J. Butler makes free throw 2 of 2,6-6, ,Tie,1,6,6,0,158.0
9:11.0, ,6-6,L. Ball misses 3-pt jump shot from 26 ft,,1,6,6,0,169.0
9:08.0,Defensive rebound by J. Butler,6-6, ,,1,6,6,0,172.0
8:57.0,D. Robinson misses 3-pt jump shot from 26 ft,6-6, ,,1,6,6,0,183.0
8:54.0, ,6-6,Defensive rebound by L. Ball,,1,6,6,0,186.0
8:52.0, ,6-6,Z. LaVine misses 3-pt jump shot from 22 ft,,1,6,6,0,188.0
8:49.0,Defensive rebound by Team,6-6, ,,1,6,6,0,191.0
8:49.0, ,6-6,Loose ball foul by L. Ball (drawn by J. Butler),,1,6,6,0,191.0
8:30.0,B. Adebayo misses 2-pt layup from 2 ft,6-6, ,,1,6,6,0,210.0
8:28.0, ,6-6,Defensive rebound by N. Vučević,,1,6,6,0,212.0
8:21.0, ,6-6,Personal foul by D. Robinson (drawn by D. DeRozan),,1,6,6,0,219.0
8:07.0, ,6-6,J. Green misses 2-pt jump shot from 12 ft,,1,6,6,0,233.0
8:07.0, ,6-6,Offensive rebound by Team,,1,6,6,0,233.0
8:07.0, ,6-6,Turnover by Team (shot clock),,1,6,6,0,233.0
7:56.0,P. Tucker misses 2-pt jump shot from 12 ft,6-6, ,,1,6,6,0,244.0
7:51.0, ,6-6,Defensive rebound by L. Ball,,1,6,6,0,249.0
7:35.0, ,6-6,J. Green misses 3-pt jump shot from 25 ft,,1,6,6,0,265.0
7:33.0, ,6-6,Offensive rebound by Team,,1,6,6,0,267.0
7:27.0, ,6-6,Personal foul by P. Tucker (drawn by N. Vučević),,1,6,6,0,273.0
7:14.0, ,6-6,N. Vučević misses 3-pt jump shot from 23 ft,,1,6,6,0,286.0
7:10.0,Defensive rebound by P. Tucker,6-6, ,,1,6,6,0,290.0
7:01.0,B. Adebayo misses 2-pt layup from 2 ft,6-6, ,,1,6,6,0,299.0
