Time,Memphis,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: S. Adams vs. D. Dedmon (J. Jackson gains possession),0-0,,,1,0,0,0,0.0
11:42.0,D. Brooks misses 2-pt jump shot from 11 ft,0-0, ,,1,0,0,0,18.0
11:38.0, ,0-0,Defensive rebound by P. Tucker,,1,0,0,0,22.0
11:30.0, ,0-0,Turnover by D. Dedmon (lost ball; steal by J. Jackson),,1,0,0,0,30.0
11:28.0,Shooting foul by K. Lowry (drawn by D. Bane),0-0, ,,1,0,0,0,32.0
11:28.0,D. Bane makes free throw 1 of 2,1-0, ,,1,0,1,-1,32.0
11:28.0,D. Bane makes free throw 2 of 2,2-0, ,,1,0,2,-2,32.0
11:16.0, ,2-0,Shooting foul by D. Bane (drawn by K. Lowry),,1,0,2,-2,44.0
11:16.0, ,2-1,K. Lowry makes free throw 1 of 2,,1,1,2,-1,44.0
11:16.0, ,2-2,K. Lowry makes free throw 2 of 2,Tie,1,2,2,0,44.0
11:04.0,D. Brooks makes 2-pt jump shot from 10 ft (assist by S. Adams),4-2, ,,1,2,4,-2,56.0
10:49.0, ,4-2,P. Tucker misses 3-pt jump shot from 23 ft,,1,2,4,-2,71.0
10:47.0,Defensive rebound by S. Adams,4-2, ,,1,2,4,-2,73.0
10:39.0,D. Bane makes 2-pt jump shot from 17 ft (assist by S. Adams),6-2, ,,1,2,6,-4,81.0
10:28.0, ,6-2,D. Robinson misses 2-pt layup from 2 ft,,1,2,6,-4,92.0
10:25.0,Defensive rebound by S. Adams,6-2, ,,1,2,6,-4,95.0
10:18.0,D. Brooks misses 2-pt layup from 7 ft,6-2, ,,1,2,6,-4,102.0
10:15.0, ,6-2,Defensive rebound by D. Dedmon,,1,2,6,-4,105.0
10:06.0, ,6-2,J. Butler misses 2-pt jump shot from 10 ft,,1,2,6,-4,114.0
10:01.0,Defensive rebound by S. Adams,6-2, ,,1,2,6,-4,119.0
9:57.0,D. Brooks misses 3-pt jump shot from 24 ft,6-2, ,,1,2,6,-4,123.0
9:52.0, ,6-2,Defensive rebound by D. Dedmon,,1,2,6,-4,128.0
9:37.0, ,6-2,Shooting foul by D. Brooks (drawn by P. Tucker),,1,2,6,-4,143.0
9:37.0, ,6-3,P. Tucker makes free throw 1 of 2,,1,3,6,-3,143.0
9:37.0, ,6-4,P. Tucker makes free throw 2 of 2,,1,4,6,-2,143.0
9:19.0,D. Bane misses 2-pt jump shot from 16 ft,6-4, ,,1,4,6,-2,161.0
9:14.0, ,6-4,Defensive rebound by D. Robinson,,1,4,6,-2,166.0
