Time,Detroit,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: T. Lyles vs. D. Dedmon (H. Diallo gains possession),0-0,,,1,0,0,0,0.0
11:54.0,H. Diallo misses 2-pt layup from 5 ft,0-0, ,,1,0,0,0,6.0
11:52.0, ,0-0,Defensive rebound by D. Robinson,,1,0,0,0,8.0
11:38.0, ,0-0,G. Vincent misses 3-pt jump shot from 23 ft,,1,0,0,0,22.0
11:35.0,Defensive rebound by T. Lyles,0-0, ,,1,0,0,0,25.0
11:14.0,T. Lyles misses 2-pt jump shot from 15 ft,0-0, ,,1,0,0,0,46.0
11:12.0, ,0-0,Defensive rebound by K. Lowry,,1,0,0,0,48.0
11:03.0, ,0-0,Personal foul by F. Jackson (drawn by D. Dedmon),,1,0,0,0,57.0
10:52.0, ,0-0,D. Robinson misses 2-pt layup from 6 ft,,1,0,0,0,68.0
10:50.0,Defensive rebound by S. Bey,0-0, ,,1,0,0,0,70.0
10:44.0,F. Jackson makes 3-pt jump shot from 24 ft (assist by S. Bey),3-0, ,,1,0,3,-3,76.0
10:26.0, ,3-0,Shooting foul by H. Diallo (drawn by D. Dedmon),,1,0,3,-3,94.0
10:26.0, ,3-1,D. Dedmon makes free throw 1 of 2,,1,1,3,-2,94.0
10:26.0, ,3-1,D. Dedmon misses free throw 2 of 2,,1,1,3,-2,94.0
10:24.0,Defensive rebound by T. Lyles,3-1, ,,1,1,3,-2,96.0
10:12.0,T. Lyles makes 3-pt jump shot from 26 ft (assist by C. Joseph),6-1, ,,1,1,6,-5,108.0
9:54.0, ,6-4,M. Strus makes 3-pt jump shot from 23 ft (assist by G. Vincent),,1,4,6,-2,126.0
9:39.0,T. Lyles misses 3-pt jump shot from 26 ft,6-4, ,,1,4,6,-2,141.0
9:36.0, ,6-4,Defensive rebound by M. Strus,,1,4,6,-2,144.0
9:32.0, ,6-4,K. Lowry misses 2-pt layup from 3 ft (block by F. Jackson),,1,4,6,-2,148.0
9:32.0, ,6-4,Offensive rebound by Team,,1,4,6,-2,148.0
