Time,Miami,Score,Sacramento,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Yurtseven vs. D. Jones (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:44.0,T. Herro misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,16.0
11:37.0, ,0-0,Defensive rebound by T. Haliburton,,1,0,0,0,23.0
11:31.0, ,0-0,Turnover by D. Jones (lost ball; steal by C. Martin),,1,0,0,0,29.0
11:29.0,Turnover by O. Yurtseven (bad pass),0-0, ,,1,0,0,0,31.0
11:14.0, ,0-0,D. Fox misses 3-pt jump shot from 24 ft,,1,0,0,0,46.0
11:11.0,Defensive rebound by O. Yurtseven,0-0, ,,1,0,0,0,49.0
11:00.0,T. Herro misses 2-pt jump shot from 11 ft,0-0, ,,1,0,0,0,60.0
10:56.0, ,0-0,Defensive rebound by M. Bagley,,1,0,0,0,64.0
10:50.0, ,0-0,Shooting foul by O. Yurtseven (drawn by D. Jones),,1,0,0,0,70.0
10:50.0, ,0-1,D. Jones makes free throw 1 of 2,,1,0,1,-1,70.0
10:50.0, ,0-1,D. Jones misses free throw 2 of 2,,1,0,1,-1,70.0
10:47.0, ,0-1,Offensive rebound by M. Bagley,,1,0,1,-1,73.0
10:46.0, ,0-1,M. Bagley misses 2-pt hook shot from 6 ft,,1,0,1,-1,74.0
10:44.0,Defensive rebound by T. Herro,0-1, ,,1,0,1,-1,76.0
10:27.0,O. Yurtseven makes 2-pt dunk from 1 ft (assist by K. Lowry),2-1, ,Lead change,1,2,1,1,93.0
10:13.0, ,2-1,D. Jones misses 2-pt dunk from 6 ft,,1,2,1,1,107.0
10:11.0,Defensive rebound by J. Butler,2-1, ,,1,2,1,1,109.0
9:51.0,J. Butler misses 3-pt jump shot from 23 ft,2-1, ,,1,2,1,1,129.0
9:47.0, ,2-1,Defensive rebound by D. Fox,,1,2,1,1,133.0
9:44.0, ,2-1,M. Bagley misses 2-pt layup from 2 ft (block by C. Martin),,1,2,1,1,136.0
9:44.0,Defensive rebound by J. Butler,2-1, ,,1,2,1,1,136.0
9:33.0,C. Martin misses 3-pt jump shot from 24 ft,2-1, ,,1,2,1,1,147.0
9:31.0,Offensive rebound by Team,2-1, ,,1,2,1,1,149.0
9:22.0,T. Herro misses 2-pt jump shot from 17 ft,2-1, ,,1,2,1,1,158.0
9:18.0, ,2-1,Defensive rebound by M. Bagley,,1,2,1,1,162.0
9:05.0, ,2-4,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Fox),Lead change,1,2,4,-2,175.0
8:43.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by J. Butler),5-4, ,Lead change,1,5,4,1,197.0
8:31.0, ,5-6,D. Jones makes 2-pt layup from 1 ft (assist by T. Haliburton),Lead change,1,5,6,-1,209.0
8:25.0,J. Butler misses 3-pt jump shot from 25 ft,5-6, ,,1,5,6,-1,215.0
8:23.0, ,5-6,Defensive rebound by D. Fox,,1,5,6,-1,217.0
8:16.0, ,5-6,Offensive foul by T. Haliburton (drawn by C. Martin),,1,5,6,-1,224.0
8:16.0, ,5-6,Turnover by T. Haliburton (offensive foul),,1,5,6,-1,224.0
7:57.0,T. Herro misses 2-pt layup from 3 ft,5-6, ,,1,5,6,-1,243.0
7:54.0,Offensive rebound by O. Yurtseven,5-6, ,,1,5,6,-1,246.0
7:49.0,C. Martin makes 2-pt jump shot from 23 ft (assist by K. Lowry),7-6, ,Lead change,1,7,6,1,251.0
7:40.0, ,7-6,D. Fox misses 2-pt layup from 4 ft,,1,7,6,1,260.0
7:37.0,Defensive rebound by O. Yurtseven,7-6, ,,1,7,6,1,263.0
7:27.0,J. Butler makes 2-pt layup from 2 ft,9-6, ,,1,9,6,3,273.0
7:14.0, ,9-6,D. Jones misses 3-pt jump shot from 24 ft,,1,9,6,3,286.0
7:11.0,Defensive rebound by C. Martin,9-6, ,,1,9,6,3,289.0
7:06.0,K. Lowry misses 3-pt jump shot from 25 ft,9-6, ,,1,9,6,3,294.0
7:03.0, ,9-6,Defensive rebound by D. Jones,,1,9,6,3,297.0
6:55.0, ,9-6,Shooting foul by O. Yurtseven (drawn by D. Jones),,1,9,6,3,305.0
6:55.0, ,9-6,Sacramento full timeout,,1,9,6,3,305.0
6:55.0,C. Silva enters the game for O. Yurtseven,9-6, ,,1,9,6,3,305.0
6:55.0, ,9-6,B. Hield enters the game for T. Haliburton,,1,9,6,3,305.0
6:55.0, ,9-6,D. Jones misses free throw 1 of 2,,1,9,6,3,305.0
