Time,Portland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Nurkić vs. B. Adebayo (R. Covington gains possession),0-0,,,1,0,0,0,0.0
11:45.0,Turnover by A. Simons (bad pass; steal by B. Adebayo),0-0, ,,1,0,0,0,15.0
11:42.0, ,0-0,B. Adebayo misses 2-pt layup from 4 ft (block by A. Simons),,1,0,0,0,18.0
11:39.0,Defensive rebound by A. Simons,0-0, ,,1,0,0,0,21.0
11:36.0,A. Simons makes 3-pt jump shot from 28 ft,3-0, ,,1,0,3,-3,24.0
11:14.0, ,3-0,Turnover by B. Adebayo (off goaltending),,1,0,3,-3,46.0
10:59.0,N. Little misses 3-pt jump shot from 24 ft,3-0, ,,1,0,3,-3,61.0
10:59.0, ,3-0,Defensive rebound by Team,,1,0,3,-3,61.0
10:38.0, ,3-0,G. Vincent misses 2-pt layup from 2 ft,,1,0,3,-3,82.0
10:35.0,Defensive rebound by R. Covington,3-0, ,,1,0,3,-3,85.0
10:28.0,C. McCollum makes 2-pt jump shot from 7 ft,5-0, ,,1,0,5,-5,92.0
10:15.0, ,5-2,G. Vincent makes 2-pt layup from 2 ft,,1,2,5,-3,105.0
10:15.0, ,5-2,Shooting foul by J. Nurkić (drawn by G. Vincent),,1,2,5,-3,105.0
10:15.0, ,5-2,G. Vincent misses free throw 1 of 1,,1,2,5,-3,105.0
10:13.0,Defensive rebound by R. Covington,5-2, ,,1,2,5,-3,107.0
10:03.0,Turnover by C. McCollum (lost ball; steal by P. Tucker),5-2, ,,1,2,5,-3,117.0
10:00.0, ,5-2,Personal foul by A. Simons (drawn by G. Vincent),,1,2,5,-3,120.0
9:50.0, ,5-2,Turnover by J. Butler (bad pass),,1,2,5,-3,130.0
9:30.0,C. McCollum misses 3-pt jump shot from 29 ft,5-2, ,,1,2,5,-3,150.0
9:26.0,Offensive rebound by J. Nurkić,5-2, ,,1,2,5,-3,154.0
9:26.0,Turnover by Team (shot clock),5-2, ,,1,2,5,-3,154.0
9:11.0, ,5-2,P. Tucker misses 3-pt jump shot from 23 ft,,1,2,5,-3,169.0
