Time,Miami,Score,Atlanta,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. O. Okongwu (G. Vincent gains possession),0-0,,,1,0,0,0,0.0
11:46.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),3-0, ,,1,3,0,3,14.0
11:23.0, ,3-3,K. Huerter makes 3-pt jump shot from 28 ft (assist by D. Hunter),Tie,1,3,3,0,37.0
11:08.0,Turnover by B. Adebayo (bad pass),3-3, ,,1,3,3,0,52.0
10:56.0, ,3-3,T. Young misses 3-pt jump shot from 26 ft,,1,3,3,0,64.0
10:52.0,Defensive rebound by P. Tucker,3-3, ,,1,3,3,0,68.0
10:45.0,B. Adebayo misses 2-pt jump shot from 17 ft,3-3, ,,1,3,3,0,75.0
10:42.0, ,3-3,Defensive rebound by J. Collins,,1,3,3,0,78.0
10:30.0, ,3-5,O. Okongwu makes 2-pt dunk from 1 ft (assist by J. Collins),Lead change,1,3,5,-2,90.0
10:15.0,Shooting foul by O. Okongwu (drawn by B. Adebayo),3-5, ,,1,3,5,-2,105.0
10:15.0,B. Adebayo makes free throw 1 of 2,4-5, ,,1,4,5,-1,105.0
10:15.0,B. Adebayo makes free throw 2 of 2,5-5, ,Tie,1,5,5,0,105.0
9:58.0, ,5-5,Turnover by D. Hunter (lost ball; steal by J. Butler),,1,5,5,0,122.0
9:53.0,J. Butler makes 2-pt dunk at rim (assist by G. Vincent),7-5, ,Lead change,1,7,5,2,127.0
9:26.0, ,7-5,D. Hunter misses 3-pt jump shot from 23 ft,,1,7,5,2,154.0
9:23.0,Defensive rebound by J. Butler,7-5, ,,1,7,5,2,157.0
9:14.0,D. Robinson makes 2-pt layup from 1 ft (assist by J. Butler),9-5, ,,1,9,5,4,166.0
9:14.0, ,9-5,Violation by Team (def goaltending),,1,9,5,4,166.0
9:00.0, ,9-5,K. Huerter misses 3-pt jump shot from 24 ft,,1,9,5,4,180.0
8:56.0,Defensive rebound by P. Tucker,9-5, ,,1,9,5,4,184.0
8:44.0,P. Tucker misses 3-pt jump shot from 23 ft,9-5, ,,1,9,5,4,196.0
8:41.0,Offensive rebound by B. Adebayo,9-5, ,,1,9,5,4,199.0
8:35.0,G. Vincent misses 3-pt jump shot from 24 ft,9-5, ,,1,9,5,4,205.0
8:31.0,Offensive rebound by P. Tucker,9-5, ,,1,9,5,4,209.0
8:23.0,Turnover by G. Vincent (bad pass),9-5, ,,1,9,5,4,217.0
8:09.0, ,9-8,T. Young makes 3-pt jump shot from 28 ft,,1,9,8,1,231.0
7:50.0,D. Robinson misses 3-pt jump shot from 27 ft,9-8, ,,1,9,8,1,250.0
7:47.0,Offensive rebound by Team,9-8, ,,1,9,8,1,253.0
7:37.0,Shooting foul by O. Okongwu (drawn by D. Robinson),9-8, ,,1,9,8,1,263.0
7:37.0,D. Robinson makes free throw 1 of 3,10-8, ,,1,10,8,2,263.0
7:37.0,D. Robinson misses free throw 2 of 3,10-8, ,,1,10,8,2,263.0
7:37.0,Offensive rebound by Team,10-8, ,,1,10,8,2,263.0
7:37.0, ,10-8,C. Capela enters the game for O. Okongwu,,1,10,8,2,263.0
7:37.0,D. Robinson makes free throw 3 of 3,11-8, ,,1,11,8,3,263.0
7:21.0, ,11-10,J. Collins makes 2-pt layup from 2 ft (assist by D. Hunter),,1,11,10,1,279.0
7:06.0,Turnover by J. Butler (bad pass; steal by D. Hunter),11-10, ,,1,11,10,1,294.0
7:03.0, ,11-10,Shooting foul by D. Robinson (drawn by T. Young),,1,11,10,1,297.0
7:03.0, ,11-10,T. Young misses free throw 1 of 2,,1,11,10,1,297.0
7:03.0, ,11-10,Offensive rebound by Team,,1,11,10,1,297.0
7:03.0, ,11-11,T. Young makes free throw 2 of 2,Tie,1,11,11,0,297.0
6:50.0,P. Tucker makes 2-pt jump shot from 11 ft (assist by D. Robinson),13-11, ,,1,13,11,2,310.0
6:26.0, ,13-11,D. Hunter misses 2-pt jump shot from 18 ft,,1,13,11,2,334.0
6:24.0,Defensive rebound by B. Adebayo,13-11, ,,1,13,11,2,336.0
6:09.0,G. Vincent makes 3-pt jump shot from 25 ft (assist by J. Butler),16-11, ,,1,16,11,5,351.0
6:00.0, ,16-11,Atlanta full timeout,,1,16,11,5,360.0
5:43.0, ,16-11,Turnover by D. Hunter (lost ball; steal by P. Tucker),,1,16,11,5,377.0
5:36.0,G. Vincent makes 3-pt jump shot from 24 ft (assist by B. Adebayo),19-11, ,,1,19,11,8,384.0
5:19.0, ,19-14,J. Collins makes 3-pt jump shot from 23 ft (assist by K. Huerter),,1,19,14,5,401.0
4:55.0,B. Adebayo makes 2-pt jump shot from 12 ft,21-14, ,,1,21,14,7,425.0
4:48.0, ,21-16,D. Hunter makes 2-pt layup from 1 ft (assist by T. Young),,1,21,16,5,432.0
4:34.0,D. Robinson misses 3-pt jump shot from 26 ft,21-16, ,,1,21,16,5,446.0
4:31.0, ,21-16,Defensive rebound by C. Capela,,1,21,16,5,449.0
4:24.0, ,21-18,T. Young makes 2-pt jump shot from 19 ft,,1,21,18,3,456.0
4:09.0,P. Tucker misses 3-pt jump shot from 22 ft,21-18, ,,1,21,18,3,471.0
4:07.0, ,21-18,Defensive rebound by D. Hunter,,1,21,18,3,473.0
3:56.0, ,21-20,T. Young makes 2-pt layup from 1 ft,,1,21,20,1,484.0
3:56.0,Miami full timeout,21-20, ,,1,21,20,1,484.0
3:56.0,C. Martin enters the game for P. Tucker,21-20, ,,1,21,20,1,484.0
3:56.0,M. Strus enters the game for G. Vincent,21-20, ,,1,21,20,1,484.0
3:56.0, ,21-20,D. Wright enters the game for K. Huerter,,1,21,20,1,484.0
3:43.0,Personal foul by D. Hunter (drawn by D. Robinson),21-20, ,,1,21,20,1,497.0
3:29.0,J. Butler misses 2-pt layup from 2 ft,21-20, ,,1,21,20,1,511.0
3:26.0, ,21-20,Defensive rebound by J. Collins,,1,21,20,1,514.0
3:12.0, ,21-22,C. Capela makes 2-pt dunk from 2 ft (assist by J. Collins),Lead change,1,21,22,-1,528.0
2:53.0,M. Strus makes 3-pt jump shot from 26 ft (assist by B. Adebayo),24-22, ,Lead change,1,24,22,2,547.0
2:28.0, ,24-22,T. Young misses 3-pt jump shot from 26 ft,,1,24,22,2,572.0
2:24.0,Defensive rebound by J. Butler,24-22, ,,1,24,22,2,576.0
2:15.0,Turnover by B. Adebayo (bad pass),24-22, ,,1,24,22,2,585.0
2:15.0,D. Dedmon enters the game for B. Adebayo,24-22, ,,1,24,22,2,585.0
2:15.0, ,24-22,K. Knox enters the game for D. Hunter,,1,24,22,2,585.0
2:15.0, ,24-22,L. Williams enters the game for T. Young,,1,24,22,2,585.0
1:53.0, ,24-24,D. Wright makes 2-pt jump shot from 22 ft (assist by L. Williams),Tie,1,24,24,0,607.0
1:40.0,M. Strus makes 3-pt jump shot from 25 ft (assist by J. Butler),27-24, ,,1,27,24,3,620.0
1:27.0, ,27-26,J. Collins makes 2-pt jump shot from 12 ft (assist by D. Wright),,1,27,26,1,633.0
1:20.0,Personal foul by K. Knox (drawn by D. Robinson),27-26, ,,1,27,26,1,640.0
1:20.0,G. Vincent enters the game for J. Butler,27-26, ,,1,27,26,1,640.0
1:17.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by M. Strus),30-26, ,,1,30,26,4,643.0
1:04.0, ,30-26,Personal foul by D. Robinson (drawn by J. Collins),,1,30,26,4,656.0
1:04.0, ,30-26,K. Huerter enters the game for J. Collins,,1,30,26,4,656.0
0:49.0, ,30-29,L. Williams makes 3-pt jump shot from 23 ft (assist by D. Wright),,1,30,29,1,671.0
0:40.0,M. Strus misses 3-pt jump shot from 26 ft,30-29, ,,1,30,29,1,680.0
0:36.0,Offensive rebound by D. Robinson,30-29, ,,1,30,29,1,684.0
0:35.0,D. Robinson misses 3-pt jump shot from 25 ft,30-29, ,,1,30,29,1,685.0
0:32.0, ,30-29,Defensive rebound by C. Capela,,1,30,29,1,688.0
0:25.0, ,30-31,L. Williams makes 2-pt jump shot from 11 ft (assist by K. Huerter),Lead change,1,30,31,-1,695.0
0:03.0,D. Dedmon misses 2-pt jump shot from 15 ft,30-31, ,,1,30,31,-1,717.0
0:03.0, ,30-31,Defensive rebound by D. Wright,,1,30,31,-1,717.0
0:00.0,End of 1st quarter,30-31,,,1,30,31,-1,720.0
12:00.0,Start of 2nd quarter,30-31,,,2,30,31,-1,720.0
11:41.0, ,30-34,K. Huerter makes 3-pt jump shot from 26 ft (assist by D. Wright),,2,30,34,-4,739.0
11:19.0,C. Martin misses 3-pt jump shot from 24 ft,30-34, ,,2,30,34,-4,761.0
11:16.0, ,30-34,Defensive rebound by C. Capela,,2,30,34,-4,764.0
11:08.0, ,30-34,K. Knox misses 3-pt jump shot from 25 ft,,2,30,34,-4,772.0
11:05.0,Defensive rebound by D. Dedmon,30-34, ,,2,30,34,-4,775.0
10:47.0,G. Vincent misses 2-pt jump shot from 11 ft,30-34, ,,2,30,34,-4,793.0
10:44.0, ,30-34,Defensive rebound by D. Wright,,2,30,34,-4,796.0
10:38.0, ,30-36,D. Wright makes 2-pt layup from 1 ft,,2,30,36,-6,802.0
10:28.0,Personal foul by D. Wright (drawn by K. Guy),30-36, ,,2,30,36,-6,812.0
10:15.0,M. Strus makes 2-pt jump shot from 12 ft,32-36, ,,2,32,36,-4,825.0
9:59.0, ,32-36,Turnover by K. Huerter (traveling),,2,32,36,-4,841.0
9:59.0, ,32-36,O. Okongwu enters the game for C. Capela,,2,32,36,-4,841.0
9:50.0,K. Guy misses 3-pt jump shot from 25 ft,32-36, ,,2,32,36,-4,850.0
9:47.0, ,32-36,Defensive rebound by K. Huerter,,2,32,36,-4,853.0
9:31.0, ,32-36,Shooting foul by G. Vincent (drawn by D. Wright),,2,32,36,-4,869.0
9:31.0, ,32-37,D. Wright makes free throw 1 of 2,,2,32,37,-5,869.0
9:31.0, ,32-38,D. Wright makes free throw 2 of 2,,2,32,38,-6,869.0
9:17.0,M. Strus misses 3-pt jump shot from 26 ft,32-38, ,,2,32,38,-6,883.0
9:15.0,Offensive rebound by D. Dedmon,32-38, ,,2,32,38,-6,885.0
9:12.0,C. Martin makes 2-pt layup from 1 ft (assist by D. Dedmon),34-38, ,,2,34,38,-4,888.0
9:06.0, ,34-38,Personal foul by M. Strus (drawn by L. Williams),,2,34,38,-4,894.0
9:00.0, ,34-40,K. Huerter makes 2-pt jump shot from 11 ft (assist by D. Wright),,2,34,40,-6,900.0
8:45.0,M. Strus makes 2-pt layup from 1 ft,36-40, ,,2,36,40,-4,915.0
8:30.0, ,36-40,K. Huerter misses 3-pt jump shot from 26 ft,,2,36,40,-4,930.0
8:27.0, ,36-40,Offensive rebound by O. Okongwu,,2,36,40,-4,933.0
8:25.0, ,36-40,K. Huerter misses 3-pt jump shot from 27 ft,,2,36,40,-4,935.0
8:21.0,Defensive rebound by D. Dedmon,36-40, ,,2,36,40,-4,939.0
8:17.0,M. Strus makes 3-pt jump shot from 24 ft (assist by G. Vincent),39-40, ,,2,39,40,-1,943.0
8:05.0, ,39-40,K. Huerter misses 2-pt layup from 3 ft,,2,39,40,-1,955.0
8:04.0, ,39-40,Offensive rebound by O. Okongwu,,2,39,40,-1,956.0
8:04.0, ,39-40,Shooting foul by M. Strus (drawn by O. Okongwu),,2,39,40,-1,956.0
8:04.0, ,39-41,O. Okongwu makes free throw 1 of 2,,2,39,41,-2,956.0
8:04.0, ,39-42,O. Okongwu makes free throw 2 of 2,,2,39,42,-3,956.0
7:52.0,Turnover by M. Strus (traveling),39-42, ,,2,39,42,-3,968.0
7:43.0,Violation by Team (kicked ball),39-42, ,,2,39,42,-3,977.0
7:27.0, ,39-42,D. Wright misses 2-pt jump shot from 14 ft,,2,39,42,-3,993.0
7:22.0,Defensive rebound by D. Dedmon,39-42, ,,2,39,42,-3,998.0
7:17.0,G. Vincent makes 2-pt layup from 1 ft,41-42, ,,2,41,42,-1,1003.0
7:11.0, ,41-42,Atlanta full timeout,,2,41,42,-1,1009.0
7:11.0, ,41-42,J. Collins enters the game for K. Huerter,,2,41,42,-1,1009.0
7:11.0, ,41-42,T. Young enters the game for K. Knox,,2,41,42,-1,1009.0
6:53.0, ,41-42,L. Williams misses 2-pt jump shot from 14 ft,,2,41,42,-1,1027.0
6:51.0,Defensive rebound by Team,41-42, ,,2,41,42,-1,1029.0
6:40.0,M. Strus misses 3-pt jump shot from 26 ft,41-42, ,,2,41,42,-1,1040.0
6:36.0, ,41-42,Defensive rebound by J. Collins,,2,41,42,-1,1044.0
