Time,LA Lakers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Howard vs. B. Adebayo (L. James gains possession),0-0,,,1,0,0,0,0.0
11:35.0,L. James misses 2-pt jump shot from 20 ft,0-0, ,,1,0,0,0,25.0
11:33.0,Offensive rebound by D. Howard,0-0, ,,1,0,0,0,27.0
11:32.0,D. Howard misses 2-pt dunk from 1 ft,0-0, ,,1,0,0,0,28.0
11:32.0,Offensive rebound by R. Westbrook,0-0, ,,1,0,0,0,28.0
11:27.0,Turnover by T. Ariza (bad pass),0-0, ,,1,0,0,0,33.0
11:13.0, ,0-2,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Vincent),,1,2,0,2,47.0
10:49.0,A. Bradley makes 2-pt jump shot from 12 ft,2-2, ,Tie,1,2,2,0,71.0
10:38.0, ,2-2,D. Robinson misses 3-pt jump shot from 26 ft,,1,2,2,0,82.0
10:35.0,Defensive rebound by L. James,2-2, ,,1,2,2,0,85.0
10:30.0,Turnover by L. James (bad pass),2-2, ,,1,2,2,0,90.0
10:18.0, ,2-2,G. Vincent misses 3-pt jump shot from 30 ft,,1,2,2,0,102.0
10:15.0,Defensive rebound by T. Ariza,2-2, ,,1,2,2,0,105.0
10:09.0,R. Westbrook makes 2-pt jump shot from 14 ft,4-2, ,Lead change,1,2,4,-2,111.0
9:47.0, ,4-5,G. Vincent makes 3-pt jump shot from 23 ft (assist by P. Tucker),Lead change,1,5,4,1,133.0
9:27.0,T. Ariza misses 3-pt jump shot from 24 ft,4-5, ,,1,5,4,1,153.0
9:25.0, ,4-5,Defensive rebound by J. Butler,,1,5,4,1,155.0
9:14.0, ,4-8,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),,1,8,4,4,166.0
8:55.0,Turnover by R. Westbrook (step out of bounds),4-8, ,,1,8,4,4,185.0
8:36.0, ,4-10,J. Butler makes 2-pt jump shot from 12 ft,,1,10,4,6,204.0
8:18.0,T. Ariza misses 3-pt jump shot from 24 ft,4-10, ,,1,10,4,6,222.0
8:16.0, ,4-10,Defensive rebound by J. Butler,,1,10,4,6,224.0
8:09.0, ,4-12,B. Adebayo makes 2-pt layup from 1 ft (assist by J. Butler),,1,12,4,8,231.0
8:09.0,LA Lakers full timeout,4-12, ,,1,12,4,8,231.0
7:56.0,L. James makes 3-pt jump shot from 27 ft (assist by R. Westbrook),7-12, ,,1,12,7,5,244.0
7:36.0, ,7-12,J. Butler misses 2-pt jump shot from 13 ft,,1,12,7,5,264.0
7:36.0,Defensive rebound by T. Ariza,7-12, ,,1,12,7,5,264.0
7:22.0,Turnover by T. Ariza (lost ball; steal by J. Butler),7-12, ,,1,12,7,5,278.0
7:19.0, ,7-14,J. Butler makes 2-pt dunk from 2 ft (assist by B. Adebayo),,1,14,7,7,281.0
7:07.0,L. James misses 3-pt jump shot from 24 ft,7-14, ,,1,14,7,7,293.0
7:05.0,Offensive rebound by D. Howard,7-14, ,,1,14,7,7,295.0
7:01.0,A. Bradley misses 3-pt jump shot from 26 ft,7-14, ,,1,14,7,7,299.0
6:59.0, ,7-14,Defensive rebound by B. Adebayo,,1,14,7,7,301.0
6:48.0, ,7-17,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,17,7,10,312.0
6:25.0,R. Westbrook makes 2-pt jump shot from 5 ft,9-17, ,,1,17,9,8,335.0
6:11.0, ,9-19,G. Vincent makes 2-pt layup at rim (assist by J. Butler),,1,19,9,10,349.0
5:59.0,Personal foul by P. Tucker (drawn by L. James),9-19, ,,1,19,9,10,361.0
5:59.0,S. Johnson enters the game for D. Howard,9-19, ,,1,19,9,10,361.0
5:59.0,M. Monk enters the game for L. James,9-19, ,,1,19,9,10,361.0
5:59.0, ,9-19,D. Dedmon enters the game for B. Adebayo,,1,19,9,10,361.0
5:49.0,T. Ariza misses 3-pt jump shot from 23 ft,9-19, ,,1,19,9,10,371.0
5:44.0, ,9-19,Defensive rebound by J. Butler,,1,19,9,10,376.0
5:44.0, ,9-19,M. Strus enters the game for G. Vincent,,1,19,9,10,376.0
5:34.0, ,9-19,D. Robinson misses 3-pt jump shot from 29 ft,,1,19,9,10,386.0
5:28.0,Defensive rebound by S. Johnson,9-19, ,,1,19,9,10,392.0
5:25.0,S. Johnson makes 2-pt layup from 3 ft,11-19, ,,1,19,11,8,395.0
5:09.0, ,11-19,D. Dedmon misses 2-pt hook shot from 3 ft,,1,19,11,8,411.0
5:08.0, ,11-19,Offensive rebound by D. Dedmon,,1,19,11,8,412.0
5:07.0, ,11-21,D. Dedmon makes 2-pt layup from 1 ft,,1,21,11,10,413.0
4:56.0,R. Westbrook makes 2-pt layup from 2 ft,13-21, ,,1,21,13,8,424.0
4:56.0,Shooting foul by D. Robinson (drawn by R. Westbrook),13-21, ,,1,21,13,8,424.0
4:56.0,C. Anthony enters the game for T. Ariza,13-21, ,,1,21,13,8,424.0
4:56.0,A. Reaves enters the game for A. Bradley,13-21, ,,1,21,13,8,424.0
4:56.0,R. Westbrook makes free throw 1 of 1,14-21, ,,1,21,14,7,424.0
4:45.0, ,14-23,D. Dedmon makes 2-pt jump shot from 3 ft (assist by J. Butler),,1,23,14,9,435.0
4:45.0, ,14-23,Flagrant foul type 1 by R. Westbrook (drawn by D. Dedmon),,1,23,14,9,435.0
4:45.0, ,14-23,Instant Replay (Request: Ruling Stands),,1,23,14,9,435.0
4:45.0, ,14-24,D. Dedmon makes flagrant free throw 1 of 1,,1,24,14,10,435.0
4:32.0, ,14-26,D. Dedmon makes 2-pt layup from 3 ft (assist by P. Tucker),,1,26,14,12,448.0
4:20.0,R. Westbrook misses 3-pt jump shot from 28 ft,14-26, ,,1,26,14,12,460.0
4:17.0, ,14-26,Defensive rebound by D. Robinson,,1,26,14,12,463.0
4:13.0, ,14-29,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),,1,29,14,15,467.0
4:11.0,LA Lakers full timeout,14-29, ,,1,29,14,15,469.0
4:11.0,T. Horton-Tucker enters the game for R. Westbrook,14-29, ,,1,29,14,15,469.0
3:57.0,C. Anthony misses 3-pt jump shot from 26 ft,14-29, ,,1,29,14,15,483.0
3:53.0, ,14-29,Defensive rebound by J. Butler,,1,29,14,15,487.0
3:36.0, ,14-32,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Butler),,1,32,14,18,504.0
3:18.0,M. Monk makes 3-pt jump shot from 23 ft (assist by A. Reaves),17-32, ,,1,32,17,15,522.0
3:02.0, ,17-32,Turnover by J. Butler (bad pass; steal by T. Horton-Tucker),,1,32,17,15,538.0
3:00.0,Personal foul by D. Dedmon (drawn by T. Horton-Tucker),17-32, ,,1,32,17,15,540.0
3:00.0,L. James enters the game for S. Johnson,17-32, ,,1,32,17,15,540.0
3:00.0, ,17-32,B. Adebayo enters the game for D. Dedmon,,1,32,17,15,540.0
3:00.0, ,17-32,C. Martin enters the game for P. Tucker,,1,32,17,15,540.0
2:39.0,C. Anthony makes 2-pt jump shot from 12 ft,19-32, ,,1,32,19,13,561.0
2:15.0, ,19-32,C. Martin misses 2-pt layup from 1 ft,,1,32,19,13,585.0
2:12.0,Defensive rebound by L. James,19-32, ,,1,32,19,13,588.0
2:08.0,L. James makes 2-pt layup from 2 ft (assist by T. Horton-Tucker),21-32, ,,1,32,21,11,592.0
2:08.0,Shooting foul by B. Adebayo (drawn by L. James),21-32, ,,1,32,21,11,592.0
2:08.0,L. James makes free throw 1 of 1,22-32, ,,1,32,22,10,592.0
1:57.0, ,22-34,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Robinson),,1,34,22,12,603.0
1:34.0,M. Monk misses 3-pt jump shot from 26 ft,22-34, ,,1,34,22,12,626.0
1:28.0, ,22-34,Defensive rebound by J. Butler,,1,34,22,12,632.0
1:22.0, ,22-34,B. Adebayo misses 2-pt jump shot from 18 ft,,1,34,22,12,638.0
1:17.0,Defensive rebound by L. James,22-34, ,,1,34,22,12,643.0
1:13.0,M. Monk makes 2-pt layup from 2 ft (assist by L. James),24-34, ,,1,34,24,10,647.0
1:00.0, ,24-36,D. Robinson makes 2-pt layup from 1 ft (assist by J. Butler),,1,36,24,12,660.0
0:37.0,Turnover by C. Anthony (bad pass),24-36, ,,1,36,24,12,683.0
0:37.0, ,24-36,K. Guy enters the game for J. Butler,,1,36,24,12,683.0
0:37.0, ,24-36,G. Vincent enters the game for D. Robinson,,1,36,24,12,683.0
0:32.0, ,24-36,M. Strus misses 3-pt jump shot from 29 ft,,1,36,24,12,688.0
0:26.0,Defensive rebound by C. Anthony,24-36, ,,1,36,24,12,694.0
0:14.0,Shooting foul by M. Strus (drawn by L. James),24-36, ,,1,36,24,12,706.0
0:14.0,L. James makes free throw 1 of 2,25-36, ,,1,36,25,11,706.0
0:14.0,S. Johnson enters the game for A. Reaves,25-36, ,,1,36,25,11,706.0
0:14.0, ,25-36,D. Robinson enters the game for K. Guy,,1,36,25,11,706.0
0:14.0,L. James misses free throw 2 of 2,25-36, ,,1,36,25,11,706.0
0:14.0, ,25-36,Defensive rebound by B. Adebayo,,1,36,25,11,706.0
0:01.0, ,25-39,M. Strus makes 3-pt jump shot from 23 ft (assist by G. Vincent),,1,39,25,14,719.0
0:00.0, ,25-39,Instant Replay (Request: Ruling Stands),,1,39,25,14,720.0
0:00.0,End of 1st quarter,25-39,,,1,39,25,14,720.0
12:00.0,Start of 2nd quarter,25-39,,,2,39,25,14,720.0
11:50.0, ,25-41,B. Adebayo makes 2-pt dunk from 2 ft (assist by G. Vincent),,2,41,25,16,730.0
11:32.0,L. James makes 2-pt layup from 2 ft (assist by T. Horton-Tucker),27-41, ,,2,41,27,14,748.0
11:21.0, ,27-41,Personal foul by C. Anthony (drawn by B. Adebayo),,2,41,27,14,759.0
11:21.0,S. Johnson enters the game for A. Reaves,27-41, ,,2,41,27,14,759.0
11:18.0, ,27-41,Personal foul by T. Horton-Tucker (drawn by M. Strus),,2,41,27,14,762.0
11:11.0, ,27-44,C. Martin makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,2,44,27,17,769.0
10:45.0,L. James misses 3-pt jump shot from 27 ft,27-44, ,,2,44,27,17,795.0
10:40.0, ,27-44,Defensive rebound by B. Adebayo,,2,44,27,17,800.0
10:36.0, ,27-44,B. Adebayo misses 2-pt layup from 4 ft,,2,44,27,17,804.0
10:34.0, ,27-44,Offensive rebound by B. Adebayo,,2,44,27,17,806.0
10:31.0, ,27-44,Turnover by B. Adebayo (lost ball; steal by T. Horton-Tucker),,2,44,27,17,809.0
10:30.0,Personal foul by B. Adebayo (drawn by T. Horton-Tucker),27-44, ,,2,44,27,17,810.0
10:17.0,Shooting foul by K. Guy (drawn by T. Horton-Tucker),27-44, ,,2,44,27,17,823.0
10:17.0,T. Horton-Tucker makes free throw 1 of 2,28-44, ,,2,44,28,16,823.0
10:17.0,T. Horton-Tucker makes free throw 2 of 2,29-44, ,,2,44,29,15,823.0
10:04.0, ,29-47,K. Guy makes 3-pt jump shot from 25 ft (assist by G. Vincent),,2,47,29,18,836.0
9:50.0,Turnover by C. Anthony (out of bounds lost ball),29-47, ,,2,47,29,18,850.0
9:38.0, ,29-47,Turnover by G. Vincent (bad pass; steal by M. Monk),,2,47,29,18,862.0
9:35.0,Personal foul by K. Guy (drawn by M. Monk),29-47, ,,2,47,29,18,865.0
9:33.0,M. Monk misses 3-pt jump shot from 26 ft,29-47, ,,2,47,29,18,867.0
9:31.0, ,29-47,Defensive rebound by M. Strus,,2,47,29,18,869.0
9:24.0, ,29-47,Personal foul by S. Johnson (drawn by B. Adebayo),,2,47,29,18,876.0
