Time,LA Clippers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: I. Zubac vs. B. Adebayo (G. Vincent gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,Personal foul by A. Coffey (drawn by B. Adebayo),,1,0,0,0,15.0
11:40.0, ,0-0,Turnover by D. Robinson (traveling),,1,0,0,0,20.0
11:29.0,I. Zubac misses 2-pt hook shot from 7 ft,0-0, ,,1,0,0,0,31.0
11:26.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,34.0
11:13.0, ,0-0,B. Adebayo misses 2-pt jump shot from 15 ft,,1,0,0,0,47.0
11:12.0, ,0-0,Offensive rebound by Team,,1,0,0,0,48.0
11:07.0, ,0-0,B. Adebayo misses 2-pt jump shot from 10 ft,,1,0,0,0,53.0
11:03.0,Defensive rebound by T. Mann,0-0, ,,1,0,0,0,57.0
10:54.0,N. Batum makes 2-pt jump shot from 16 ft (assist by I. Zubac),2-0, ,,1,0,2,-2,66.0
10:50.0, ,2-0,Turnover by P. Tucker (bad pass),,1,0,2,-2,70.0
10:33.0,R. Jackson makes 2-pt jump shot from 19 ft (assist by I. Zubac),4-0, ,,1,0,4,-4,87.0
10:17.0, ,4-0,G. Vincent misses 2-pt layup from 2 ft,,1,0,4,-4,103.0
10:14.0,Defensive rebound by I. Zubac,4-0, ,,1,0,4,-4,106.0
9:57.0,A. Coffey misses 2-pt jump shot from 6 ft,4-0, ,,1,0,4,-4,123.0
9:54.0, ,4-0,Defensive rebound by J. Butler,,1,0,4,-4,126.0
9:38.0, ,4-0,G. Vincent misses 3-pt jump shot from 23 ft,,1,0,4,-4,142.0
9:34.0,Defensive rebound by N. Batum,4-0, ,,1,0,4,-4,146.0
9:27.0,R. Jackson misses 2-pt jump shot from 17 ft,4-0, ,,1,0,4,-4,153.0
9:24.0, ,4-0,Defensive rebound by B. Adebayo,,1,0,4,-4,156.0
