Time,Toronto,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: S. Barnes vs. B. Adebayo (G. Vincent gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,Personal foul by S. Barnes (drawn by B. Adebayo),,1,0,0,0,15.0
11:38.0, ,0-0,G. Vincent misses 3-pt jump shot from 28 ft,,1,0,0,0,22.0
11:34.0, ,0-0,Offensive rebound by B. Adebayo,,1,0,0,0,26.0
11:23.0, ,0-0,D. Robinson misses 3-pt jump shot from 23 ft,,1,0,0,0,37.0
11:20.0, ,0-0,Offensive rebound by Team,,1,0,0,0,40.0
11:20.0,Loose ball foul by P. Siakam (drawn by D. Robinson),0-0, ,,1,0,0,0,40.0
11:14.0, ,0-0,P. Tucker misses 3-pt jump shot from 24 ft,,1,0,0,0,46.0
11:10.0,Defensive rebound by O. Anunoby,0-0, ,,1,0,0,0,50.0
11:04.0,Personal foul by G. Vincent (drawn by S. Barnes),0-0, ,,1,0,0,0,56.0
10:52.0,P. Siakam makes 2-pt hook shot from 8 ft,2-0, ,,1,0,2,-2,68.0
10:30.0, ,2-3,G. Vincent makes 3-pt jump shot from 23 ft (assist by P. Tucker),Lead change,1,3,2,1,90.0
10:18.0,G. Trent misses 3-pt jump shot from 23 ft (block by J. Butler),2-3, ,,1,3,2,1,102.0
10:18.0,Offensive rebound by Team,2-3, ,,1,3,2,1,102.0
10:05.0,F. VanVleet misses 2-pt jump shot from 11 ft,2-3, ,,1,3,2,1,115.0
10:01.0, ,2-3,Defensive rebound by B. Adebayo,,1,3,2,1,119.0
9:50.0, ,2-5,B. Adebayo makes 2-pt jump shot from 21 ft,,1,5,2,3,130.0
9:37.0,G. Trent makes 3-pt jump shot from 27 ft (assist by F. VanVleet),5-5, ,Tie,1,5,5,0,143.0
9:15.0, ,5-8,G. Vincent makes 3-pt jump shot from 23 ft (assist by P. Tucker),,1,8,5,3,165.0
9:03.0,Turnover by F. VanVleet (bad pass; steal by P. Tucker),5-8, ,,1,8,5,3,177.0
8:58.0, ,5-10,J. Butler makes 2-pt layup from 3 ft (assist by P. Tucker),,1,10,5,5,182.0
8:32.0,P. Siakam makes 3-pt jump shot from 24 ft (assist by O. Anunoby),8-10, ,,1,10,8,2,208.0
8:15.0, ,8-10,B. Adebayo misses 2-pt jump shot from 17 ft,,1,10,8,2,225.0
8:10.0,Defensive rebound by P. Siakam,8-10, ,,1,10,8,2,230.0
8:08.0,F. VanVleet makes 3-pt jump shot from 27 ft (assist by P. Siakam),11-10, ,Lead change,1,10,11,-1,232.0
7:54.0, ,11-10,G. Vincent misses 2-pt layup from 2 ft,,1,10,11,-1,246.0
7:54.0, ,11-10,Offensive rebound by J. Butler,,1,10,11,-1,246.0
7:51.0, ,11-12,J. Butler makes 2-pt layup from 2 ft,Lead change,1,12,11,1,249.0
7:32.0,P. Siakam misses 2-pt jump shot from 7 ft,11-12, ,,1,12,11,1,268.0
7:29.0, ,11-12,Defensive rebound by J. Butler,,1,12,11,1,271.0
7:27.0, ,11-12,P. Tucker misses 3-pt jump shot from 23 ft,,1,12,11,1,273.0
7:22.0,Defensive rebound by P. Siakam,11-12, ,,1,12,11,1,278.0
7:05.0,G. Trent makes 2-pt layup from 3 ft (assist by F. VanVleet),13-12, ,Lead change,1,12,13,-1,295.0
6:44.0, ,13-12,P. Tucker misses 2-pt layup from 3 ft,,1,12,13,-1,316.0
6:44.0, ,13-12,Offensive rebound by Team,,1,12,13,-1,316.0
6:44.0,Loose ball foul by G. Trent (drawn by B. Adebayo),13-12, ,,1,12,13,-1,316.0
6:44.0, ,13-12,Miami full timeout,,1,12,13,-1,316.0
6:44.0,C. Boucher enters the game for S. Barnes,13-12, ,,1,12,13,-1,316.0
6:39.0, ,13-12,Shooting foul by C. Boucher (drawn by B. Adebayo),,1,12,13,-1,321.0
6:39.0, ,13-12,B. Adebayo misses free throw 1 of 2,,1,12,13,-1,321.0
6:39.0, ,13-12,Offensive rebound by Team,,1,12,13,-1,321.0
6:39.0, ,13-12,B. Adebayo misses free throw 2 of 2,,1,12,13,-1,321.0
6:36.0,Defensive rebound by O. Anunoby,13-12, ,,1,12,13,-1,324.0
6:23.0,G. Trent misses 3-pt jump shot from 27 ft,13-12, ,,1,12,13,-1,337.0
6:18.0,Offensive rebound by P. Siakam,13-12, ,,1,12,13,-1,342.0
6:16.0,P. Siakam makes 2-pt hook shot from 6 ft,15-12, ,,1,12,15,-3,344.0
6:01.0, ,15-14,P. Tucker makes 2-pt layup from 2 ft (assist by J. Butler),,1,14,15,-1,359.0
5:54.0,F. VanVleet makes 3-pt jump shot from 28 ft,18-14, ,,1,14,18,-4,366.0
5:38.0, ,18-14,G. Vincent misses 3-pt jump shot from 25 ft,,1,14,18,-4,382.0
5:30.0, ,18-14,Offensive rebound by P. Tucker,,1,14,18,-4,390.0
5:30.0, ,18-14,P. Tucker misses 2-pt layup at rim,,1,14,18,-4,390.0
5:30.0, ,18-14,Offensive rebound by B. Adebayo,,1,14,18,-4,390.0
5:29.0, ,18-14,G. Vincent misses 3-pt jump shot from 23 ft,,1,14,18,-4,391.0
5:29.0,Defensive rebound by C. Boucher,18-14, ,,1,14,18,-4,391.0
5:18.0,F. VanVleet misses 3-pt jump shot from 29 ft,18-14, ,,1,14,18,-4,402.0
5:13.0, ,18-14,Defensive rebound by D. Robinson,,1,14,18,-4,407.0
5:10.0, ,18-16,J. Butler makes 2-pt layup from 2 ft,,1,16,18,-2,410.0
4:55.0,O. Anunoby makes 2-pt layup from 3 ft,20-16, ,,1,16,20,-4,425.0
