Time,Miami,Score,Toronto,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. S. Barnes (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:38.0,J. Butler makes 2-pt jump shot from 15 ft (assist by D. Robinson),2-0, ,,1,2,0,2,22.0
11:13.0, ,2-0,O. Anunoby misses 2-pt jump shot from 18 ft,,1,2,0,2,47.0
11:09.0,Defensive rebound by P. Tucker,2-0, ,,1,2,0,2,51.0
10:55.0,B. Adebayo makes 2-pt hook shot from 9 ft (assist by J. Butler),4-0, ,,1,4,0,4,65.0
10:37.0, ,4-0,G. Trent misses 2-pt layup from 2 ft,,1,4,0,4,83.0
10:35.0,Defensive rebound by J. Butler,4-0, ,,1,4,0,4,85.0
10:26.0,Def 3 sec tech foul by Team,4-0, ,,1,4,0,4,94.0
10:26.0,J. Butler makes technical free throw,5-0, ,,1,5,0,5,94.0
10:18.0,Shooting foul by F. VanVleet (drawn by B. Adebayo),5-0, ,,1,5,0,5,102.0
10:18.0,B. Adebayo makes free throw 1 of 2,6-0, ,,1,6,0,6,102.0
10:18.0,B. Adebayo makes free throw 2 of 2,7-0, ,,1,7,0,7,102.0
10:05.0, ,7-3,G. Trent makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,1,7,3,4,115.0
9:49.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by P. Tucker),10-3, ,,1,10,3,7,131.0
9:33.0, ,10-5,P. Siakam makes 2-pt jump shot from 7 ft,,1,10,5,5,147.0
9:17.0,P. Tucker makes 2-pt layup from 2 ft (assist by G. Vincent),12-5, ,,1,12,5,7,163.0
8:57.0, ,12-7,G. Trent makes 2-pt layup from 2 ft,,1,12,7,5,183.0
8:57.0, ,12-7,Shooting foul by D. Robinson (drawn by G. Trent),,1,12,7,5,183.0
8:57.0, ,12-7,G. Trent misses free throw 1 of 1,,1,12,7,5,183.0
8:53.0,Defensive rebound by B. Adebayo,12-7, ,,1,12,7,5,187.0
8:46.0,B. Adebayo makes 2-pt layup from 3 ft (assist by D. Robinson),14-7, ,,1,14,7,7,194.0
8:46.0,Shooting foul by S. Barnes (drawn by B. Adebayo),14-7, ,,1,14,7,7,194.0
8:46.0,B. Adebayo makes free throw 1 of 1,15-7, ,,1,15,7,8,194.0
8:35.0, ,15-7,F. VanVleet misses 3-pt jump shot from 26 ft,,1,15,7,8,205.0
8:34.0,Defensive rebound by G. Vincent,15-7, ,,1,15,7,8,206.0
8:23.0,Turnover by G. Vincent (bad pass; steal by F. VanVleet),15-7, ,,1,15,7,8,217.0
8:19.0, ,15-7,P. Siakam misses 2-pt jump shot from 9 ft,,1,15,7,8,221.0
8:16.0,Defensive rebound by B. Adebayo,15-7, ,,1,15,7,8,224.0
