Time,Miami,Score,San Antonio,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. T. Young (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:43.0,Turnover by K. Lowry (bad pass; steal by T. Young),0-0, ,,1,0,0,0,17.0
11:32.0, ,0-0,Turnover by D. White (bad pass),,1,0,0,0,28.0
11:13.0,B. Adebayo makes 2-pt layup from 1 ft,2-0, ,,1,2,0,2,47.0
10:59.0, ,2-0,D. Vassell misses 3-pt jump shot from 26 ft,,1,2,0,2,61.0
10:56.0,Defensive rebound by J. Butler,2-0, ,,1,2,0,2,64.0
10:44.0,J. Butler misses 2-pt jump shot from 12 ft,2-0, ,,1,2,0,2,76.0
10:42.0, ,2-0,Defensive rebound by D. White,,1,2,0,2,78.0
10:35.0, ,2-0,K. Johnson misses 2-pt jump shot from 10 ft,,1,2,0,2,85.0
10:32.0,Defensive rebound by D. Robinson,2-0, ,,1,2,0,2,88.0
10:10.0,B. Adebayo makes 2-pt layup from 1 ft,4-0, ,,1,4,0,4,110.0
9:56.0, ,4-0,K. Johnson misses 3-pt jump shot from 25 ft,,1,4,0,4,124.0
9:53.0,Defensive rebound by D. Robinson,4-0, ,,1,4,0,4,127.0
9:46.0,D. Robinson misses 3-pt jump shot from 26 ft,4-0, ,,1,4,0,4,134.0
9:43.0, ,4-0,Defensive rebound by K. Johnson,,1,4,0,4,137.0
9:29.0, ,4-0,Personal foul by J. Butler (drawn by D. White),,1,4,0,4,151.0
9:18.0, ,4-3,D. White makes 3-pt jump shot from 25 ft (assist by T. Jones),,1,4,3,1,162.0
8:57.0,P. Tucker misses 3-pt jump shot from 24 ft,4-3, ,,1,4,3,1,183.0
8:54.0, ,4-3,Defensive rebound by T. Young,,1,4,3,1,186.0
8:50.0, ,4-3,Personal foul by B. Adebayo (drawn by T. Young),,1,4,3,1,190.0
8:41.0, ,4-3,D. Vassell misses 2-pt jump shot from 18 ft,,1,4,3,1,199.0
8:38.0,Defensive rebound by K. Lowry,4-3, ,,1,4,3,1,202.0
8:30.0,B. Adebayo makes 2-pt layup at rim (assist by K. Lowry),6-3, ,,1,6,3,3,210.0
8:18.0, ,6-3,K. Johnson misses 3-pt jump shot from 26 ft,,1,6,3,3,222.0
8:15.0,Defensive rebound by J. Butler,6-3, ,,1,6,3,3,225.0
7:56.0,D. Robinson misses 2-pt jump shot from 6 ft,6-3, ,,1,6,3,3,244.0
7:54.0, ,6-3,Defensive rebound by T. Young,,1,6,3,3,246.0
7:38.0, ,6-5,T. Jones makes 2-pt jump shot from 10 ft (assist by D. Vassell),,1,6,5,1,262.0
7:24.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),9-5, ,,1,9,5,4,276.0
7:11.0, ,9-8,D. White makes 3-pt jump shot from 23 ft (assist by D. Vassell),,1,9,8,1,289.0
6:58.0,Personal foul by T. Jones (drawn by B. Adebayo),9-8, ,,1,9,8,1,302.0
6:58.0, ,9-8,San Antonio full timeout,,1,9,8,1,302.0
