Time,Miami,Score,New Orleans,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Valančiūnas (C. McCollum gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,Turnover by H. Jones (traveling),,1,0,0,0,15.0
11:26.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by P. Tucker),3-0, ,,1,3,0,3,34.0
11:09.0, ,3-2,B. Ingram makes 2-pt jump shot from 15 ft (assist by C. McCollum),,1,3,2,1,51.0
11:03.0,Personal foul by J. Valančiūnas (drawn by P. Tucker),3-2, ,,1,3,2,1,57.0
10:56.0,D. Robinson misses 3-pt jump shot from 27 ft,3-2, ,,1,3,2,1,64.0
10:53.0, ,3-2,Defensive rebound by J. Valančiūnas,,1,3,2,1,67.0
10:41.0, ,3-2,B. Ingram misses 2-pt jump shot from 23 ft,,1,3,2,1,79.0
10:37.0,Defensive rebound by P. Tucker,3-2, ,,1,3,2,1,83.0
10:32.0,B. Adebayo makes 2-pt layup from 4 ft (assist by K. Lowry),5-2, ,,1,5,2,3,88.0
10:20.0, ,5-4,C. McCollum makes 2-pt jump shot from 13 ft (assist by D. Graham),,1,5,4,1,100.0
9:57.0,J. Butler makes 2-pt layup from 1 ft,7-4, ,,1,7,4,3,123.0
9:57.0,Shooting foul by D. Graham (drawn by J. Butler),7-4, ,,1,7,4,3,123.0
9:57.0,J. Butler makes free throw 1 of 1,8-4, ,,1,8,4,4,123.0
9:49.0, ,8-6,D. Graham makes 2-pt jump shot from 8 ft,,1,8,6,2,131.0
9:40.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by K. Lowry),10-6, ,,1,10,6,4,140.0
9:29.0, ,10-6,J. Valančiūnas misses 3-pt jump shot from 25 ft,,1,10,6,4,151.0
9:26.0,Defensive rebound by K. Lowry,10-6, ,,1,10,6,4,154.0
9:23.0,Personal foul by B. Ingram (drawn by K. Lowry),10-6, ,,1,10,6,4,157.0
9:11.0,J. Butler misses 3-pt jump shot from 23 ft,10-6, ,,1,10,6,4,169.0
9:09.0, ,10-6,Defensive rebound by C. McCollum,,1,10,6,4,171.0
