Time,Brooklyn,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Griffin vs. B. Adebayo (D. Robinson gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,Personal foul by K. Edwards (drawn by K. Lowry),,1,0,0,0,15.0
11:37.0, ,0-0,J. Butler misses 3-pt jump shot from 23 ft,,1,0,0,0,23.0
11:32.0,Defensive rebound by B. Griffin,0-0, ,,1,0,0,0,28.0
11:14.0,B. Griffin makes 2-pt hook shot from 5 ft,2-0, ,,1,0,2,-2,46.0
10:59.0, ,2-0,D. Robinson misses 3-pt jump shot from 25 ft,,1,0,2,-2,61.0
10:56.0,Defensive rebound by K. Irving,2-0, ,,1,0,2,-2,64.0
10:53.0,P. Mills makes 3-pt jump shot from 25 ft (assist by K. Irving),5-0, ,,1,0,5,-5,67.0
10:39.0, ,5-0,B. Adebayo misses 2-pt hook shot from 8 ft,,1,0,5,-5,81.0
10:39.0, ,5-0,Offensive rebound by P. Tucker,,1,0,5,-5,81.0
10:39.0, ,5-2,P. Tucker makes 2-pt layup from 1 ft,,1,2,5,-3,81.0
10:39.0, ,5-2,Shooting foul by B. Griffin (drawn by P. Tucker),,1,2,5,-3,81.0
10:39.0, ,5-2,P. Tucker misses free throw 1 of 1,,1,2,5,-3,81.0
10:36.0,Defensive rebound by B. Brown,5-2, ,,1,2,5,-3,84.0
10:21.0,P. Mills misses 3-pt jump shot from 27 ft,5-2, ,,1,2,5,-3,99.0
10:19.0, ,5-2,Defensive rebound by B. Adebayo,,1,2,5,-3,101.0
10:04.0, ,5-2,Turnover by B. Adebayo (lost ball; steal by K. Irving),,1,2,5,-3,116.0
10:00.0,K. Edwards misses 3-pt jump shot from 26 ft,5-2, ,,1,2,5,-3,120.0
9:55.0, ,5-2,Defensive rebound by J. Butler,,1,2,5,-3,125.0
9:41.0, ,5-5,D. Robinson makes 3-pt jump shot from 22 ft (assist by B. Adebayo),Tie,1,5,5,0,139.0
9:19.0,B. Griffin makes 3-pt jump shot from 28 ft (assist by P. Mills),8-5, ,,1,5,8,-3,161.0
9:00.0, ,8-7,J. Butler makes 2-pt jump shot from 10 ft,,1,7,8,-1,180.0
8:49.0,K. Edwards misses 3-pt jump shot from 27 ft,8-7, ,,1,7,8,-1,191.0
8:47.0, ,8-7,Defensive rebound by D. Robinson,,1,7,8,-1,193.0
8:38.0, ,8-7,P. Tucker misses 3-pt jump shot from 24 ft,,1,7,8,-1,202.0
8:34.0,Defensive rebound by K. Edwards,8-7, ,,1,7,8,-1,206.0
8:23.0,Personal foul by K. Lowry (drawn by K. Irving),8-7, ,,1,7,8,-1,217.0
8:11.0,B. Brown misses 2-pt jump shot from 9 ft,8-7, ,,1,7,8,-1,229.0
8:09.0, ,8-7,Defensive rebound by P. Tucker,,1,7,8,-1,231.0
7:55.0, ,8-9,B. Adebayo makes 2-pt jump shot from 14 ft,Lead change,1,9,8,1,245.0
7:44.0,K. Irving misses 3-pt jump shot from 24 ft,8-9, ,,1,9,8,1,256.0
7:41.0,Offensive rebound by B. Brown,8-9, ,,1,9,8,1,259.0
7:39.0,P. Mills misses 3-pt jump shot from 24 ft,8-9, ,,1,9,8,1,261.0
7:37.0, ,8-9,Defensive rebound by B. Adebayo,,1,9,8,1,263.0
7:34.0, ,8-11,D. Robinson makes 2-pt dunk from 1 ft,,1,11,8,3,266.0
7:08.0,B. Griffin misses 2-pt jump shot from 9 ft,8-11, ,,1,11,8,3,292.0
7:04.0, ,8-11,Defensive rebound by B. Adebayo,,1,11,8,3,296.0
6:58.0, ,8-11,Turnover by B. Adebayo (lost ball; steal by K. Edwards),,1,11,8,3,302.0
6:54.0,K. Edwards makes 2-pt jump shot from 9 ft,10-11, ,,1,11,10,1,306.0
6:43.0, ,10-11,J. Butler misses 2-pt jump shot from 3 ft,,1,11,10,1,317.0
6:40.0,Defensive rebound by K. Edwards,10-11, ,,1,11,10,1,320.0
6:33.0,P. Mills misses 3-pt jump shot from 23 ft,10-11, ,,1,11,10,1,327.0
6:30.0, ,10-11,Defensive rebound by K. Lowry,,1,11,10,1,330.0
6:27.0, ,10-13,J. Butler makes 2-pt layup from 1 ft (assist by K. Lowry),,1,13,10,3,333.0
6:21.0,B. Brown makes 2-pt layup from 2 ft,12-13, ,,1,13,12,1,339.0
6:21.0,Shooting foul by D. Robinson (drawn by B. Brown),12-13, ,,1,13,12,1,339.0
6:21.0, ,12-13,Miami full timeout,,1,13,12,1,339.0
6:21.0,B. Brown makes free throw 1 of 1,13-13, ,Tie,1,13,13,0,339.0
6:05.0, ,13-13,D. Robinson misses 3-pt jump shot from 26 ft,,1,13,13,0,355.0
6:00.0, ,13-13,Offensive rebound by J. Butler,,1,13,13,0,360.0
