Time,Chicago,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Vučević vs. B. Adebayo (A. Dosunmu gains possession),0-0,,,1,0,0,0,0.0
11:39.0,N. Vučević misses 2-pt jump shot from 15 ft,0-0, ,,1,0,0,0,21.0
11:31.0,Offensive rebound by J. Green,0-0, ,,1,0,0,0,29.0
11:31.0,J. Green makes 2-pt layup at rim,2-0, ,,1,0,2,-2,29.0
11:20.0, ,2-0,D. Robinson misses 3-pt jump shot from 27 ft,,1,0,2,-2,40.0
11:17.0,Defensive rebound by N. Vučević,2-0, ,,1,0,2,-2,43.0
11:10.0,Z. LaVine misses 3-pt jump shot from 26 ft,2-0, ,,1,0,2,-2,50.0
11:07.0, ,2-0,Defensive rebound by P. Tucker,,1,0,2,-2,53.0
11:04.0, ,2-0,Turnover by B. Adebayo (bad pass),,1,0,2,-2,56.0
10:52.0,N. Vučević makes 2-pt dunk from 1 ft (assist by Z. LaVine),4-0, ,,1,0,4,-4,68.0
10:39.0, ,4-2,B. Adebayo makes 2-pt jump shot from 16 ft (assist by G. Vincent),,1,2,4,-2,81.0
10:22.0,D. DeRozan makes 2-pt jump shot from 19 ft,6-2, ,,1,2,6,-4,98.0
10:09.0, ,6-2,D. Robinson misses 3-pt jump shot from 27 ft,,1,2,6,-4,111.0
10:06.0, ,6-2,Offensive rebound by D. Robinson,,1,2,6,-4,114.0
9:57.0, ,6-2,J. Butler misses 2-pt jump shot from 6 ft,,1,2,6,-4,123.0
9:56.0, ,6-2,Offensive rebound by J. Butler,,1,2,6,-4,124.0
9:54.0, ,6-4,J. Butler makes 2-pt layup from 2 ft,,1,4,6,-2,126.0
9:46.0,Turnover by Z. LaVine (lost ball; steal by J. Butler),6-4, ,,1,4,6,-2,134.0
9:40.0, ,6-4,J. Butler misses 2-pt layup from 3 ft,,1,4,6,-2,140.0
9:39.0,Defensive rebound by Team,6-4, ,,1,4,6,-2,141.0
9:28.0,Turnover by D. DeRozan (bad pass; steal by P. Tucker),6-4, ,,1,4,6,-2,152.0
9:17.0, ,6-4,P. Tucker misses 3-pt jump shot from 27 ft,,1,4,6,-2,163.0
9:12.0,Defensive rebound by Z. LaVine,6-4, ,,1,4,6,-2,168.0
9:04.0,D. DeRozan misses 3-pt jump shot from 27 ft,6-4, ,,1,4,6,-2,176.0
9:00.0, ,6-4,Defensive rebound by P. Tucker,,1,4,6,-2,180.0
8:51.0, ,6-4,Shooting foul by N. Vučević (drawn by B. Adebayo),,1,4,6,-2,189.0
8:51.0, ,6-5,B. Adebayo makes free throw 1 of 2,,1,5,6,-1,189.0
8:51.0, ,6-6,B. Adebayo makes free throw 2 of 2,Tie,1,6,6,0,189.0
8:40.0,N. Vučević misses 3-pt jump shot from 26 ft,6-6, ,,1,6,6,0,200.0
8:36.0, ,6-6,Defensive rebound by J. Butler,,1,6,6,0,204.0
8:26.0, ,6-9,G. Vincent makes 3-pt jump shot from 27 ft (assist by D. Robinson),Lead change,1,9,6,3,214.0
8:14.0,Turnover by D. DeRozan (bad pass; steal by B. Adebayo),6-9, ,,1,9,6,3,226.0
8:10.0, ,6-11,J. Butler makes 2-pt dunk from 1 ft (assist by P. Tucker),,1,11,6,5,230.0
7:49.0,N. Vučević makes 2-pt layup from 3 ft (assist by Z. LaVine),8-11, ,,1,11,8,3,251.0
7:39.0, ,8-13,B. Adebayo makes 2-pt layup from 2 ft,,1,13,8,5,261.0
7:28.0,Z. LaVine makes 2-pt jump shot from 17 ft,10-13, ,,1,13,10,3,272.0
7:18.0, ,10-13,Personal foul by A. Dosunmu (drawn by D. Robinson),,1,13,10,3,282.0
7:10.0, ,10-16,D. Robinson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,1,16,10,6,290.0
6:49.0,Turnover by A. Dosunmu (bad pass; steal by J. Butler),10-16, ,,1,16,10,6,311.0
6:43.0, ,10-16,Shooting foul by Z. LaVine (drawn by J. Butler),,1,16,10,6,317.0
6:43.0, ,10-16,Miami full timeout,,1,16,10,6,317.0
6:43.0,T. Brown enters the game for D. DeRozan,10-16, ,,1,16,10,6,317.0
6:43.0,C. White enters the game for A. Dosunmu,10-16, ,,1,16,10,6,317.0
6:43.0, ,10-17,J. Butler makes free throw 1 of 2,,1,17,10,7,317.0
6:43.0, ,10-18,J. Butler makes free throw 2 of 2,,1,18,10,8,317.0
6:29.0,C. White misses 3-pt jump shot from 27 ft,10-18, ,,1,18,10,8,331.0
6:25.0, ,10-18,Defensive rebound by J. Butler,,1,18,10,8,335.0
6:17.0, ,10-20,G. Vincent makes 2-pt jump shot from 17 ft,,1,20,10,10,343.0
5:59.0,Z. LaVine misses 3-pt jump shot from 26 ft,10-20, ,,1,20,10,10,361.0
5:55.0, ,10-20,Defensive rebound by D. Robinson,,1,20,10,10,365.0
5:48.0, ,10-20,B. Adebayo misses 2-pt jump shot from 10 ft,,1,20,10,10,372.0
5:40.0, ,10-20,Offensive rebound by P. Tucker,,1,20,10,10,380.0
5:40.0, ,10-20,T. Herro enters the game for G. Vincent,,1,20,10,10,380.0
5:36.0,Jump ball: J. Green vs. J. Butler (C. White gains possession),10-20,,,1,20,10,10,384.0
5:36.0, ,10-20,Turnover by J. Butler (lost ball; steal by J. Green),,1,20,10,10,384.0
5:34.0,Shooting foul by D. Robinson (drawn by Z. LaVine),10-20, ,,1,20,10,10,386.0
5:34.0,Z. LaVine misses free throw 1 of 2,10-20, ,,1,20,10,10,386.0
5:34.0,Offensive rebound by Team,10-20, ,,1,20,10,10,386.0
5:34.0,Z. LaVine makes free throw 2 of 2,11-20, ,,1,20,11,9,386.0
5:18.0, ,11-22,P. Tucker makes 2-pt dunk from 2 ft (assist by J. Butler),,1,22,11,11,402.0
4:57.0,Turnover by N. Vučević (lost ball; steal by J. Butler),11-22, ,,1,22,11,11,423.0
4:57.0,D. Jones enters the game for J. Green,11-22, ,,1,22,11,11,423.0
4:37.0, ,11-24,P. Tucker makes 2-pt layup from 2 ft (assist by D. Robinson),,1,24,11,13,443.0
4:23.0,Turnover by D. Jones (traveling),11-24, ,,1,24,11,13,457.0
4:12.0, ,11-24,D. Robinson misses 3-pt jump shot from 27 ft,,1,24,11,13,468.0
4:08.0,Defensive rebound by D. Jones,11-24, ,,1,24,11,13,472.0
3:53.0,Turnover by Z. LaVine (bad pass; steal by J. Butler),11-24, ,,1,24,11,13,487.0
3:39.0, ,11-24,D. Robinson misses 3-pt jump shot from 28 ft,,1,24,11,13,501.0
3:35.0,Defensive rebound by C. White,11-24, ,,1,24,11,13,505.0
3:35.0,Personal foul by P. Tucker (drawn by C. White),11-24, ,,1,24,11,13,505.0
3:35.0,D. DeRozan enters the game for Z. LaVine,11-24, ,,1,24,11,13,505.0
3:35.0,T. Thompson enters the game for N. Vučević,11-24, ,,1,24,11,13,505.0
3:35.0, ,11-24,D. Dedmon enters the game for B. Adebayo,,1,24,11,13,505.0
3:35.0, ,11-24,M. Strus enters the game for D. Robinson,,1,24,11,13,505.0
3:23.0,D. DeRozan misses 2-pt jump shot from 18 ft,11-24, ,,1,24,11,13,517.0
3:22.0, ,11-24,Defensive rebound by Team,,1,24,11,13,518.0
3:22.0,Loose ball foul by T. Thompson (drawn by M. Strus),11-24, ,,1,24,11,13,518.0
3:09.0, ,11-24,M. Strus misses 2-pt layup from 3 ft,,1,24,11,13,531.0
3:06.0,Defensive rebound by C. White,11-24, ,,1,24,11,13,534.0
3:06.0,Personal foul by M. Strus (drawn by C. White),11-24, ,,1,24,11,13,534.0
3:06.0,Chicago full timeout,11-24, ,,1,24,11,13,534.0
3:06.0, ,11-24,C. Martin enters the game for P. Tucker,,1,24,11,13,534.0
3:06.0,Turnover by  (5 sec),11-24, ,,1,24,11,13,534.0
2:58.0, ,11-24,Personal foul by D. Jones (drawn by J. Butler),,1,24,11,13,542.0
2:58.0, ,11-25,J. Butler makes free throw 1 of 2,,1,25,11,14,542.0
2:58.0, ,11-25,J. Butler misses free throw 2 of 2,,1,25,11,14,542.0
2:55.0,Defensive rebound by D. DeRozan,11-25, ,,1,25,11,14,545.0
2:41.0,D. DeRozan makes 2-pt jump shot from 15 ft,13-25, ,,1,25,13,12,559.0
2:30.0, ,13-25,Shooting foul by D. Jones (drawn by J. Butler),,1,25,13,12,570.0
2:30.0, ,13-25,J. Butler misses free throw 1 of 2,,1,25,13,12,570.0
2:30.0, ,13-25,Offensive rebound by Team,,1,25,13,12,570.0
2:30.0, ,13-26,J. Butler makes free throw 2 of 2,,1,26,13,13,570.0
2:14.0,T. Brown misses 3-pt jump shot from 23 ft,13-26, ,,1,26,13,13,586.0
2:12.0, ,13-26,Defensive rebound by J. Butler,,1,26,13,13,588.0
2:04.0, ,13-26,D. Dedmon misses 2-pt layup from 3 ft,,1,26,13,13,596.0
2:02.0,Defensive rebound by D. Jones,13-26, ,,1,26,13,13,598.0
1:53.0,Shooting foul by D. Dedmon (drawn by T. Thompson),13-26, ,,1,26,13,13,607.0
1:53.0,T. Thompson misses free throw 1 of 2,13-26, ,,1,26,13,13,607.0
1:53.0,Offensive rebound by Team,13-26, ,,1,26,13,13,607.0
1:53.0,A. Dosunmu enters the game for T. Brown,13-26, ,,1,26,13,13,607.0
1:53.0,T. Thompson makes free throw 2 of 2,14-26, ,,1,26,14,12,607.0
1:41.0, ,14-28,T. Herro makes 2-pt jump shot from 9 ft (assist by D. Dedmon),,1,28,14,14,619.0
1:28.0,A. Dosunmu makes 3-pt jump shot from 24 ft (assist by C. White),17-28, ,,1,28,17,11,632.0
1:18.0, ,17-28,Shooting foul by D. DeRozan (drawn by T. Herro),,1,28,17,11,642.0
1:18.0, ,17-29,T. Herro makes free throw 1 of 2,,1,29,17,12,642.0
1:18.0, ,17-29,G. Vincent enters the game for J. Butler,,1,29,17,12,642.0
1:18.0, ,17-30,T. Herro makes free throw 2 of 2,,1,30,17,13,642.0
1:00.0,D. DeRozan makes 2-pt jump shot from 18 ft,19-30, ,,1,30,19,11,660.0
0:43.0, ,19-30,T. Herro misses 2-pt jump shot from 13 ft,,1,30,19,11,677.0
0:38.0,Defensive rebound by C. White,19-30, ,,1,30,19,11,682.0
0:31.0,D. Jones makes 2-pt dunk from 1 ft (assist by C. White),21-30, ,,1,30,21,9,689.0
0:10.0, ,21-30,G. Vincent misses 3-pt jump shot from 29 ft,,1,30,21,9,710.0
0:05.0,Defensive rebound by D. DeRozan,21-30, ,,1,30,21,9,715.0
0:00.0,D. DeRozan misses 3-pt jump shot from 27 ft,21-30, ,,1,30,21,9,720.0
0:00.0,Offensive rebound by Team,21-30, ,,1,30,21,9,720.0
0:00.0,End of 1st quarter,21-30,,,1,30,21,9,720.0
12:00.0,Start of 2nd quarter,21-30,,,2,30,21,9,720.0
11:42.0, ,21-30,M. Strus misses 3-pt jump shot from 23 ft,,2,30,21,9,738.0
11:39.0,Defensive rebound by A. Dosunmu,21-30, ,,2,30,21,9,741.0
11:34.0,D. DeRozan misses 2-pt jump shot from 12 ft,21-30, ,,2,30,21,9,746.0
11:29.0, ,21-30,Defensive rebound by T. Herro,,2,30,21,9,751.0
11:14.0, ,21-30,T. Herro misses 2-pt jump shot from 13 ft,,2,30,21,9,766.0
11:09.0,Defensive rebound by A. Dosunmu,21-30, ,,2,30,21,9,771.0
11:02.0,C. White misses 2-pt layup from 2 ft (block by D. Dedmon),21-30, ,,2,30,21,9,778.0
10:59.0, ,21-30,Defensive rebound by C. Martin,,2,30,21,9,781.0
10:59.0, ,21-30,Shooting foul by D. Jones (drawn by C. Martin),,2,30,21,9,781.0
10:59.0, ,21-31,C. Martin makes free throw 1 of 2,,2,31,21,10,781.0
10:59.0,J. Green enters the game for D. Jones,21-31, ,,2,31,21,10,781.0
10:59.0, ,21-32,C. Martin makes free throw 2 of 2,,2,32,21,11,781.0
10:41.0,A. Dosunmu misses 3-pt jump shot from 25 ft,21-32, ,,2,32,21,11,799.0
10:37.0, ,21-32,Defensive rebound by D. Dedmon,,2,32,21,11,803.0
10:31.0, ,21-34,T. Herro makes 2-pt jump shot from 14 ft,,2,34,21,13,809.0
10:12.0,C. White misses 2-pt jump shot from 18 ft,21-34, ,,2,34,21,13,828.0
10:08.0, ,21-34,Defensive rebound by T. Herro,,2,34,21,13,832.0
9:48.0, ,21-36,D. Dedmon makes 2-pt dunk from 2 ft (assist by M. Strus),,2,36,21,15,852.0
9:32.0,A. Dosunmu makes 2-pt layup from 2 ft (assist by C. White),23-36, ,,2,36,23,13,868.0
9:18.0, ,23-39,G. Vincent makes 3-pt jump shot from 30 ft (assist by D. Dedmon),,2,39,23,16,882.0
8:59.0,Personal foul by G. Vincent (drawn by D. DeRozan),23-39, ,,2,39,23,16,901.0
8:59.0,Z. LaVine enters the game for C. White,23-39, ,,2,39,23,16,901.0
8:59.0, ,23-39,B. Adebayo enters the game for D. Dedmon,,2,39,23,16,901.0
8:49.0,Shooting foul by B. Adebayo (drawn by T. Thompson),23-39, ,,2,39,23,16,911.0
