Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Embiid vs. B. Adebayo (T. Maxey gains possession),0-0,,,1,0,0,0,0.0
11:37.0,J. Embiid makes 2-pt jump shot from 16 ft (assist by T. Maxey),2-0, ,,1,0,2,-2,23.0
11:14.0, ,2-3,D. Robinson makes 3-pt jump shot from 26 ft (assist by P. Tucker),Lead change,1,3,2,1,46.0
10:55.0,T. Harris misses 2-pt jump shot from 12 ft,2-3, ,,1,3,2,1,65.0
10:54.0,Offensive rebound by J. Embiid,2-3, ,,1,3,2,1,66.0
10:53.0,J. Embiid misses 2-pt layup from 2 ft (block by P. Tucker),2-3, ,,1,3,2,1,67.0
10:51.0, ,2-3,Defensive rebound by D. Robinson,,1,3,2,1,69.0
10:30.0, ,2-3,J. Butler misses 2-pt jump shot from 8 ft,,1,3,2,1,90.0
10:26.0, ,2-3,Offensive rebound by J. Butler,,1,3,2,1,94.0
10:20.0, ,2-6,J. Butler makes 3-pt jump shot from 24 ft (assist by D. Robinson),,1,6,2,4,100.0
10:05.0,J. Embiid misses 3-pt jump shot from 27 ft,2-6, ,,1,6,2,4,115.0
10:05.0, ,2-6,Defensive rebound by P. Tucker,,1,6,2,4,115.0
9:55.0, ,2-6,B. Adebayo misses 2-pt jump shot from 11 ft (block by T. Harris),,1,6,2,4,125.0
9:55.0, ,2-6,Offensive rebound by B. Adebayo,,1,6,2,4,125.0
9:45.0, ,2-6,D. Robinson misses 3-pt jump shot from 25 ft,,1,6,2,4,135.0
9:41.0,Defensive rebound by J. Embiid,2-6, ,,1,6,2,4,139.0
9:27.0,M. Thybulle misses 3-pt jump shot from 26 ft,2-6, ,,1,6,2,4,153.0
9:24.0, ,2-6,Defensive rebound by B. Adebayo,,1,6,2,4,156.0
9:08.0, ,2-6,B. Adebayo misses 2-pt jump shot from 10 ft,,1,6,2,4,172.0
9:05.0,Defensive rebound by T. Harris,2-6, ,,1,6,2,4,175.0
8:54.0,T. Maxey makes 3-pt jump shot from 27 ft (assist by J. Embiid),5-6, ,,1,6,5,1,186.0
8:29.0, ,5-8,G. Vincent makes 2-pt jump shot from 11 ft (assist by D. Robinson),,1,8,5,3,211.0
8:02.0,F. Korkmaz misses 3-pt jump shot from 26 ft,5-8, ,,1,8,5,3,238.0
8:01.0, ,5-8,Defensive rebound by Team,,1,8,5,3,239.0
7:41.0, ,5-11,D. Robinson makes 3-pt jump shot from 26 ft (assist by P. Tucker),,1,11,5,6,259.0
7:26.0,F. Korkmaz misses 3-pt jump shot from 24 ft,5-11, ,,1,11,5,6,274.0
7:22.0,Offensive rebound by J. Embiid,5-11, ,,1,11,5,6,278.0
7:12.0,F. Korkmaz misses 3-pt jump shot from 27 ft,5-11, ,,1,11,5,6,288.0
7:11.0,Offensive rebound by Team,5-11, ,,1,11,5,6,289.0
7:11.0,Turnover by Team (shot clock),5-11, ,,1,11,5,6,289.0
6:57.0, ,5-11,Personal foul by M. Thybulle (drawn by D. Robinson),,1,11,5,6,303.0
