Time,Houston,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Sengun vs. B. Adebayo (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:46.0, ,0-0,Turnover by P. Tucker (bad pass),,1,0,0,0,14.0
11:32.0,G. Mathews misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,28.0
11:27.0, ,0-0,Defensive rebound by J. Butler,,1,0,0,0,33.0
11:27.0, ,0-0,Personal take foul by K. Porter (drawn by J. Butler),,1,0,0,0,33.0
11:27.0,J. Christopher enters the game for G. Mathews,0-0, ,,1,0,0,0,33.0
11:11.0, ,0-2,J. Butler makes 2-pt layup from 2 ft,,1,2,0,2,49.0
10:53.0,K. Porter makes 3-pt jump shot from 26 ft,3-2, ,Lead change,1,2,3,-1,67.0
10:43.0, ,3-5,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),Lead change,1,5,3,2,77.0
10:24.0,K. Porter misses 3-pt jump shot from 27 ft,3-5, ,,1,5,3,2,96.0
10:21.0, ,3-5,Defensive rebound by P. Tucker,,1,5,3,2,99.0
10:16.0, ,3-7,B. Adebayo makes 2-pt layup from 1 ft (assist by P. Tucker),,1,7,3,4,104.0
10:06.0,A. Sengun makes 2-pt layup from 1 ft (assist by K. Porter),5-7, ,,1,7,5,2,114.0
9:55.0, ,5-9,D. Robinson makes 2-pt layup from 2 ft (assist by B. Adebayo),,1,9,5,4,125.0
9:55.0,Violation by Team (def goaltending),5-9, ,,1,9,5,4,125.0
9:31.0,J. Tate misses 3-pt jump shot from 24 ft,5-9, ,,1,9,5,4,149.0
9:29.0, ,5-9,Defensive rebound by D. Robinson,,1,9,5,4,151.0
9:22.0, ,5-9,P. Tucker misses 3-pt jump shot from 23 ft,,1,9,5,4,158.0
9:17.0,Defensive rebound by J. Tate,5-9, ,,1,9,5,4,163.0
9:09.0,Personal foul by B. Adebayo (drawn by A. Sengun),5-9, ,,1,9,5,4,171.0
9:03.0,J. Green makes 3-pt jump shot from 26 ft (assist by J. Tate),8-9, ,,1,9,8,1,177.0
8:39.0, ,8-11,P. Tucker makes 2-pt jump shot from 7 ft (assist by D. Robinson),,1,11,8,3,201.0
8:26.0,J. Green makes 3-pt jump shot from 25 ft (assist by J. Christopher),11-11, ,Tie,1,11,11,0,214.0
8:22.0, ,11-11,Turnover by K. Lowry (bad pass; steal by J. Tate),,1,11,11,0,218.0
8:15.0,J. Tate misses 2-pt layup from 4 ft,11-11, ,,1,11,11,0,225.0
8:12.0, ,11-11,Defensive rebound by P. Tucker,,1,11,11,0,228.0
8:09.0, ,11-11,J. Butler misses 2-pt layup from 3 ft,,1,11,11,0,231.0
8:06.0,Defensive rebound by K. Porter,11-11, ,,1,11,11,0,234.0
7:52.0,K. Porter misses 2-pt layup from 2 ft,11-11, ,,1,11,11,0,248.0
7:49.0, ,11-11,Defensive rebound by P. Tucker,,1,11,11,0,251.0
7:44.0, ,11-11,P. Tucker misses 2-pt jump shot from 7 ft (block by J. Tate),,1,11,11,0,256.0
7:40.0, ,11-11,Offensive rebound by P. Tucker,,1,11,11,0,260.0
7:38.0, ,11-13,P. Tucker makes 2-pt layup from 2 ft,,1,13,11,2,262.0
7:21.0,K. Porter makes 2-pt jump shot from 16 ft,13-13, ,Tie,1,13,13,0,279.0
7:09.0, ,13-13,Shooting foul by J. Green (drawn by J. Butler),,1,13,13,0,291.0
7:09.0, ,13-14,J. Butler makes free throw 1 of 2,,1,14,13,1,291.0
7:09.0, ,13-15,J. Butler makes free throw 2 of 2,,1,15,13,2,291.0
6:54.0,J. Green makes 3-pt jump shot from 25 ft,16-15, ,Lead change,1,15,16,-1,306.0
6:32.0, ,16-15,B. Adebayo misses 2-pt jump shot from 8 ft,,1,15,16,-1,328.0
6:29.0,Defensive rebound by K. Porter,16-15, ,,1,15,16,-1,331.0
6:26.0,J. Green makes 3-pt jump shot from 23 ft (assist by J. Christopher),19-15, ,,1,15,19,-4,334.0
6:23.0,Violation by Team (delay of game),19-15, ,,1,15,19,-4,337.0
6:15.0, ,19-15,Miami full timeout,,1,15,19,-4,345.0
6:08.0, ,19-15,P. Tucker misses 2-pt layup from 2 ft,,1,15,19,-4,352.0
6:04.0,Defensive rebound by A. Sengun,19-15, ,,1,15,19,-4,356.0
5:57.0,J. Green misses 3-pt jump shot from 26 ft,19-15, ,,1,15,19,-4,363.0
5:54.0,Turnover by J. Tate (lost ball; steal by J. Butler),19-15, ,,1,15,19,-4,366.0
5:54.0,Offensive rebound by J. Tate,19-15, ,,1,15,19,-4,366.0
5:44.0, ,19-15,K. Lowry misses 3-pt jump shot from 26 ft,,1,15,19,-4,376.0
5:39.0,Defensive rebound by J. Christopher,19-15, ,,1,15,19,-4,381.0
5:23.0,J. Green misses 3-pt jump shot from 24 ft,19-15, ,,1,15,19,-4,397.0
5:19.0,Offensive rebound by A. Sengun,19-15, ,,1,15,19,-4,401.0
5:17.0,A. Sengun makes 2-pt layup from 1 ft,21-15, ,,1,15,21,-6,403.0
5:03.0, ,21-15,D. Robinson misses 3-pt jump shot from 25 ft,,1,15,21,-6,417.0
5:00.0,Defensive rebound by J. Christopher,21-15, ,,1,15,21,-6,420.0
4:56.0,K. Porter misses 2-pt layup from 3 ft,21-15, ,,1,15,21,-6,424.0
4:55.0, ,21-15,Defensive rebound by P. Tucker,,1,15,21,-6,425.0
4:54.0, ,21-15,Personal take foul by J. Tate (drawn by P. Tucker),,1,15,21,-6,426.0
4:54.0,K. Martin enters the game for J. Tate,21-15, ,,1,15,21,-6,426.0
4:54.0, ,21-15,T. Herro enters the game for K. Lowry,,1,15,21,-6,426.0
4:40.0, ,21-15,D. Robinson misses 3-pt jump shot from 25 ft,,1,15,21,-6,440.0
4:35.0,Defensive rebound by K. Martin,21-15, ,,1,15,21,-6,445.0
4:26.0,K. Porter makes 3-pt jump shot from 27 ft (assist by K. Martin),24-15, ,,1,15,24,-9,454.0
4:00.0, ,24-17,P. Tucker makes 2-pt jump shot from 10 ft (assist by D. Robinson),,1,17,24,-7,480.0
3:47.0,A. Sengun makes 2-pt jump shot from 3 ft (assist by J. Green),26-17, ,,1,17,26,-9,493.0
3:31.0, ,26-17,T. Herro misses 2-pt layup from 2 ft,,1,17,26,-9,509.0
3:29.0, ,26-17,Offensive rebound by J. Butler,,1,17,26,-9,511.0
3:27.0, ,26-19,J. Butler makes 2-pt jump shot from 3 ft,,1,19,26,-7,513.0
3:16.0,J. Green makes 2-pt layup from 2 ft,28-19, ,,1,19,28,-9,524.0
3:01.0, ,28-21,D. Robinson makes 2-pt layup at rim (assist by T. Herro),,1,21,28,-7,539.0
2:44.0,K. Porter misses 3-pt jump shot from 26 ft,28-21, ,,1,21,28,-7,556.0
2:40.0, ,28-21,Defensive rebound by J. Butler,,1,21,28,-7,560.0
2:33.0, ,28-21,Shooting foul by J. Green (drawn by J. Butler),,1,21,28,-7,567.0
2:33.0,Houston full timeout,28-21, ,,1,21,28,-7,567.0
2:33.0,G. Mathews enters the game for J. Green,28-21, ,,1,21,28,-7,567.0
2:33.0, ,28-21,D. Dedmon enters the game for B. Adebayo,,1,21,28,-7,567.0
2:33.0, ,28-21,C. Martin enters the game for P. Tucker,,1,21,28,-7,567.0
2:33.0, ,28-21,J. Butler misses free throw 1 of 2,,1,21,28,-7,567.0
