Time,Cleveland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: E. Mobley vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,D. Robinson misses 3-pt jump shot from 25 ft,,1,0,0,0,22.0
11:32.0, ,0-0,Offensive rebound by B. Adebayo,,1,0,0,0,28.0
11:27.0, ,0-2,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Lowry),,1,2,0,2,33.0
11:08.0,I. Okoro misses 2-pt layup from 2 ft,0-2, ,,1,2,0,2,52.0
11:06.0, ,0-2,Defensive rebound by J. Butler,,1,2,0,2,54.0
10:55.0, ,0-2,Turnover by K. Lowry (bad pass),,1,2,0,2,65.0
10:41.0,D. Garland misses 2-pt layup from 3 ft,0-2, ,,1,2,0,2,79.0
10:39.0, ,0-2,Defensive rebound by B. Adebayo,,1,2,0,2,81.0
10:28.0, ,0-2,Shooting foul by D. Wade (drawn by J. Butler),,1,2,0,2,92.0
10:28.0, ,0-3,J. Butler makes free throw 1 of 2,,1,3,0,3,92.0
10:28.0, ,0-4,J. Butler makes free throw 2 of 2,,1,4,0,4,92.0
10:19.0,D. Garland misses 3-pt jump shot from 25 ft,0-4, ,,1,4,0,4,101.0
10:14.0, ,0-4,Defensive rebound by P. Tucker,,1,4,0,4,106.0
10:00.0, ,0-4,Turnover by J. Butler (bad pass; steal by D. Garland),,1,4,0,4,120.0
10:00.0,Personal foul by P. Tucker (drawn by D. Garland),0-4, ,,1,4,0,4,120.0
9:44.0,E. Mobley misses 2-pt jump shot from 10 ft,0-4, ,,1,4,0,4,136.0
9:40.0, ,0-4,Defensive rebound by P. Tucker,,1,4,0,4,140.0
9:36.0, ,0-7,D. Robinson makes 3-pt jump shot from 26 ft (assist by P. Tucker),,1,7,0,7,144.0
9:24.0,D. Garland misses 3-pt jump shot from 27 ft,0-7, ,,1,7,0,7,156.0
9:21.0, ,0-7,Defensive rebound by B. Adebayo,,1,7,0,7,159.0
9:14.0, ,0-7,B. Adebayo misses 2-pt layup from 2 ft,,1,7,0,7,166.0
9:11.0,Defensive rebound by E. Mobley,0-7, ,,1,7,0,7,169.0
8:58.0,L. Markkanen misses 2-pt hook shot from 6 ft,0-7, ,,1,7,0,7,182.0
8:54.0, ,0-7,Defensive rebound by B. Adebayo,,1,7,0,7,186.0
8:48.0, ,0-7,K. Lowry misses 3-pt jump shot from 26 ft,,1,7,0,7,192.0
8:46.0, ,0-7,Offensive rebound by J. Butler,,1,7,0,7,194.0
8:44.0, ,0-9,P. Tucker makes 2-pt layup from 1 ft (assist by J. Butler),,1,9,0,9,196.0
8:44.0,Cleveland full timeout,0-9, ,,1,9,0,9,196.0
8:35.0,Def 3 sec tech foul by Team,0-9, ,,1,9,0,9,205.0
8:35.0,D. Garland makes technical free throw,1-9, ,,1,9,1,8,205.0
8:29.0,L. Markkanen misses 3-pt jump shot from 26 ft,1-9, ,,1,9,1,8,211.0
8:26.0, ,1-9,Defensive rebound by B. Adebayo,,1,9,1,8,214.0
8:14.0, ,1-9,Turnover by B. Adebayo (lost ball; steal by D. Wade),,1,9,1,8,226.0
8:10.0,Turnover by I. Okoro (bad pass),1-9, ,,1,9,1,8,230.0
7:55.0, ,1-11,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Lowry),,1,11,1,10,245.0
7:55.0, ,1-11,Shooting foul by E. Mobley (drawn by B. Adebayo),,1,11,1,10,245.0
7:55.0, ,1-12,B. Adebayo makes free throw 1 of 1,,1,12,1,11,245.0
7:35.0,L. Markkanen misses 2-pt jump shot from 16 ft,1-12, ,,1,12,1,11,265.0
7:30.0,Offensive rebound by I. Okoro,1-12, ,,1,12,1,11,270.0
7:29.0,I. Okoro misses 2-pt jump shot from 17 ft,1-12, ,,1,12,1,11,271.0
7:26.0,Offensive rebound by E. Mobley,1-12, ,,1,12,1,11,274.0
7:25.0,E. Mobley makes 2-pt dunk at rim,3-12, ,,1,12,3,9,275.0
7:02.0, ,3-12,Shooting foul by D. Wade (drawn by J. Butler),,1,12,3,9,298.0
7:02.0, ,3-12,J. Butler misses free throw 1 of 2,,1,12,3,9,298.0
7:02.0, ,3-12,Offensive rebound by Team,,1,12,3,9,298.0
7:02.0,K. Love enters the game for D. Wade,3-12, ,,1,12,3,9,298.0
7:02.0, ,3-13,J. Butler makes free throw 2 of 2,,1,13,3,10,298.0
6:48.0,E. Mobley makes 2-pt dunk from 2 ft,5-13, ,,1,13,5,8,312.0
6:39.0, ,5-15,J. Butler makes 2-pt layup from 2 ft,,1,15,5,10,321.0
6:27.0,I. Okoro makes 2-pt layup from 1 ft (assist by D. Garland),7-15, ,,1,15,7,8,333.0
6:12.0, ,7-15,Turnover by B. Adebayo (bad pass),,1,15,7,8,348.0
5:51.0,L. Markkanen makes 2-pt hook shot from 6 ft (assist by E. Mobley),9-15, ,,1,15,9,6,369.0
5:43.0, ,9-15,Turnover by K. Lowry (bad pass; steal by K. Love),,1,15,9,6,377.0
5:43.0,Personal take foul by K. Lowry (drawn by D. Garland),9-15, ,,1,15,9,6,377.0
5:43.0, ,9-15,T. Herro enters the game for K. Lowry,,1,15,9,6,377.0
5:36.0,Shooting foul by B. Adebayo (drawn by D. Garland),9-15, ,,1,15,9,6,384.0
5:36.0,D. Garland misses free throw 1 of 2,9-15, ,,1,15,9,6,384.0
5:36.0,Offensive rebound by Team,9-15, ,,1,15,9,6,384.0
5:36.0,E. Davis enters the game for E. Mobley,9-15, ,,1,15,9,6,384.0
5:36.0,D. Garland makes free throw 2 of 2,10-15, ,,1,15,10,5,384.0
5:23.0, ,10-15,P. Tucker misses 3-pt jump shot from 23 ft,,1,15,10,5,397.0
5:19.0,Defensive rebound by L. Markkanen,10-15, ,,1,15,10,5,401.0
5:12.0,K. Love misses 3-pt jump shot from 24 ft,10-15, ,,1,15,10,5,408.0
5:07.0, ,10-15,Defensive rebound by D. Robinson,,1,15,10,5,413.0
5:01.0, ,10-17,T. Herro makes 2-pt jump shot from 14 ft,,1,17,10,7,419.0
4:45.0,K. Love makes 3-pt jump shot from 27 ft (assist by D. Garland),13-17, ,,1,17,13,4,435.0
4:30.0, ,13-19,B. Adebayo makes 2-pt hook shot from 4 ft,,1,19,13,6,450.0
4:07.0,L. Markkanen misses 3-pt jump shot from 23 ft,13-19, ,,1,19,13,6,473.0
4:04.0,Offensive rebound by E. Davis,13-19, ,,1,19,13,6,476.0
3:57.0,I. Okoro misses 2-pt jump shot from 19 ft,13-19, ,,1,19,13,6,483.0
3:51.0, ,13-19,Defensive rebound by B. Adebayo,,1,19,13,6,489.0
3:46.0, ,13-19,Miami full timeout,,1,19,13,6,494.0
3:46.0,C. Osman enters the game for L. Markkanen,13-19, ,,1,19,13,6,494.0
3:46.0,L. Stevens enters the game for I. Okoro,13-19, ,,1,19,13,6,494.0
3:46.0, ,13-19,D. Dedmon enters the game for B. Adebayo,,1,19,13,6,494.0
3:37.0, ,13-19,P. Tucker misses 3-pt jump shot from 23 ft,,1,19,13,6,503.0
3:32.0,Defensive rebound by K. Love,13-19, ,,1,19,13,6,508.0
3:17.0,D. Garland misses 2-pt jump shot from 10 ft (block by J. Butler),13-19, ,,1,19,13,6,523.0
3:13.0, ,13-19,Defensive rebound by D. Dedmon,,1,19,13,6,527.0
2:53.0, ,13-19,Turnover by T. Herro (traveling),,1,19,13,6,547.0
2:53.0, ,13-19,V. Oladipo enters the game for D. Robinson,,1,19,13,6,547.0
2:37.0,Offensive foul by K. Love (drawn by P. Tucker),13-19, ,,1,19,13,6,563.0
2:37.0,Turnover by K. Love (offensive foul),13-19, ,,1,19,13,6,563.0
2:18.0, ,13-21,T. Herro makes 2-pt jump shot from 8 ft,,1,21,13,8,582.0
2:13.0,L. Stevens makes 2-pt dunk from 1 ft (assist by D. Garland),15-21, ,,1,21,15,6,587.0
2:01.0, ,15-23,D. Dedmon makes 2-pt jump shot from 7 ft (assist by J. Butler),,1,23,15,8,599.0
2:01.0, ,15-23,Shooting foul by E. Davis (drawn by D. Dedmon),,1,23,15,8,599.0
2:01.0, ,15-23,M. Strus enters the game for P. Tucker,,1,23,15,8,599.0
2:01.0, ,15-24,D. Dedmon makes free throw 1 of 1,,1,24,15,9,599.0
1:51.0,C. Osman misses 2-pt layup from 5 ft,15-24, ,,1,24,15,9,609.0
1:49.0, ,15-24,Defensive rebound by D. Dedmon,,1,24,15,9,611.0
1:42.0, ,15-24,T. Herro misses 2-pt layup from 2 ft,,1,24,15,9,618.0
1:42.0,Defensive rebound by Team,15-24, ,,1,24,15,9,618.0
1:42.0, ,15-24,Loose ball foul by D. Dedmon (drawn by E. Davis),,1,24,15,9,618.0
1:30.0,C. Osman misses 3-pt jump shot from 27 ft,15-24, ,,1,24,15,9,630.0
1:27.0, ,15-24,Defensive rebound by V. Oladipo,,1,24,15,9,633.0
1:23.0, ,15-24,Shooting foul by K. Love (drawn by J. Butler),,1,24,15,9,637.0
1:23.0, ,15-25,J. Butler makes free throw 1 of 2,,1,25,15,10,637.0
1:23.0, ,15-26,J. Butler makes free throw 2 of 2,,1,26,15,11,637.0
1:04.0,Turnover by D. Garland (bad pass; steal by J. Butler),15-26, ,,1,26,15,11,656.0
1:00.0, ,15-26,J. Butler misses 2-pt layup from 2 ft,,1,26,15,11,660.0
0:57.0,Defensive rebound by E. Davis,15-26, ,,1,26,15,11,663.0
0:56.0,Cleveland full timeout,15-26, ,,1,26,15,11,664.0
0:56.0,E. Mobley enters the game for E. Davis,15-26, ,,1,26,15,11,664.0
0:56.0,R. Rondo enters the game for D. Garland,15-26, ,,1,26,15,11,664.0
0:56.0, ,15-26,K. Lowry enters the game for J. Butler,,1,26,15,11,664.0
0:45.0,Turnover by L. Stevens (bad pass; steal by T. Herro),15-26, ,,1,26,15,11,675.0
0:42.0, ,15-28,M. Strus makes 2-pt dunk from 2 ft (assist by K. Lowry),,1,28,15,13,678.0
0:30.0,L. Stevens makes 2-pt jump shot from 11 ft (assist by R. Rondo),17-28, ,,1,28,17,11,690.0
0:30.0,Shooting foul by V. Oladipo (drawn by L. Stevens),17-28, ,,1,28,17,11,690.0
0:30.0,L. Stevens makes free throw 1 of 1,18-28, ,,1,28,18,10,690.0
0:16.0, ,18-28,D. Dedmon misses 2-pt dunk from 3 ft,,1,28,18,10,704.0
0:14.0,Defensive rebound by C. Osman,18-28, ,,1,28,18,10,706.0
0:10.0,C. Osman misses 2-pt layup from 1 ft (block by M. Strus),18-28, ,,1,28,18,10,710.0
0:10.0,Offensive rebound by Team,18-28, ,,1,28,18,10,710.0
0:03.0,L. Stevens misses 2-pt jump shot from 9 ft,18-28, ,,1,28,18,10,717.0
0:03.0, ,18-28,Defensive rebound by D. Dedmon,,1,28,18,10,717.0
