Time,Oklahoma City,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Sarr vs. B. Adebayo (G. Vincent gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,G. Vincent misses 3-pt jump shot from 23 ft,,1,0,0,0,19.0
11:38.0,Defensive rebound by A. Pokusevski,0-0, ,,1,0,0,0,22.0
11:15.0,S. Gilgeous-Alexander misses 2-pt jump shot from 21 ft,0-0, ,,1,0,0,0,45.0
11:10.0, ,0-0,Defensive rebound by P. Tucker,,1,0,0,0,50.0
10:58.0, ,0-2,B. Adebayo makes 2-pt jump shot from 8 ft,,1,2,0,2,62.0
10:44.0,D. Bazley makes 2-pt dunk from 2 ft,2-2, ,Tie,1,2,2,0,76.0
10:32.0, ,2-2,D. Robinson misses 3-pt jump shot from 26 ft,,1,2,2,0,88.0
10:32.0,Defensive rebound by D. Bazley,2-2, ,,1,2,2,0,88.0
10:12.0,A. Wiggins misses 2-pt layup from 2 ft,2-2, ,,1,2,2,0,108.0
10:10.0, ,2-2,Defensive rebound by D. Robinson,,1,2,2,0,110.0
10:03.0, ,2-5,D. Robinson makes 3-pt jump shot from 26 ft,,1,5,2,3,117.0
9:41.0,A. Pokusevski misses 2-pt layup from 4 ft,2-5, ,,1,5,2,3,139.0
9:38.0, ,2-5,Defensive rebound by B. Adebayo,,1,5,2,3,142.0
9:31.0, ,2-5,Personal foul by S. Gilgeous-Alexander (drawn by B. Adebayo),,1,5,2,3,149.0
9:26.0, ,2-5,K. Lowry misses 3-pt jump shot from 25 ft,,1,5,2,3,154.0
9:22.0,Defensive rebound by O. Sarr,2-5, ,,1,5,2,3,158.0
9:13.0,A. Wiggins misses 3-pt jump shot from 25 ft,2-5, ,,1,5,2,3,167.0
9:08.0, ,2-5,Defensive rebound by P. Tucker,,1,5,2,3,172.0
9:02.0, ,2-8,D. Robinson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,1,8,2,6,178.0
8:48.0,D. Bazley misses 2-pt layup from 2 ft,2-8, ,,1,8,2,6,192.0
8:46.0, ,2-8,Defensive rebound by B. Adebayo,,1,8,2,6,194.0
8:38.0, ,2-11,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,11,2,9,202.0
8:36.0,Oklahoma City full timeout,2-11, ,,1,11,2,9,204.0
8:36.0,T. Mann enters the game for A. Wiggins,2-11, ,,1,11,2,9,204.0
8:25.0,D. Bazley makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),4-11, ,,1,11,4,7,215.0
8:09.0, ,4-13,B. Adebayo makes 2-pt dunk from 1 ft (assist by P. Tucker),,1,13,4,9,231.0
7:44.0,Turnover by A. Pokusevski (bad pass; steal by B. Adebayo),4-13, ,,1,13,4,9,256.0
7:22.0, ,4-13,P. Tucker misses 3-pt jump shot from 23 ft,,1,13,4,9,278.0
7:18.0,Defensive rebound by S. Gilgeous-Alexander,4-13, ,,1,13,4,9,282.0
7:12.0,T. Mann misses 3-pt jump shot from 27 ft,4-13, ,,1,13,4,9,288.0
7:09.0,Offensive rebound by A. Pokusevski,4-13, ,,1,13,4,9,291.0
