Time,Sacramento,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Jones vs. B. Adebayo (D. Jones gains possession),0-0,,,1,0,0,0,0.0
11:39.0,T. Lyles misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,21.0
11:36.0, ,0-0,Defensive rebound by K. Lowry,,1,0,0,0,24.0
11:28.0,Violation by Team (kicked ball),0-0, ,,1,0,0,0,32.0
11:18.0, ,0-0,B. Adebayo misses 2-pt jump shot from 9 ft,,1,0,0,0,42.0
11:16.0,Defensive rebound by D. Jones,0-0, ,,1,0,0,0,44.0
11:11.0,Personal foul by M. Strus (drawn by D. Mitchell),0-0, ,,1,0,0,0,49.0
11:02.0,D. Mitchell makes 2-pt jump shot from 20 ft,2-0, ,,1,0,2,-2,58.0
10:49.0, ,2-0,Personal foul by J. Holiday (drawn by J. Butler),,1,0,2,-2,71.0
10:36.0, ,2-0,J. Butler misses 2-pt jump shot from 8 ft,,1,0,2,-2,84.0
10:36.0, ,2-0,Offensive rebound by Team,,1,0,2,-2,84.0
10:35.0, ,2-0,Turnover by Team (shot clock),,1,0,2,-2,85.0
10:23.0,T. Lyles makes 2-pt layup from 2 ft (assist by D. Mitchell),4-0, ,,1,0,4,-4,97.0
10:04.0, ,4-0,M. Strus misses 3-pt jump shot from 27 ft,,1,0,4,-4,116.0
10:00.0,Defensive rebound by J. Holiday,4-0, ,,1,0,4,-4,120.0
9:50.0,J. Holiday makes 2-pt jump shot from 7 ft (assist by T. Lyles),6-0, ,,1,0,6,-6,130.0
9:37.0, ,6-2,B. Adebayo makes 2-pt jump shot from 17 ft,,1,2,6,-4,143.0
9:27.0,D. Mitchell misses 3-pt jump shot from 26 ft,6-2, ,,1,2,6,-4,153.0
9:24.0, ,6-2,Defensive rebound by J. Butler,,1,2,6,-4,156.0
9:09.0, ,6-2,Personal foul by D. Jones (drawn by B. Adebayo),,1,2,6,-4,171.0
8:59.0, ,6-2,M. Strus misses 3-pt jump shot from 26 ft,,1,2,6,-4,181.0
