Time,Charlotte,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Plumlee vs. B. Adebayo (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-0,G. Vincent misses 2-pt jump shot from 21 ft,,1,0,0,0,20.0
11:37.0, ,0-0,Offensive rebound by B. Adebayo,,1,0,0,0,23.0
11:34.0, ,0-0,P. Tucker misses 3-pt jump shot from 23 ft,,1,0,0,0,26.0
11:29.0,Defensive rebound by P. Washington,0-0, ,,1,0,0,0,31.0
11:12.0,T. Rozier makes 2-pt layup from 5 ft (assist by L. Ball),2-0, ,,1,0,2,-2,48.0
11:12.0,Shooting foul by G. Vincent (drawn by T. Rozier),2-0, ,,1,0,2,-2,48.0
11:12.0,T. Rozier makes free throw 1 of 1,3-0, ,,1,0,3,-3,48.0
11:00.0, ,3-0,G. Vincent misses 3-pt jump shot from 27 ft,,1,0,3,-3,60.0
10:56.0, ,3-0,Offensive rebound by B. Adebayo,,1,0,3,-3,64.0
10:55.0, ,3-0,B. Adebayo misses 2-pt jump shot from 11 ft,,1,0,3,-3,65.0
10:51.0,Defensive rebound by L. Ball,3-0, ,,1,0,3,-3,69.0
10:42.0,L. Ball makes 3-pt jump shot from 31 ft (assist by T. Rozier),6-0, ,,1,0,6,-6,78.0
10:22.0, ,6-0,J. Butler misses 2-pt layup from 2 ft,,1,0,6,-6,98.0
10:19.0,Defensive rebound by M. Plumlee,6-0, ,,1,0,6,-6,101.0
10:16.0,L. Ball makes 3-pt jump shot from 25 ft (assist by M. Plumlee),9-0, ,,1,0,9,-9,104.0
10:08.0, ,9-0,Personal foul by P. Washington (drawn by J. Butler),,1,0,9,-9,112.0
10:04.0, ,9-0,Personal foul by M. Bridges (drawn by B. Adebayo),,1,0,9,-9,116.0
9:57.0, ,9-0,Shooting foul by M. Plumlee (drawn by B. Adebayo),,1,0,9,-9,123.0
9:57.0, ,9-1,B. Adebayo makes free throw 1 of 2,,1,1,9,-8,123.0
9:57.0, ,9-2,B. Adebayo makes free throw 2 of 2,,1,2,9,-7,123.0
9:40.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by P. Washington),12-2, ,,1,2,12,-10,140.0
9:23.0, ,12-4,B. Adebayo makes 2-pt jump shot from 15 ft (assist by M. Strus),,1,4,12,-8,157.0
9:03.0,T. Rozier makes 2-pt jump shot from 8 ft (assist by P. Washington),14-4, ,,1,4,14,-10,177.0
8:51.0, ,14-4,B. Adebayo misses 2-pt jump shot from 6 ft,,1,4,14,-10,189.0
8:51.0,Defensive rebound by T. Rozier,14-4, ,,1,4,14,-10,189.0
8:40.0,M. Bridges misses 3-pt jump shot from 22 ft,14-4, ,,1,4,14,-10,200.0
8:38.0, ,14-4,Defensive rebound by G. Vincent,,1,4,14,-10,202.0
8:28.0, ,14-7,M. Strus makes 3-pt jump shot from 28 ft (assist by G. Vincent),,1,7,14,-7,212.0
7:56.0,P. Washington misses 2-pt jump shot from 23 ft,14-7, ,,1,7,14,-7,244.0
7:54.0, ,14-7,Defensive rebound by J. Butler,,1,7,14,-7,246.0
7:49.0, ,14-7,Shooting foul by M. Plumlee (drawn by J. Butler),,1,7,14,-7,251.0
7:49.0, ,14-8,J. Butler makes free throw 1 of 2,,1,8,14,-6,251.0
7:49.0,C. Martin enters the game for M. Plumlee,14-8, ,,1,8,14,-6,251.0
7:49.0, ,14-9,J. Butler makes free throw 2 of 2,,1,9,14,-5,251.0
7:42.0,L. Ball misses 3-pt jump shot from 29 ft,14-9, ,,1,9,14,-5,258.0
7:39.0, ,14-9,Defensive rebound by J. Butler,,1,9,14,-5,261.0
7:30.0, ,14-12,M. Strus makes 3-pt jump shot from 25 ft (assist by G. Vincent),,1,12,14,-2,270.0
7:12.0,T. Rozier misses 2-pt jump shot from 17 ft,14-12, ,,1,12,14,-2,288.0
7:09.0, ,14-12,Defensive rebound by B. Adebayo,,1,12,14,-2,291.0
7:03.0, ,14-12,M. Strus misses 3-pt jump shot from 29 ft,,1,12,14,-2,297.0
6:59.0,Defensive rebound by L. Ball,14-12, ,,1,12,14,-2,301.0
