Time,Atlanta,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. B. Adebayo (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
12:00.0, ,0-0,Violation by Team (delay of game),,1,0,0,0,0.0
11:36.0, ,0-0,J. Butler misses 3-pt jump shot from 27 ft,,1,0,0,0,24.0
11:32.0,Defensive rebound by K. Huerter,0-0, ,,1,0,0,0,28.0
11:10.0,K. Huerter misses 3-pt jump shot from 28 ft,0-0, ,,1,0,0,0,50.0
11:06.0,Offensive rebound by C. Capela,0-0, ,,1,0,0,0,54.0
11:02.0,D. Hunter misses 2-pt jump shot from 11 ft,0-0, ,,1,0,0,0,58.0
10:58.0,Offensive rebound by C. Capela,0-0, ,,1,0,0,0,62.0
10:56.0,C. Capela makes 2-pt layup from 2 ft,2-0, ,,1,0,2,-2,64.0
10:41.0, ,2-0,K. Lowry misses 2-pt jump shot from 6 ft,,1,0,2,-2,79.0
10:39.0,Defensive rebound by C. Capela,2-0, ,,1,0,2,-2,81.0
10:30.0,C. Capela makes 2-pt hook shot from 4 ft (assist by K. Huerter),4-0, ,,1,0,4,-4,90.0
10:19.0, ,4-3,K. Lowry makes 3-pt jump shot from 27 ft,,1,3,4,-1,101.0
10:01.0,C. Capela makes 2-pt layup from 1 ft (assist by T. Young),6-3, ,,1,3,6,-3,119.0
9:38.0, ,6-3,J. Butler misses 2-pt jump shot from 9 ft,,1,3,6,-3,142.0
9:36.0,Defensive rebound by D. Gallinari,6-3, ,,1,3,6,-3,144.0
9:27.0,Turnover by T. Young (bad pass; steal by M. Strus),6-3, ,,1,3,6,-3,153.0
9:21.0, ,6-3,Turnover by C. Martin (bad pass; steal by K. Huerter),,1,3,6,-3,159.0
9:07.0,D. Gallinari makes 2-pt jump shot from 16 ft,8-3, ,,1,3,8,-5,173.0
8:52.0, ,8-5,B. Adebayo makes 2-pt jump shot from 11 ft,,1,5,8,-3,188.0
8:40.0,T. Young misses 3-pt jump shot from 30 ft,8-5, ,,1,5,8,-3,200.0
8:38.0, ,8-5,Defensive rebound by J. Butler,,1,5,8,-3,202.0
8:31.0, ,8-5,Shooting foul by K. Huerter (drawn by J. Butler),,1,5,8,-3,209.0
8:31.0, ,8-6,J. Butler makes free throw 1 of 2,,1,6,8,-2,209.0
8:31.0, ,8-7,J. Butler makes free throw 2 of 2,,1,7,8,-1,209.0
8:10.0,D. Hunter misses 2-pt jump shot from 7 ft,8-7, ,,1,7,8,-1,230.0
8:07.0, ,8-7,Defensive rebound by B. Adebayo,,1,7,8,-1,233.0
7:55.0, ,8-7,C. Martin misses 3-pt jump shot from 25 ft,,1,7,8,-1,245.0
7:54.0,Defensive rebound by K. Huerter,8-7, ,,1,7,8,-1,246.0
7:41.0,T. Young misses 3-pt jump shot from 27 ft,8-7, ,,1,7,8,-1,259.0
7:38.0, ,8-7,Defensive rebound by C. Martin,,1,7,8,-1,262.0
7:33.0, ,8-10,C. Martin makes 3-pt jump shot from 25 ft,Lead change,1,10,8,2,267.0
7:21.0,D. Gallinari misses 3-pt jump shot from 27 ft,8-10, ,,1,10,8,2,279.0
7:18.0,Offensive rebound by T. Young,8-10, ,,1,10,8,2,282.0
7:17.0,T. Young makes 2-pt layup from 2 ft,10-10, ,Tie,1,10,10,0,283.0
7:05.0, ,10-10,B. Adebayo misses 2-pt jump shot from 17 ft,,1,10,10,0,295.0
7:02.0,Defensive rebound by C. Capela,10-10, ,,1,10,10,0,298.0
6:51.0,C. Capela misses 2-pt layup from 2 ft,10-10, ,,1,10,10,0,309.0
6:48.0, ,10-10,Defensive rebound by J. Butler,,1,10,10,0,312.0
6:45.0, ,10-10,C. Martin misses 3-pt jump shot from 23 ft,,1,10,10,0,315.0
6:42.0,Defensive rebound by C. Capela,10-10, ,,1,10,10,0,318.0
6:21.0,Personal foul by K. Lowry (drawn by T. Young),10-10, ,,1,10,10,0,339.0
6:21.0, ,10-10,Miami full timeout,,1,10,10,0,339.0
6:07.0,D. Gallinari misses 2-pt jump shot from 19 ft,10-10, ,,1,10,10,0,353.0
6:04.0, ,10-10,Defensive rebound by M. Strus,,1,10,10,0,356.0
5:52.0, ,10-10,B. Adebayo misses 2-pt hook shot from 6 ft,,1,10,10,0,368.0
5:46.0, ,10-10,Offensive rebound by J. Butler,,1,10,10,0,374.0
5:46.0, ,10-12,J. Butler makes 2-pt layup at rim,,1,12,10,2,374.0
5:33.0,D. Gallinari makes 2-pt jump shot from 12 ft,12-12, ,Tie,1,12,12,0,387.0
5:16.0, ,12-12,K. Lowry misses 2-pt jump shot from 12 ft,,1,12,12,0,404.0
5:13.0,Defensive rebound by D. Gallinari,12-12, ,,1,12,12,0,407.0
5:05.0,D. Gallinari misses 3-pt jump shot from 27 ft,12-12, ,,1,12,12,0,415.0
5:01.0, ,12-12,Defensive rebound by J. Butler,,1,12,12,0,419.0
4:54.0, ,12-12,Personal foul by D. Hunter (drawn by J. Butler),,1,12,12,0,426.0
4:54.0,B. Bogdanović enters the game for D. Gallinari,12-12, ,,1,12,12,0,426.0
4:54.0, ,12-12,T. Herro enters the game for J. Butler,,1,12,12,0,426.0
4:46.0, ,12-12,Turnover by M. Strus (bad pass; steal by K. Huerter),,1,12,12,0,434.0
4:41.0,B. Bogdanović makes 2-pt jump shot from 22 ft (assist by K. Huerter),14-12, ,Lead change,1,12,14,-2,439.0
4:33.0, ,14-12,Turnover by K. Lowry (bad pass; steal by B. Bogdanović),,1,12,14,-2,447.0
4:22.0,K. Huerter misses 3-pt jump shot from 25 ft,14-12, ,,1,12,14,-2,458.0
4:19.0, ,14-12,Defensive rebound by T. Herro,,1,12,14,-2,461.0
4:08.0, ,14-14,B. Adebayo makes 2-pt jump shot from 7 ft (assist by T. Herro),Tie,1,14,14,0,472.0
3:51.0,Turnover by T. Young (bad pass; steal by K. Lowry),14-14, ,,1,14,14,0,489.0
3:45.0, ,14-16,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),Lead change,1,16,14,2,495.0
