Time,Miami,Score,Portland,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Nurkić (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:41.0,J. Butler misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,19.0
11:37.0, ,0-0,Defensive rebound by J. Nurkić,,1,0,0,0,23.0
11:24.0, ,0-0,Turnover by J. Nurkić (bad pass; steal by C. Martin),,1,0,0,0,36.0
11:18.0,Shooting foul by J. Hart (drawn by K. Lowry),0-0, ,,1,0,0,0,42.0
11:18.0,K. Lowry misses free throw 1 of 3,0-0, ,,1,0,0,0,42.0
11:18.0,Offensive rebound by Team,0-0, ,,1,0,0,0,42.0
11:18.0,K. Lowry makes free throw 2 of 3,1-0, ,,1,1,0,1,42.0
11:18.0,K. Lowry makes free throw 3 of 3,2-0, ,,1,2,0,2,42.0
11:00.0, ,2-0,Turnover by A. Simons (lost ball; steal by B. Adebayo),,1,2,0,2,60.0
10:52.0,K. Lowry misses 2-pt jump shot from 16 ft,2-0, ,,1,2,0,2,68.0
10:48.0,Offensive rebound by B. Adebayo,2-0, ,,1,2,0,2,72.0
10:47.0,B. Adebayo misses 2-pt layup from 8 ft,2-0, ,,1,2,0,2,73.0
10:47.0,Offensive rebound by B. Adebayo,2-0, ,,1,2,0,2,73.0
10:47.0,B. Adebayo makes 2-pt jump shot from 4 ft,4-0, ,,1,4,0,4,73.0
10:47.0,Shooting foul by A. Simons (drawn by B. Adebayo),4-0, ,,1,4,0,4,73.0
10:47.0,B. Adebayo misses free throw 1 of 1,4-0, ,,1,4,0,4,73.0
10:43.0, ,4-0,Defensive rebound by A. Simons,,1,4,0,4,77.0
10:25.0, ,4-2,J. Hart makes 2-pt jump shot from 9 ft,,1,4,2,2,95.0
10:25.0, ,4-2,Shooting foul by J. Butler (drawn by J. Hart),,1,4,2,2,95.0
10:25.0, ,4-3,J. Hart makes free throw 1 of 1,,1,4,3,1,95.0
10:14.0,Turnover by T. Herro (bad pass; steal by J. Hart),4-3, ,,1,4,3,1,106.0
10:07.0, ,4-6,D. Lillard makes 3-pt jump shot from 26 ft (assist by J. Hart),Lead change,1,4,6,-2,113.0
9:53.0,C. Martin makes 2-pt layup from 4 ft (assist by B. Adebayo),6-6, ,Tie,1,6,6,0,127.0
9:45.0, ,6-8,J. Hart makes 2-pt layup from 3 ft,,1,6,8,-2,135.0
9:23.0,Turnover by J. Butler (traveling),6-8, ,,1,6,8,-2,157.0
9:07.0, ,6-10,J. Nurkić makes 2-pt jump shot from 4 ft (assist by J. Hart),,1,6,10,-4,173.0
8:45.0,C. Martin makes 3-pt jump shot from 28 ft (assist by K. Lowry),9-10, ,,1,9,10,-1,195.0
8:32.0, ,9-12,J. Grant makes 2-pt layup from 5 ft (assist by D. Lillard),,1,9,12,-3,208.0
8:21.0,T. Herro misses 2-pt jump shot from 14 ft,9-12, ,,1,9,12,-3,219.0
8:18.0, ,9-12,Defensive rebound by J. Nurkić,,1,9,12,-3,222.0
8:14.0, ,9-12,A. Simons misses 2-pt jump shot from 18 ft,,1,9,12,-3,226.0
8:09.0,Defensive rebound by J. Butler,9-12, ,,1,9,12,-3,231.0
7:54.0,T. Herro misses 3-pt jump shot from 27 ft,9-12, ,,1,9,12,-3,246.0
7:50.0, ,9-12,Defensive rebound by D. Lillard,,1,9,12,-3,250.0
7:49.0, ,9-12,Turnover by D. Lillard (lost ball; steal by C. Martin),,1,9,12,-3,251.0
7:45.0,T. Herro misses 3-pt jump shot from 26 ft,9-12, ,,1,9,12,-3,255.0
7:40.0,Offensive rebound by C. Martin,9-12, ,,1,9,12,-3,260.0
7:32.0,J. Butler misses 2-pt layup from 4 ft (block by J. Nurkić),9-12, ,,1,9,12,-3,268.0
7:28.0, ,9-12,Defensive rebound by J. Hart,,1,9,12,-3,272.0
7:27.0, ,9-14,J. Grant makes 2-pt dunk from 4 ft (assist by J. Hart),,1,9,14,-5,273.0
7:11.0,Shooting foul by A. Simons (drawn by B. Adebayo),9-14, ,,1,9,14,-5,289.0
7:11.0,B. Adebayo makes free throw 1 of 2,10-14, ,,1,10,14,-4,289.0
7:11.0, ,10-14,J. Winslow enters the game for A. Simons,,1,10,14,-4,289.0
7:11.0,B. Adebayo makes free throw 2 of 2,11-14, ,,1,11,14,-3,289.0
6:55.0, ,11-14,D. Lillard misses 3-pt jump shot from 27 ft,,1,11,14,-3,305.0
6:50.0,Defensive rebound by C. Martin,11-14, ,,1,11,14,-3,310.0
6:40.0,T. Herro misses 2-pt jump shot from 7 ft,11-14, ,,1,11,14,-3,320.0
