Time,Miami,Score,Golden State,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. K. Looney (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:45.0,K. Lowry misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,15.0
11:43.0, ,0-0,Defensive rebound by K. Looney,,1,0,0,0,17.0
11:32.0, ,0-3,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Looney),,1,0,3,-3,28.0
11:14.0,B. Adebayo misses 2-pt jump shot from 11 ft,0-3, ,,1,0,3,-3,46.0
11:12.0, ,0-3,Defensive rebound by K. Looney,,1,0,3,-3,48.0
11:03.0, ,0-5,K. Thompson makes 2-pt layup from 4 ft (assist by D. Green),,1,0,5,-5,57.0
10:44.0,J. Butler makes 2-pt jump shot from 12 ft,2-5, ,,1,2,5,-3,76.0
10:38.0, ,2-8,A. Wiggins makes 3-pt jump shot from 27 ft (assist by S. Curry),,1,2,8,-6,82.0
10:14.0,J. Butler misses 3-pt jump shot from 24 ft,2-8, ,,1,2,8,-6,106.0
10:11.0,Offensive rebound by B. Adebayo,2-8, ,,1,2,8,-6,109.0
10:06.0,C. Martin makes 2-pt jump shot from 12 ft (assist by J. Butler),4-8, ,,1,4,8,-4,114.0
9:58.0, ,4-8,Turnover by D. Green (bad pass; steal by C. Martin),,1,4,8,-4,122.0
9:43.0,C. Martin misses 3-pt jump shot from 22 ft,4-8, ,,1,4,8,-4,137.0
9:40.0, ,4-8,Defensive rebound by K. Looney,,1,4,8,-4,140.0
9:34.0, ,4-8,K. Thompson misses 3-pt jump shot from 23 ft,,1,4,8,-4,146.0
9:30.0, ,4-8,Offensive rebound by S. Curry,,1,4,8,-4,150.0
9:30.0, ,4-10,S. Curry makes 2-pt layup at rim,,1,4,10,-6,150.0
9:23.0,T. Herro makes 3-pt jump shot from 28 ft,7-10, ,,1,7,10,-3,157.0
9:09.0, ,7-10,Turnover by K. Thompson (bad pass; steal by J. Butler),,1,7,10,-3,171.0
9:05.0,J. Butler makes 2-pt dunk from 4 ft,9-10, ,,1,9,10,-1,175.0
8:51.0, ,9-12,D. Green makes 2-pt layup from 4 ft (assist by K. Looney),,1,9,12,-3,189.0
8:34.0,Shooting foul by K. Looney (drawn by B. Adebayo),9-12, ,,1,9,12,-3,206.0
8:34.0,B. Adebayo makes free throw 1 of 2,10-12, ,,1,10,12,-2,206.0
8:34.0,B. Adebayo makes free throw 2 of 2,11-12, ,,1,11,12,-1,206.0
8:14.0, ,11-12,K. Thompson misses 3-pt jump shot from 26 ft,,1,11,12,-1,226.0
8:12.0,Defensive rebound by K. Lowry,11-12, ,,1,11,12,-1,228.0
8:06.0,Turnover by K. Lowry (bad pass),11-12, ,,1,11,12,-1,234.0
7:46.0, ,11-14,S. Curry makes 2-pt layup from 5 ft,,1,11,14,-3,254.0
7:35.0,T. Herro misses 2-pt layup from 3 ft (block by A. Wiggins),11-14, ,,1,11,14,-3,265.0
7:33.0, ,11-14,Defensive rebound by A. Wiggins,,1,11,14,-3,267.0
7:31.0, ,11-14,Shooting foul by K. Lowry (drawn by A. Wiggins),,1,11,14,-3,269.0
7:31.0, ,11-15,A. Wiggins makes free throw 1 of 2,,1,11,15,-4,269.0
7:31.0, ,11-16,A. Wiggins makes free throw 2 of 2,,1,11,16,-5,269.0
7:13.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by K. Lowry),13-16, ,,1,13,16,-3,287.0
6:55.0, ,13-18,K. Looney makes 2-pt dunk from 4 ft (assist by D. Green),,1,13,18,-5,305.0
6:37.0,C. Martin misses 2-pt layup from 6 ft,13-18, ,,1,13,18,-5,323.0
6:35.0,Offensive rebound by C. Martin,13-18, ,,1,13,18,-5,325.0
6:33.0,C. Martin misses 2-pt layup at rim,13-18, ,,1,13,18,-5,327.0
6:33.0, ,13-18,Defensive rebound by K. Looney,,1,13,18,-5,327.0
6:21.0, ,13-18,A. Wiggins misses 3-pt jump shot from 27 ft,,1,13,18,-5,339.0
6:18.0,Defensive rebound by K. Lowry,13-18, ,,1,13,18,-5,342.0
6:14.0,J. Butler makes 3-pt jump shot from 26 ft (assist by K. Lowry),16-18, ,,1,16,18,-2,346.0
6:03.0, ,16-21,S. Curry makes 3-pt jump shot from 30 ft (assist by A. Wiggins),,1,16,21,-5,357.0
5:45.0,K. Lowry makes 2-pt layup from 4 ft (assist by J. Butler),18-21, ,,1,18,21,-3,375.0
5:36.0, ,18-21,Golden State full timeout,,1,18,21,-3,384.0
5:36.0,N. Jović enters the game for B. Adebayo,18-21, ,,1,18,21,-3,384.0
5:36.0,M. Strus enters the game for C. Martin,18-21, ,,1,18,21,-3,384.0
5:36.0, ,18-21,J. Wiseman enters the game for K. Looney,,1,18,21,-3,384.0
5:24.0, ,18-21,D. Green misses 3-pt jump shot from 25 ft,,1,18,21,-3,396.0
5:21.0, ,18-21,Offensive rebound by J. Wiseman,,1,18,21,-3,399.0
5:20.0, ,18-21,K. Thompson misses 3-pt jump shot from 25 ft,,1,18,21,-3,400.0
5:16.0,Defensive rebound by K. Lowry,18-21, ,,1,18,21,-3,404.0
5:05.0,T. Herro makes 2-pt jump shot from 16 ft (assist by N. Jović),20-21, ,,1,20,21,-1,415.0
4:55.0, ,20-21,Turnover by S. Curry (bad pass; steal by K. Lowry),,1,20,21,-1,425.0
4:48.0,K. Lowry misses 3-pt jump shot from 28 ft,20-21, ,,1,20,21,-1,432.0
4:44.0, ,20-21,Defensive rebound by S. Curry,,1,20,21,-1,436.0
4:39.0, ,20-23,D. Green makes 2-pt layup from 5 ft (assist by S. Curry),,1,20,23,-3,441.0
4:15.0,Personal foul by K. Thompson (drawn by J. Butler),20-23, ,,1,20,23,-3,465.0
4:15.0, ,20-23,M. Moody enters the game for K. Thompson,,1,20,23,-3,465.0
4:15.0, ,20-23,J. Poole enters the game for A. Wiggins,,1,20,23,-3,465.0
4:09.0,Turnover by T. Herro (out of bounds lost ball),20-23, ,,1,20,23,-3,471.0
3:53.0, ,20-23,Turnover by D. Green (bad pass; steal by J. Butler),,1,20,23,-3,487.0
3:45.0,N. Jović misses 3-pt jump shot from 27 ft,20-23, ,,1,20,23,-3,495.0
3:42.0, ,20-23,Defensive rebound by D. Green,,1,20,23,-3,498.0
3:35.0, ,20-23,Turnover by J. Poole (bad pass; steal by J. Butler),,1,20,23,-3,505.0
3:31.0,T. Herro misses 3-pt jump shot from 28 ft,20-23, ,,1,20,23,-3,509.0
3:28.0, ,20-23,Defensive rebound by J. Wiseman,,1,20,23,-3,512.0
3:19.0, ,20-23,J. Wiseman misses 2-pt layup from 5 ft,,1,20,23,-3,521.0
3:16.0, ,20-23,Offensive rebound by J. Wiseman,,1,20,23,-3,524.0
3:16.0, ,20-25,J. Wiseman makes 2-pt dunk at rim,,1,20,25,-5,524.0
3:12.0,Miami full timeout,20-25, ,,1,20,25,-5,528.0
3:12.0,D. Robinson enters the game for T. Herro,20-25, ,,1,20,25,-5,528.0
3:12.0,G. Vincent enters the game for K. Lowry,20-25, ,,1,20,25,-5,528.0
3:12.0, ,20-25,J. Green enters the game for D. Green,,1,20,25,-5,528.0
3:01.0,M. Strus misses 2-pt jump shot from 21 ft,20-25, ,,1,20,25,-5,539.0
2:58.0, ,20-25,Defensive rebound by J. Green,,1,20,25,-5,542.0
2:50.0, ,20-25,Personal foul by M. Strus (drawn by J. Wiseman),,1,20,25,-5,550.0
2:50.0,B. Adebayo enters the game for N. Jović,20-25, ,,1,20,25,-5,550.0
2:42.0, ,20-25,M. Moody misses 3-pt jump shot from 23 ft,,1,20,25,-5,558.0
2:39.0,Defensive rebound by J. Butler,20-25, ,,1,20,25,-5,561.0
2:31.0,D. Robinson makes 3-pt jump shot from 28 ft (assist by J. Butler),23-25, ,,1,23,25,-2,569.0
2:14.0, ,23-25,S. Curry misses 3-pt jump shot from 27 ft,,1,23,25,-2,586.0
2:10.0, ,23-25,Offensive rebound by J. Wiseman,,1,23,25,-2,590.0
2:10.0, ,23-25,J. Wiseman misses 2-pt layup at rim,,1,23,25,-2,590.0
2:10.0,Defensive rebound by J. Butler,23-25, ,,1,23,25,-2,590.0
1:53.0,Shooting foul by J. Wiseman (drawn by J. Butler),23-25, ,,1,23,25,-2,607.0
1:53.0,J. Butler makes free throw 1 of 2,24-25, ,,1,24,25,-1,607.0
1:53.0, ,24-25,T. Jerome enters the game for S. Curry,,1,24,25,-1,607.0
1:53.0, ,24-25,A. Wiggins enters the game for M. Moody,,1,24,25,-1,607.0
1:53.0,J. Butler makes free throw 2 of 2,25-25, ,Tie,1,25,25,0,607.0
1:41.0, ,25-25,Turnover by J. Wiseman (bad pass; steal by B. Adebayo),,1,25,25,0,619.0
1:38.0,Turnover by B. Adebayo (bad pass; steal by J. Poole),25-25, ,,1,25,25,0,622.0
