Time,Miami,Score,Cleveland,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Allen (M. Strus gains possession),0-0,,,1,0,0,0,0.0
11:47.0,Turnover by K. Lowry (bad pass; steal by D. Mitchell),0-0, ,,1,0,0,0,13.0
11:35.0, ,0-0,Turnover by E. Mobley (out of bounds lost ball),,1,0,0,0,25.0
11:16.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by N. Jović),2-0, ,,1,2,0,2,44.0
10:52.0, ,2-0,D. Garland misses 3-pt jump shot from 25 ft,,1,2,0,2,68.0
10:52.0, ,2-0,Offensive rebound by Team,,1,2,0,2,68.0
10:52.0,Loose ball foul by N. Jović (drawn by L. Stevens),2-0, ,,1,2,0,2,68.0
10:48.0, ,2-0,Turnover by J. Allen (traveling),,1,2,0,2,72.0
10:35.0,B. Adebayo misses 2-pt jump shot from 11 ft,2-0, ,,1,2,0,2,85.0
10:34.0,Offensive rebound by N. Jović,2-0, ,,1,2,0,2,86.0
10:34.0,Personal foul by D. Mitchell (drawn by B. Adebayo),2-0, ,,1,2,0,2,86.0
10:30.0,K. Lowry misses 3-pt jump shot from 27 ft,2-0, ,,1,2,0,2,90.0
10:24.0,Offensive rebound by C. Martin,2-0, ,,1,2,0,2,96.0
10:24.0,Turnover by K. Lowry (traveling),2-0, ,,1,2,0,2,96.0
10:24.0,Violation by Team (delay of game),2-0, ,,1,2,0,2,96.0
10:11.0, ,2-2,J. Allen makes 2-pt layup from 2 ft (assist by D. Garland),Tie,1,2,2,0,109.0
10:02.0,B. Adebayo misses 2-pt jump shot from 14 ft,2-2, ,,1,2,2,0,118.0
10:02.0, ,2-2,Defensive rebound by J. Allen,,1,2,2,0,118.0
9:50.0, ,2-4,D. Garland makes 2-pt jump shot from 11 ft,Lead change,1,2,4,-2,130.0
9:41.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by K. Lowry),4-4, ,Tie,1,4,4,0,139.0
9:24.0, ,4-6,L. Stevens makes 2-pt jump shot from 14 ft (assist by D. Garland),,1,4,6,-2,156.0
9:06.0,N. Jović misses 3-pt jump shot from 33 ft,4-6, ,,1,4,6,-2,174.0
9:02.0, ,4-6,Defensive rebound by D. Mitchell,,1,4,6,-2,178.0
8:56.0, ,4-6,D. Mitchell misses 2-pt jump shot from 14 ft (block by B. Adebayo),,1,4,6,-2,184.0
8:55.0, ,4-6,Offensive rebound by L. Stevens,,1,4,6,-2,185.0
8:55.0, ,4-6,Turnover by L. Stevens (step out of bounds),,1,4,6,-2,185.0
8:43.0,M. Strus makes 3-pt jump shot from 25 ft,7-6, ,Lead change,1,7,6,1,197.0
8:32.0, ,7-6,D. Mitchell misses 3-pt jump shot from 26 ft,,1,7,6,1,208.0
8:29.0,Defensive rebound by B. Adebayo,7-6, ,,1,7,6,1,211.0
8:17.0,K. Lowry misses 3-pt jump shot from 26 ft,7-6, ,,1,7,6,1,223.0
8:14.0, ,7-6,Defensive rebound by L. Stevens,,1,7,6,1,226.0
8:05.0, ,7-6,J. Allen misses 2-pt layup from 3 ft (block by K. Lowry),,1,7,6,1,235.0
8:05.0,Defensive rebound by Team,7-6, ,,1,7,6,1,235.0
8:05.0, ,7-6,Loose ball foul by E. Mobley (drawn by K. Lowry),,1,7,6,1,235.0
7:54.0,B. Adebayo makes 2-pt dunk at rim (assist by M. Strus),9-6, ,,1,9,6,3,246.0
7:38.0, ,9-8,J. Allen makes 2-pt dunk from 1 ft (assist by E. Mobley),,1,9,8,1,262.0
7:14.0,N. Jović makes 2-pt hook shot from 12 ft,11-8, ,,1,11,8,3,286.0
7:01.0, ,11-8,Turnover by E. Mobley (traveling),,1,11,8,3,299.0
6:46.0,Shooting foul by J. Allen (drawn by B. Adebayo),11-8, ,,1,11,8,3,314.0
6:46.0, ,11-8,Cleveland full timeout,,1,11,8,3,314.0
6:46.0, ,11-8,C. LeVert enters the game for D. Garland,,1,11,8,3,314.0
6:46.0, ,11-8,C. Osman enters the game for L. Stevens,,1,11,8,3,314.0
6:46.0,B. Adebayo makes free throw 1 of 2,12-8, ,,1,12,8,4,314.0
6:46.0,B. Adebayo makes free throw 2 of 2,13-8, ,,1,13,8,5,314.0
6:29.0, ,13-8,D. Mitchell misses 3-pt jump shot from 26 ft,,1,13,8,5,331.0
6:26.0,Defensive rebound by N. Jović,13-8, ,,1,13,8,5,334.0
6:24.0,Shooting foul by C. LeVert (drawn by K. Lowry),13-8, ,,1,13,8,5,336.0
6:24.0,K. Lowry makes free throw 1 of 2,14-8, ,,1,14,8,6,336.0
6:24.0,K. Lowry makes free throw 2 of 2,15-8, ,,1,15,8,7,336.0
6:07.0, ,15-8,C. LeVert misses 3-pt jump shot from 26 ft,,1,15,8,7,353.0
6:04.0,Defensive rebound by K. Lowry,15-8, ,,1,15,8,7,356.0
5:52.0,B. Adebayo makes 2-pt jump shot from 11 ft,17-8, ,,1,17,8,9,368.0
5:40.0, ,17-10,E. Mobley makes 2-pt dunk from 1 ft (assist by D. Mitchell),,1,17,10,7,380.0
5:24.0,M. Strus misses 2-pt jump shot from 10 ft,17-10, ,,1,17,10,7,396.0
5:22.0, ,17-10,Defensive rebound by C. LeVert,,1,17,10,7,398.0
5:20.0, ,17-10,Shooting foul by K. Lowry (drawn by D. Mitchell),,1,17,10,7,400.0
5:20.0, ,17-10,D. Mitchell misses free throw 1 of 2,,1,17,10,7,400.0
5:20.0, ,17-10,Offensive rebound by Team,,1,17,10,7,400.0
5:20.0,H. Highsmith enters the game for C. Martin,17-10, ,,1,17,10,7,400.0
5:20.0, ,17-10,I. Okoro enters the game for E. Mobley,,1,17,10,7,400.0
5:20.0, ,17-11,D. Mitchell makes free throw 2 of 2,,1,17,11,6,400.0
5:09.0,B. Adebayo misses 2-pt jump shot from 9 ft,17-11, ,,1,17,11,6,411.0
5:06.0, ,17-11,Defensive rebound by C. LeVert,,1,17,11,6,414.0
5:01.0, ,17-11,C. Osman misses 2-pt layup from 4 ft,,1,17,11,6,419.0
4:58.0, ,17-11,Offensive rebound by C. Osman,,1,17,11,6,422.0
4:56.0, ,17-11,C. Osman misses 3-pt jump shot from 24 ft,,1,17,11,6,424.0
4:53.0,Defensive rebound by B. Adebayo,17-11, ,,1,17,11,6,427.0
4:48.0,M. Strus misses 3-pt jump shot from 25 ft,17-11, ,,1,17,11,6,432.0
4:44.0, ,17-11,Defensive rebound by C. Osman,,1,17,11,6,436.0
4:39.0,Violation by Team (kicked ball),17-11, ,,1,17,11,6,441.0
4:39.0,D. Dedmon enters the game for B. Adebayo,17-11, ,,1,17,11,6,441.0
4:39.0,D. Robinson enters the game for M. Strus,17-11, ,,1,17,11,6,441.0
4:39.0, ,17-11,D. Garland enters the game for D. Mitchell,,1,17,11,6,441.0
4:33.0, ,17-11,Turnover by D. Garland (traveling),,1,17,11,6,447.0
4:23.0,Turnover by K. Lowry (bad pass),17-11, ,,1,17,11,6,457.0
4:16.0, ,17-11,C. Osman misses 3-pt jump shot from 27 ft,,1,17,11,6,464.0
4:11.0,Defensive rebound by K. Lowry,17-11, ,,1,17,11,6,469.0
4:02.0,D. Dedmon makes 2-pt hook shot from 8 ft (assist by N. Jović),19-11, ,,1,19,11,8,478.0
3:56.0, ,19-13,I. Okoro makes 2-pt layup from 1 ft (assist by D. Garland),,1,19,13,6,484.0
3:56.0,J. Cain enters the game for N. Jović,19-13, ,,1,19,13,6,484.0
3:56.0, ,19-13,E. Mobley enters the game for J. Allen,,1,19,13,6,484.0
3:39.0,H. Highsmith misses 3-pt jump shot from 22 ft,19-13, ,,1,19,13,6,501.0
3:36.0, ,19-13,Defensive rebound by D. Garland,,1,19,13,6,504.0
3:31.0, ,19-13,D. Garland misses 2-pt layup from 2 ft (block by D. Dedmon),,1,19,13,6,509.0
3:27.0,Defensive rebound by D. Dedmon,19-13, ,,1,19,13,6,513.0
3:22.0,D. Dedmon misses 3-pt jump shot from 27 ft,19-13, ,,1,19,13,6,518.0
3:19.0, ,19-13,Defensive rebound by E. Mobley,,1,19,13,6,521.0
3:03.0, ,19-16,D. Garland makes 3-pt jump shot from 26 ft (assist by C. LeVert),,1,19,16,3,537.0
2:53.0,Personal foul by I. Okoro (drawn by D. Dedmon),19-16, ,,1,19,16,3,547.0
2:53.0,Miami full timeout,19-16, ,,1,19,16,3,547.0
2:53.0,D. Dedmon makes free throw 1 of 2,20-16, ,,1,20,16,4,547.0
2:53.0,D. Dedmon makes free throw 2 of 2,21-16, ,,1,21,16,5,547.0
2:43.0, ,21-16,Personal foul by J. Cain (drawn by D. Garland),,1,21,16,5,557.0
2:35.0, ,21-16,C. LeVert misses 3-pt jump shot from 26 ft,,1,21,16,5,565.0
2:32.0, ,21-16,Offensive rebound by C. Osman,,1,21,16,5,568.0
