Time,Washington,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. B. Adebayo (C. Kispert gains possession),0-0,,,1,0,0,0,0.0
11:33.0,K. Porziņģis makes 2-pt jump shot from 9 ft,2-0, ,,1,0,2,-2,27.0
11:21.0, ,2-0,Turnover by N. Jović (bad pass; steal by D. Avdija),,1,0,2,-2,39.0
11:14.0,C. Kispert makes 3-pt jump shot from 23 ft (assist by D. Avdija),5-0, ,,1,0,5,-5,46.0
11:03.0, ,5-0,B. Adebayo misses 2-pt layup from 2 ft,,1,0,5,-5,57.0
11:01.0, ,5-0,Offensive rebound by K. Lowry,,1,0,5,-5,59.0
10:59.0, ,5-2,N. Jović makes 2-pt layup from 2 ft (assist by K. Lowry),,1,2,5,-3,61.0
10:45.0,K. Porziņģis misses 3-pt jump shot from 28 ft,5-2, ,,1,2,5,-3,75.0
10:41.0, ,5-2,Defensive rebound by T. Herro,,1,2,5,-3,79.0
10:27.0, ,5-2,B. Adebayo misses 2-pt jump shot from 11 ft,,1,2,5,-3,93.0
10:22.0,Defensive rebound by K. Porziņģis,5-2, ,,1,2,5,-3,98.0
10:17.0,D. Avdija misses 3-pt jump shot from 26 ft,5-2, ,,1,2,5,-3,103.0
10:12.0, ,5-2,Defensive rebound by N. Jović,,1,2,5,-3,108.0
10:06.0, ,5-2,T. Herro misses 2-pt jump shot from 10 ft,,1,2,5,-3,114.0
10:03.0,Defensive rebound by D. Avdija,5-2, ,,1,2,5,-3,117.0
9:59.0,K. Kuzma makes 2-pt layup from 3 ft (assist by D. Avdija),7-2, ,,1,2,7,-5,121.0
9:59.0,Shooting foul by B. Adebayo (drawn by K. Kuzma),7-2, ,,1,2,7,-5,121.0
9:59.0,K. Kuzma makes free throw 1 of 1,8-2, ,,1,2,8,-6,121.0
9:45.0, ,8-2,B. Adebayo misses 2-pt jump shot from 14 ft,,1,2,8,-6,135.0
9:42.0,Defensive rebound by K. Porziņģis,8-2, ,,1,2,8,-6,138.0
9:37.0,D. Avdija makes 2-pt jump shot from 4 ft (assist by J. Goodwin),10-2, ,,1,2,10,-8,143.0
9:37.0,Shooting foul by T. Herro (drawn by D. Avdija),10-2, ,,1,2,10,-8,143.0
9:37.0,D. Avdija makes free throw 1 of 1,11-2, ,,1,2,11,-9,143.0
9:11.0, ,11-2,Turnover by K. Lowry (bad pass; steal by C. Kispert),,1,2,11,-9,169.0
