Time,Miami,Score,Boston,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. A. Horford (M. Smart gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-2,J. Tatum makes 2-pt dunk from 1 ft (assist by A. Horford),,1,0,2,-2,20.0
11:20.0,B. Adebayo misses 2-pt layup from 5 ft,0-2, ,,1,0,2,-2,40.0
11:18.0, ,0-2,Defensive rebound by M. Smart,,1,0,2,-2,42.0
11:06.0, ,0-5,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Brown),,1,0,5,-5,54.0
11:06.0, ,0-5,Shooting foul by B. Adebayo (drawn by J. Tatum),,1,0,5,-5,54.0
11:06.0, ,0-6,J. Tatum makes free throw 1 of 1,,1,0,6,-6,54.0
10:59.0,B. Adebayo makes 2-pt jump shot from 11 ft,2-6, ,,1,2,6,-4,61.0
10:42.0, ,2-8,J. Brown makes 2-pt jump shot from 10 ft,,1,2,8,-6,78.0
10:31.0,Turnover by T. Herro (step out of bounds),2-8, ,,1,2,8,-6,89.0
10:18.0, ,2-11,D. White makes 3-pt jump shot from 26 ft (assist by A. Horford),,1,2,11,-9,102.0
10:07.0,Offensive foul by T. Herro (drawn by J. Brown),2-11, ,,1,2,11,-9,113.0
10:07.0,Turnover by T. Herro (offensive foul),2-11, ,,1,2,11,-9,113.0
9:50.0, ,2-14,M. Smart makes 3-pt jump shot from 27 ft (assist by A. Horford),,1,2,14,-12,130.0
9:50.0,Miami full timeout,2-14, ,,1,2,14,-12,130.0
9:32.0,M. Strus makes 2-pt layup from 3 ft,4-14, ,,1,4,14,-10,148.0
9:23.0, ,4-17,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Brown),,1,4,17,-13,157.0
9:04.0,Personal foul by M. Smart (drawn by B. Adebayo),4-17, ,,1,4,17,-13,176.0
8:56.0,T. Herro makes 2-pt jump shot from 20 ft (assist by B. Adebayo),6-17, ,,1,6,17,-11,184.0
8:46.0, ,6-20,J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart),,1,6,20,-14,194.0
8:37.0,T. Herro misses 2-pt jump shot from 15 ft,6-20, ,,1,6,20,-14,203.0
8:35.0,Offensive rebound by T. Herro,6-20, ,,1,6,20,-14,205.0
8:34.0,T. Herro makes 2-pt layup at rim,8-20, ,,1,8,20,-12,206.0
8:22.0, ,8-20,J. Tatum misses 2-pt jump shot from 15 ft,,1,8,20,-12,218.0
8:20.0,Defensive rebound by K. Lowry,8-20, ,,1,8,20,-12,220.0
8:10.0,K. Lowry misses 3-pt jump shot from 28 ft,8-20, ,,1,8,20,-12,230.0
8:08.0, ,8-20,Defensive rebound by M. Smart,,1,8,20,-12,232.0
8:05.0, ,8-20,Offensive foul by J. Brown (drawn by K. Lowry),,1,8,20,-12,235.0
8:05.0, ,8-20,Turnover by J. Brown (offensive foul),,1,8,20,-12,235.0
7:54.0,M. Strus misses 3-pt jump shot from 26 ft,8-20, ,,1,8,20,-12,246.0
7:50.0, ,8-20,Defensive rebound by A. Horford,,1,8,20,-12,250.0
7:42.0, ,8-20,D. White misses 3-pt jump shot from 24 ft,,1,8,20,-12,258.0
7:40.0,Defensive rebound by T. Herro,8-20, ,,1,8,20,-12,260.0
7:29.0,C. Martin makes 2-pt jump shot from 14 ft (assist by T. Herro),10-20, ,,1,10,20,-10,271.0
7:11.0, ,10-23,M. Smart makes 3-pt jump shot from 23 ft (assist by D. White),,1,10,23,-13,289.0
6:55.0,B. Adebayo makes 2-pt layup from 8 ft,12-23, ,,1,12,23,-11,305.0
6:39.0, ,12-23,Turnover by J. Tatum (bad pass),,1,12,23,-11,321.0
6:39.0, ,12-23,M. Brogdon enters the game for J. Tatum,,1,12,23,-11,321.0
6:39.0, ,12-23,G. Williams enters the game for D. White,,1,12,23,-11,321.0
6:24.0,T. Herro makes 2-pt dunk from 4 ft (assist by B. Adebayo),14-23, ,,1,14,23,-9,336.0
6:12.0, ,14-23,M. Brogdon misses 3-pt jump shot from 25 ft,,1,14,23,-9,348.0
6:10.0,Defensive rebound by C. Martin,14-23, ,,1,14,23,-9,350.0
5:58.0,C. Martin makes 3-pt jump shot from 24 ft (assist by T. Herro),17-23, ,,1,17,23,-6,362.0
5:41.0, ,17-23,Turnover by M. Smart (bad pass; steal by B. Adebayo),,1,17,23,-6,379.0
5:35.0,B. Adebayo makes 2-pt dunk from 3 ft (assist by K. Lowry),19-23, ,,1,19,23,-4,385.0
5:23.0, ,19-23,J. Brown misses 3-pt jump shot from 25 ft,,1,19,23,-4,397.0
5:20.0, ,19-23,Offensive rebound by J. Brown,,1,19,23,-4,400.0
5:18.0, ,19-25,J. Brown makes 2-pt layup from 1 ft,,1,19,25,-6,402.0
5:04.0,K. Lowry makes 3-pt jump shot from 26 ft,22-25, ,,1,22,25,-3,416.0
4:43.0, ,22-25,G. Williams misses 3-pt jump shot from 23 ft,,1,22,25,-3,437.0
4:40.0,Defensive rebound by B. Adebayo,22-25, ,,1,22,25,-3,440.0
4:32.0,B. Adebayo makes 3-pt jump shot from 27 ft (assist by K. Lowry),25-25, ,Tie,1,25,25,0,448.0
4:14.0, ,25-25,M. Smart misses 3-pt jump shot from 26 ft,,1,25,25,0,466.0
4:10.0,Defensive rebound by T. Herro,25-25, ,,1,25,25,0,470.0
4:07.0,K. Lowry makes 2-pt layup from 3 ft (assist by T. Herro),27-25, ,Lead change,1,27,25,2,473.0
4:07.0, ,27-25,Boston full timeout,,1,27,25,2,473.0
4:07.0,U. Haslem enters the game for B. Adebayo,27-25, ,,1,27,25,2,473.0
4:07.0,H. Highsmith enters the game for T. Herro,27-25, ,,1,27,25,2,473.0
4:07.0,G. Vincent enters the game for C. Martin,27-25, ,,1,27,25,2,473.0
4:07.0, ,27-25,L. Kornet enters the game for A. Horford,,1,27,25,2,473.0
3:54.0, ,27-25,Turnover by M. Smart (bad pass; steal by M. Strus),,1,27,25,2,486.0
3:41.0,U. Haslem misses 2-pt layup from 4 ft,27-25, ,,1,27,25,2,499.0
3:39.0, ,27-25,Defensive rebound by G. Williams,,1,27,25,2,501.0
3:35.0, ,27-25,Turnover by J. Brown (step out of bounds),,1,27,25,2,505.0
3:35.0, ,27-25,J. Tatum enters the game for J. Brown,,1,27,25,2,505.0
3:22.0,M. Strus misses 3-pt jump shot from 29 ft,27-25, ,,1,27,25,2,518.0
3:17.0,Offensive rebound by U. Haslem,27-25, ,,1,27,25,2,523.0
3:14.0,K. Lowry misses 3-pt jump shot from 27 ft,27-25, ,,1,27,25,2,526.0
3:12.0, ,27-25,Defensive rebound by J. Tatum,,1,27,25,2,528.0
2:59.0, ,27-28,G. Williams makes 3-pt jump shot from 24 ft (assist by M. Smart),Lead change,1,27,28,-1,541.0
2:45.0,G. Vincent misses 3-pt jump shot from 26 ft,27-28, ,,1,27,28,-1,555.0
2:43.0, ,27-28,Defensive rebound by G. Williams,,1,27,28,-1,557.0
2:33.0, ,27-30,J. Tatum makes 2-pt layup from 2 ft,,1,27,30,-3,567.0
2:14.0,H. Highsmith makes 3-pt jump shot from 28 ft (assist by G. Vincent),30-30, ,Tie,1,30,30,0,586.0
1:53.0, ,30-30,G. Williams misses 3-pt jump shot from 23 ft,,1,30,30,0,607.0
1:51.0,Defensive rebound by M. Strus,30-30, ,,1,30,30,0,609.0
1:40.0,U. Haslem misses 3-pt jump shot from 27 ft,30-30, ,,1,30,30,0,620.0
1:37.0, ,30-30,Defensive rebound by G. Williams,,1,30,30,0,623.0
1:34.0, ,30-30,J. Tatum misses 2-pt layup from 1 ft (block by H. Highsmith),,1,30,30,0,626.0
1:33.0, ,30-30,Offensive rebound by M. Brogdon,,1,30,30,0,627.0
1:26.0, ,30-33,M. Brogdon makes 3-pt jump shot from 24 ft,,1,30,33,-3,634.0
1:15.0,H. Highsmith makes 3-pt jump shot from 27 ft (assist by K. Lowry),33-33, ,Tie,1,33,33,0,645.0
0:52.0, ,33-36,M. Brogdon makes 3-pt jump shot from 25 ft (assist by J. Tatum),,1,33,36,-3,668.0
0:35.0,M. Strus misses 3-pt jump shot from 27 ft,33-36, ,,1,33,36,-3,685.0
0:32.0, ,33-36,Defensive rebound by J. Tatum,,1,33,36,-3,688.0
0:20.0, ,33-36,Personal foul by M. Strus (drawn by M. Smart),,1,33,36,-3,700.0
0:20.0,B. Adebayo enters the game for U. Haslem,33-36, ,,1,33,36,-3,700.0
0:20.0,T. Herro enters the game for M. Strus,33-36, ,,1,33,36,-3,700.0
0:20.0, ,33-36,S. Hauser enters the game for M. Smart,,1,33,36,-3,700.0
0:11.0, ,33-38,J. Tatum makes 2-pt jump shot from 10 ft (assist by S. Hauser),,1,33,38,-5,709.0
0:00.0,K. Lowry makes 2-pt layup from 3 ft,35-38, ,,1,35,38,-3,720.0
0:00.0,End of 1st quarter,35-38,,,1,35,38,-3,720.0
12:00.0,Start of 2nd quarter,35-38,,,2,35,38,-3,720.0
11:51.0,Personal foul by J. Tatum (drawn by B. Adebayo),35-38, ,,2,35,38,-3,729.0
11:41.0,H. Highsmith makes 3-pt jump shot from 27 ft (assist by T. Herro),38-38, ,Tie,2,38,38,0,739.0
11:23.0, ,38-38,S. Hauser misses 3-pt jump shot from 25 ft,,2,38,38,0,757.0
11:17.0, ,38-38,Offensive rebound by M. Brogdon,,2,38,38,0,763.0
11:14.0, ,38-38,J. Tatum misses 3-pt jump shot from 27 ft,,2,38,38,0,766.0
11:14.0,Defensive rebound by Team,38-38, ,,2,38,38,0,766.0
11:10.0,Personal foul by G. Williams (drawn by B. Adebayo),38-38, ,,2,38,38,0,770.0
11:02.0,Turnover by T. Herro (bad pass; steal by S. Hauser),38-38, ,,2,38,38,0,778.0
10:58.0, ,38-38,Shooting foul by D. Robinson (drawn by J. Tatum),,2,38,38,0,782.0
10:58.0, ,38-39,J. Tatum makes free throw 1 of 2,,2,38,39,-1,782.0
10:58.0, ,38-39,A. Horford enters the game for L. Kornet,,2,38,39,-1,782.0
10:58.0, ,38-39,D. White enters the game for G. Williams,,2,38,39,-1,782.0
10:58.0, ,38-40,J. Tatum makes free throw 2 of 2,,2,38,40,-2,782.0
10:42.0,B. Adebayo makes 2-pt jump shot from 8 ft (assist by T. Herro),40-40, ,Tie,2,40,40,0,798.0
10:23.0, ,40-42,M. Brogdon makes 2-pt jump shot from 11 ft (assist by J. Tatum),,2,40,42,-2,817.0
10:13.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),43-42, ,Lead change,2,43,42,1,827.0
9:59.0, ,43-42,A. Horford misses 3-pt jump shot from 26 ft,,2,43,42,1,841.0
9:56.0, ,43-42,Offensive rebound by J. Tatum,,2,43,42,1,844.0
9:55.0, ,43-44,J. Tatum makes 2-pt layup from 1 ft,Lead change,2,43,44,-1,845.0
9:41.0,T. Herro makes 2-pt layup from 3 ft,45-44, ,Lead change,2,45,44,1,859.0
9:24.0, ,45-44,D. White misses 3-pt jump shot from 25 ft,,2,45,44,1,876.0
9:21.0,Defensive rebound by T. Herro,45-44, ,,2,45,44,1,879.0
9:12.0,T. Herro makes 2-pt jump shot from 14 ft,47-44, ,,2,47,44,3,888.0
8:53.0, ,47-44,S. Hauser misses 3-pt jump shot from 24 ft,,2,47,44,3,907.0
8:51.0, ,47-44,Offensive rebound by M. Brogdon,,2,47,44,3,909.0
8:46.0, ,47-47,D. White makes 3-pt jump shot from 25 ft (assist by A. Horford),Tie,2,47,47,0,914.0
8:37.0,Miami full timeout,47-47, ,,2,47,47,0,923.0
8:37.0,C. Martin enters the game for G. Vincent,47-47, ,,2,47,47,0,923.0
8:37.0, ,47-47,J. Brown enters the game for S. Hauser,,2,47,47,0,923.0
8:21.0,B. Adebayo makes 2-pt jump shot from 10 ft,49-47, ,,2,49,47,2,939.0
8:04.0, ,49-49,J. Brown makes 2-pt layup from 2 ft (assist by D. White),Tie,2,49,49,0,956.0
7:57.0,T. Herro misses 3-pt jump shot from 26 ft,49-49, ,,2,49,49,0,963.0
7:55.0, ,49-49,Defensive rebound by J. Brown,,2,49,49,0,965.0
7:46.0, ,49-51,J. Brown makes 2-pt layup from 12 ft,Lead change,2,49,51,-2,974.0
7:32.0,B. Adebayo misses 2-pt layup from 2 ft,49-51, ,,2,49,51,-2,988.0
7:30.0, ,49-51,Defensive rebound by J. Tatum,,2,49,51,-2,990.0
7:18.0, ,49-54,J. Tatum makes 3-pt jump shot from 26 ft,,2,49,54,-5,1002.0
7:06.0,B. Adebayo misses 2-pt jump shot from 18 ft,49-54, ,,2,49,54,-5,1014.0
7:03.0, ,49-54,Defensive rebound by J. Brown,,2,49,54,-5,1017.0
6:55.0, ,49-56,J. Tatum makes 2-pt layup from 3 ft (assist by J. Brown),,2,49,56,-7,1025.0
