Time,Miami,Score,Memphis,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. S. Adams (T. Jones gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-2,S. Aldama makes 2-pt hook shot from 8 ft,,1,0,2,-2,19.0
11:18.0,T. Herro misses 3-pt jump shot from 25 ft,0-2, ,,1,0,2,-2,42.0
11:15.0, ,0-2,Defensive rebound by S. Aldama,,1,0,2,-2,45.0
11:06.0, ,0-4,D. Brooks makes 2-pt layup at rim (assist by S. Adams),,1,0,4,-4,54.0
10:59.0,Turnover by K. Lowry (bad pass; steal by T. Jones),0-4, ,,1,0,4,-4,61.0
10:54.0, ,0-7,D. Brooks makes 3-pt jump shot from 26 ft (assist by T. Jones),,1,0,7,-7,66.0
10:33.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Butler),3-7, ,,1,3,7,-4,87.0
10:15.0, ,3-9,D. Brooks makes 2-pt jump shot from 5 ft,,1,3,9,-6,105.0
10:07.0,T. Herro makes 2-pt layup from 1 ft (assist by J. Butler),5-9, ,,1,5,9,-4,113.0
9:48.0, ,5-9,D. Brooks misses 2-pt jump shot from 18 ft,,1,5,9,-4,132.0
9:46.0,Defensive rebound by T. Herro,5-9, ,,1,5,9,-4,134.0
9:36.0,J. Butler misses 2-pt layup from 2 ft,5-9, ,,1,5,9,-4,144.0
9:34.0,Offensive rebound by J. Butler,5-9, ,,1,5,9,-4,146.0
9:24.0,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),8-9, ,,1,8,9,-1,156.0
9:07.0, ,8-9,Turnover by D. Brooks (bad pass),,1,8,9,-1,173.0
8:59.0,B. Adebayo misses 2-pt jump shot from 8 ft,8-9, ,,1,8,9,-1,181.0
8:59.0, ,8-9,Defensive rebound by S. Aldama,,1,8,9,-1,181.0
8:43.0, ,8-11,S. Adams makes 2-pt layup from 1 ft,,1,8,11,-3,197.0
8:35.0,Shooting foul by S. Aldama (drawn by T. Herro),8-11, ,,1,8,11,-3,205.0
8:35.0,T. Herro makes free throw 1 of 2,9-11, ,,1,9,11,-2,205.0
8:35.0,T. Herro makes free throw 2 of 2,10-11, ,,1,10,11,-1,205.0
8:23.0, ,10-11,T. Jones misses 2-pt jump shot from 8 ft,,1,10,11,-1,217.0
8:20.0,Defensive rebound by T. Herro,10-11, ,,1,10,11,-1,220.0
8:15.0,C. Martin makes 3-pt jump shot from 24 ft (assist by J. Butler),13-11, ,Lead change,1,13,11,2,225.0
