Time,Miami,Score,Houston,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: U. Haslem vs. A. Sengun (E. Gordon gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-2,K. Porter makes 2-pt jump shot from 17 ft,,1,0,2,-2,16.0
11:29.0,U. Haslem misses 2-pt jump shot from 17 ft,0-2, ,,1,0,2,-2,31.0
11:28.0, ,0-2,Defensive rebound by J. Smith,,1,0,2,-2,32.0
11:16.0, ,0-4,J. Smith makes 2-pt jump shot from 9 ft,,1,0,4,-4,44.0
10:53.0,C. Martin makes 2-pt jump shot from 15 ft (assist by J. Butler),2-4, ,,1,2,4,-2,67.0
10:40.0, ,2-4,Offensive foul by A. Sengun (drawn by J. Butler),,1,2,4,-2,80.0
10:40.0, ,2-4,Turnover by A. Sengun (offensive foul),,1,2,4,-2,80.0
10:23.0,M. Strus misses 3-pt jump shot from 23 ft,2-4, ,,1,2,4,-2,97.0
10:22.0, ,2-4,Defensive rebound by J. Green,,1,2,4,-2,98.0
10:10.0, ,2-4,J. Green misses 2-pt layup from 2 ft,,1,2,4,-2,110.0
10:08.0,Defensive rebound by U. Haslem,2-4, ,,1,2,4,-2,112.0
9:51.0,C. Martin makes 2-pt jump shot from 20 ft,4-4, ,Tie,1,4,4,0,129.0
9:40.0, ,4-4,J. Smith misses 2-pt jump shot from 12 ft,,1,4,4,0,140.0
9:39.0,Defensive rebound by C. Martin,4-4, ,,1,4,4,0,141.0
9:35.0,Turnover by C. Martin (bad pass; steal by K. Porter),4-4, ,,1,4,4,0,145.0
9:31.0, ,4-6,K. Porter makes 2-pt layup from 2 ft,,1,4,6,-2,149.0
9:13.0,Turnover by T. Herro (bad pass; steal by J. Green),4-6, ,,1,4,6,-2,167.0
9:08.0, ,4-8,J. Green makes 2-pt layup from 2 ft,,1,4,8,-4,172.0
8:57.0,J. Butler misses 2-pt jump shot from 9 ft,4-8, ,,1,4,8,-4,183.0
8:56.0,Offensive rebound by J. Butler,4-8, ,,1,4,8,-4,184.0
8:46.0,J. Butler makes 2-pt jump shot from 5 ft,6-8, ,,1,6,8,-2,194.0
8:29.0, ,6-8,E. Gordon misses 3-pt jump shot from 28 ft (block by J. Butler),,1,6,8,-2,211.0
8:27.0,Defensive rebound by T. Herro,6-8, ,,1,6,8,-2,213.0
8:26.0,Turnover by T. Herro (bad pass),6-8, ,,1,6,8,-2,214.0
8:18.0, ,6-8,J. Green misses 2-pt jump shot from 20 ft (block by T. Herro),,1,6,8,-2,222.0
8:15.0, ,6-8,Offensive rebound by J. Green,,1,6,8,-2,225.0
8:15.0, ,6-8,J. Green misses 2-pt jump shot from 12 ft,,1,6,8,-2,225.0
8:12.0, ,6-8,Offensive rebound by J. Smith,,1,6,8,-2,228.0
7:57.0, ,6-8,J. Green misses 3-pt jump shot from 27 ft,,1,6,8,-2,243.0
7:56.0,Defensive rebound by T. Herro,6-8, ,,1,6,8,-2,244.0
7:48.0,T. Herro makes 3-pt jump shot from 26 ft,9-8, ,Lead change,1,9,8,1,252.0
7:33.0, ,9-10,A. Sengun makes 2-pt layup from 3 ft,Lead change,1,9,10,-1,267.0
7:20.0,T. Herro misses 3-pt jump shot from 24 ft,9-10, ,,1,9,10,-1,280.0
7:19.0, ,9-10,Defensive rebound by J. Green,,1,9,10,-1,281.0
7:10.0, ,9-10,J. Smith misses 3-pt jump shot from 24 ft,,1,9,10,-1,290.0
7:08.0, ,9-10,Offensive rebound by K. Porter,,1,9,10,-1,292.0
7:00.0, ,9-12,K. Porter makes 2-pt layup from 2 ft,,1,9,12,-3,300.0
6:50.0,M. Strus misses 3-pt jump shot from 25 ft,9-12, ,,1,9,12,-3,310.0
6:49.0, ,9-12,Defensive rebound by A. Sengun,,1,9,12,-3,311.0
6:43.0, ,9-12,Personal foul by M. Strus (drawn by A. Sengun),,1,9,12,-3,317.0
6:43.0, ,9-12,Houston full timeout,,1,9,12,-3,317.0
6:35.0, ,9-14,A. Sengun makes 2-pt hook shot from 9 ft (assist by J. Smith),,1,9,14,-5,325.0
6:10.0,M. Strus makes 2-pt jump shot from 10 ft,11-14, ,,1,11,14,-3,350.0
5:57.0, ,11-14,Turnover by K. Porter (bad pass; steal by T. Herro),,1,11,14,-3,363.0
5:49.0,Turnover by T. Herro (bad pass; steal by K. Porter),11-14, ,,1,11,14,-3,371.0
5:45.0, ,11-16,K. Porter makes 2-pt dunk from 3 ft,,1,11,16,-5,375.0
5:24.0,M. Strus misses 3-pt jump shot from 23 ft,11-16, ,,1,11,16,-5,396.0
5:24.0,Offensive rebound by U. Haslem,11-16, ,,1,11,16,-5,396.0
5:19.0,U. Haslem misses 2-pt jump shot from 13 ft,11-16, ,,1,11,16,-5,401.0
5:18.0,Offensive rebound by J. Butler,11-16, ,,1,11,16,-5,402.0
5:18.0,J. Butler makes 2-pt layup from 2 ft,13-16, ,,1,13,16,-3,402.0
5:18.0,Shooting foul by J. Smith (drawn by J. Butler),13-16, ,,1,13,16,-3,402.0
5:18.0,H. Highsmith enters the game for U. Haslem,13-16, ,,1,13,16,-3,402.0
