Time,Indiana,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Turner vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:37.0, ,0-2,J. Butler makes 2-pt hook shot from 5 ft,,1,2,0,2,23.0
11:22.0,B. Hield makes 3-pt jump shot from 26 ft,3-2, ,Lead change,1,2,3,-1,38.0
11:07.0, ,3-2,J. Butler misses 2-pt jump shot from 3 ft,,1,2,3,-1,53.0
11:06.0,Defensive rebound by M. Turner,3-2, ,,1,2,3,-1,54.0
11:02.0,Shooting foul by T. Herro (drawn by B. Mathurin),3-2, ,,1,2,3,-1,58.0
11:02.0,B. Mathurin misses free throw 1 of 2,3-2, ,,1,2,3,-1,58.0
11:02.0,Offensive rebound by Team,3-2, ,,1,2,3,-1,58.0
11:02.0,B. Mathurin makes free throw 2 of 2,4-2, ,,1,2,4,-2,58.0
10:48.0, ,4-2,K. Lowry misses 3-pt jump shot from 26 ft,,1,2,4,-2,72.0
10:44.0,Defensive rebound by M. Turner,4-2, ,,1,2,4,-2,76.0
10:40.0,Instant Replay,4-2, ,,1,2,4,-2,80.0
10:22.0,T. Haliburton misses 3-pt jump shot from 26 ft,4-2, ,,1,2,4,-2,98.0
10:19.0, ,4-2,Defensive rebound by Team,,1,2,4,-2,101.0
9:56.0, ,4-4,T. Herro makes 2-pt jump shot from 6 ft,Tie,1,4,4,0,124.0
9:42.0,B. Mathurin makes 2-pt jump shot from 12 ft (assist by M. Turner),6-4, ,,1,4,6,-2,138.0
9:32.0, ,6-4,B. Adebayo misses 2-pt jump shot from 13 ft,,1,4,6,-2,148.0
9:30.0,Defensive rebound by M. Turner,6-4, ,,1,4,6,-2,150.0
9:26.0,B. Hield misses 3-pt jump shot from 29 ft,6-4, ,,1,4,6,-2,154.0
9:22.0, ,6-4,Defensive rebound by C. Martin,,1,4,6,-2,158.0
9:11.0, ,6-6,B. Adebayo makes 2-pt jump shot from 9 ft,Tie,1,6,6,0,169.0
9:03.0,T. Haliburton makes 3-pt jump shot from 30 ft,9-6, ,,1,6,9,-3,177.0
8:41.0, ,9-8,J. Butler makes 2-pt layup from 5 ft,,1,8,9,-1,199.0
8:26.0,A. Nembhard misses 3-pt jump shot from 27 ft,9-8, ,,1,8,9,-1,214.0
8:25.0, ,9-8,Defensive rebound by Team,,1,8,9,-1,215.0
8:13.0, ,9-8,T. Herro misses 3-pt jump shot from 27 ft,,1,8,9,-1,227.0
8:11.0, ,9-8,Offensive rebound by T. Herro,,1,8,9,-1,229.0
7:59.0, ,9-8,K. Lowry misses 3-pt jump shot from 23 ft,,1,8,9,-1,241.0
7:55.0,Defensive rebound by T. Haliburton,9-8, ,,1,8,9,-1,245.0
7:48.0,T. Haliburton makes 3-pt jump shot from 23 ft (assist by B. Hield),12-8, ,,1,8,12,-4,252.0
7:37.0, ,12-8,T. Herro misses 3-pt jump shot from 25 ft,,1,8,12,-4,263.0
7:34.0,Defensive rebound by B. Mathurin,12-8, ,,1,8,12,-4,266.0
7:28.0,M. Turner misses 2-pt layup from 5 ft,12-8, ,,1,8,12,-4,272.0
7:24.0, ,12-8,Defensive rebound by C. Martin,,1,8,12,-4,276.0
7:12.0, ,12-10,B. Adebayo makes 2-pt jump shot from 11 ft,,1,10,12,-2,288.0
6:54.0,T. Haliburton makes 3-pt jump shot from 27 ft,15-10, ,,1,10,15,-5,306.0
6:40.0, ,15-13,K. Lowry makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,13,15,-2,320.0
6:20.0,B. Hield misses 2-pt jump shot from 12 ft,15-13, ,,1,13,15,-2,340.0
6:18.0, ,15-13,Defensive rebound by J. Butler,,1,13,15,-2,342.0
6:06.0, ,15-15,J. Butler makes 2-pt layup from 3 ft,Tie,1,15,15,0,354.0
6:06.0,Indiana full timeout,15-15, ,,1,15,15,0,354.0
6:06.0, ,15-15,V. Oladipo enters the game for T. Herro,,1,15,15,0,354.0
5:45.0,A. Nembhard makes 2-pt jump shot from 7 ft (assist by B. Hield),17-15, ,,1,15,17,-2,375.0
5:31.0, ,17-15,Personal foul by M. Turner (drawn by B. Adebayo),,1,15,17,-2,389.0
5:31.0,C. Duarte enters the game for B. Mathurin,17-15, ,,1,15,17,-2,389.0
5:16.0, ,17-15,V. Oladipo misses 3-pt jump shot from 26 ft (block by T. Haliburton),,1,15,17,-2,404.0
5:14.0,Defensive rebound by A. Nembhard,17-15, ,,1,15,17,-2,406.0
5:11.0,T. Haliburton makes 3-pt jump shot from 22 ft (assist by A. Nembhard),20-15, ,,1,15,20,-5,409.0
4:54.0, ,20-15,Def 3 sec tech foul by Team,,1,15,20,-5,426.0
4:54.0, ,20-16,J. Butler makes technical free throw,,1,16,20,-4,426.0
4:54.0, ,20-16,M. Strus enters the game for C. Martin,,1,16,20,-4,426.0
4:44.0, ,20-16,Shooting foul by A. Nembhard (drawn by J. Butler),,1,16,20,-4,436.0
4:44.0, ,20-16,J. Butler misses free throw 1 of 2,,1,16,20,-4,436.0
4:44.0, ,20-16,Offensive rebound by Team,,1,16,20,-4,436.0
4:44.0, ,20-16,O. Robinson enters the game for B. Adebayo,,1,16,20,-4,436.0
4:44.0, ,20-17,J. Butler makes free throw 2 of 2,,1,17,20,-3,436.0
4:32.0,B. Hield misses 3-pt jump shot from 26 ft,20-17, ,,1,17,20,-3,448.0
4:29.0, ,20-17,Defensive rebound by K. Lowry,,1,17,20,-3,451.0
4:21.0, ,20-17,Turnover by J. Butler (bad pass),,1,17,20,-3,459.0
4:21.0,T. McConnell enters the game for A. Nembhard,20-17, ,,1,17,20,-3,459.0
4:21.0,J. Smith enters the game for M. Turner,20-17, ,,1,17,20,-3,459.0
4:05.0,T. McConnell misses 3-pt jump shot from 24 ft,20-17, ,,1,17,20,-3,475.0
4:05.0, ,20-17,Defensive rebound by Team,,1,17,20,-3,475.0
4:05.0,Loose ball foul by C. Duarte (drawn by V. Oladipo),20-17, ,,1,17,20,-3,475.0
3:54.0, ,20-17,Turnover by V. Oladipo (bad pass; steal by C. Duarte),,1,17,20,-3,486.0
3:52.0,C. Duarte makes 2-pt layup from 3 ft,22-17, ,,1,17,22,-5,488.0
3:52.0, ,22-17,Violation by Team (def goaltending),,1,17,22,-5,488.0
3:35.0, ,22-17,J. Butler misses 2-pt jump shot from 11 ft,,1,17,22,-5,505.0
3:33.0, ,22-17,Offensive rebound by J. Butler,,1,17,22,-5,507.0
3:33.0, ,22-17,Personal foul by B. Hield (drawn by J. Butler),,1,17,22,-5,507.0
3:22.0, ,22-17,K. Lowry misses 3-pt jump shot from 24 ft,,1,17,22,-5,518.0
3:18.0,Defensive rebound by B. Hield,22-17, ,,1,17,22,-5,522.0
3:12.0,J. Smith makes 2-pt hook shot from 7 ft (assist by T. McConnell),24-17, ,,1,17,24,-7,528.0
3:02.0, ,24-17,Shooting foul by C. Duarte (drawn by J. Butler),,1,17,24,-7,538.0
3:02.0, ,24-18,J. Butler makes free throw 1 of 2,,1,18,24,-6,538.0
3:02.0,O. Brissett enters the game for B. Hield,24-18, ,,1,18,24,-6,538.0
3:02.0, ,24-18,T. Herro enters the game for K. Lowry,,1,18,24,-6,538.0
3:02.0, ,24-19,J. Butler makes free throw 2 of 2,,1,19,24,-5,538.0
2:53.0,Turnover by T. Haliburton (bad pass; steal by J. Butler),24-19, ,,1,19,24,-5,547.0
2:48.0, ,24-21,J. Butler makes 2-pt dunk from 1 ft (assist by M. Strus),,1,21,24,-3,552.0
2:42.0,Shooting foul by O. Robinson (drawn by T. Haliburton),24-21, ,,1,21,24,-3,558.0
2:42.0, ,24-21,Miami full timeout,,1,21,24,-3,558.0
2:42.0,B. Mathurin enters the game for C. Duarte,24-21, ,,1,21,24,-3,558.0
2:42.0, ,24-21,H. Highsmith enters the game for J. Butler,,1,21,24,-3,558.0
2:42.0,T. Haliburton makes free throw 1 of 2,25-21, ,,1,21,25,-4,558.0
2:42.0,T. Haliburton makes free throw 2 of 2,26-21, ,,1,21,26,-5,558.0
2:26.0, ,26-21,M. Strus misses 3-pt jump shot from 24 ft,,1,21,26,-5,574.0
2:24.0,Defensive rebound by J. Smith,26-21, ,,1,21,26,-5,576.0
2:20.0,Turnover by B. Mathurin (traveling),26-21, ,,1,21,26,-5,580.0
2:06.0, ,26-21,Turnover by O. Robinson (bad pass),,1,21,26,-5,594.0
1:49.0,J. Smith misses 2-pt jump shot from 8 ft,26-21, ,,1,21,26,-5,611.0
1:47.0, ,26-21,Defensive rebound by M. Strus,,1,21,26,-5,613.0
1:38.0, ,26-24,T. Herro makes 3-pt jump shot from 23 ft (assist by H. Highsmith),,1,24,26,-2,622.0
1:16.0,Turnover by T. Haliburton (bad pass; steal by H. Highsmith),26-24, ,,1,24,26,-2,644.0
1:10.0, ,26-26,H. Highsmith makes 2-pt layup from 3 ft,Tie,1,26,26,0,650.0
1:05.0,Offensive foul by B. Mathurin (drawn by H. Highsmith),26-26, ,,1,26,26,0,655.0
1:05.0,Turnover by B. Mathurin (offensive foul),26-26, ,,1,26,26,0,655.0
0:53.0, ,26-28,V. Oladipo makes 2-pt layup from 3 ft,Lead change,1,28,26,2,667.0
0:46.0,T. McConnell makes 2-pt layup from 2 ft,28-28, ,Tie,1,28,28,0,674.0
0:33.0, ,28-28,M. Strus misses 3-pt jump shot from 26 ft,,1,28,28,0,687.0
0:30.0, ,28-28,Offensive rebound by O. Robinson,,1,28,28,0,690.0
0:28.0, ,28-28,O. Robinson misses 2-pt layup from 2 ft,,1,28,28,0,692.0
0:26.0,Defensive rebound by J. Smith,28-28, ,,1,28,28,0,694.0
0:14.0,J. Smith makes 3-pt jump shot from 26 ft (assist by T. Haliburton),31-28, ,Lead change,1,28,31,-3,706.0
0:00.0,Instant Replay (Request: Ruling Stands),31-28, ,,1,28,31,-3,720.0
0:00.0,End of 1st quarter,31-28,,,1,28,31,-3,720.0
12:00.0,Start of 2nd quarter,31-28,,,2,28,31,-3,720.0
11:40.0,Turnover by T. McConnell (bad pass; steal by M. Strus),31-28, ,,2,28,31,-3,740.0
11:36.0, ,31-30,T. Herro makes 2-pt layup from 2 ft (assist by M. Strus),,2,30,31,-1,744.0
11:21.0,T. McConnell misses 2-pt jump shot from 3 ft,31-30, ,,2,30,31,-1,759.0
11:19.0, ,31-30,Defensive rebound by O. Robinson,,2,30,31,-1,761.0
11:07.0, ,31-32,H. Highsmith makes 2-pt layup from 3 ft (assist by V. Oladipo),Lead change,2,32,31,1,773.0
10:54.0,B. Hield makes 3-pt jump shot from 27 ft (assist by T. McConnell),34-32, ,Lead change,2,32,34,-2,786.0
10:37.0, ,34-34,T. Herro makes 2-pt layup from 5 ft,Tie,2,34,34,0,803.0
10:20.0,O. Brissett misses 2-pt layup from 6 ft,34-34, ,,2,34,34,0,820.0
10:19.0,Offensive rebound by J. Smith,34-34, ,,2,34,34,0,821.0
10:19.0,Personal foul by O. Robinson (drawn by J. Smith),34-34, ,,2,34,34,0,821.0
10:19.0,M. Turner enters the game for J. Smith,34-34, ,,2,34,34,0,821.0
10:19.0, ,34-34,B. Adebayo enters the game for O. Robinson,,2,34,34,0,821.0
10:09.0,Turnover by M. Turner (3 sec),34-34, ,,2,34,34,0,831.0
9:52.0, ,34-34,T. Herro misses 2-pt jump shot from 12 ft,,2,34,34,0,848.0
9:48.0, ,34-34,Offensive rebound by B. Adebayo,,2,34,34,0,852.0
9:48.0, ,34-34,B. Adebayo misses 2-pt layup at rim,,2,34,34,0,852.0
9:46.0,Defensive rebound by M. Turner,34-34, ,,2,34,34,0,854.0
9:42.0,T. McConnell misses 2-pt jump shot from 5 ft,34-34, ,,2,34,34,0,858.0
9:40.0, ,34-34,Defensive rebound by M. Strus,,2,34,34,0,860.0
9:22.0, ,34-34,B. Adebayo misses 2-pt jump shot from 11 ft,,2,34,34,0,878.0
9:20.0, ,34-34,Offensive rebound by Team,,2,34,34,0,880.0
9:13.0, ,34-34,Turnover by T. Herro (bad pass; steal by M. Turner),,2,34,34,0,887.0
9:09.0,B. Hield makes 3-pt jump shot from 25 ft (assist by T. McConnell),37-34, ,,2,34,37,-3,891.0
8:53.0, ,37-36,B. Adebayo makes 2-pt jump shot from 15 ft,,2,36,37,-1,907.0
8:34.0,B. Mathurin misses 2-pt jump shot from 11 ft (block by H. Highsmith),37-36, ,,2,36,37,-1,926.0
8:30.0, ,37-36,Defensive rebound by M. Strus,,2,36,37,-1,930.0
8:26.0, ,37-36,V. Oladipo misses 2-pt layup from 3 ft,,2,36,37,-1,934.0
8:22.0, ,37-36,Offensive rebound by B. Adebayo,,2,36,37,-1,938.0
8:22.0, ,37-36,B. Adebayo misses 2-pt dunk at rim,,2,36,37,-1,938.0
8:21.0,Defensive rebound by B. Hield,37-36, ,,2,36,37,-1,939.0
8:14.0,T. McConnell misses 2-pt jump shot from 23 ft,37-36, ,,2,36,37,-1,946.0
8:11.0, ,37-36,Defensive rebound by M. Strus,,2,36,37,-1,949.0
8:08.0, ,37-36,T. Herro misses 3-pt jump shot from 25 ft,,2,36,37,-1,952.0
8:03.0,Defensive rebound by B. Mathurin,37-36, ,,2,36,37,-1,957.0
7:54.0,B. Hield makes 3-pt jump shot from 23 ft (assist by T. McConnell),40-36, ,,2,36,40,-4,966.0
7:53.0, ,40-36,Miami full timeout,,2,36,40,-4,967.0
7:53.0,C. Duarte enters the game for B. Mathurin,40-36, ,,2,36,40,-4,967.0
7:53.0, ,40-36,J. Butler enters the game for T. Herro,,2,36,40,-4,967.0
7:53.0, ,40-36,K. Lowry enters the game for V. Oladipo,,2,36,40,-4,967.0
7:34.0, ,40-36,K. Lowry misses 2-pt jump shot from 13 ft,,2,36,40,-4,986.0
7:33.0,Defensive rebound by M. Turner,40-36, ,,2,36,40,-4,987.0
7:27.0,Offensive foul by M. Turner (drawn by M. Strus),40-36, ,,2,36,40,-4,993.0
7:27.0,Turnover by M. Turner (offensive foul),40-36, ,,2,36,40,-4,993.0
7:15.0, ,40-36,Personal foul by M. Turner (drawn by B. Adebayo),,2,36,40,-4,1005.0
7:15.0,J. Smith enters the game for M. Turner,40-36, ,,2,36,40,-4,1005.0
7:06.0, ,40-38,B. Adebayo makes 2-pt layup from 3 ft (assist by J. Butler),,2,38,40,-2,1014.0
6:56.0,Turnover by J. Smith (traveling),40-38, ,,2,38,40,-2,1024.0
6:40.0, ,40-38,Shooting foul by J. Smith (drawn by B. Adebayo),,2,38,40,-2,1040.0
6:40.0, ,40-39,B. Adebayo makes free throw 1 of 2,,2,39,40,-1,1040.0
6:40.0,T. Haliburton enters the game for O. Brissett,40-39, ,,2,39,40,-1,1040.0
6:40.0,A. Nembhard enters the game for T. McConnell,40-39, ,,2,39,40,-1,1040.0
6:40.0, ,40-40,B. Adebayo makes free throw 2 of 2,Tie,2,40,40,0,1040.0
6:24.0,B. Hield misses 2-pt jump shot from 10 ft,40-40, ,,2,40,40,0,1056.0
6:20.0, ,40-40,Defensive rebound by J. Butler,,2,40,40,0,1060.0
6:00.0, ,40-40,K. Lowry misses 2-pt jump shot from 14 ft,,2,40,40,0,1080.0
5:57.0,Defensive rebound by J. Smith,40-40, ,,2,40,40,0,1083.0
5:49.0,T. Haliburton makes 3-pt jump shot from 31 ft (assist by C. Duarte),43-40, ,,2,40,43,-3,1091.0
5:29.0, ,43-40,M. Strus misses 3-pt jump shot from 24 ft,,2,40,43,-3,1111.0
5:26.0, ,43-40,Offensive rebound by K. Lowry,,2,40,43,-3,1114.0
5:20.0, ,43-40,B. Adebayo misses 2-pt jump shot from 16 ft,,2,40,43,-3,1120.0
5:18.0,Defensive rebound by J. Smith,43-40, ,,2,40,43,-3,1122.0
5:12.0,A. Nembhard makes 2-pt jump shot from 10 ft (assist by T. Haliburton),45-40, ,,2,40,45,-5,1128.0
4:59.0, ,45-40,Personal foul by B. Hield (drawn by B. Adebayo),,2,40,45,-5,1141.0
4:59.0,O. Brissett enters the game for B. Hield,45-40, ,,2,40,45,-5,1141.0
4:59.0, ,45-40,C. Martin enters the game for H. Highsmith,,2,40,45,-5,1141.0
4:55.0, ,45-43,M. Strus makes 3-pt jump shot from 26 ft (assist by J. Butler),,2,43,45,-2,1145.0
4:40.0,C. Duarte makes 2-pt layup from 5 ft,47-43, ,,2,43,47,-4,1160.0
4:21.0, ,47-46,M. Strus makes 3-pt jump shot from 26 ft (assist by J. Butler),,2,46,47,-1,1179.0
4:02.0,A. Nembhard makes 3-pt jump shot from 27 ft (assist by O. Brissett),50-46, ,,2,46,50,-4,1198.0
4:01.0, ,50-46,Miami full timeout,,2,46,50,-4,1199.0
4:01.0, ,50-46,T. Herro enters the game for M. Strus,,2,46,50,-4,1199.0
3:38.0, ,50-48,J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry),,2,48,50,-2,1222.0
3:29.0,O. Brissett makes 2-pt layup from 2 ft (assist by T. Haliburton),52-48, ,,2,48,52,-4,1231.0
3:15.0, ,52-48,B. Adebayo misses 2-pt jump shot from 6 ft,,2,48,52,-4,1245.0
3:13.0, ,52-48,Offensive rebound by B. Adebayo,,2,48,52,-4,1247.0
3:11.0, ,52-48,Turnover by B. Adebayo (lost ball; steal by A. Nembhard),,2,48,52,-4,1249.0
3:09.0,Offensive foul by A. Nembhard (drawn by K. Lowry),52-48, ,,2,48,52,-4,1251.0
3:09.0,Turnover by A. Nembhard (offensive foul),52-48, ,,2,48,52,-4,1251.0
2:57.0, ,52-48,Turnover by T. Herro (bad pass; steal by A. Nembhard),,2,48,52,-4,1263.0
2:51.0,T. Haliburton misses 3-pt jump shot from 27 ft,52-48, ,,2,48,52,-4,1269.0
2:48.0,Offensive rebound by Team,52-48, ,,2,48,52,-4,1272.0
2:44.0,T. Haliburton misses 3-pt jump shot from 24 ft,52-48, ,,2,48,52,-4,1276.0
2:36.0,Offensive rebound by A. Nembhard,52-48, ,,2,48,52,-4,1284.0
2:36.0,Turnover by A. Nembhard (bad pass; steal by C. Martin),52-48, ,,2,48,52,-4,1284.0
2:33.0, ,52-51,T. Herro makes 3-pt jump shot from 26 ft (assist by C. Martin),,2,51,52,-1,1287.0
2:18.0,C. Duarte misses 3-pt jump shot from 25 ft,52-51, ,,2,51,52,-1,1302.0
2:17.0, ,52-51,Defensive rebound by T. Herro,,2,51,52,-1,1303.0
2:03.0, ,52-54,K. Lowry makes 3-pt jump shot from 26 ft,Lead change,2,54,52,2,1317.0
2:02.0,Indiana full timeout,52-54, ,,2,54,52,2,1318.0
2:02.0,B. Hield enters the game for C. Duarte,52-54, ,,2,54,52,2,1318.0
1:51.0,J. Smith makes 2-pt layup from 3 ft (assist by T. Haliburton),54-54, ,Tie,2,54,54,0,1329.0
1:51.0,Shooting foul by J. Butler (drawn by J. Smith),54-54, ,,2,54,54,0,1329.0
1:51.0,J. Smith makes free throw 1 of 1,55-54, ,Lead change,2,54,55,-1,1329.0
1:41.0, ,55-54,B. Adebayo misses 2-pt jump shot from 8 ft,,2,54,55,-1,1339.0
1:37.0,Defensive rebound by O. Brissett,55-54, ,,2,54,55,-1,1343.0
