Time,Minnesota,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: R. Gobert vs. N. Jović (D. Russell gains possession),0-0,,,1,0,0,0,0.0
11:45.0,A. Edwards makes 2-pt jump shot from 17 ft (assist by D. Russell),2-0, ,,1,0,2,-2,15.0
11:35.0, ,2-0,Personal foul by D. Russell (drawn by M. Strus),,1,0,2,-2,25.0
11:29.0, ,2-3,M. Strus makes 3-pt jump shot from 26 ft (assist by T. Herro),Lead change,1,3,2,1,31.0
11:16.0,J. McDaniels misses 2-pt jump shot from 6 ft,2-3, ,,1,3,2,1,44.0
11:11.0, ,2-3,Defensive rebound by M. Strus,,1,3,2,1,49.0
11:07.0, ,2-3,T. Herro misses 3-pt jump shot from 26 ft,,1,3,2,1,53.0
11:04.0,Defensive rebound by A. Rivers,2-3, ,,1,3,2,1,56.0
10:53.0,A. Edwards misses 2-pt jump shot from 13 ft,2-3, ,,1,3,2,1,67.0
10:50.0,Offensive rebound by R. Gobert,2-3, ,,1,3,2,1,70.0
10:50.0,Shooting foul by N. Jović (drawn by R. Gobert),2-3, ,,1,3,2,1,70.0
10:50.0,R. Gobert misses free throw 1 of 2,2-3, ,,1,3,2,1,70.0
10:50.0,Offensive rebound by Team,2-3, ,,1,3,2,1,70.0
10:50.0,R. Gobert misses free throw 2 of 2,2-3, ,,1,3,2,1,70.0
10:47.0, ,2-3,Defensive rebound by C. Martin,,1,3,2,1,73.0
10:37.0, ,2-5,N. Jović makes 2-pt layup from 4 ft (assist by K. Lowry),,1,5,2,3,83.0
10:27.0,D. Russell makes 3-pt jump shot from 25 ft,5-5, ,Tie,1,5,5,0,93.0
10:12.0, ,5-5,N. Jović misses 3-pt jump shot from 26 ft,,1,5,5,0,108.0
10:09.0,Defensive rebound by A. Rivers,5-5, ,,1,5,5,0,111.0
10:06.0,Turnover by A. Rivers (discontinued dribble),5-5, ,,1,5,5,0,114.0
9:49.0, ,5-5,C. Martin misses 3-pt jump shot from 25 ft,,1,5,5,0,131.0
9:45.0,Defensive rebound by A. Rivers,5-5, ,,1,5,5,0,135.0
9:38.0,A. Edwards makes 3-pt jump shot from 25 ft (assist by A. Rivers),8-5, ,Lead change,1,5,8,-3,142.0
9:31.0, ,8-5,M. Strus misses 3-pt jump shot from 25 ft,,1,5,8,-3,149.0
9:27.0,Defensive rebound by R. Gobert,8-5, ,,1,5,8,-3,153.0
9:20.0,A. Rivers misses 3-pt jump shot from 23 ft,8-5, ,,1,5,8,-3,160.0
9:20.0,Offensive rebound by Team,8-5, ,,1,5,8,-3,160.0
9:20.0, ,8-5,Loose ball foul by N. Jović (drawn by R. Gobert),,1,5,8,-3,160.0
9:07.0,D. Russell misses 3-pt jump shot from 25 ft,8-5, ,,1,5,8,-3,173.0
9:02.0, ,8-5,Defensive rebound by N. Jović,,1,5,8,-3,178.0
8:45.0, ,8-7,T. Herro makes 2-pt jump shot from 7 ft,,1,7,8,-1,195.0
8:36.0,Turnover by A. Edwards (bad pass),8-7, ,,1,7,8,-1,204.0
8:22.0, ,8-7,C. Martin misses 2-pt jump shot from 8 ft,,1,7,8,-1,218.0
8:17.0,Defensive rebound by R. Gobert,8-7, ,,1,7,8,-1,223.0
8:11.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. McDaniels),10-7, ,,1,7,10,-3,229.0
8:02.0, ,10-9,K. Lowry makes 2-pt jump shot from 12 ft,,1,9,10,-1,238.0
7:41.0,R. Gobert misses 2-pt layup from 3 ft,10-9, ,,1,9,10,-1,259.0
7:38.0, ,10-9,Defensive rebound by M. Strus,,1,9,10,-1,262.0
7:32.0, ,10-9,K. Lowry misses 2-pt jump shot from 6 ft (block by J. McDaniels),,1,9,10,-1,268.0
7:31.0,Defensive rebound by R. Gobert,10-9, ,,1,9,10,-1,269.0
7:27.0,Turnover by D. Russell (lost ball; steal by T. Herro),10-9, ,,1,9,10,-1,273.0
7:24.0, ,10-11,K. Lowry makes 2-pt layup from 1 ft (assist by T. Herro),Lead change,1,11,10,1,276.0
7:01.0,R. Gobert makes 2-pt jump shot from 13 ft (assist by J. McDaniels),12-11, ,Lead change,1,11,12,-1,299.0
6:55.0, ,12-11,Personal foul by J. McDaniels (drawn by T. Herro),,1,11,12,-1,305.0
6:55.0, ,12-11,Miami full timeout,,1,11,12,-1,305.0
6:43.0, ,12-13,N. Jović makes 2-pt jump shot from 15 ft (assist by T. Herro),Lead change,1,13,12,1,317.0
6:31.0,Personal foul by T. Herro (drawn by D. Russell),12-13, ,,1,13,12,1,329.0
6:22.0,D. Russell misses 3-pt jump shot from 26 ft,12-13, ,,1,13,12,1,338.0
6:18.0, ,12-13,Defensive rebound by K. Lowry,,1,13,12,1,342.0
6:00.0, ,12-13,M. Strus misses 3-pt jump shot from 23 ft,,1,13,12,1,360.0
5:57.0,Defensive rebound by A. Rivers,12-13, ,,1,13,12,1,363.0
5:52.0,A. Rivers makes 2-pt layup from 3 ft,14-13, ,Lead change,1,13,14,-1,368.0
5:46.0, ,14-15,C. Martin makes 2-pt layup from 6 ft,Lead change,1,15,14,1,374.0
5:46.0, ,14-15,Shooting foul by D. Russell (drawn by C. Martin),,1,15,14,1,374.0
5:46.0,J. Nowell enters the game for R. Gobert,14-15, ,,1,15,14,1,374.0
5:46.0,N. Reid enters the game for D. Russell,14-15, ,,1,15,14,1,374.0
5:46.0, ,14-15,V. Oladipo enters the game for M. Strus,,1,15,14,1,374.0
5:46.0, ,14-15,C. Martin misses free throw 1 of 1,,1,15,14,1,374.0
5:43.0,Defensive rebound by N. Reid,14-15, ,,1,15,14,1,377.0
5:37.0,A. Edwards makes 3-pt jump shot from 26 ft (assist by J. Nowell),17-15, ,Lead change,1,15,17,-2,383.0
5:11.0, ,17-15,Turnover by C. Martin (bad pass; steal by A. Rivers),,1,15,17,-2,409.0
5:02.0,N. Reid misses 3-pt jump shot from 26 ft,17-15, ,,1,15,17,-2,418.0
5:00.0, ,17-15,Defensive rebound by V. Oladipo,,1,15,17,-2,420.0
4:55.0, ,17-15,K. Lowry misses 3-pt jump shot from 25 ft,,1,15,17,-2,425.0
4:50.0,Defensive rebound by J. Nowell,17-15, ,,1,15,17,-2,430.0
4:39.0,J. Nowell misses 2-pt jump shot from 18 ft,17-15, ,,1,15,17,-2,441.0
4:35.0, ,17-15,Defensive rebound by N. Jović,,1,15,17,-2,445.0
4:30.0, ,17-15,Personal foul by N. Reid (drawn by C. Martin),,1,15,17,-2,450.0
4:30.0,B. Forbes enters the game for A. Rivers,17-15, ,,1,15,17,-2,450.0
4:30.0, ,17-15,H. Highsmith enters the game for N. Jović,,1,15,17,-2,450.0
4:30.0, ,17-15,O. Robinson enters the game for C. Martin,,1,15,17,-2,450.0
4:21.0, ,17-17,O. Robinson makes 2-pt layup from 2 ft (assist by V. Oladipo),Tie,1,17,17,0,459.0
4:10.0,J. McDaniels makes 2-pt hook shot from 7 ft (assist by N. Reid),19-17, ,,1,17,19,-2,470.0
3:59.0, ,19-19,O. Robinson makes 2-pt layup from 2 ft (assist by K. Lowry),Tie,1,19,19,0,481.0
3:43.0,Turnover by J. McDaniels (bad pass; steal by T. Herro),19-19, ,,1,19,19,0,497.0
3:31.0, ,19-19,T. Herro misses 3-pt jump shot from 26 ft,,1,19,19,0,509.0
3:26.0,Defensive rebound by N. Reid,19-19, ,,1,19,19,0,514.0
3:18.0,J. McDaniels makes 3-pt jump shot from 26 ft (assist by N. Reid),22-19, ,,1,19,22,-3,522.0
3:04.0, ,22-21,K. Lowry makes 2-pt layup from 6 ft,,1,21,22,-1,536.0
2:50.0,Turnover by J. McDaniels (bad pass),22-21, ,,1,21,22,-1,550.0
2:50.0,Minnesota full timeout,22-21, ,,1,21,22,-1,550.0
2:50.0,M. Ryan enters the game for J. McDaniels,22-21, ,,1,21,22,-1,550.0
2:50.0, ,22-21,D. Robinson enters the game for T. Herro,,1,21,22,-1,550.0
2:39.0, ,22-23,K. Lowry makes 2-pt jump shot from 10 ft (assist by V. Oladipo),Lead change,1,23,22,1,561.0
2:32.0,Shooting foul by H. Highsmith (drawn by A. Edwards),22-23, ,,1,23,22,1,568.0
2:32.0,A. Edwards makes free throw 1 of 2,23-23, ,Tie,1,23,23,0,568.0
2:32.0,A. Edwards makes free throw 2 of 2,24-23, ,Lead change,1,23,24,-1,568.0
2:27.0, ,24-23,Shooting foul by B. Forbes (drawn by V. Oladipo),,1,23,24,-1,573.0
2:27.0, ,24-24,V. Oladipo makes free throw 1 of 2,Tie,1,24,24,0,573.0
2:27.0, ,24-25,V. Oladipo makes free throw 2 of 2,Lead change,1,25,24,1,573.0
2:08.0,B. Forbes misses 3-pt jump shot from 27 ft,24-25, ,,1,25,24,1,592.0
2:05.0, ,24-25,Defensive rebound by D. Robinson,,1,25,24,1,595.0
2:01.0, ,24-27,V. Oladipo makes 2-pt jump shot from 9 ft,,1,27,24,3,599.0
2:01.0, ,24-27,Shooting foul by J. Nowell (drawn by V. Oladipo),,1,27,24,3,599.0
2:01.0,R. Gobert enters the game for A. Edwards,24-27, ,,1,27,24,3,599.0
2:01.0, ,24-27,G. Vincent enters the game for K. Lowry,,1,27,24,3,599.0
2:01.0, ,24-28,V. Oladipo makes free throw 1 of 1,,1,28,24,4,599.0
1:47.0,J. Nowell misses 3-pt jump shot from 23 ft,24-28, ,,1,28,24,4,613.0
1:43.0, ,24-28,Defensive rebound by H. Highsmith,,1,28,24,4,617.0
1:37.0, ,24-31,D. Robinson makes 3-pt jump shot from 28 ft (assist by H. Highsmith),,1,31,24,7,623.0
1:21.0,R. Gobert makes 2-pt layup from 4 ft (assist by M. Ryan),26-31, ,,1,31,26,5,639.0
1:11.0, ,26-31,V. Oladipo misses 2-pt layup from 2 ft,,1,31,26,5,649.0
