Time,Miami,Score,LA Clippers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. I. Zubac (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:41.0,Turnover by T. Herro (bad pass),0-0, ,,1,0,0,0,19.0
11:25.0, ,0-0,R. Jackson misses 2-pt jump shot from 18 ft,,1,0,0,0,35.0
11:21.0,Defensive rebound by T. Herro,0-0, ,,1,0,0,0,39.0
11:08.0,C. Martin misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,52.0
11:04.0, ,0-0,Defensive rebound by T. Mann,,1,0,0,0,56.0
10:50.0, ,0-3,M. Morris makes 3-pt jump shot from 26 ft (assist by R. Jackson),,1,0,3,-3,70.0
10:36.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Herro),2-3, ,,1,2,3,-1,84.0
10:22.0, ,2-5,R. Jackson makes 2-pt layup from 2 ft (assist by P. George),,1,2,5,-3,98.0
10:03.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Herro),4-5, ,,1,4,5,-1,117.0
9:47.0, ,4-7,I. Zubac makes 2-pt hook shot from 5 ft (assist by R. Jackson),,1,4,7,-3,133.0
9:29.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),7-7, ,Tie,1,7,7,0,151.0
9:18.0, ,7-7,P. George misses 3-pt jump shot from 27 ft,,1,7,7,0,162.0
9:15.0, ,7-7,Offensive rebound by I. Zubac,,1,7,7,0,165.0
9:13.0, ,7-7,Turnover by I. Zubac (bad pass; steal by B. Adebayo),,1,7,7,0,167.0
9:08.0,C. Martin misses 3-pt jump shot from 24 ft,7-7, ,,1,7,7,0,172.0
9:03.0, ,7-7,Defensive rebound by M. Morris,,1,7,7,0,177.0
8:52.0, ,7-7,Turnover by M. Morris (bad pass),,1,7,7,0,188.0
8:40.0,J. Butler misses 3-pt jump shot from 23 ft,7-7, ,,1,7,7,0,200.0
8:36.0, ,7-7,Defensive rebound by M. Morris,,1,7,7,0,204.0
8:18.0, ,7-7,Shooting foul by C. Martin (drawn by M. Morris),,1,7,7,0,222.0
8:18.0, ,7-8,M. Morris makes free throw 1 of 3,,1,7,8,-1,222.0
8:18.0, ,7-9,M. Morris makes free throw 2 of 3,,1,7,9,-2,222.0
8:18.0, ,7-10,M. Morris makes free throw 3 of 3,,1,7,10,-3,222.0
8:04.0,Turnover by J. Butler (bad pass; steal by P. George),7-10, ,,1,7,10,-3,236.0
8:02.0, ,7-12,P. George makes 2-pt dunk from 1 ft,,1,7,12,-5,238.0
7:40.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by C. Martin),10-12, ,,1,10,12,-2,260.0
7:24.0, ,10-14,I. Zubac makes 2-pt dunk from 1 ft (assist by P. George),,1,10,14,-4,276.0
7:11.0,B. Adebayo makes 2-pt jump shot from 6 ft (assist by J. Butler),12-14, ,,1,12,14,-2,289.0
6:58.0, ,12-14,Turnover by P. George (bad pass; steal by J. Butler),,1,12,14,-2,302.0
6:54.0,T. Herro makes 2-pt layup from 1 ft (assist by J. Butler),14-14, ,Tie,1,14,14,0,306.0
6:45.0, ,14-14,Turnover by T. Mann (bad pass; steal by T. Herro),,1,14,14,0,315.0
6:38.0,T. Herro misses 3-pt jump shot from 26 ft,14-14, ,,1,14,14,0,322.0
6:35.0, ,14-14,Defensive rebound by P. George,,1,14,14,0,325.0
6:15.0, ,14-14,M. Morris misses 2-pt jump shot from 16 ft (block by C. Martin),,1,14,14,0,345.0
6:11.0,Defensive rebound by K. Lowry,14-14, ,,1,14,14,0,349.0
6:07.0,C. Martin makes 2-pt layup from 2 ft (assist by K. Lowry),16-14, ,Lead change,1,16,14,2,353.0
6:07.0, ,16-14,LA Clippers full timeout,,1,16,14,2,353.0
6:07.0,O. Robinson enters the game for B. Adebayo,16-14, ,,1,16,14,2,353.0
5:52.0, ,16-14,R. Jackson misses 2-pt hook shot from 5 ft,,1,16,14,2,368.0
5:50.0,Defensive rebound by T. Herro,16-14, ,,1,16,14,2,370.0
5:44.0,Personal foul by T. Mann (drawn by J. Butler),16-14, ,,1,16,14,2,376.0
5:44.0,V. Oladipo enters the game for C. Martin,16-14, ,,1,16,14,2,376.0
5:32.0,J. Butler makes 2-pt jump shot from 7 ft (assist by K. Lowry),18-14, ,,1,18,14,4,388.0
5:20.0, ,18-16,T. Mann makes 2-pt dunk from 3 ft (assist by P. George),,1,18,16,2,400.0
5:02.0,Shooting foul by T. Mann (drawn by T. Herro),18-16, ,,1,18,16,2,418.0
5:02.0,T. Herro makes free throw 1 of 2,19-16, ,,1,19,16,3,418.0
5:02.0, ,19-16,N. Batum enters the game for T. Mann,,1,19,16,3,418.0
5:02.0, ,19-16,N. Powell enters the game for I. Zubac,,1,19,16,3,418.0
5:02.0,T. Herro makes free throw 2 of 2,20-16, ,,1,20,16,4,418.0
4:48.0, ,20-16,P. George misses 2-pt jump shot from 18 ft,,1,20,16,4,432.0
4:44.0,Defensive rebound by O. Robinson,20-16, ,,1,20,16,4,436.0
4:23.0,J. Butler misses 3-pt jump shot from 27 ft,20-16, ,,1,20,16,4,457.0
4:17.0,Offensive rebound by O. Robinson,20-16, ,,1,20,16,4,463.0
4:17.0,O. Robinson misses 2-pt layup at rim,20-16, ,,1,20,16,4,463.0
4:13.0,O. Robinson makes 2-pt layup at rim,22-16, ,,1,22,16,6,467.0
4:12.0, ,22-16,Personal foul by V. Oladipo (drawn by R. Jackson),,1,22,16,6,468.0
4:12.0, ,22-16,J. Wall enters the game for R. Jackson,,1,22,16,6,468.0
4:06.0, ,22-16,Shooting foul by K. Lowry (drawn by P. George),,1,22,16,6,474.0
4:06.0, ,22-17,P. George makes free throw 1 of 2,,1,22,17,5,474.0
4:06.0, ,22-18,P. George makes free throw 2 of 2,,1,22,18,4,474.0
3:50.0,V. Oladipo makes 2-pt layup from 4 ft (assist by J. Butler),24-18, ,,1,24,18,6,490.0
3:33.0, ,24-21,P. George makes 3-pt jump shot from 23 ft (assist by J. Wall),,1,24,21,3,507.0
3:26.0,K. Lowry misses 3-pt jump shot from 26 ft,24-21, ,,1,24,21,3,514.0
3:22.0, ,24-21,Defensive rebound by M. Morris,,1,24,21,3,518.0
3:12.0, ,24-21,M. Morris misses 3-pt jump shot from 26 ft,,1,24,21,3,528.0
3:08.0,Defensive rebound by O. Robinson,24-21, ,,1,24,21,3,532.0
3:00.0,T. Herro misses 2-pt jump shot from 15 ft (block by N. Powell),24-21, ,,1,24,21,3,540.0
2:57.0,Offensive rebound by K. Lowry,24-21, ,,1,24,21,3,543.0
2:56.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by K. Lowry),27-21, ,,1,27,21,6,544.0
