Time,Milwaukee,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Lopez vs. B. Adebayo (H. Highsmith gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,B. Adebayo misses 2-pt jump shot from 7 ft,,1,0,0,0,19.0
11:39.0,Defensive rebound by G. Allen,0-0, ,,1,0,0,0,21.0
11:21.0,Shooting foul by B. Adebayo (drawn by G. Allen),0-0, ,,1,0,0,0,39.0
11:21.0,G. Allen misses free throw 1 of 2,0-0, ,,1,0,0,0,39.0
11:21.0,Offensive rebound by Team,0-0, ,,1,0,0,0,39.0
11:21.0,G. Allen makes free throw 2 of 2,1-0, ,,1,0,1,-1,39.0
11:04.0, ,1-2,M. Strus makes 2-pt jump shot from 9 ft (assist by B. Adebayo),Lead change,1,2,1,1,56.0
10:50.0,B. Portis makes 2-pt layup from 2 ft (assist by J. Holiday),3-2, ,Lead change,1,2,3,-1,70.0
10:34.0, ,3-2,Personal foul by J. Holiday (drawn by J. Butler),,1,2,3,-1,86.0
10:27.0, ,3-5,M. Strus makes 3-pt jump shot from 26 ft (assist by B. Adebayo),Lead change,1,5,3,2,93.0
10:17.0,P. Connaughton misses 3-pt jump shot from 26 ft,3-5, ,,1,5,3,2,103.0
10:15.0, ,3-5,Defensive rebound by B. Adebayo,,1,5,3,2,105.0
10:13.0, ,3-5,Turnover by B. Adebayo (lost ball; steal by B. Portis),,1,5,3,2,107.0
10:06.0,P. Connaughton misses 3-pt jump shot from 23 ft,3-5, ,,1,5,3,2,114.0
10:04.0, ,3-5,Defensive rebound by H. Highsmith,,1,5,3,2,116.0
9:50.0, ,3-5,M. Strus misses 2-pt layup from 3 ft (block by B. Lopez),,1,5,3,2,130.0
9:46.0, ,3-5,Offensive rebound by J. Butler,,1,5,3,2,134.0
9:40.0, ,3-8,G. Vincent makes 3-pt jump shot from 27 ft (assist by H. Highsmith),,1,8,3,5,140.0
9:29.0,B. Lopez makes 2-pt jump shot from 14 ft (assist by J. Holiday),5-8, ,,1,8,5,3,151.0
9:16.0, ,5-11,G. Vincent makes 3-pt jump shot from 26 ft,,1,11,5,6,164.0
8:53.0,P. Connaughton misses 3-pt jump shot from 28 ft,5-11, ,,1,11,5,6,187.0
8:50.0, ,5-11,Defensive rebound by B. Adebayo,,1,11,5,6,190.0
8:40.0, ,5-13,J. Butler makes 2-pt jump shot from 10 ft,,1,13,5,8,200.0
8:40.0, ,5-13,Shooting foul by G. Allen (drawn by J. Butler),,1,13,5,8,200.0
8:40.0, ,5-14,J. Butler makes free throw 1 of 1,,1,14,5,9,200.0
8:20.0,B. Lopez misses 2-pt jump shot from 16 ft,5-14, ,,1,14,5,9,220.0
8:17.0, ,5-14,Defensive rebound by M. Strus,,1,14,5,9,223.0
8:10.0, ,5-14,M. Strus misses 3-pt jump shot from 25 ft,,1,14,5,9,230.0
8:05.0,Defensive rebound by B. Portis,5-14, ,,1,14,5,9,235.0
8:05.0,Turnover by B. Portis (bad pass; steal by G. Vincent),5-14, ,,1,14,5,9,235.0
8:00.0, ,5-14,G. Vincent misses 3-pt jump shot from 27 ft (block by B. Lopez),,1,14,5,9,240.0
7:54.0,Defensive rebound by B. Portis,5-14, ,,1,14,5,9,246.0
7:51.0,J. Holiday makes 3-pt jump shot from 26 ft,8-14, ,,1,14,8,6,249.0
7:39.0, ,8-17,G. Vincent makes 3-pt jump shot from 24 ft (assist by M. Strus),,1,17,8,9,261.0
7:39.0,Milwaukee full timeout,8-17, ,,1,17,8,9,261.0
7:39.0,M. Beauchamp enters the game for B. Lopez,8-17, ,,1,17,8,9,261.0
7:23.0,J. Holiday misses 3-pt jump shot from 24 ft,8-17, ,,1,17,8,9,277.0
7:21.0, ,8-17,Defensive rebound by M. Strus,,1,17,8,9,279.0
7:18.0, ,8-17,Shooting foul by P. Connaughton (drawn by B. Adebayo),,1,17,8,9,282.0
7:18.0, ,8-17,B. Adebayo misses free throw 1 of 2,,1,17,8,9,282.0
7:18.0, ,8-17,Offensive rebound by Team,,1,17,8,9,282.0
7:18.0, ,8-17,B. Adebayo misses free throw 2 of 2,,1,17,8,9,282.0
7:15.0, ,8-17,Offensive rebound by H. Highsmith,,1,17,8,9,285.0
7:14.0, ,8-19,H. Highsmith makes 2-pt layup from 5 ft,,1,19,8,11,286.0
6:59.0,G. Allen makes 3-pt jump shot from 28 ft (assist by B. Portis),11-19, ,,1,19,11,8,301.0
6:36.0, ,11-19,Turnover by G. Vincent (bad pass; steal by B. Portis),,1,19,11,8,324.0
6:28.0,Shooting foul by B. Adebayo (drawn by B. Portis),11-19, ,,1,19,11,8,332.0
6:28.0,B. Portis makes free throw 1 of 2,12-19, ,,1,19,12,7,332.0
6:28.0,B. Lopez enters the game for P. Connaughton,12-19, ,,1,19,12,7,332.0
6:28.0, ,12-19,V. Oladipo enters the game for B. Adebayo,,1,19,12,7,332.0
6:28.0, ,12-19,O. Robinson enters the game for M. Strus,,1,19,12,7,332.0
6:28.0,B. Portis makes free throw 2 of 2,13-19, ,,1,19,13,6,332.0
6:13.0, ,13-22,H. Highsmith makes 3-pt jump shot from 26 ft (assist by G. Vincent),,1,22,13,9,347.0
6:02.0,M. Beauchamp misses 3-pt jump shot from 26 ft,13-22, ,,1,22,13,9,358.0
5:59.0,Offensive rebound by M. Beauchamp,13-22, ,,1,22,13,9,361.0
5:51.0,Turnover by J. Holiday (lost ball; steal by G. Vincent),13-22, ,,1,22,13,9,369.0
5:46.0, ,13-22,V. Oladipo misses 2-pt layup from 2 ft,,1,22,13,9,374.0
5:44.0, ,13-22,Offensive rebound by H. Highsmith,,1,22,13,9,376.0
5:30.0, ,13-22,V. Oladipo misses 3-pt jump shot from 24 ft,,1,22,13,9,390.0
5:28.0,Defensive rebound by B. Portis,13-22, ,,1,22,13,9,392.0
