Time,New Orleans,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Valančiūnas vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,Turnover by K. Lowry (bad pass; steal by T. Murphy),,1,0,0,0,22.0
11:16.0,J. Valančiūnas makes 2-pt hook shot from 6 ft,2-0, ,,1,0,2,-2,44.0
11:02.0, ,2-0,C. Martin misses 3-pt jump shot from 23 ft,,1,0,2,-2,58.0
10:59.0,Defensive rebound by D. Daniels,2-0, ,,1,0,2,-2,61.0
10:57.0,Turnover by D. Daniels (lost ball; steal by J. Butler),2-0, ,,1,0,2,-2,63.0
10:49.0, ,2-2,B. Adebayo makes 2-pt jump shot from 7 ft,Tie,1,2,2,0,71.0
10:33.0,T. Murphy makes 3-pt jump shot from 23 ft (assist by C. McCollum),5-2, ,,1,2,5,-3,87.0
10:17.0, ,5-2,T. Herro misses 2-pt jump shot from 23 ft,,1,2,5,-3,103.0
10:12.0,Defensive rebound by D. Daniels,5-2, ,,1,2,5,-3,108.0
10:07.0,J. Valančiūnas misses 2-pt jump shot from 17 ft,5-2, ,,1,2,5,-3,113.0
10:03.0, ,5-2,Defensive rebound by C. Martin,,1,2,5,-3,117.0
9:50.0, ,5-2,B. Adebayo misses 2-pt dunk from 2 ft (block by J. Valančiūnas),,1,2,5,-3,130.0
9:48.0,Defensive rebound by J. Valančiūnas,5-2, ,,1,2,5,-3,132.0
9:39.0,D. Daniels misses 3-pt jump shot from 26 ft,5-2, ,,1,2,5,-3,141.0
9:36.0, ,5-2,Defensive rebound by K. Lowry,,1,2,5,-3,144.0
9:18.0, ,5-2,C. Martin misses 3-pt jump shot from 26 ft,,1,2,5,-3,162.0
9:14.0, ,5-2,Offensive rebound by T. Herro,,1,2,5,-3,166.0
9:12.0, ,5-2,T. Herro misses 2-pt jump shot from 10 ft,,1,2,5,-3,168.0
9:09.0,Defensive rebound by J. Valančiūnas,5-2, ,,1,2,5,-3,171.0
8:55.0,J. Valančiūnas makes 2-pt dunk from 2 ft (assist by D. Daniels),7-2, ,,1,2,7,-5,185.0
8:37.0, ,7-2,Shooting foul by J. Valančiūnas (drawn by C. Martin),,1,2,7,-5,203.0
8:37.0, ,7-3,C. Martin makes free throw 1 of 2,,1,3,7,-4,203.0
8:37.0, ,7-4,C. Martin makes free throw 2 of 2,,1,4,7,-3,203.0
8:27.0,Turnover by C. McCollum (lost ball; steal by K. Lowry),7-4, ,,1,4,7,-3,213.0
8:26.0, ,7-4,Turnover by K. Lowry (bad pass),,1,4,7,-3,214.0
8:25.0, ,7-4,Loose ball foul by J. Butler (drawn by H. Jones),,1,4,7,-3,215.0
8:11.0,J. Valančiūnas makes 2-pt jump shot from 12 ft (assist by D. Daniels),9-4, ,,1,4,9,-5,229.0
7:55.0, ,9-4,Turnover by J. Butler (bad pass; steal by H. Jones),,1,4,9,-5,245.0
7:51.0,H. Jones makes 2-pt layup from 1 ft (assist by D. Daniels),11-4, ,,1,4,11,-7,249.0
7:38.0, ,11-4,Shooting foul by J. Valančiūnas (drawn by B. Adebayo),,1,4,11,-7,262.0
7:38.0, ,11-5,B. Adebayo makes free throw 1 of 2,,1,5,11,-6,262.0
7:38.0,L. Nance enters the game for J. Valančiūnas,11-5, ,,1,5,11,-6,262.0
7:38.0, ,11-6,B. Adebayo makes free throw 2 of 2,,1,6,11,-5,262.0
7:24.0,C. McCollum makes 2-pt jump shot from 14 ft,13-6, ,,1,6,13,-7,276.0
7:06.0, ,13-6,Turnover by B. Adebayo (lost ball; steal by T. Murphy),,1,6,13,-7,294.0
7:00.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by H. Jones),16-6, ,,1,6,16,-10,300.0
7:00.0, ,16-6,Miami full timeout,,1,6,16,-10,300.0
6:35.0, ,16-8,T. Herro makes 2-pt jump shot from 14 ft,,1,8,16,-8,325.0
6:13.0,C. McCollum misses 3-pt jump shot from 25 ft,16-8, ,,1,8,16,-8,347.0
6:08.0,Offensive rebound by D. Daniels,16-8, ,,1,8,16,-8,352.0
6:06.0,T. Murphy makes 2-pt dunk from 2 ft (assist by D. Daniels),18-8, ,,1,8,18,-10,354.0
6:06.0,J. Hayes enters the game for H. Jones,18-8, ,,1,8,18,-10,354.0
6:06.0, ,18-8,V. Oladipo enters the game for B. Adebayo,,1,8,18,-10,354.0
6:06.0, ,18-8,O. Robinson enters the game for C. Martin,,1,8,18,-10,354.0
5:44.0, ,18-11,K. Lowry makes 3-pt jump shot from 23 ft (assist by T. Herro),,1,11,18,-7,376.0
5:29.0,Turnover by C. McCollum (bad pass; steal by K. Lowry),18-11, ,,1,11,18,-7,391.0
5:28.0, ,18-11,Shooting foul by T. Murphy (drawn by K. Lowry),,1,11,18,-7,392.0
5:28.0, ,18-12,K. Lowry makes free throw 1 of 2,,1,12,18,-6,392.0
5:28.0,D. Graham enters the game for D. Daniels,18-12, ,,1,12,18,-6,392.0
5:28.0, ,18-13,K. Lowry makes free throw 2 of 2,,1,13,18,-5,392.0
5:07.0,C. McCollum makes 2-pt layup from 2 ft,20-13, ,,1,13,20,-7,413.0
4:55.0,Violation by Team (kicked ball),20-13, ,,1,13,20,-7,425.0
4:47.0, ,20-13,Shooting foul by L. Nance (drawn by T. Herro),,1,13,20,-7,433.0
4:47.0, ,20-14,T. Herro makes free throw 1 of 2,,1,14,20,-6,433.0
4:47.0, ,20-15,T. Herro makes free throw 2 of 2,,1,15,20,-5,433.0
4:30.0,J. Hayes makes 2-pt dunk from 1 ft (assist by L. Nance),22-15, ,,1,15,22,-7,450.0
4:16.0, ,22-15,Turnover by V. Oladipo (bad pass; steal by J. Hayes),,1,15,22,-7,464.0
4:13.0,T. Murphy makes 2-pt dunk from 1 ft (assist by C. McCollum),24-15, ,,1,15,24,-9,467.0
4:13.0,Shooting foul by T. Herro (drawn by T. Murphy),24-15, ,,1,15,24,-9,467.0
4:13.0,T. Murphy makes free throw 1 of 1,25-15, ,,1,15,25,-10,467.0
3:47.0, ,25-17,T. Herro makes 2-pt jump shot from 7 ft (assist by V. Oladipo),,1,17,25,-8,493.0
3:35.0,Shooting foul by K. Lowry (drawn by J. Hayes),25-17, ,,1,17,25,-8,505.0
3:35.0,J. Hayes misses free throw 1 of 2,25-17, ,,1,17,25,-8,505.0
3:35.0,Offensive rebound by Team,25-17, ,,1,17,25,-8,505.0
3:35.0, ,25-17,G. Vincent enters the game for K. Lowry,,1,17,25,-8,505.0
3:35.0,J. Hayes makes free throw 2 of 2,26-17, ,,1,17,26,-9,505.0
3:23.0, ,26-19,T. Herro makes 2-pt jump shot from 4 ft,,1,19,26,-7,517.0
3:07.0,Turnover by J. Hayes (bad pass; steal by V. Oladipo),26-19, ,,1,19,26,-7,533.0
3:04.0, ,26-21,J. Butler makes 2-pt dunk at rim (assist by T. Herro),,1,21,26,-5,536.0
3:02.0,New Orleans full timeout,26-21, ,,1,21,26,-5,538.0
3:02.0, ,26-21,M. Strus enters the game for T. Herro,,1,21,26,-5,538.0
2:48.0,Shooting foul by G. Vincent (drawn by T. Murphy),26-21, ,,1,21,26,-5,552.0
2:48.0,T. Murphy makes free throw 1 of 2,27-21, ,,1,21,27,-6,552.0
2:48.0,J. Alvarado enters the game for C. McCollum,27-21, ,,1,21,27,-6,552.0
2:48.0,T. Murphy makes free throw 2 of 2,28-21, ,,1,21,28,-7,552.0
2:31.0, ,28-21,V. Oladipo misses 3-pt jump shot from 27 ft,,1,21,28,-7,569.0
2:26.0,Defensive rebound by L. Nance,28-21, ,,1,21,28,-7,574.0
2:04.0,T. Murphy misses 2-pt jump shot from 9 ft,28-21, ,,1,21,28,-7,596.0
2:02.0, ,28-21,Defensive rebound by J. Butler,,1,21,28,-7,598.0
2:02.0,D. Daniels enters the game for T. Murphy,28-21, ,,1,21,28,-7,598.0
2:02.0, ,28-21,B. Adebayo enters the game for J. Butler,,1,21,28,-7,598.0
2:02.0, ,28-21,C. Martin enters the game for O. Robinson,,1,21,28,-7,598.0
1:45.0, ,28-21,M. Strus misses 3-pt jump shot from 26 ft,,1,21,28,-7,615.0
1:42.0,Defensive rebound by J. Hayes,28-21, ,,1,21,28,-7,618.0
1:28.0,D. Graham misses 3-pt jump shot from 25 ft,28-21, ,,1,21,28,-7,632.0
1:26.0, ,28-21,Defensive rebound by C. Martin,,1,21,28,-7,634.0
1:16.0, ,28-23,C. Martin makes 2-pt layup from 2 ft,,1,23,28,-5,644.0
1:01.0,J. Hayes misses 2-pt layup from 3 ft,28-23, ,,1,23,28,-5,659.0
0:58.0, ,28-23,Defensive rebound by M. Strus,,1,23,28,-5,662.0
0:54.0, ,28-23,B. Adebayo misses 2-pt layup from 2 ft (block by D. Daniels),,1,23,28,-5,666.0
0:50.0,Defensive rebound by D. Graham,28-23, ,,1,23,28,-5,670.0
0:50.0,Shooting foul by C. Martin (drawn by D. Graham),28-23, ,,1,23,28,-5,670.0
0:50.0,D. Graham misses free throw 1 of 2,28-23, ,,1,23,28,-5,670.0
0:50.0,Offensive rebound by Team,28-23, ,,1,23,28,-5,670.0
0:50.0,D. Graham makes free throw 2 of 2,29-23, ,,1,23,29,-6,670.0
0:41.0, ,29-23,Offensive foul by M. Strus (drawn by L. Nance),,1,23,29,-6,679.0
0:41.0, ,29-23,Turnover by M. Strus (offensive foul),,1,23,29,-6,679.0
0:32.0,D. Daniels misses 3-pt jump shot from 26 ft,29-23, ,,1,23,29,-6,688.0
0:30.0, ,29-23,Defensive rebound by V. Oladipo,,1,23,29,-6,690.0
0:15.0, ,29-23,Turnover by V. Oladipo (bad pass; steal by D. Graham),,1,23,29,-6,705.0
0:02.0,Turnover by J. Alvarado (out of bounds lost ball),29-23, ,,1,23,29,-6,718.0
0:00.0, ,29-23,Turnover by V. Oladipo (bad pass; steal by D. Graham),,1,23,29,-6,720.0
0:00.0,D. Graham makes 3-pt jump shot from 42 ft,32-23, ,,1,23,32,-9,720.0
0:00.0,Instant Replay (Request: Ruling Stands),32-23, ,,1,23,32,-9,720.0
0:00.0,End of 1st quarter,32-23,,,1,23,32,-9,720.0
12:00.0,Start of 2nd quarter,32-23,,,2,23,32,-9,720.0
11:38.0,D. Graham makes 3-pt jump shot from 26 ft,35-23, ,,2,23,35,-12,742.0
11:12.0, ,35-23,G. Vincent misses 2-pt layup from 5 ft,,2,23,35,-12,768.0
11:09.0,Defensive rebound by D. Graham,35-23, ,,2,23,35,-12,771.0
11:00.0,J. Alvarado misses 2-pt jump shot from 9 ft,35-23, ,,2,23,35,-12,780.0
10:57.0, ,35-23,Defensive rebound by M. Strus,,2,23,35,-12,783.0
10:52.0, ,35-23,Turnover by V. Oladipo (bad pass; steal by D. Graham),,2,23,35,-12,788.0
10:48.0,D. Daniels makes 2-pt layup from 2 ft (assist by D. Graham),37-23, ,,2,23,37,-14,792.0
10:48.0, ,37-23,Violation by Team (def goaltending),,2,23,37,-14,792.0
10:32.0, ,37-23,V. Oladipo misses 2-pt jump shot from 4 ft,,2,23,37,-14,808.0
10:30.0,Defensive rebound by J. Valančiūnas,37-23, ,,2,23,37,-14,810.0
10:25.0,Turnover by J. Valančiūnas (bad pass; steal by B. Adebayo),37-23, ,,2,23,37,-14,815.0
10:19.0, ,37-23,M. Strus misses 3-pt jump shot from 25 ft,,2,23,37,-14,821.0
10:15.0,Defensive rebound by J. Valančiūnas,37-23, ,,2,23,37,-14,825.0
10:05.0,D. Graham misses 3-pt jump shot from 25 ft,37-23, ,,2,23,37,-14,835.0
10:03.0, ,37-23,Defensive rebound by B. Adebayo,,2,23,37,-14,837.0
9:54.0, ,37-25,B. Adebayo makes 2-pt dunk from 2 ft (assist by M. Strus),,2,25,37,-12,846.0
9:32.0,J. Alvarado misses 2-pt layup from 2 ft (block by V. Oladipo),37-25, ,,2,25,37,-12,868.0
9:32.0,Offensive rebound by Team,37-25, ,,2,25,37,-12,868.0
9:32.0, ,37-25,T. Herro enters the game for V. Oladipo,,2,25,37,-12,868.0
9:25.0,J. Valančiūnas misses 3-pt jump shot from 25 ft,37-25, ,,2,25,37,-12,875.0
9:22.0, ,37-25,Defensive rebound by B. Adebayo,,2,25,37,-12,878.0
9:15.0, ,37-25,B. Adebayo misses 2-pt jump shot from 10 ft,,2,25,37,-12,885.0
9:12.0,Defensive rebound by J. Hayes,37-25, ,,2,25,37,-12,888.0
9:06.0,J. Hayes makes 2-pt jump shot from 9 ft,39-25, ,,2,25,39,-14,894.0
8:52.0, ,39-25,C. Martin misses 3-pt jump shot from 24 ft,,2,25,39,-14,908.0
8:49.0, ,39-25,Offensive rebound by G. Vincent,,2,25,39,-14,911.0
8:46.0, ,39-25,Turnover by G. Vincent (bad pass; steal by D. Graham),,2,25,39,-14,914.0
8:33.0,J. Alvarado misses 2-pt jump shot from 2 ft,39-25, ,,2,25,39,-14,927.0
8:31.0, ,39-25,Defensive rebound by B. Adebayo,,2,25,39,-14,929.0
8:18.0, ,39-25,G. Vincent misses 3-pt jump shot from 29 ft,,2,25,39,-14,942.0
8:15.0, ,39-25,Offensive rebound by M. Strus,,2,25,39,-14,945.0
8:12.0, ,39-25,Turnover by C. Martin (bad pass),,2,25,39,-14,948.0
