Time,Miami,Score,New York,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Sims (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:30.0,J. Butler makes 2-pt jump shot from 10 ft,2-0, ,,1,2,0,2,30.0
11:06.0, ,2-2,R. Barrett makes 2-pt jump shot from 9 ft (assist by J. Randle),Tie,1,2,2,0,54.0
10:53.0,T. Herro misses 2-pt jump shot from 21 ft,2-2, ,,1,2,2,0,67.0
10:51.0, ,2-2,Defensive rebound by I. Quickley,,1,2,2,0,69.0
10:47.0, ,2-2,Personal foul by K. Lowry (drawn by R. Barrett),,1,2,2,0,73.0
10:35.0, ,2-5,J. Randle makes 3-pt jump shot from 23 ft (assist by R. Barrett),Lead change,1,2,5,-3,85.0
10:14.0,B. Adebayo makes 2-pt jump shot from 16 ft (assist by T. Herro),4-5, ,,1,4,5,-1,106.0
9:51.0, ,4-8,J. Randle makes 3-pt jump shot from 26 ft (assist by R. Barrett),,1,4,8,-4,129.0
9:34.0,Turnover by J. Butler (bad pass; steal by J. Randle),4-8, ,,1,4,8,-4,146.0
9:16.0, ,4-11,I. Quickley makes 3-pt jump shot from 24 ft (assist by J. Randle),,1,4,11,-7,164.0
9:05.0,Shooting foul by R. Barrett (drawn by T. Herro),4-11, ,,1,4,11,-7,175.0
9:05.0,T. Herro makes free throw 1 of 2,5-11, ,,1,5,11,-6,175.0
9:05.0,T. Herro misses free throw 2 of 2,5-11, ,,1,5,11,-6,175.0
9:03.0, ,5-11,Defensive rebound by J. Randle,,1,5,11,-6,177.0
8:58.0, ,5-11,J. Randle misses 3-pt jump shot from 26 ft,,1,5,11,-6,182.0
8:56.0,Defensive rebound by B. Adebayo,5-11, ,,1,5,11,-6,184.0
8:43.0,C. Martin makes 2-pt jump shot from 4 ft (assist by J. Butler),7-11, ,,1,7,11,-4,197.0
8:13.0, ,7-14,J. Randle makes 3-pt jump shot from 24 ft (assist by I. Quickley),,1,7,14,-7,227.0
8:03.0,Shooting foul by J. Sims (drawn by B. Adebayo),7-14, ,,1,7,14,-7,237.0
8:03.0,B. Adebayo makes free throw 1 of 2,8-14, ,,1,8,14,-6,237.0
8:03.0,B. Adebayo misses free throw 2 of 2,8-14, ,,1,8,14,-6,237.0
8:02.0, ,8-14,Defensive rebound by J. Randle,,1,8,14,-6,238.0
7:48.0, ,8-14,J. Randle misses 2-pt jump shot from 15 ft,,1,8,14,-6,252.0
7:48.0, ,8-14,Offensive rebound by J. Sims,,1,8,14,-6,252.0
7:42.0, ,8-16,I. Quickley makes 2-pt layup at rim (assist by J. Sims),,1,8,16,-8,258.0
7:40.0,Miami full timeout,8-16, ,,1,8,16,-8,260.0
7:28.0,Personal foul by J. Sims (drawn by B. Adebayo),8-16, ,,1,8,16,-8,272.0
7:28.0, ,8-16,I. Hartenstein enters the game for J. Sims,,1,8,16,-8,272.0
7:22.0,Turnover by J. Butler (lost ball; steal by J. Randle),8-16, ,,1,8,16,-8,278.0
7:02.0, ,8-18,R. Barrett makes 2-pt layup at rim,,1,8,18,-10,298.0
6:46.0,B. Adebayo misses 2-pt jump shot from 5 ft,8-18, ,,1,8,18,-10,314.0
6:46.0,Offensive rebound by J. Butler,8-18, ,,1,8,18,-10,314.0
6:42.0,T. Herro makes 3-pt jump shot from 23 ft (assist by J. Butler),11-18, ,,1,11,18,-7,318.0
6:25.0, ,11-18,R. Barrett misses 3-pt jump shot from 24 ft,,1,11,18,-7,335.0
6:23.0, ,11-18,Offensive rebound by Q. Grimes,,1,11,18,-7,337.0
6:19.0, ,11-18,I. Quickley misses 3-pt jump shot from 25 ft,,1,11,18,-7,341.0
6:17.0,Defensive rebound by Team,11-18, ,,1,11,18,-7,343.0
6:04.0,C. Martin misses 2-pt jump shot from 21 ft,11-18, ,,1,11,18,-7,356.0
6:02.0, ,11-18,Defensive rebound by I. Quickley,,1,11,18,-7,358.0
5:51.0, ,11-18,J. Randle misses 2-pt jump shot from 16 ft,,1,11,18,-7,369.0
5:49.0,Defensive rebound by T. Herro,11-18, ,,1,11,18,-7,371.0
5:40.0,Turnover by T. Herro (bad pass; steal by J. Randle),11-18, ,,1,11,18,-7,380.0
5:35.0, ,11-18,J. Randle misses 2-pt dunk from 2 ft (block by C. Martin),,1,11,18,-7,385.0
5:33.0,Defensive rebound by C. Martin,11-18, ,,1,11,18,-7,387.0
5:26.0,K. Lowry misses 3-pt jump shot from 25 ft,11-18, ,,1,11,18,-7,394.0
5:25.0, ,11-18,Defensive rebound by R. Barrett,,1,11,18,-7,395.0
5:22.0, ,11-18,Shooting foul by T. Herro (drawn by J. Randle),,1,11,18,-7,398.0
5:22.0,U. Haslem enters the game for B. Adebayo,11-18, ,,1,11,18,-7,398.0
5:22.0,M. Strus enters the game for T. Herro,11-18, ,,1,11,18,-7,398.0
5:22.0, ,11-19,J. Randle makes free throw 1 of 2,,1,11,19,-8,398.0
5:22.0, ,11-20,J. Randle makes free throw 2 of 2,,1,11,20,-9,398.0
5:05.0,J. Butler misses 2-pt jump shot from 4 ft,11-20, ,,1,11,20,-9,415.0
5:03.0, ,11-20,Defensive rebound by I. Hartenstein,,1,11,20,-9,417.0
4:59.0, ,11-20,R. Barrett misses 3-pt jump shot from 23 ft,,1,11,20,-9,421.0
4:57.0,Defensive rebound by U. Haslem,11-20, ,,1,11,20,-9,423.0
4:45.0,J. Butler misses 2-pt jump shot from 3 ft,11-20, ,,1,11,20,-9,435.0
4:43.0, ,11-20,Defensive rebound by I. Hartenstein,,1,11,20,-9,437.0
4:37.0, ,11-22,Q. Grimes makes 2-pt layup from 1 ft (assist by J. Randle),,1,11,22,-11,443.0
4:21.0,K. Lowry misses 3-pt jump shot from 26 ft,11-22, ,,1,11,22,-11,459.0
4:20.0, ,11-22,Defensive rebound by R. Barrett,,1,11,22,-11,460.0
4:08.0, ,11-22,Offensive foul by J. Randle (drawn by U. Haslem),,1,11,22,-11,472.0
4:08.0, ,11-22,Turnover by J. Randle (offensive foul),,1,11,22,-11,472.0
4:08.0,H. Highsmith enters the game for C. Martin,11-22, ,,1,11,22,-11,472.0
4:08.0, ,11-22,E. Fournier enters the game for R. Barrett,,1,11,22,-11,472.0
3:48.0,M. Strus misses 2-pt jump shot from 3 ft,11-22, ,,1,11,22,-11,492.0
3:46.0, ,11-22,Defensive rebound by I. Hartenstein,,1,11,22,-11,494.0
3:44.0, ,11-22,Turnover by I. Hartenstein (bad pass; steal by J. Butler),,1,11,22,-11,496.0
3:43.0,Shooting foul by I. Hartenstein (drawn by M. Strus),11-22, ,,1,11,22,-11,497.0
3:43.0,M. Strus makes free throw 1 of 2,12-22, ,,1,12,22,-10,497.0
3:43.0,M. Strus makes free throw 2 of 2,13-22, ,,1,13,22,-9,497.0
3:30.0, ,13-22,Q. Grimes misses 2-pt layup from 1 ft,,1,13,22,-9,510.0
3:28.0, ,13-22,Offensive rebound by I. Hartenstein,,1,13,22,-9,512.0
3:28.0, ,13-24,I. Hartenstein makes 2-pt layup at rim,,1,13,24,-11,512.0
3:15.0,K. Lowry misses 3-pt jump shot from 25 ft,13-24, ,,1,13,24,-11,525.0
3:13.0, ,13-24,Defensive rebound by I. Quickley,,1,13,24,-11,527.0
3:06.0, ,13-24,Shooting foul by H. Highsmith (drawn by J. Randle),,1,13,24,-11,534.0
3:06.0,G. Vincent enters the game for K. Lowry,13-24, ,,1,13,24,-11,534.0
3:06.0, ,13-25,J. Randle makes free throw 1 of 2,,1,13,25,-12,534.0
3:06.0, ,13-25,J. Randle misses free throw 2 of 2,,1,13,25,-12,534.0
3:04.0,Defensive rebound by H. Highsmith,13-25, ,,1,13,25,-12,536.0
2:57.0,Turnover by G. Vincent (lost ball; steal by I. Hartenstein),13-25, ,,1,13,25,-12,543.0
2:48.0, ,13-25,Turnover by J. Randle (lost ball; steal by J. Butler),,1,13,25,-12,552.0
2:45.0,J. Butler misses 2-pt layup at rim,13-25, ,,1,13,25,-12,555.0
2:43.0,Offensive rebound by H. Highsmith,13-25, ,,1,13,25,-12,557.0
2:43.0,H. Highsmith makes 2-pt dunk at rim,15-25, ,,1,15,25,-10,557.0
2:35.0, ,15-28,Q. Grimes makes 3-pt jump shot from 23 ft (assist by E. Fournier),,1,15,28,-13,565.0
2:13.0,J. Butler makes 2-pt layup from 1 ft,17-28, ,,1,17,28,-11,587.0
1:56.0, ,17-28,Q. Grimes misses 3-pt jump shot from 26 ft,,1,17,28,-11,604.0
1:55.0,Defensive rebound by G. Vincent,17-28, ,,1,17,28,-11,605.0
1:45.0,G. Vincent makes 3-pt jump shot from 25 ft,20-28, ,,1,20,28,-8,615.0
