Time,Denver,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Jokić vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-3,M. Strus makes 3-pt jump shot from 26 ft (assist by J. Butler),,1,3,0,3,19.0
11:19.0,N. Jokić makes 2-pt layup from 5 ft,2-3, ,,1,3,2,1,41.0
11:08.0, ,2-3,B. Adebayo misses 2-pt jump shot from 10 ft,,1,3,2,1,52.0
11:07.0, ,2-3,Offensive rebound by Team,,1,3,2,1,53.0
11:03.0, ,2-6,G. Vincent makes 3-pt jump shot from 25 ft (assist by J. Butler),,1,6,2,4,57.0
10:39.0,M. Porter makes 3-pt jump shot from 25 ft,5-6, ,,1,6,5,1,81.0
10:27.0, ,5-6,B. Adebayo misses 2-pt jump shot from 13 ft,,1,6,5,1,93.0
10:23.0,Defensive rebound by K. Caldwell-Pope,5-6, ,,1,6,5,1,97.0
10:17.0,V. Čančar makes 2-pt layup from 4 ft (assist by K. Caldwell-Pope),7-6, ,Lead change,1,6,7,-1,103.0
9:55.0, ,7-6,G. Vincent misses 3-pt jump shot from 24 ft,,1,6,7,-1,125.0
9:52.0,Defensive rebound by M. Porter,7-6, ,,1,6,7,-1,128.0
9:36.0,Turnover by V. Čančar (bad pass),7-6, ,,1,6,7,-1,144.0
9:23.0, ,7-8,B. Adebayo makes 2-pt jump shot from 11 ft (assist by G. Vincent),Lead change,1,8,7,1,157.0
9:03.0,K. Caldwell-Pope makes 2-pt jump shot from 16 ft (assist by N. Jokić),9-8, ,Lead change,1,8,9,-1,177.0
8:50.0, ,9-8,B. Adebayo misses 2-pt jump shot from 6 ft,,1,8,9,-1,190.0
8:45.0, ,9-8,Offensive rebound by J. Butler,,1,8,9,-1,195.0
8:45.0, ,9-8,J. Butler misses 2-pt layup at rim,,1,8,9,-1,195.0
8:41.0, ,9-10,J. Butler makes 2-pt layup at rim,Lead change,1,10,9,1,199.0
8:29.0,V. Čančar makes 2-pt layup from 4 ft (assist by N. Jokić),11-10, ,Lead change,1,10,11,-1,211.0
8:18.0, ,11-10,G. Vincent misses 3-pt jump shot from 26 ft,,1,10,11,-1,222.0
8:15.0,Defensive rebound by V. Čančar,11-10, ,,1,10,11,-1,225.0
7:57.0,N. Jokić makes 2-pt layup from 3 ft (assist by V. Čančar),13-10, ,,1,10,13,-3,243.0
7:49.0, ,13-10,J. Butler misses 2-pt jump shot from 6 ft (block by K. Caldwell-Pope),,1,10,13,-3,251.0
7:47.0, ,13-10,Offensive rebound by J. Butler,,1,10,13,-3,253.0
7:33.0, ,13-12,J. Butler makes 2-pt layup from 2 ft (assist by G. Vincent),,1,12,13,-1,267.0
7:16.0,B. Brown misses 3-pt jump shot from 23 ft,13-12, ,,1,12,13,-1,284.0
7:11.0,Offensive rebound by M. Porter,13-12, ,,1,12,13,-1,289.0
7:10.0,Turnover by M. Porter (lost ball; steal by B. Adebayo),13-12, ,,1,12,13,-1,290.0
6:57.0, ,13-14,J. Butler makes 2-pt jump shot from 8 ft,Lead change,1,14,13,1,303.0
6:43.0,M. Porter misses 3-pt jump shot from 26 ft,13-14, ,,1,14,13,1,317.0
6:36.0, ,13-14,Defensive rebound by M. Strus,,1,14,13,1,324.0
6:36.0, ,13-14,Miami full timeout,,1,14,13,1,324.0
6:36.0, ,13-14,O. Robinson enters the game for B. Adebayo,,1,14,13,1,324.0
6:33.0,Jump ball: M. Strus vs. K. Caldwell-Pope (J. Butler gains possession),13-14,,,1,14,13,1,327.0
6:15.0, ,13-16,C. Martin makes 2-pt dunk from 1 ft (assist by J. Butler),,1,16,13,3,345.0
6:00.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,13-16, ,,1,16,13,3,360.0
5:59.0, ,13-16,Defensive rebound by O. Robinson,,1,16,13,3,361.0
5:53.0, ,13-18,C. Martin makes 2-pt jump shot from 4 ft,,1,18,13,5,367.0
5:32.0,Turnover by V. Čančar (lost ball; steal by J. Butler),13-18, ,,1,18,13,5,388.0
5:28.0, ,13-20,O. Robinson makes 2-pt layup from 2 ft (assist by J. Butler),,1,20,13,7,392.0
5:28.0,Denver full timeout,13-20, ,,1,20,13,7,392.0
5:28.0,C. Braun enters the game for K. Caldwell-Pope,13-20, ,,1,20,13,7,392.0
5:28.0,J. Green enters the game for V. Čančar,13-20, ,,1,20,13,7,392.0
5:28.0, ,13-20,J. Bouyea enters the game for C. Martin,,1,20,13,7,392.0
5:28.0, ,13-20,H. Highsmith enters the game for G. Vincent,,1,20,13,7,392.0
5:07.0,M. Porter misses 3-pt jump shot from 28 ft,13-20, ,,1,20,13,7,413.0
5:02.0, ,13-20,Defensive rebound by M. Strus,,1,20,13,7,418.0
