Time,Miami,Score,Charlotte,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. M. Williams (G. Vincent gains possession),0-0,,,1,0,0,0,0.0
11:40.0,K. Love misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,20.0
11:36.0, ,0-0,Defensive rebound by L. Ball,,1,0,0,0,24.0
11:30.0, ,0-0,T. Rozier misses 2-pt jump shot from 10 ft,,1,0,0,0,30.0
11:25.0, ,0-0,Offensive rebound by J. Thor,,1,0,0,0,35.0
11:25.0, ,0-0,J. Thor misses 2-pt layup at rim,,1,0,0,0,35.0
11:24.0,Defensive rebound by K. Love,0-0, ,,1,0,0,0,36.0
11:06.0,J. Butler makes 2-pt layup from 2 ft,2-0, ,,1,2,0,2,54.0
10:51.0, ,2-0,Shooting foul by K. Love (drawn by T. Rozier),,1,2,0,2,69.0
10:51.0, ,2-1,T. Rozier makes free throw 1 of 2,,1,2,1,1,69.0
10:51.0, ,2-2,T. Rozier makes free throw 2 of 2,Tie,1,2,2,0,69.0
10:29.0,K. Love misses 2-pt jump shot from 2 ft,2-2, ,,1,2,2,0,91.0
10:28.0, ,2-2,Defensive rebound by M. Williams,,1,2,2,0,92.0
10:23.0, ,2-2,Turnover by G. Hayward (traveling),,1,2,2,0,97.0
10:07.0,T. Herro misses 2-pt layup from 1 ft,2-2, ,,1,2,2,0,113.0
10:02.0,Offensive rebound by B. Adebayo,2-2, ,,1,2,2,0,118.0
10:02.0,B. Adebayo misses 2-pt jump shot at rim,2-2, ,,1,2,2,0,118.0
10:02.0, ,2-2,Defensive rebound by M. Williams,,1,2,2,0,118.0
9:57.0, ,2-2,L. Ball misses 3-pt jump shot from 29 ft,,1,2,2,0,123.0
9:54.0,Defensive rebound by J. Butler,2-2, ,,1,2,2,0,126.0
9:47.0,Turnover by J. Butler (bad pass; steal by G. Hayward),2-2, ,,1,2,2,0,133.0
9:43.0, ,2-2,Turnover by G. Hayward (bad pass; steal by J. Butler),,1,2,2,0,137.0
9:37.0,J. Butler makes 2-pt layup from 1 ft (assist by B. Adebayo),4-2, ,,1,4,2,2,143.0
9:20.0, ,4-5,G. Hayward makes 3-pt jump shot from 26 ft,Lead change,1,4,5,-1,160.0
9:00.0,B. Adebayo misses 2-pt jump shot from 16 ft,4-5, ,,1,4,5,-1,180.0
8:59.0,Offensive rebound by Team,4-5, ,,1,4,5,-1,181.0
8:49.0,T. Herro misses 2-pt jump shot from 11 ft,4-5, ,,1,4,5,-1,191.0
8:47.0, ,4-5,Defensive rebound by M. Williams,,1,4,5,-1,193.0
8:45.0, ,4-5,Shooting foul by G. Vincent (drawn by G. Hayward),,1,4,5,-1,195.0
8:45.0, ,4-6,G. Hayward makes free throw 1 of 2,,1,4,6,-2,195.0
8:45.0, ,4-7,G. Hayward makes free throw 2 of 2,,1,4,7,-3,195.0
8:32.0,Turnover by J. Butler (lost ball; steal by T. Rozier),4-7, ,,1,4,7,-3,208.0
8:26.0, ,4-7,J. Thor misses 2-pt layup from 1 ft (block by K. Love),,1,4,7,-3,214.0
8:24.0,Defensive rebound by K. Love,4-7, ,,1,4,7,-3,216.0
8:14.0,T. Herro misses 2-pt layup at rim,4-7, ,,1,4,7,-3,226.0
8:12.0, ,4-7,Defensive rebound by M. Williams,,1,4,7,-3,228.0
8:07.0, ,4-10,T. Rozier makes 3-pt jump shot from 23 ft (assist by L. Ball),,1,4,10,-6,233.0
7:49.0,J. Butler misses 2-pt jump shot from 4 ft (block by M. Williams),4-10, ,,1,4,10,-6,251.0
7:46.0, ,4-10,Defensive rebound by M. Williams,,1,4,10,-6,254.0
7:36.0, ,4-10,J. Thor misses 3-pt jump shot from 27 ft,,1,4,10,-6,264.0
7:33.0,Defensive rebound by T. Herro,4-10, ,,1,4,10,-6,267.0
7:30.0,Shooting foul by G. Hayward (drawn by T. Herro),4-10, ,,1,4,10,-6,270.0
7:30.0,T. Herro makes free throw 1 of 2,5-10, ,,1,5,10,-5,270.0
7:30.0,T. Herro makes free throw 2 of 2,6-10, ,,1,6,10,-4,270.0
7:16.0, ,6-10,G. Hayward misses 2-pt jump shot from 7 ft,,1,6,10,-4,284.0
7:12.0, ,6-10,Offensive rebound by M. Williams,,1,6,10,-4,288.0
7:12.0, ,6-10,M. Williams misses 2-pt layup from 3 ft,,1,6,10,-4,288.0
7:08.0, ,6-12,M. Williams makes 2-pt jump shot at rim,,1,6,12,-6,292.0
6:58.0,T. Herro misses 3-pt jump shot from 23 ft,6-12, ,,1,6,12,-6,302.0
6:55.0, ,6-12,Defensive rebound by M. Williams,,1,6,12,-6,305.0
6:47.0, ,6-12,L. Ball misses 2-pt jump shot from 20 ft,,1,6,12,-6,313.0
6:45.0,Defensive rebound by K. Love,6-12, ,,1,6,12,-6,315.0
6:40.0,K. Love makes 3-pt jump shot from 25 ft (assist by G. Vincent),9-12, ,,1,9,12,-3,320.0
6:20.0, ,9-12,T. Rozier misses 2-pt jump shot from 9 ft,,1,9,12,-3,340.0
6:18.0,Defensive rebound by T. Herro,9-12, ,,1,9,12,-3,342.0
6:09.0,T. Herro misses 2-pt jump shot from 17 ft,9-12, ,,1,9,12,-3,351.0
6:07.0, ,9-12,Defensive rebound by L. Ball,,1,9,12,-3,353.0
6:01.0, ,9-12,T. Rozier misses 3-pt jump shot from 23 ft,,1,9,12,-3,359.0
5:58.0,Defensive rebound by K. Love,9-12, ,,1,9,12,-3,362.0
5:53.0,B. Adebayo makes 2-pt layup from 1 ft (assist by K. Love),11-12, ,,1,11,12,-1,367.0
5:31.0, ,11-12,L. Ball misses 3-pt jump shot from 24 ft,,1,11,12,-1,389.0
5:30.0,Defensive rebound by K. Love,11-12, ,,1,11,12,-1,390.0
5:23.0,K. Love misses 3-pt jump shot from 27 ft,11-12, ,,1,11,12,-1,397.0
5:20.0, ,11-12,Defensive rebound by L. Ball,,1,11,12,-1,400.0
5:16.0, ,11-12,Shooting foul by G. Vincent (drawn by L. Ball),,1,11,12,-1,404.0
5:16.0, ,11-12,Charlotte full timeout,,1,11,12,-1,404.0
5:16.0,V. Oladipo enters the game for B. Adebayo,11-12, ,,1,11,12,-1,404.0
5:16.0,C. Zeller enters the game for G. Vincent,11-12, ,,1,11,12,-1,404.0
5:16.0, ,11-12,K. Jones enters the game for J. Thor,,1,11,12,-1,404.0
5:16.0, ,11-12,N. Richards enters the game for M. Williams,,1,11,12,-1,404.0
5:16.0, ,11-12,L. Ball misses free throw 1 of 2,,1,11,12,-1,404.0
5:16.0, ,11-12,Offensive rebound by Team,,1,11,12,-1,404.0
5:16.0, ,11-13,L. Ball makes free throw 2 of 2,,1,11,13,-2,404.0
4:59.0,Shooting foul by K. Jones (drawn by J. Butler),11-13, ,,1,11,13,-2,421.0
4:59.0,J. Butler makes free throw 1 of 2,12-13, ,,1,12,13,-1,421.0
4:59.0, ,12-13,D. Smith enters the game for L. Ball,,1,12,13,-1,421.0
4:59.0,J. Butler makes free throw 2 of 2,13-13, ,Tie,1,13,13,0,421.0
4:40.0, ,13-15,G. Hayward makes 2-pt layup from 1 ft (assist by D. Smith),,1,13,15,-2,440.0
4:19.0,T. Herro makes 2-pt layup from 2 ft,15-15, ,Tie,1,15,15,0,461.0
3:58.0, ,15-17,G. Hayward makes 2-pt jump shot from 14 ft (assist by D. Smith),,1,15,17,-2,482.0
3:49.0,Shooting foul by T. Rozier (drawn by J. Butler),15-17, ,,1,15,17,-2,491.0
3:49.0,J. Butler misses free throw 1 of 2,15-17, ,,1,15,17,-2,491.0
3:49.0,Offensive rebound by Team,15-17, ,,1,15,17,-2,491.0
3:49.0,M. Strus enters the game for K. Love,15-17, ,,1,15,17,-2,491.0
3:49.0, ,15-17,K. Oubre enters the game for G. Hayward,,1,15,17,-2,491.0
3:49.0,J. Butler makes free throw 2 of 2,16-17, ,,1,16,17,-1,491.0
3:32.0, ,16-17,Turnover by K. Oubre (lost ball; steal by C. Zeller),,1,16,17,-1,508.0
3:28.0,Turnover by T. Herro (bad pass; steal by K. Jones),16-17, ,,1,16,17,-1,512.0
3:15.0, ,16-17,D. Smith misses 2-pt jump shot from 7 ft,,1,16,17,-1,525.0
3:15.0,Defensive rebound by Team,16-17, ,,1,16,17,-1,525.0
3:15.0, ,16-17,Loose ball foul by N. Richards (drawn by C. Zeller),,1,16,17,-1,525.0
3:15.0,C. Martin enters the game for J. Butler,16-17, ,,1,16,17,-1,525.0
3:04.0,M. Strus misses 3-pt jump shot from 23 ft,16-17, ,,1,16,17,-1,536.0
3:00.0,Offensive rebound by M. Strus,16-17, ,,1,16,17,-1,540.0
2:57.0,C. Martin misses 2-pt layup from 1 ft,16-17, ,,1,16,17,-1,543.0
2:55.0, ,16-17,Defensive rebound by N. Richards,,1,16,17,-1,545.0
2:52.0, ,16-17,Shooting foul by M. Strus (drawn by T. Rozier),,1,16,17,-1,548.0
2:52.0,Miami full timeout,16-17, ,,1,16,17,-1,548.0
2:52.0,D. Robinson enters the game for T. Herro,16-17, ,,1,16,17,-1,548.0
2:52.0, ,16-18,T. Rozier makes free throw 1 of 2,,1,16,18,-2,548.0
2:52.0, ,16-19,T. Rozier makes free throw 2 of 2,,1,16,19,-3,548.0
2:36.0,M. Strus misses 3-pt jump shot from 23 ft,16-19, ,,1,16,19,-3,564.0
2:33.0, ,16-19,Defensive rebound by K. Oubre,,1,16,19,-3,567.0
2:19.0, ,16-22,T. Rozier makes 3-pt jump shot from 26 ft,,1,16,22,-6,581.0
1:59.0,Turnover by V. Oladipo (bad pass; steal by K. Jones),16-22, ,,1,16,22,-6,601.0
1:41.0, ,16-22,D. Smith misses 3-pt jump shot from 27 ft,,1,16,22,-6,619.0
1:38.0,Defensive rebound by C. Zeller,16-22, ,,1,16,22,-6,622.0
1:31.0,Offensive foul by C. Zeller (drawn by K. Oubre),16-22, ,,1,16,22,-6,629.0
1:31.0,Turnover by C. Zeller (offensive foul),16-22, ,,1,16,22,-6,629.0
1:31.0, ,16-22,L. Ball enters the game for T. Rozier,,1,16,22,-6,629.0
1:19.0, ,16-24,K. Oubre makes 2-pt layup from 1 ft (assist by L. Ball),,1,16,24,-8,641.0
1:19.0, ,16-24,Shooting foul by C. Zeller (drawn by K. Oubre),,1,16,24,-8,641.0
1:19.0,B. Adebayo enters the game for C. Zeller,16-24, ,,1,16,24,-8,641.0
1:19.0, ,16-25,K. Oubre makes free throw 1 of 1,,1,16,25,-9,641.0
1:09.0,V. Oladipo misses 3-pt jump shot from 26 ft,16-25, ,,1,16,25,-9,651.0
1:07.0, ,16-25,Defensive rebound by K. Oubre,,1,16,25,-9,653.0
1:00.0, ,16-27,N. Richards makes 2-pt dunk from 1 ft (assist by L. Ball),,1,16,27,-11,660.0
0:44.0,D. Robinson misses 3-pt jump shot from 24 ft,16-27, ,,1,16,27,-11,676.0
0:43.0, ,16-27,Defensive rebound by Team,,1,16,27,-11,677.0
0:31.0, ,16-27,Personal foul by B. Adebayo (drawn by K. Jones),,1,16,27,-11,689.0
0:31.0, ,16-28,K. Jones makes free throw 1 of 2,,1,16,28,-12,689.0
0:31.0, ,16-29,K. Jones makes free throw 2 of 2,,1,16,29,-13,689.0
0:19.0,B. Adebayo misses 2-pt hook shot from 4 ft (block by N. Richards),16-29, ,,1,16,29,-13,701.0
0:19.0,Offensive rebound by Team,16-29, ,,1,16,29,-13,701.0
0:09.0,B. Adebayo misses 2-pt jump shot from 9 ft,16-29, ,,1,16,29,-13,711.0
0:07.0, ,16-29,Defensive rebound by L. Ball,,1,16,29,-13,713.0
0:00.0, ,16-29,Turnover by L. Ball (lost ball; steal by C. Martin),,1,16,29,-13,720.0
0:00.0,C. Martin misses 3-pt jump shot from 38 ft,16-29, ,,1,16,29,-13,720.0
0:00.0,Offensive rebound by Team,16-29, ,,1,16,29,-13,720.0
0:00.0,End of 1st quarter,16-29,,,1,16,29,-13,720.0
12:00.0,Start of 2nd quarter,16-29,,,2,16,29,-13,720.0
11:43.0, ,16-29,L. Ball misses 3-pt jump shot from 27 ft,,2,16,29,-13,737.0
11:41.0,Defensive rebound by M. Strus,16-29, ,,2,16,29,-13,739.0
11:18.0,B. Adebayo misses 2-pt jump shot from 15 ft,16-29, ,,2,16,29,-13,762.0
11:16.0, ,16-29,Defensive rebound by N. Richards,,2,16,29,-13,764.0
11:02.0, ,16-31,L. Ball makes 2-pt layup from 1 ft (assist by J. Thor),,2,16,31,-15,778.0
10:50.0,V. Oladipo misses 3-pt jump shot from 26 ft,16-31, ,,2,16,31,-15,790.0
10:46.0, ,16-31,Defensive rebound by N. Richards,,2,16,31,-15,794.0
10:34.0, ,16-31,L. Ball misses 3-pt jump shot from 27 ft,,2,16,31,-15,806.0
10:32.0,Defensive rebound by B. Adebayo,16-31, ,,2,16,31,-15,808.0
10:27.0,Personal foul by J. Thor (drawn by B. Adebayo),16-31, ,,2,16,31,-15,813.0
10:24.0,B. Adebayo makes 2-pt dunk at rim (assist by D. Robinson),18-31, ,,2,18,31,-13,816.0
10:08.0, ,18-33,N. Richards makes 2-pt layup from 2 ft (assist by L. Ball),,2,18,33,-15,832.0
10:01.0,Offensive foul by B. Adebayo (drawn by N. Richards),18-33, ,,2,18,33,-15,839.0
10:01.0,Turnover by B. Adebayo (offensive foul),18-33, ,,2,18,33,-15,839.0
9:51.0, ,18-35,K. Oubre makes 2-pt layup from 1 ft (assist by L. Ball),,2,18,35,-17,849.0
9:51.0, ,18-35,Shooting foul by M. Strus (drawn by K. Oubre),,2,18,35,-17,849.0
9:51.0, ,18-36,K. Oubre makes free throw 1 of 1,,2,18,36,-18,849.0
9:38.0,B. Adebayo makes 2-pt layup from 3 ft,20-36, ,,2,20,36,-16,862.0
9:20.0, ,20-39,K. Oubre makes 3-pt jump shot from 26 ft,,2,20,39,-19,880.0
9:20.0, ,20-39,Shooting foul by D. Robinson (drawn by K. Oubre),,2,20,39,-19,880.0
9:20.0,T. Herro enters the game for D. Robinson,20-39, ,,2,20,39,-19,880.0
9:20.0, ,20-40,K. Oubre makes free throw 1 of 1,,2,20,40,-20,880.0
9:09.0,C. Martin misses 2-pt layup from 1 ft,20-40, ,,2,20,40,-20,891.0
9:07.0, ,20-40,Defensive rebound by N. Richards,,2,20,40,-20,893.0
9:01.0, ,20-40,Turnover by D. Smith (traveling),,2,20,40,-20,899.0
8:39.0,C. Martin misses 3-pt jump shot from 22 ft,20-40, ,,2,20,40,-20,921.0
8:37.0, ,20-40,Defensive rebound by D. Smith,,2,20,40,-20,923.0
8:26.0, ,20-40,L. Ball misses 3-pt jump shot from 25 ft,,2,20,40,-20,934.0
8:23.0,Defensive rebound by C. Martin,20-40, ,,2,20,40,-20,937.0
8:12.0,Shooting foul by D. Smith (drawn by T. Herro),20-40, ,,2,20,40,-20,948.0
8:12.0,T. Herro makes free throw 1 of 2,21-40, ,,2,21,40,-19,948.0
8:12.0, ,21-40,G. Hayward enters the game for J. Thor,,2,21,40,-19,948.0
8:12.0,T. Herro makes free throw 2 of 2,22-40, ,,2,22,40,-18,948.0
8:00.0, ,22-40,K. Oubre misses 3-pt jump shot from 27 ft,,2,22,40,-18,960.0
7:57.0,Defensive rebound by C. Martin,22-40, ,,2,22,40,-18,963.0
7:44.0,T. Herro misses 2-pt jump shot from 8 ft,22-40, ,,2,22,40,-18,976.0
7:42.0, ,22-40,Defensive rebound by N. Richards,,2,22,40,-18,978.0
7:34.0, ,22-42,D. Smith makes 2-pt jump shot from 6 ft,,2,22,42,-20,986.0
7:21.0,B. Adebayo misses 2-pt jump shot from 7 ft,22-42, ,,2,22,42,-20,999.0
7:17.0, ,22-42,Defensive rebound by K. Oubre,,2,22,42,-20,1003.0
7:09.0, ,22-42,G. Hayward misses 2-pt layup from 1 ft,,2,22,42,-20,1011.0
7:07.0,Defensive rebound by B. Adebayo,22-42, ,,2,22,42,-20,1013.0
7:03.0,V. Oladipo misses 2-pt layup from 2 ft,22-42, ,,2,22,42,-20,1017.0
7:01.0, ,22-42,Defensive rebound by K. Oubre,,2,22,42,-20,1019.0
6:56.0, ,22-42,Shooting foul by V. Oladipo (drawn by D. Smith),,2,22,42,-20,1024.0
6:56.0, ,22-42,Charlotte full timeout,,2,22,42,-20,1024.0
6:56.0,J. Butler enters the game for C. Martin,22-42, ,,2,22,42,-20,1024.0
6:56.0,G. Vincent enters the game for V. Oladipo,22-42, ,,2,22,42,-20,1024.0
6:56.0, ,22-42,T. Rozier enters the game for L. Ball,,2,22,42,-20,1024.0
6:56.0, ,22-42,M. Williams enters the game for N. Richards,,2,22,42,-20,1024.0
6:56.0, ,22-43,D. Smith makes free throw 1 of 2,,2,22,43,-21,1024.0
6:56.0, ,22-44,D. Smith makes free throw 2 of 2,,2,22,44,-22,1024.0
6:42.0,J. Butler makes 2-pt dunk from 2 ft (assist by B. Adebayo),24-44, ,,2,24,44,-20,1038.0
6:17.0, ,24-46,K. Oubre makes 2-pt layup from 1 ft (assist by G. Hayward),,2,24,46,-22,1063.0
6:04.0,Shooting foul by G. Hayward (drawn by J. Butler),24-46, ,,2,24,46,-22,1076.0
6:04.0,J. Butler makes free throw 1 of 2,25-46, ,,2,25,46,-21,1076.0
6:04.0,J. Butler makes free throw 2 of 2,26-46, ,,2,26,46,-20,1076.0
5:43.0, ,26-48,D. Smith makes 2-pt dunk from 2 ft (assist by T. Rozier),,2,26,48,-22,1097.0
5:43.0, ,26-48,Technical foul by D. Smith,,2,26,48,-22,1097.0
5:43.0,J. Butler makes technical free throw,27-48, ,,2,27,48,-21,1097.0
5:43.0,C. Zeller enters the game for B. Adebayo,27-48, ,,2,27,48,-21,1097.0
5:43.0, ,27-48,J. Thor enters the game for K. Oubre,,2,27,48,-21,1097.0
5:28.0,T. Herro makes 3-pt jump shot from 26 ft (assist by J. Butler),30-48, ,,2,30,48,-18,1112.0
5:15.0, ,30-48,T. Rozier misses 3-pt jump shot from 27 ft,,2,30,48,-18,1125.0
5:14.0, ,30-48,Offensive rebound by M. Williams,,2,30,48,-18,1126.0
5:06.0, ,30-48,G. Hayward misses 2-pt jump shot from 10 ft,,2,30,48,-18,1134.0
5:05.0,Defensive rebound by M. Strus,30-48, ,,2,30,48,-18,1135.0
4:58.0,T. Herro makes 3-pt jump shot from 23 ft (assist by M. Strus),33-48, ,,2,33,48,-15,1142.0
4:58.0, ,33-48,Charlotte full timeout,,2,33,48,-15,1142.0
4:58.0,K. Love enters the game for M. Strus,33-48, ,,2,33,48,-15,1142.0
4:58.0, ,33-48,L. Ball enters the game for D. Smith,,2,33,48,-15,1142.0
4:50.0, ,33-48,Personal foul by C. Zeller (drawn by G. Hayward),,2,33,48,-15,1150.0
4:38.0, ,33-48,L. Ball misses 2-pt jump shot from 8 ft,,2,33,48,-15,1162.0
4:35.0,Defensive rebound by K. Love,33-48, ,,2,33,48,-15,1165.0
4:26.0,T. Herro misses 3-pt jump shot from 27 ft,33-48, ,,2,33,48,-15,1174.0
4:23.0, ,33-48,Defensive rebound by M. Williams,,2,33,48,-15,1177.0
4:15.0, ,33-48,T. Rozier misses 2-pt layup from 6 ft (block by C. Zeller),,2,33,48,-15,1185.0
4:14.0,Defensive rebound by G. Vincent,33-48, ,,2,33,48,-15,1186.0
4:09.0,K. Love makes 2-pt layup from 1 ft (assist by T. Herro),35-48, ,,2,35,48,-13,1191.0
3:51.0, ,35-48,M. Williams misses 2-pt hook shot from 6 ft,,2,35,48,-13,1209.0
3:49.0,Defensive rebound by K. Love,35-48, ,,2,35,48,-13,1211.0
3:37.0,C. Zeller makes 2-pt dunk from 2 ft (assist by T. Herro),37-48, ,,2,37,48,-11,1223.0
3:19.0, ,37-48,L. Ball misses 2-pt layup from 2 ft,,2,37,48,-11,1241.0
