Time,Miami,Score,Orlando,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. W. Carter (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:44.0,G. Vincent makes 2-pt layup from 3 ft (assist by B. Adebayo),2-0, ,,1,2,0,2,16.0
11:27.0, ,2-2,P. Banchero makes 2-pt jump shot from 14 ft (assist by M. Fultz),Tie,1,2,2,0,33.0
11:01.0,Turnover by T. Herro (bad pass; steal by W. Carter),2-2, ,,1,2,2,0,59.0
10:54.0, ,2-4,P. Banchero makes 2-pt layup from 3 ft (assist by F. Wagner),Lead change,1,2,4,-2,66.0
10:40.0,J. Butler misses 3-pt jump shot from 23 ft,2-4, ,,1,2,4,-2,80.0
10:37.0, ,2-4,Defensive rebound by W. Carter,,1,2,4,-2,83.0
10:27.0, ,2-7,G. Harris makes 3-pt jump shot from 25 ft (assist by M. Fultz),,1,2,7,-5,93.0
10:16.0,T. Herro makes 2-pt jump shot from 16 ft,4-7, ,,1,4,7,-3,104.0
9:59.0, ,4-9,F. Wagner makes 2-pt dunk from 1 ft,,1,4,9,-5,121.0
9:54.0,Turnover by T. Herro (bad pass; steal by G. Harris),4-9, ,,1,4,9,-5,126.0
9:41.0, ,4-9,Turnover by P. Banchero (bad pass),,1,4,9,-5,139.0
9:22.0,G. Vincent makes 2-pt layup from 5 ft (assist by K. Love),6-9, ,,1,6,9,-3,158.0
9:12.0, ,6-9,W. Carter misses 3-pt jump shot from 26 ft,,1,6,9,-3,168.0
9:09.0,Defensive rebound by T. Herro,6-9, ,,1,6,9,-3,171.0
9:07.0,Shooting foul by W. Carter (drawn by K. Love),6-9, ,,1,6,9,-3,173.0
9:07.0,K. Love makes free throw 1 of 2,7-9, ,,1,7,9,-2,173.0
9:07.0,K. Love makes free throw 2 of 2,8-9, ,,1,8,9,-1,173.0
8:51.0, ,8-11,W. Carter makes 2-pt layup from 4 ft,,1,8,11,-3,189.0
8:29.0,Turnover by G. Vincent (step out of bounds),8-11, ,,1,8,11,-3,211.0
8:15.0, ,8-11,Turnover by W. Carter (lost ball; steal by K. Love),,1,8,11,-3,225.0
8:10.0,Personal foul by F. Wagner (drawn by B. Adebayo),8-11, ,,1,8,11,-3,230.0
8:03.0,T. Herro makes 2-pt jump shot from 9 ft,10-11, ,,1,10,11,-1,237.0
7:45.0, ,10-11,Turnover by M. Fultz (bad pass; steal by J. Butler),,1,10,11,-1,255.0
7:40.0,Turnover by J. Butler (bad pass),10-11, ,,1,10,11,-1,260.0
7:32.0, ,10-11,G. Harris misses 3-pt jump shot from 24 ft,,1,10,11,-1,268.0
7:29.0,Defensive rebound by K. Love,10-11, ,,1,10,11,-1,271.0
7:06.0,J. Butler makes 2-pt layup from 3 ft,12-11, ,Lead change,1,12,11,1,294.0
6:50.0, ,12-13,F. Wagner makes 2-pt layup from 5 ft (assist by P. Banchero),Lead change,1,12,13,-1,310.0
6:37.0,K. Love misses 3-pt jump shot from 24 ft,12-13, ,,1,12,13,-1,323.0
6:35.0, ,12-13,Defensive rebound by P. Banchero,,1,12,13,-1,325.0
6:31.0, ,12-13,Shooting foul by J. Butler (drawn by P. Banchero),,1,12,13,-1,329.0
6:31.0, ,12-13,Orlando full timeout,,1,12,13,-1,329.0
6:31.0,V. Oladipo enters the game for T. Herro,12-13, ,,1,12,13,-1,329.0
6:31.0, ,12-13,C. Anthony enters the game for F. Wagner,,1,12,13,-1,329.0
6:31.0, ,12-14,P. Banchero makes free throw 1 of 2,,1,12,14,-2,329.0
6:31.0, ,12-15,P. Banchero makes free throw 2 of 2,,1,12,15,-3,329.0
6:21.0,Offensive foul by J. Butler (drawn by G. Harris),12-15, ,,1,12,15,-3,339.0
6:21.0,Turnover by J. Butler (offensive foul),12-15, ,,1,12,15,-3,339.0
6:21.0,K. Lowry enters the game for J. Butler,12-15, ,,1,12,15,-3,339.0
6:09.0, ,12-17,W. Carter makes 2-pt dunk from 4 ft (assist by M. Fultz),,1,12,17,-5,351.0
5:48.0,V. Oladipo makes 2-pt jump shot from 17 ft,14-17, ,,1,14,17,-3,372.0
5:31.0, ,14-20,G. Harris makes 3-pt jump shot from 26 ft (assist by W. Carter),,1,14,20,-6,389.0
5:15.0,B. Adebayo makes 2-pt dunk from 4 ft (assist by K. Love),16-20, ,,1,16,20,-4,405.0
4:59.0, ,16-23,W. Carter makes 3-pt jump shot from 26 ft (assist by M. Fultz),,1,16,23,-7,421.0
4:42.0,G. Vincent makes 2-pt jump shot from 22 ft,18-23, ,,1,18,23,-5,438.0
4:25.0, ,18-23,M. Fultz misses 2-pt jump shot from 9 ft,,1,18,23,-5,455.0
4:23.0,Defensive rebound by V. Oladipo,18-23, ,,1,18,23,-5,457.0
4:17.0,Turnover by K. Love (bad pass),18-23, ,,1,18,23,-5,463.0
4:17.0,T. Herro enters the game for B. Adebayo,18-23, ,,1,18,23,-5,463.0
4:17.0,C. Zeller enters the game for G. Vincent,18-23, ,,1,18,23,-5,463.0
4:17.0, ,18-23,J. Suggs enters the game for W. Carter,,1,18,23,-5,463.0
4:17.0, ,18-23,M. Wagner enters the game for G. Harris,,1,18,23,-5,463.0
4:04.0, ,18-25,P. Banchero makes 2-pt jump shot from 2 ft,,1,18,25,-7,476.0
3:57.0,T. Herro makes 2-pt layup from 6 ft (assist by K. Lowry),20-25, ,,1,20,25,-5,483.0
3:48.0,Violation by Team (kicked ball),20-25, ,,1,20,25,-5,492.0
3:41.0, ,20-25,P. Banchero misses 2-pt jump shot from 19 ft,,1,20,25,-5,499.0
3:38.0,Defensive rebound by C. Zeller,20-25, ,,1,20,25,-5,502.0
3:33.0,T. Herro misses 3-pt jump shot from 24 ft,20-25, ,,1,20,25,-5,507.0
3:29.0, ,20-25,Defensive rebound by M. Wagner,,1,20,25,-5,511.0
3:22.0, ,20-25,M. Fultz misses 2-pt jump shot from 5 ft,,1,20,25,-5,518.0
3:20.0,Defensive rebound by C. Zeller,20-25, ,,1,20,25,-5,520.0
3:09.0,C. Zeller misses 3-pt jump shot from 27 ft,20-25, ,,1,20,25,-5,531.0
3:06.0, ,20-25,Defensive rebound by M. Wagner,,1,20,25,-5,534.0
2:56.0, ,20-25,M. Fultz misses 3-pt jump shot from 23 ft,,1,20,25,-5,544.0
2:53.0,Defensive rebound by K. Love,20-25, ,,1,20,25,-5,547.0
2:43.0,V. Oladipo misses 2-pt layup from 4 ft,20-25, ,,1,20,25,-5,557.0
2:41.0, ,20-25,Defensive rebound by P. Banchero,,1,20,25,-5,559.0
2:36.0, ,20-25,Shooting foul by K. Love (drawn by P. Banchero),,1,20,25,-5,564.0
2:36.0,Miami full timeout,20-25, ,,1,20,25,-5,564.0
2:36.0,J. Butler enters the game for K. Love,20-25, ,,1,20,25,-5,564.0
2:36.0, ,20-25,B. Bol enters the game for M. Fultz,,1,20,25,-5,564.0
2:36.0, ,20-26,P. Banchero makes free throw 1 of 2,,1,20,26,-6,564.0
2:36.0, ,20-27,P. Banchero makes free throw 2 of 2,,1,20,27,-7,564.0
2:24.0,Turnover by K. Lowry (bad pass; steal by J. Suggs),20-27, ,,1,20,27,-7,576.0
2:19.0, ,20-29,C. Anthony makes 2-pt dunk from 2 ft (assist by P. Banchero),,1,20,29,-9,581.0
1:57.0,J. Butler makes 2-pt jump shot from 5 ft (assist by V. Oladipo),22-29, ,,1,22,29,-7,603.0
1:41.0, ,22-31,C. Anthony makes 2-pt jump shot from 7 ft (assist by J. Suggs),,1,22,31,-9,619.0
1:26.0,V. Oladipo misses 3-pt jump shot from 27 ft,22-31, ,,1,22,31,-9,634.0
1:26.0, ,22-31,Defensive rebound by B. Bol,,1,22,31,-9,634.0
1:10.0, ,22-34,M. Wagner makes 3-pt jump shot from 23 ft (assist by P. Banchero),,1,22,34,-12,650.0
0:57.0,Personal foul by J. Suggs (drawn by C. Zeller),22-34, ,,1,22,34,-12,663.0
0:57.0, ,22-34,F. Wagner enters the game for P. Banchero,,1,22,34,-12,663.0
0:48.0,Shooting foul by C. Anthony (drawn by C. Zeller),22-34, ,,1,22,34,-12,672.0
0:48.0,C. Zeller makes free throw 1 of 2,23-34, ,,1,23,34,-11,672.0
0:48.0,C. Zeller makes free throw 2 of 2,24-34, ,,1,24,34,-10,672.0
0:36.0, ,24-34,J. Suggs misses 2-pt layup from 4 ft,,1,24,34,-10,684.0
0:35.0, ,24-34,Offensive rebound by M. Wagner,,1,24,34,-10,685.0
0:34.0, ,24-34,M. Wagner misses 2-pt layup from 3 ft (block by V. Oladipo),,1,24,34,-10,686.0
0:34.0, ,24-34,Offensive rebound by Team,,1,24,34,-10,686.0
0:34.0,O. Yurtseven enters the game for C. Zeller,24-34, ,,1,24,34,-10,686.0
0:34.0, ,24-34,C. Houstan enters the game for J. Suggs,,1,24,34,-10,686.0
0:30.0, ,24-34,F. Wagner misses 2-pt jump shot from 20 ft,,1,24,34,-10,690.0
0:28.0,Defensive rebound by T. Herro,24-34, ,,1,24,34,-10,692.0
0:22.0,K. Lowry misses 3-pt jump shot from 25 ft,24-34, ,,1,24,34,-10,698.0
0:20.0, ,24-34,Defensive rebound by C. Anthony,,1,24,34,-10,700.0
0:00.0, ,24-34,C. Anthony misses 2-pt jump shot from 21 ft,,1,24,34,-10,720.0
0:00.0, ,24-34,Offensive rebound by Team,,1,24,34,-10,720.0
0:00.0,End of 1st quarter,24-34,,,1,24,34,-10,720.0
12:00.0,Start of 2nd quarter,24-34,,,2,24,34,-10,720.0
11:50.0, ,24-34,C. Okeke misses 3-pt jump shot from 26 ft,,2,24,34,-10,730.0
11:46.0,Defensive rebound by M. Strus,24-34, ,,2,24,34,-10,734.0
11:37.0,J. Butler misses 2-pt layup from 6 ft,24-34, ,,2,24,34,-10,743.0
11:35.0, ,24-34,Defensive rebound by B. Bol,,2,24,34,-10,745.0
11:29.0, ,24-34,M. Wagner misses 3-pt jump shot from 26 ft,,2,24,34,-10,751.0
11:25.0,Defensive rebound by J. Butler,24-34, ,,2,24,34,-10,755.0
11:19.0,K. Lowry makes 3-pt jump shot from 28 ft (assist by J. Butler),27-34, ,,2,27,34,-7,761.0
11:05.0, ,27-34,M. Wagner misses 2-pt layup from 4 ft,,2,27,34,-7,775.0
11:03.0,Defensive rebound by J. Butler,27-34, ,,2,27,34,-7,777.0
10:58.0,Shooting foul by C. Okeke (drawn by K. Lowry),27-34, ,,2,27,34,-7,782.0
10:58.0,K. Lowry makes free throw 1 of 2,28-34, ,,2,28,34,-6,782.0
10:58.0,K. Lowry misses free throw 2 of 2,28-34, ,,2,28,34,-6,782.0
