Time,Utah,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: W. Kessler vs. B. Adebayo (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:33.0, ,0-3,G. Vincent makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,1,3,0,3,27.0
11:15.0,Turnover by K. Olynyk (bad pass; steal by J. Butler),0-3, ,,1,3,0,3,45.0
10:51.0, ,0-3,K. Love misses 3-pt jump shot from 26 ft,,1,3,0,3,69.0
10:44.0, ,0-3,Offensive rebound by J. Butler,,1,3,0,3,76.0
10:31.0, ,0-3,G. Vincent misses 3-pt jump shot from 23 ft,,1,3,0,3,89.0
10:28.0,Defensive rebound by L. Markkanen,0-3, ,,1,3,0,3,92.0
10:25.0,W. Kessler makes 2-pt dunk from 3 ft (assist by K. Olynyk),2-3, ,,1,3,2,1,95.0
10:14.0, ,2-3,Personal foul by K. Olynyk (drawn by K. Love),,1,3,2,1,106.0
10:06.0, ,2-6,G. Vincent makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,6,2,4,114.0
9:46.0,T. Horton-Tucker misses 2-pt jump shot from 20 ft,2-6, ,,1,6,2,4,134.0
9:41.0, ,2-6,Defensive rebound by J. Butler,,1,6,2,4,139.0
9:30.0, ,2-6,B. Adebayo misses 2-pt jump shot from 13 ft,,1,6,2,4,150.0
9:27.0,Defensive rebound by W. Kessler,2-6, ,,1,6,2,4,153.0
9:22.0,Turnover by L. Markkanen (lost ball; steal by J. Butler),2-6, ,,1,6,2,4,158.0
9:20.0, ,2-6,Turnover by B. Adebayo (bad pass),,1,6,2,4,160.0
9:08.0,Turnover by O. Agbaji (lost ball; steal by G. Vincent),2-6, ,,1,6,2,4,172.0
9:05.0, ,2-8,J. Butler makes 2-pt dunk from 3 ft (assist by G. Vincent),,1,8,2,6,175.0
8:47.0,T. Horton-Tucker misses 2-pt jump shot from 5 ft,2-8, ,,1,8,2,6,193.0
8:43.0,Offensive rebound by T. Horton-Tucker,2-8, ,,1,8,2,6,197.0
8:40.0,O. Agbaji misses 3-pt jump shot from 26 ft,2-8, ,,1,8,2,6,200.0
8:37.0, ,2-8,Defensive rebound by B. Adebayo,,1,8,2,6,203.0
8:26.0, ,2-8,T. Herro misses 3-pt jump shot from 26 ft,,1,8,2,6,214.0
8:23.0,Defensive rebound by K. Olynyk,2-8, ,,1,8,2,6,217.0
8:17.0,O. Agbaji misses 3-pt jump shot from 26 ft,2-8, ,,1,8,2,6,223.0
8:14.0,Offensive rebound by W. Kessler,2-8, ,,1,8,2,6,226.0
8:12.0,O. Agbaji makes 2-pt layup from 5 ft (assist by W. Kessler),4-8, ,,1,8,4,4,228.0
7:53.0, ,4-10,B. Adebayo makes 2-pt hook shot from 6 ft (assist by T. Herro),,1,10,4,6,247.0
