Time,Miami,Score,Detroit,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Wiseman (R. McGruder gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,Turnover by R. McGruder (lost ball; steal by J. Butler),,1,0,0,0,19.0
11:32.0,T. Herro makes 2-pt jump shot from 5 ft (assist by B. Adebayo),2-0, ,,1,2,0,2,28.0
11:15.0, ,2-0,M. Bagley misses 3-pt jump shot from 23 ft,,1,2,0,2,45.0
11:14.0, ,2-0,Offensive rebound by M. Bagley,,1,2,0,2,46.0
11:14.0, ,2-2,M. Bagley makes 2-pt jump shot from 5 ft,Tie,1,2,2,0,46.0
11:14.0, ,2-2,Shooting foul by T. Herro (drawn by M. Bagley),,1,2,2,0,46.0
11:14.0, ,2-2,M. Bagley misses free throw 1 of 1,,1,2,2,0,46.0
11:11.0,Defensive rebound by K. Love,2-2, ,,1,2,2,0,49.0
10:56.0,B. Adebayo makes 2-pt hook shot from 5 ft (assist by T. Herro),4-2, ,,1,4,2,2,64.0
10:41.0, ,4-2,Turnover by J. Ivey (bad pass),,1,4,2,2,79.0
10:36.0,Personal foul by K. Hayes (drawn by T. Herro),4-2, ,,1,4,2,2,84.0
10:18.0,T. Herro misses 2-pt layup from 5 ft,4-2, ,,1,4,2,2,102.0
10:15.0, ,4-2,Defensive rebound by R. McGruder,,1,4,2,2,105.0
9:57.0, ,4-2,K. Hayes misses 2-pt jump shot from 11 ft,,1,4,2,2,123.0
9:55.0,Defensive rebound by K. Love,4-2, ,,1,4,2,2,125.0
9:47.0,K. Love misses 3-pt jump shot from 29 ft,4-2, ,,1,4,2,2,133.0
9:44.0, ,4-2,Defensive rebound by J. Ivey,,1,4,2,2,136.0
9:31.0, ,4-4,R. McGruder makes 2-pt jump shot from 7 ft (assist by J. Ivey),Tie,1,4,4,0,149.0
9:16.0,T. Herro makes 2-pt jump shot from 5 ft (assist by B. Adebayo),6-4, ,,1,6,4,2,164.0
8:58.0, ,6-7,J. Ivey makes 3-pt jump shot from 24 ft (assist by K. Hayes),Lead change,1,6,7,-1,182.0
8:44.0,K. Love makes 3-pt jump shot from 27 ft (assist by T. Herro),9-7, ,Lead change,1,9,7,2,196.0
8:26.0, ,9-10,J. Ivey makes 3-pt jump shot from 27 ft (assist by M. Bagley),Lead change,1,9,10,-1,214.0
8:08.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Love),11-10, ,Lead change,1,11,10,1,232.0
7:47.0, ,11-10,R. McGruder misses 2-pt layup from 4 ft,,1,11,10,1,253.0
7:45.0,Defensive rebound by K. Love,11-10, ,,1,11,10,1,255.0
7:42.0,T. Herro misses 2-pt layup from 3 ft (block by M. Bagley),11-10, ,,1,11,10,1,258.0
7:42.0,Offensive rebound by Team,11-10, ,,1,11,10,1,258.0
7:41.0,Shooting foul by M. Bagley (drawn by K. Love),11-10, ,,1,11,10,1,259.0
7:41.0,K. Love makes free throw 1 of 2,12-10, ,,1,12,10,2,259.0
7:41.0,K. Love makes free throw 2 of 2,13-10, ,,1,13,10,3,259.0
7:25.0, ,13-12,M. Bagley makes 2-pt hook shot from 4 ft (assist by K. Hayes),,1,13,12,1,275.0
7:12.0,T. Herro misses 3-pt jump shot from 28 ft,13-12, ,,1,13,12,1,288.0
7:09.0, ,13-12,Defensive rebound by J. Ivey,,1,13,12,1,291.0
7:02.0, ,13-12,R. McGruder misses 3-pt jump shot from 23 ft,,1,13,12,1,298.0
7:00.0, ,13-12,Offensive rebound by J. Ivey,,1,13,12,1,300.0
6:59.0, ,13-14,J. Ivey makes 2-pt layup from 2 ft,Lead change,1,13,14,-1,301.0
6:42.0,K. Love misses 3-pt jump shot from 26 ft,13-14, ,,1,13,14,-1,318.0
6:40.0,Offensive rebound by B. Adebayo,13-14, ,,1,13,14,-1,320.0
6:38.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Love),15-14, ,Lead change,1,15,14,1,322.0
6:30.0, ,15-14,Detroit full timeout,,1,15,14,1,330.0
6:10.0, ,15-16,M. Bagley makes 2-pt jump shot from 10 ft,Lead change,1,15,16,-1,350.0
5:52.0,B. Adebayo makes 2-pt hook shot from 7 ft (assist by J. Butler),17-16, ,Lead change,1,17,16,1,368.0
5:30.0, ,17-18,K. Hayes makes 2-pt jump shot from 9 ft (assist by M. Bagley),Lead change,1,17,18,-1,390.0
5:06.0,T. Herro misses 3-pt jump shot from 27 ft,17-18, ,,1,17,18,-1,414.0
5:04.0, ,17-18,Defensive rebound by R. McGruder,,1,17,18,-1,416.0
4:56.0, ,17-18,Turnover by K. Hayes (bad pass; steal by G. Vincent),,1,17,18,-1,424.0
4:48.0,G. Vincent misses 3-pt jump shot from 29 ft,17-18, ,,1,17,18,-1,432.0
4:46.0, ,17-18,Defensive rebound by J. Wiseman,,1,17,18,-1,434.0
4:35.0, ,17-20,R. McGruder makes 2-pt layup from 3 ft (assist by K. Hayes),,1,17,20,-3,445.0
4:35.0,Miami full timeout,17-20, ,,1,17,20,-3,445.0
4:35.0,M. Strus enters the game for B. Adebayo,17-20, ,,1,17,20,-3,445.0
4:35.0,O. Yurtseven enters the game for T. Herro,17-20, ,,1,17,20,-3,445.0
4:35.0, ,17-20,J. Duren enters the game for M. Bagley,,1,17,20,-3,445.0
4:35.0, ,17-20,E. Omoruyi enters the game for J. Wiseman,,1,17,20,-3,445.0
4:21.0,Shooting foul by R. McGruder (drawn by J. Butler),17-20, ,,1,17,20,-3,459.0
4:21.0,J. Butler makes free throw 1 of 2,18-20, ,,1,18,20,-2,459.0
4:21.0,J. Butler makes free throw 2 of 2,19-20, ,,1,19,20,-1,459.0
