Time,Miami,Score,Philadelphia,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Embiid (J. Harden gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-0,J. Embiid misses 2-pt jump shot from 13 ft,,1,0,0,0,21.0
11:37.0,Defensive rebound by J. Butler,0-0, ,,1,0,0,0,23.0
11:34.0,M. Strus makes 2-pt layup from 2 ft (assist by J. Butler),2-0, ,,1,2,0,2,26.0
11:19.0, ,2-0,T. Harris misses 2-pt layup from 3 ft,,1,2,0,2,41.0
11:17.0,Defensive rebound by T. Herro,2-0, ,,1,2,0,2,43.0
11:07.0,B. Adebayo misses 2-pt jump shot from 12 ft,2-0, ,,1,2,0,2,53.0
11:05.0, ,2-0,Defensive rebound by J. Harden,,1,2,0,2,55.0
10:51.0, ,2-0,J. Harden misses 2-pt layup from 2 ft,,1,2,0,2,69.0
10:48.0,Defensive rebound by M. Strus,2-0, ,,1,2,0,2,72.0
10:43.0,T. Herro misses 2-pt layup from 3 ft (block by D. Melton),2-0, ,,1,2,0,2,77.0
10:41.0,Offensive rebound by B. Adebayo,2-0, ,,1,2,0,2,79.0
10:31.0,J. Butler misses 2-pt jump shot from 14 ft,2-0, ,,1,2,0,2,89.0
10:28.0, ,2-0,Defensive rebound by J. Embiid,,1,2,0,2,92.0
10:15.0, ,2-3,J. Embiid makes 3-pt jump shot from 26 ft (assist by J. Harden),Lead change,1,2,3,-1,105.0
9:52.0,T. Herro makes 3-pt jump shot from 29 ft (assist by M. Strus),5-3, ,Lead change,1,5,3,2,128.0
9:39.0, ,5-5,J. Embiid makes 2-pt dunk from 1 ft (assist by J. Harden),Tie,1,5,5,0,141.0
9:28.0,T. Herro misses 3-pt jump shot from 26 ft,5-5, ,,1,5,5,0,152.0
9:26.0, ,5-5,Defensive rebound by J. Embiid,,1,5,5,0,154.0
9:23.0, ,5-7,T. Harris makes 2-pt dunk from 2 ft (assist by J. Harden),Lead change,1,5,7,-2,157.0
9:08.0,B. Adebayo makes 2-pt layup from 2 ft (assist by M. Strus),7-7, ,Tie,1,7,7,0,172.0
9:01.0, ,7-7,T. Harris misses 3-pt jump shot from 26 ft,,1,7,7,0,179.0
8:58.0,Defensive rebound by B. Adebayo,7-7, ,,1,7,7,0,182.0
8:47.0,J. Butler makes 2-pt jump shot from 3 ft,9-7, ,Lead change,1,9,7,2,193.0
8:25.0, ,9-10,T. Harris makes 3-pt jump shot from 24 ft (assist by J. Harden),Lead change,1,9,10,-1,215.0
8:18.0,G. Vincent misses 3-pt jump shot from 25 ft,9-10, ,,1,9,10,-1,222.0
8:15.0, ,9-10,Defensive rebound by J. Embiid,,1,9,10,-1,225.0
7:58.0, ,9-10,D. Melton misses 3-pt jump shot from 25 ft,,1,9,10,-1,242.0
7:55.0,Defensive rebound by T. Herro,9-10, ,,1,9,10,-1,245.0
7:43.0,B. Adebayo makes 2-pt layup from 2 ft,11-10, ,Lead change,1,11,10,1,257.0
7:27.0, ,11-10,Personal foul by G. Vincent (drawn by J. Embiid),,1,11,10,1,273.0
7:15.0, ,11-10,J. Harden misses 3-pt jump shot from 27 ft,,1,11,10,1,285.0
7:11.0,Defensive rebound by G. Vincent,11-10, ,,1,11,10,1,289.0
7:04.0,Turnover by G. Vincent (lost ball; steal by T. Harris),11-10, ,,1,11,10,1,296.0
7:01.0, ,11-10,Shooting foul by M. Strus (drawn by T. Harris),,1,11,10,1,299.0
7:01.0, ,11-11,T. Harris makes free throw 1 of 2,Tie,1,11,11,0,299.0
7:01.0, ,11-12,T. Harris makes free throw 2 of 2,Lead change,1,11,12,-1,299.0
6:55.0,Shooting foul by P. Tucker (drawn by T. Herro),11-12, ,,1,11,12,-1,305.0
6:55.0, ,11-12,Philadelphia full timeout,,1,11,12,-1,305.0
6:55.0,T. Herro makes free throw 1 of 2,12-12, ,Tie,1,12,12,0,305.0
6:55.0,T. Herro makes free throw 2 of 2,13-12, ,Lead change,1,13,12,1,305.0
6:43.0, ,13-12,Turnover by J. Harden (traveling),,1,13,12,1,317.0
6:23.0,B. Adebayo makes 2-pt layup from 2 ft (assist by T. Herro),15-12, ,,1,15,12,3,337.0
5:59.0, ,15-12,Shooting foul by M. Strus (drawn by J. Harden),,1,15,12,3,361.0
5:59.0, ,15-13,J. Harden makes free throw 1 of 2,,1,15,13,2,361.0
5:59.0, ,15-13,J. McDaniels enters the game for T. Harris,,1,15,13,2,361.0
5:59.0, ,15-14,J. Harden makes free throw 2 of 2,,1,15,14,1,361.0
5:51.0,M. Strus makes 3-pt jump shot from 27 ft (assist by T. Herro),18-14, ,,1,18,14,4,369.0
5:37.0, ,18-16,J. Embiid makes 2-pt layup from 2 ft,,1,18,16,2,383.0
5:37.0, ,18-16,Shooting foul by G. Vincent (drawn by J. Embiid),,1,18,16,2,383.0
5:37.0,K. Lowry enters the game for T. Herro,18-16, ,,1,18,16,2,383.0
5:37.0,C. Martin enters the game for G. Vincent,18-16, ,,1,18,16,2,383.0
5:37.0, ,18-16,D. House enters the game for J. Harden,,1,18,16,2,383.0
5:37.0, ,18-16,S. Milton enters the game for P. Tucker,,1,18,16,2,383.0
5:37.0, ,18-17,J. Embiid makes free throw 1 of 1,,1,18,17,1,383.0
5:26.0,M. Strus misses 3-pt jump shot from 26 ft,18-17, ,,1,18,17,1,394.0
5:22.0, ,18-17,Defensive rebound by J. Embiid,,1,18,17,1,398.0
5:07.0, ,18-19,S. Milton makes 2-pt jump shot from 13 ft,Lead change,1,18,19,-1,413.0
4:50.0,B. Adebayo makes 2-pt hook shot from 2 ft (assist by J. Butler),20-19, ,Lead change,1,20,19,1,430.0
4:40.0, ,20-19,J. Embiid misses 3-pt jump shot from 25 ft,,1,20,19,1,440.0
4:38.0,Defensive rebound by J. Butler,20-19, ,,1,20,19,1,442.0
4:33.0,Personal foul by D. Melton (drawn by J. Butler),20-19, ,,1,20,19,1,447.0
4:22.0,K. Lowry misses 3-pt jump shot from 26 ft,20-19, ,,1,20,19,1,458.0
4:19.0, ,20-19,Defensive rebound by D. House,,1,20,19,1,461.0
4:10.0, ,20-21,J. McDaniels makes 2-pt jump shot from 6 ft (assist by D. Melton),Lead change,1,20,21,-1,470.0
4:01.0,J. Butler makes 2-pt jump shot from 6 ft,22-21, ,Lead change,1,22,21,1,479.0
3:44.0, ,22-23,J. Embiid makes 2-pt layup from 1 ft (assist by S. Milton),Lead change,1,22,23,-1,496.0
3:29.0,C. Martin makes 3-pt jump shot from 23 ft (assist by J. Butler),25-23, ,Lead change,1,25,23,2,511.0
3:12.0, ,25-23,D. House misses 3-pt jump shot from 23 ft,,1,25,23,2,528.0
3:10.0,Defensive rebound by C. Martin,25-23, ,,1,25,23,2,530.0
3:03.0,J. Butler makes 2-pt dunk from 2 ft (assist by C. Martin),27-23, ,,1,27,23,4,537.0
2:55.0, ,27-23,D. Melton misses 3-pt jump shot from 25 ft,,1,27,23,4,545.0
2:52.0,Defensive rebound by B. Adebayo,27-23, ,,1,27,23,4,548.0
2:47.0,Shooting foul by D. House (drawn by J. Butler),27-23, ,,1,27,23,4,553.0
2:47.0,Miami full timeout,27-23, ,,1,27,23,4,553.0
2:47.0,K. Love enters the game for B. Adebayo,27-23, ,,1,27,23,4,553.0
2:47.0, ,27-23,G. Niang enters the game for D. Melton,,1,27,23,4,553.0
2:47.0,J. Butler makes free throw 1 of 2,28-23, ,,1,28,23,5,553.0
2:47.0,J. Butler makes free throw 2 of 2,29-23, ,,1,29,23,6,553.0
2:32.0, ,29-25,J. Embiid makes 2-pt layup from 1 ft,,1,29,25,4,568.0
2:32.0, ,29-25,Shooting foul by K. Love (drawn by J. Embiid),,1,29,25,4,568.0
2:32.0, ,29-25,J. Embiid misses free throw 1 of 1,,1,29,25,4,568.0
2:29.0,Defensive rebound by C. Martin,29-25, ,,1,29,25,4,571.0
2:10.0,Shooting foul by D. House (drawn by K. Love),29-25, ,,1,29,25,4,590.0
2:10.0,K. Love misses free throw 1 of 2,29-25, ,,1,29,25,4,590.0
2:10.0,Offensive rebound by Team,29-25, ,,1,29,25,4,590.0
2:10.0,K. Love makes free throw 2 of 2,30-25, ,,1,30,25,5,590.0
1:59.0, ,30-25,G. Niang misses 3-pt jump shot from 24 ft,,1,30,25,5,601.0
1:56.0,Defensive rebound by C. Martin,30-25, ,,1,30,25,5,604.0
1:43.0,C. Martin makes 2-pt jump shot from 16 ft (assist by J. Butler),32-25, ,,1,32,25,7,617.0
1:33.0, ,32-25,Turnover by J. McDaniels (traveling),,1,32,25,7,627.0
1:33.0,T. Herro enters the game for M. Strus,32-25, ,,1,32,25,7,627.0
1:22.0,K. Love makes 3-pt jump shot from 27 ft (assist by J. Butler),35-25, ,,1,35,25,10,638.0
1:06.0, ,35-25,Turnover by S. Milton (traveling),,1,35,25,10,654.0
1:06.0,H. Highsmith enters the game for J. Butler,35-25, ,,1,35,25,10,654.0
0:58.0,K. Love makes 3-pt jump shot from 25 ft (assist by T. Herro),38-25, ,,1,38,25,13,662.0
0:47.0, ,38-28,J. McDaniels makes 3-pt jump shot from 26 ft (assist by S. Milton),,1,38,28,10,673.0
0:34.0,Turnover by K. Love (traveling),38-28, ,,1,38,28,10,686.0
0:29.0, ,38-28,Turnover by G. Niang (traveling),,1,38,28,10,691.0
0:29.0,D. Robinson enters the game for H. Highsmith,38-28, ,,1,38,28,10,691.0
0:06.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by T. Herro),41-28, ,,1,41,28,13,714.0
0:01.0, ,41-31,J. McDaniels makes 3-pt jump shot from 30 ft (assist by S. Milton),,1,41,31,10,719.0
0:00.0,End of 1st quarter,41-31,,,1,41,31,10,720.0
12:00.0,Start of 2nd quarter,41-31,,,2,41,31,10,720.0
11:42.0,T. Herro misses 2-pt layup from 3 ft,41-31, ,,2,41,31,10,738.0
11:40.0, ,41-31,Defensive rebound by J. Harden,,2,41,31,10,740.0
11:35.0, ,41-31,J. Harden misses 2-pt jump shot from 13 ft,,2,41,31,10,745.0
11:32.0,Defensive rebound by T. Herro,41-31, ,,2,41,31,10,748.0
11:18.0,K. Love misses 3-pt jump shot from 25 ft,41-31, ,,2,41,31,10,762.0
11:16.0, ,41-31,Defensive rebound by D. House,,2,41,31,10,764.0
10:58.0, ,41-31,J. McDaniels misses 2-pt jump shot from 8 ft,,2,41,31,10,782.0
10:56.0,Defensive rebound by K. Lowry,41-31, ,,2,41,31,10,784.0
10:48.0,Shooting foul by G. Niang (drawn by T. Herro),41-31, ,,2,41,31,10,792.0
10:48.0,T. Herro makes free throw 1 of 2,42-31, ,,2,42,31,11,792.0
10:48.0, ,42-31,S. Milton enters the game for D. House,,2,42,31,11,792.0
10:48.0,T. Herro makes free throw 2 of 2,43-31, ,,2,43,31,12,792.0
10:44.0, ,43-31,Turnover by J. Harden (out of bounds lost ball),,2,43,31,12,796.0
10:29.0,T. Herro makes 2-pt jump shot from 8 ft (assist by H. Highsmith),45-31, ,,2,45,31,14,811.0
10:03.0, ,45-31,J. McDaniels misses 3-pt jump shot from 25 ft,,2,45,31,14,837.0
10:00.0,Defensive rebound by K. Lowry,45-31, ,,2,45,31,14,840.0
9:50.0,T. Herro misses 2-pt jump shot from 21 ft,45-31, ,,2,45,31,14,850.0
9:46.0, ,45-31,Defensive rebound by G. Niang,,2,45,31,14,854.0
9:39.0, ,45-31,J. Harden misses 2-pt jump shot from 8 ft,,2,45,31,14,861.0
9:37.0,Defensive rebound by K. Love,45-31, ,,2,45,31,14,863.0
9:30.0,T. Herro misses 2-pt jump shot from 7 ft (block by S. Milton),45-31, ,,2,45,31,14,870.0
9:30.0,Offensive rebound by Team,45-31, ,,2,45,31,14,870.0
9:28.0,K. Love misses 3-pt jump shot from 26 ft,45-31, ,,2,45,31,14,872.0
9:25.0, ,45-31,Defensive rebound by P. Reed,,2,45,31,14,875.0
9:10.0, ,45-33,G. Niang makes 2-pt jump shot from 6 ft,,2,45,33,12,890.0
8:53.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by C. Martin),48-33, ,,2,48,33,15,907.0
8:36.0, ,48-33,Turnover by P. Reed (bad pass; steal by T. Herro),,2,48,33,15,924.0
8:28.0,H. Highsmith makes 2-pt dunk from 1 ft (assist by K. Lowry),50-33, ,,2,50,33,17,932.0
8:25.0, ,50-33,Philadelphia full timeout,,2,50,33,17,935.0
8:25.0, ,50-33,T. Harris enters the game for G. Niang,,2,50,33,17,935.0
8:17.0, ,50-33,Personal foul by H. Highsmith (drawn by J. Harden),,2,50,33,17,943.0
8:05.0, ,50-33,J. Harden misses 3-pt jump shot from 26 ft,,2,50,33,17,955.0
7:59.0, ,50-33,Offensive rebound by Team,,2,50,33,17,961.0
7:59.0,Jump ball: P. Reed vs. C. Martin (S. Milton gains possession),50-33,,,2,50,33,17,961.0
7:50.0, ,50-35,P. Reed makes 2-pt layup from 3 ft (assist by S. Milton),,2,50,35,15,970.0
7:47.0,Personal foul by J. McDaniels (drawn by C. Martin),50-35, ,,2,50,35,15,973.0
7:36.0,C. Martin misses 3-pt jump shot from 25 ft,50-35, ,,2,50,35,15,984.0
7:32.0,Offensive rebound by H. Highsmith,50-35, ,,2,50,35,15,988.0
7:28.0,Personal foul by J. McDaniels (drawn by C. Martin),50-35, ,,2,50,35,15,992.0
7:28.0, ,50-35,D. Melton enters the game for J. McDaniels,,2,50,35,15,992.0
7:19.0,T. Herro makes 3-pt jump shot from 27 ft (assist by K. Lowry),53-35, ,,2,53,35,18,1001.0
6:59.0, ,53-35,D. Melton misses 3-pt jump shot from 24 ft,,2,53,35,18,1021.0
6:56.0,Defensive rebound by H. Highsmith,53-35, ,,2,53,35,18,1024.0
6:50.0,H. Highsmith misses 3-pt jump shot from 27 ft,53-35, ,,2,53,35,18,1030.0
6:47.0, ,53-35,Defensive rebound by S. Milton,,2,53,35,18,1033.0
6:39.0, ,53-37,J. Harden makes 2-pt jump shot from 12 ft,,2,53,37,16,1041.0
6:26.0,Def 3 sec tech foul by Team,53-37, ,,2,53,37,16,1054.0
6:26.0,T. Herro makes technical free throw,54-37, ,,2,54,37,17,1054.0
6:26.0,B. Adebayo enters the game for H. Highsmith,54-37, ,,2,54,37,17,1054.0
6:26.0,J. Butler enters the game for K. Love,54-37, ,,2,54,37,17,1054.0
6:26.0,G. Vincent enters the game for K. Lowry,54-37, ,,2,54,37,17,1054.0
