Time,Brooklyn,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Claxton vs. B. Adebayo (S. Dinwiddie gains possession),0-0,,,1,0,0,0,0.0
11:49.0,Turnover by S. Dinwiddie (bad pass),0-0, ,,1,0,0,0,11.0
11:30.0, ,0-0,B. Adebayo misses 2-pt jump shot from 15 ft,,1,0,0,0,30.0
11:26.0,Defensive rebound by C. Johnson,0-0, ,,1,0,0,0,34.0
11:05.0,D. Finney-Smith misses 2-pt jump shot from 9 ft (block by J. Butler),0-0, ,,1,0,0,0,55.0
11:05.0,Offensive rebound by Team,0-0, ,,1,0,0,0,55.0
11:05.0,Turnover by Team (shot clock),0-0, ,,1,0,0,0,55.0
10:52.0, ,0-0,J. Butler misses 3-pt jump shot from 25 ft,,1,0,0,0,68.0
10:49.0,Defensive rebound by M. Bridges,0-0, ,,1,0,0,0,71.0
10:39.0,C. Johnson misses 2-pt jump shot from 8 ft,0-0, ,,1,0,0,0,81.0
10:36.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,84.0
10:33.0, ,0-0,K. Lowry misses 2-pt layup from 1 ft,,1,0,0,0,87.0
10:29.0,Defensive rebound by N. Claxton,0-0, ,,1,0,0,0,91.0
10:19.0,M. Bridges makes 2-pt layup from 1 ft (assist by D. Finney-Smith),2-0, ,,1,0,2,-2,101.0
10:08.0, ,2-0,D. Robinson misses 3-pt jump shot from 27 ft,,1,0,2,-2,112.0
10:08.0, ,2-0,Offensive rebound by J. Butler,,1,0,2,-2,112.0
9:56.0, ,2-0,Shooting foul by C. Johnson (drawn by J. Butler),,1,0,2,-2,124.0
9:56.0, ,2-1,J. Butler makes free throw 1 of 2,,1,1,2,-1,124.0
9:56.0, ,2-2,J. Butler makes free throw 2 of 2,Tie,1,2,2,0,124.0
9:41.0,Shooting foul by H. Highsmith (drawn by S. Dinwiddie),2-2, ,,1,2,2,0,139.0
9:41.0,S. Dinwiddie misses free throw 1 of 2,2-2, ,,1,2,2,0,139.0
9:41.0,Offensive rebound by Team,2-2, ,,1,2,2,0,139.0
9:41.0,S. Dinwiddie makes free throw 2 of 2,3-2, ,,1,2,3,-1,139.0
9:22.0, ,3-2,J. Butler misses 3-pt jump shot from 26 ft,,1,2,3,-1,158.0
9:19.0,Defensive rebound by C. Johnson,3-2, ,,1,2,3,-1,161.0
9:06.0,Turnover by N. Claxton (lost ball; steal by K. Lowry),3-2, ,,1,2,3,-1,174.0
8:59.0, ,3-2,B. Adebayo misses 2-pt jump shot from 14 ft,,1,2,3,-1,181.0
8:56.0, ,3-2,Offensive rebound by J. Butler,,1,2,3,-1,184.0
8:53.0, ,3-2,B. Adebayo misses 2-pt jump shot from 6 ft,,1,2,3,-1,187.0
8:49.0,Defensive rebound by N. Claxton,3-2, ,,1,2,3,-1,191.0
8:40.0,N. Claxton makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),5-2, ,,1,2,5,-3,200.0
8:27.0, ,5-5,D. Robinson makes 3-pt jump shot from 22 ft (assist by K. Lowry),Tie,1,5,5,0,213.0
8:06.0,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by M. Bridges),8-5, ,,1,5,8,-3,234.0
7:57.0, ,8-5,H. Highsmith misses 3-pt jump shot from 24 ft,,1,5,8,-3,243.0
7:53.0,Defensive rebound by D. Finney-Smith,8-5, ,,1,5,8,-3,247.0
7:46.0,Shooting foul by H. Highsmith (drawn by S. Dinwiddie),8-5, ,,1,5,8,-3,254.0
7:46.0,S. Dinwiddie makes free throw 1 of 2,9-5, ,,1,5,9,-4,254.0
7:46.0,D. Sharpe enters the game for N. Claxton,9-5, ,,1,5,9,-4,254.0
7:46.0,S. Dinwiddie makes free throw 2 of 2,10-5, ,,1,5,10,-5,254.0
7:36.0, ,10-5,D. Robinson misses 3-pt jump shot from 26 ft,,1,5,10,-5,264.0
7:33.0,Defensive rebound by D. Sharpe,10-5, ,,1,5,10,-5,267.0
7:24.0,C. Johnson misses 3-pt jump shot from 26 ft,10-5, ,,1,5,10,-5,276.0
7:18.0, ,10-5,Defensive rebound by J. Butler,,1,5,10,-5,282.0
7:09.0, ,10-5,Personal foul by C. Johnson (drawn by D. Robinson),,1,5,10,-5,291.0
7:09.0,R. O'Neale enters the game for C. Johnson,10-5, ,,1,5,10,-5,291.0
6:57.0, ,10-5,K. Lowry misses 2-pt jump shot from 7 ft,,1,5,10,-5,303.0
