Time,Indiana,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Turner vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-0,B. Adebayo misses 2-pt jump shot from 9 ft,,1,0,0,0,21.0
11:37.0,Defensive rebound by O. Toppin,0-0, ,,1,0,0,0,23.0
11:27.0,M. Turner misses 3-pt jump shot from 28 ft,0-0, ,,1,0,0,0,33.0
11:21.0,Offensive rebound by B. Hield,0-0, ,,1,0,0,0,39.0
11:19.0,O. Toppin makes 2-pt layup from 4 ft (assist by B. Hield),2-0, ,,1,0,2,-2,41.0
11:06.0, ,2-0,Turnover by D. Robinson (traveling),,1,0,2,-2,54.0
10:51.0,Personal foul by D. Robinson (drawn by B. Brown),2-0, ,,1,0,2,-2,69.0
10:46.0,O. Toppin makes 3-pt jump shot from 26 ft (assist by B. Hield),5-0, ,,1,0,5,-5,74.0
10:32.0, ,5-0,K. Lowry misses 3-pt jump shot from 23 ft,,1,0,5,-5,88.0
10:30.0,Defensive rebound by B. Hield,5-0, ,,1,0,5,-5,90.0
10:22.0,M. Turner misses 3-pt jump shot from 23 ft,5-0, ,,1,0,5,-5,98.0
10:18.0, ,5-0,Defensive rebound by H. Highsmith,,1,0,5,-5,102.0
10:11.0, ,5-2,J. Butler makes 2-pt jump shot from 11 ft,,1,2,5,-3,109.0
10:02.0,B. Hield makes 2-pt jump shot from 17 ft (assist by T. Haliburton),7-2, ,,1,2,7,-5,118.0
9:50.0, ,7-2,Shooting foul by B. Hield (drawn by J. Butler),,1,2,7,-5,130.0
9:50.0, ,7-3,J. Butler makes free throw 1 of 2,,1,3,7,-4,130.0
9:50.0, ,7-4,J. Butler makes free throw 2 of 2,,1,4,7,-3,130.0
9:35.0,O. Toppin makes 3-pt jump shot from 25 ft (assist by B. Brown),10-4, ,,1,4,10,-6,145.0
9:16.0, ,10-4,D. Robinson misses 2-pt layup from 6 ft,,1,4,10,-6,164.0
9:14.0,Defensive rebound by B. Hield,10-4, ,,1,4,10,-6,166.0
9:06.0,T. Haliburton makes 3-pt jump shot from 25 ft (assist by B. Brown),13-4, ,,1,4,13,-9,174.0
8:43.0, ,13-4,B. Adebayo misses 2-pt layup from 3 ft (block by M. Turner),,1,4,13,-9,197.0
8:40.0,Defensive rebound by T. Haliburton,13-4, ,,1,4,13,-9,200.0
8:36.0,B. Brown misses 2-pt jump shot from 13 ft,13-4, ,,1,4,13,-9,204.0
8:36.0,Offensive rebound by M. Turner,13-4, ,,1,4,13,-9,204.0
8:32.0,M. Turner makes 2-pt jump shot from 7 ft,15-4, ,,1,4,15,-11,208.0
8:32.0, ,15-4,Miami full timeout,,1,4,15,-11,208.0
8:21.0, ,15-7,K. Lowry makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,1,7,15,-8,219.0
8:07.0,T. Haliburton makes 3-pt jump shot from 34 ft (assist by B. Hield),18-7, ,,1,7,18,-11,233.0
7:49.0, ,18-7,H. Highsmith misses 3-pt jump shot from 23 ft,,1,7,18,-11,251.0
7:45.0,Defensive rebound by M. Turner,18-7, ,,1,7,18,-11,255.0
7:38.0,B. Hield makes 2-pt layup from 5 ft,20-7, ,,1,7,20,-13,262.0
7:22.0, ,20-9,B. Adebayo makes 2-pt jump shot from 14 ft,,1,9,20,-11,278.0
7:22.0, ,20-9,Shooting foul by M. Turner (drawn by B. Adebayo),,1,9,20,-11,278.0
7:22.0, ,20-9,J. Richardson enters the game for H. Highsmith,,1,9,20,-11,278.0
7:22.0, ,20-10,B. Adebayo makes free throw 1 of 1,,1,10,20,-10,278.0
7:07.0,T. Haliburton misses 3-pt jump shot from 23 ft,20-10, ,,1,10,20,-10,293.0
7:03.0, ,20-10,Defensive rebound by B. Adebayo,,1,10,20,-10,297.0
