Time,Miami,Score,Utah,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Collins (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:37.0,B. Adebayo makes 2-pt jump shot from 5 ft,2-0, ,,1,2,0,2,23.0
11:09.0, ,2-0,C. Sexton misses 2-pt jump shot from 11 ft,,1,2,0,2,51.0
11:06.0, ,2-0,Offensive rebound by S. Fontecchio,,1,2,0,2,54.0
11:04.0, ,2-0,K. Dunn misses 3-pt jump shot from 26 ft,,1,2,0,2,56.0
11:03.0, ,2-0,Offensive rebound by C. Sexton,,1,2,0,2,57.0
10:57.0, ,2-2,C. Sexton makes 2-pt hook shot from 6 ft,Tie,1,2,2,0,63.0
10:46.0,T. Herro misses 2-pt layup from 7 ft (block by K. Dunn),2-2, ,,1,2,2,0,74.0
10:46.0,Offensive rebound by Team,2-2, ,,1,2,2,0,74.0
10:39.0,R. Hampton misses 3-pt jump shot from 23 ft,2-2, ,,1,2,2,0,81.0
10:36.0, ,2-2,Defensive rebound by L. Markkanen,,1,2,2,0,84.0
10:21.0, ,2-2,Personal foul by J. Butler (drawn by L. Markkanen),,1,2,2,0,99.0
10:15.0, ,2-2,L. Markkanen misses 3-pt jump shot from 27 ft,,1,2,2,0,105.0
10:10.0,Defensive rebound by B. Adebayo,2-2, ,,1,2,2,0,110.0
9:57.0,Shooting foul by J. Collins (drawn by B. Adebayo),2-2, ,,1,2,2,0,123.0
9:57.0,B. Adebayo misses free throw 1 of 2,2-2, ,,1,2,2,0,123.0
9:57.0,Offensive rebound by Team,2-2, ,,1,2,2,0,123.0
9:57.0,B. Adebayo makes free throw 2 of 2,3-2, ,,1,3,2,1,123.0
9:44.0, ,3-4,J. Collins makes 2-pt jump shot from 12 ft (assist by L. Markkanen),Lead change,1,3,4,-1,136.0
9:28.0,T. Herro makes 2-pt jump shot from 11 ft,5-4, ,Lead change,1,5,4,1,152.0
9:12.0, ,5-4,Shooting foul by N. Jović (drawn by L. Markkanen),,1,5,4,1,168.0
9:12.0, ,5-4,L. Markkanen misses free throw 1 of 2,,1,5,4,1,168.0
9:12.0, ,5-4,Offensive rebound by Team,,1,5,4,1,168.0
9:12.0, ,5-5,L. Markkanen makes free throw 2 of 2,Tie,1,5,5,0,168.0
9:02.0,N. Jović makes 3-pt jump shot from 24 ft,8-5, ,,1,8,5,3,178.0
8:50.0, ,8-5,J. Collins misses 3-pt jump shot from 26 ft,,1,8,5,3,190.0
8:46.0,Defensive rebound by N. Jović,8-5, ,,1,8,5,3,194.0
8:44.0,Turnover by T. Herro (bad pass),8-5, ,,1,8,5,3,196.0
8:27.0, ,8-7,K. Dunn makes 2-pt dunk from 4 ft,,1,8,7,1,213.0
8:15.0,T. Herro makes 2-pt jump shot from 18 ft,10-7, ,,1,10,7,3,225.0
7:57.0, ,10-7,K. Dunn misses 2-pt layup from 3 ft,,1,10,7,3,243.0
7:54.0, ,10-7,Offensive rebound by L. Markkanen,,1,10,7,3,246.0
7:54.0, ,10-7,L. Markkanen misses 2-pt layup from 5 ft,,1,10,7,3,246.0
7:54.0,Defensive rebound by B. Adebayo,10-7, ,,1,10,7,3,246.0
7:46.0,Personal foul by S. Fontecchio (drawn by J. Butler),10-7, ,,1,10,7,3,254.0
7:46.0, ,10-7,W. Kessler enters the game for J. Collins,,1,10,7,3,254.0
7:40.0,Turnover by B. Adebayo (bad pass; steal by K. Dunn),10-7, ,,1,10,7,3,260.0
7:36.0, ,10-7,C. Sexton misses 3-pt jump shot from 25 ft,,1,10,7,3,264.0
7:32.0,Defensive rebound by R. Hampton,10-7, ,,1,10,7,3,268.0
7:18.0,Shooting foul by K. Dunn (drawn by B. Adebayo),10-7, ,,1,10,7,3,282.0
7:18.0,B. Adebayo makes free throw 1 of 2,11-7, ,,1,11,7,4,282.0
7:18.0,B. Adebayo misses free throw 2 of 2,11-7, ,,1,11,7,4,282.0
7:15.0,Offensive rebound by N. Jović,11-7, ,,1,11,7,4,285.0
7:13.0,B. Adebayo misses 2-pt jump shot from 14 ft,11-7, ,,1,11,7,4,287.0
7:08.0, ,11-7,Defensive rebound by W. Kessler,,1,11,7,4,292.0
7:01.0, ,11-9,C. Sexton makes 2-pt layup from 3 ft (assist by K. Dunn),,1,11,9,2,299.0
7:01.0, ,11-9,Shooting foul by R. Hampton (drawn by C. Sexton),,1,11,9,2,299.0
7:01.0, ,11-10,C. Sexton makes free throw 1 of 1,,1,11,10,1,299.0
6:50.0,Turnover by R. Hampton (bad pass; steal by K. Dunn),11-10, ,,1,11,10,1,310.0
6:45.0, ,11-12,W. Kessler makes 2-pt dunk from 4 ft (assist by K. Dunn),Lead change,1,11,12,-1,315.0
6:37.0, ,11-12,Utah full timeout,,1,11,12,-1,323.0
6:37.0, ,11-12,K. George enters the game for C. Sexton,,1,11,12,-1,323.0
6:34.0,Turnover by N. Jović (bad pass; steal by L. Markkanen),11-12, ,,1,11,12,-1,326.0
6:27.0, ,11-12,Personal foul by N. Jović (drawn by L. Markkanen),,1,11,12,-1,333.0
6:27.0,J. Jaquez enters the game for B. Adebayo,11-12, ,,1,11,12,-1,333.0
6:27.0,K. Love enters the game for N. Jović,11-12, ,,1,11,12,-1,333.0
6:21.0, ,11-15,K. George makes 3-pt jump shot from 26 ft,,1,11,15,-4,339.0
6:08.0,T. Herro makes 2-pt jump shot from 10 ft,13-15, ,,1,13,15,-2,352.0
5:56.0, ,13-15,L. Markkanen misses 3-pt jump shot from 26 ft,,1,13,15,-2,364.0
5:54.0,Defensive rebound by T. Herro,13-15, ,,1,13,15,-2,366.0
5:49.0,K. Love misses 3-pt jump shot from 24 ft,13-15, ,,1,13,15,-2,371.0
5:45.0, ,13-15,Defensive rebound by K. George,,1,13,15,-2,375.0
5:37.0, ,13-15,K. George misses 3-pt jump shot from 26 ft,,1,13,15,-2,383.0
5:35.0,Defensive rebound by R. Hampton,13-15, ,,1,13,15,-2,385.0
5:19.0,K. Love misses 3-pt jump shot from 25 ft,13-15, ,,1,13,15,-2,401.0
5:18.0,Offensive rebound by T. Herro,13-15, ,,1,13,15,-2,402.0
5:16.0,T. Herro makes 2-pt jump shot from 12 ft,15-15, ,Tie,1,15,15,0,404.0
4:57.0, ,15-15,Turnover by K. George (bad pass; steal by T. Herro),,1,15,15,0,423.0
4:54.0,Turnover by J. Butler (lost ball; steal by S. Fontecchio),15-15, ,,1,15,15,0,426.0
4:51.0, ,15-17,W. Kessler makes 2-pt dunk from 3 ft (assist by K. Dunn),,1,15,17,-2,429.0
4:38.0,K. Love makes 3-pt jump shot from 25 ft (assist by J. Butler),18-17, ,Lead change,1,18,17,1,442.0
4:21.0, ,18-20,S. Fontecchio makes 3-pt jump shot from 23 ft (assist by K. Dunn),Lead change,1,18,20,-2,459.0
4:15.0,Turnover by J. Butler (bad pass),18-20, ,,1,18,20,-2,465.0
4:15.0,D. Robinson enters the game for T. Herro,18-20, ,,1,18,20,-2,465.0
4:15.0, ,18-20,J. Clarkson enters the game for K. Dunn,,1,18,20,-2,465.0
4:15.0, ,18-20,K. Olynyk enters the game for S. Fontecchio,,1,18,20,-2,465.0
3:54.0, ,18-22,K. Olynyk makes 2-pt layup from 3 ft,,1,18,22,-4,486.0
3:54.0, ,18-22,Shooting foul by J. Jaquez (drawn by K. Olynyk),,1,18,22,-4,486.0
