Time,Atlanta,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. B. Lopez (G. Antetokounmpo gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-0,B. Lopez misses 2-pt jump shot from 16 ft,,1,0,0,0,18.0
11:39.0,Defensive rebound by C. Capela,0-0, ,,1,0,0,0,21.0
11:23.0,D. Murray misses 3-pt jump shot from 29 ft,0-0, ,,1,0,0,0,37.0
11:20.0, ,0-0,Defensive rebound by J. Crowder,,1,0,0,0,40.0
11:12.0, ,0-0,G. Antetokounmpo misses 2-pt layup from 2 ft,,1,0,0,0,48.0
11:12.0,Defensive rebound by C. Capela,0-0, ,,1,0,0,0,48.0
11:04.0,C. Capela misses 2-pt dunk from 5 ft,0-0, ,,1,0,0,0,56.0
11:03.0,Offensive rebound by J. Johnson,0-0, ,,1,0,0,0,57.0
11:02.0,J. Johnson makes 2-pt layup from 3 ft,2-0, ,,1,2,0,2,58.0
10:48.0, ,2-0,Turnover by D. Lillard (bad pass; steal by T. Young),,1,2,0,2,72.0
10:44.0,T. Young makes 2-pt layup from 3 ft,4-0, ,,1,4,0,4,76.0
10:21.0, ,4-2,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by B. Lopez),,1,4,2,2,99.0
10:04.0,C. Capela misses 2-pt jump shot from 10 ft,4-2, ,,1,4,2,2,116.0
10:00.0, ,4-2,Defensive rebound by B. Lopez,,1,4,2,2,120.0
9:56.0, ,4-2,Turnover by D. Lillard (lost ball; steal by D. Hunter),,1,4,2,2,124.0
9:52.0,D. Hunter makes 3-pt jump shot from 28 ft,7-2, ,,1,7,2,5,128.0
9:36.0, ,7-2,B. Lopez misses 3-pt jump shot from 25 ft,,1,7,2,5,144.0
9:36.0, ,7-2,Offensive rebound by G. Antetokounmpo,,1,7,2,5,144.0
9:33.0, ,7-2,Shooting foul by J. Johnson (drawn by G. Antetokounmpo),,1,7,2,5,147.0
9:33.0, ,7-2,G. Antetokounmpo misses free throw 1 of 2,,1,7,2,5,147.0
9:33.0, ,7-2,Offensive rebound by Team,,1,7,2,5,147.0
9:33.0, ,7-3,G. Antetokounmpo makes free throw 2 of 2,,1,7,3,4,147.0
9:21.0,C. Capela makes 2-pt dunk from 3 ft (assist by T. Young),9-3, ,,1,9,3,6,159.0
9:08.0, ,9-3,G. Antetokounmpo misses 2-pt jump shot from 13 ft,,1,9,3,6,172.0
9:04.0,Defensive rebound by C. Capela,9-3, ,,1,9,3,6,176.0
9:00.0,D. Murray misses 3-pt jump shot from 28 ft,9-3, ,,1,9,3,6,180.0
8:57.0, ,9-3,Defensive rebound by D. Lillard,,1,9,3,6,183.0
8:52.0, ,9-3,D. Lillard misses 3-pt jump shot from 31 ft,,1,9,3,6,188.0
8:52.0,Defensive rebound by T. Young,9-3, ,,1,9,3,6,188.0
8:37.0,T. Young misses 3-pt jump shot from 33 ft,9-3, ,,1,9,3,6,203.0
8:34.0, ,9-3,Defensive rebound by G. Antetokounmpo,,1,9,3,6,206.0
8:25.0, ,9-3,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,1,9,3,6,215.0
8:22.0,Defensive rebound by J. Johnson,9-3, ,,1,9,3,6,218.0
8:12.0,J. Johnson makes 3-pt jump shot from 28 ft (assist by T. Young),12-3, ,,1,12,3,9,228.0
8:11.0, ,12-3,Milwaukee full timeout,,1,12,3,9,229.0
7:55.0, ,12-3,Turnover by D. Lillard (lost ball; steal by C. Capela),,1,12,3,9,245.0
7:50.0,C. Capela misses 2-pt layup from 9 ft (block by G. Antetokounmpo),12-3, ,,1,12,3,9,250.0
7:47.0, ,12-3,Defensive rebound by J. Crowder,,1,12,3,9,253.0
7:47.0, ,12-3,Shooting foul by D. Hunter (drawn by M. Beasley),,1,12,3,9,253.0
7:47.0, ,12-4,M. Beasley makes free throw 1 of 2,,1,12,4,8,253.0
7:47.0, ,12-4,M. Beasley misses free throw 2 of 2,,1,12,4,8,253.0
7:45.0,Defensive rebound by C. Capela,12-4, ,,1,12,4,8,255.0
7:29.0,D. Hunter misses 2-pt jump shot from 15 ft,12-4, ,,1,12,4,8,271.0
7:26.0, ,12-4,Defensive rebound by M. Beasley,,1,12,4,8,274.0
7:18.0, ,12-4,J. Crowder misses 3-pt jump shot from 24 ft,,1,12,4,8,282.0
7:15.0,Defensive rebound by C. Capela,12-4, ,,1,12,4,8,285.0
7:03.0,D. Hunter misses 2-pt jump shot from 12 ft,12-4, ,,1,12,4,8,297.0
7:00.0, ,12-4,Defensive rebound by D. Lillard,,1,12,4,8,300.0
6:47.0, ,12-4,M. Beasley misses 3-pt jump shot from 22 ft,,1,12,4,8,313.0
6:44.0, ,12-4,Offensive rebound by G. Antetokounmpo,,1,12,4,8,316.0
6:41.0, ,12-7,B. Lopez makes 3-pt jump shot from 23 ft (assist by J. Crowder),,1,12,7,5,319.0
6:41.0, ,12-7,Loose ball foul by M. Beasley (drawn by T. Young),,1,12,7,5,319.0
6:41.0,S. Bey enters the game for J. Johnson,12-7, ,,1,12,7,5,319.0
6:41.0,B. Bogdanović enters the game for T. Young,12-7, ,,1,12,7,5,319.0
6:41.0, ,12-7,P. Connaughton enters the game for G. Antetokounmpo,,1,12,7,5,319.0
6:23.0,D. Murray makes 2-pt jump shot from 16 ft,14-7, ,,1,14,7,7,337.0
6:09.0, ,14-7,P. Connaughton misses 2-pt layup from 3 ft,,1,14,7,7,351.0
6:06.0,Defensive rebound by S. Bey,14-7, ,,1,14,7,7,354.0
6:01.0,C. Capela makes 2-pt layup from 5 ft (assist by D. Murray),16-7, ,,1,16,7,9,359.0
5:48.0, ,16-7,D. Lillard misses 2-pt jump shot from 12 ft,,1,16,7,9,372.0
5:46.0, ,16-7,Offensive rebound by D. Lillard,,1,16,7,9,374.0
5:46.0, ,16-7,D. Lillard misses 2-pt layup at rim,,1,16,7,9,374.0
5:45.0, ,16-7,Offensive rebound by P. Connaughton,,1,16,7,9,375.0
5:45.0, ,16-7,P. Connaughton misses 2-pt layup from 2 ft,,1,16,7,9,375.0
5:44.0,Defensive rebound by S. Bey,16-7, ,,1,16,7,9,376.0
5:30.0,C. Capela misses 2-pt hook shot from 6 ft,16-7, ,,1,16,7,9,390.0
5:27.0, ,16-7,Defensive rebound by M. Beasley,,1,16,7,9,393.0
5:20.0, ,16-9,B. Lopez makes 2-pt jump shot from 13 ft (assist by M. Beasley),,1,16,9,7,400.0
5:03.0,C. Capela makes 2-pt dunk from 3 ft (assist by D. Murray),18-9, ,,1,18,9,9,417.0
4:48.0, ,18-11,M. Beasley makes 2-pt layup from 3 ft (assist by D. Lillard),,1,18,11,7,432.0
4:36.0,Turnover by D. Murray (bad pass; steal by D. Lillard),18-11, ,,1,18,11,7,444.0
4:29.0, ,18-11,M. Beasley misses 3-pt jump shot from 25 ft,,1,18,11,7,451.0
4:26.0,Defensive rebound by D. Hunter,18-11, ,,1,18,11,7,454.0
4:21.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Hunter),21-11, ,,1,21,11,10,459.0
4:09.0, ,21-11,Personal foul by D. Hunter (drawn by D. Lillard),,1,21,11,10,471.0
4:09.0,J. Johnson enters the game for C. Capela,21-11, ,,1,21,11,10,471.0
4:09.0,O. Okongwu enters the game for D. Hunter,21-11, ,,1,21,11,10,471.0
4:09.0, ,21-11,B. Portis enters the game for B. Lopez,,1,21,11,10,471.0
3:56.0, ,21-11,B. Portis misses 2-pt jump shot from 16 ft,,1,21,11,10,484.0
3:53.0,Defensive rebound by J. Johnson,21-11, ,,1,21,11,10,487.0
3:45.0,S. Bey makes 3-pt jump shot from 27 ft (assist by J. Johnson),24-11, ,,1,24,11,13,495.0
3:45.0, ,24-11,Milwaukee full timeout,,1,24,11,13,495.0
3:45.0,T. Young enters the game for D. Murray,24-11, ,,1,24,11,13,495.0
3:45.0, ,24-11,M. Beauchamp enters the game for M. Beasley,,1,24,11,13,495.0
3:31.0, ,24-11,Offensive foul by B. Portis (drawn by T. Young),,1,24,11,13,509.0
3:31.0, ,24-11,Turnover by B. Portis (offensive foul),,1,24,11,13,509.0
3:31.0, ,24-11,G. Antetokounmpo enters the game for J. Crowder,,1,24,11,13,509.0
3:31.0, ,24-11,C. Payne enters the game for D. Lillard,,1,24,11,13,509.0
3:14.0,O. Okongwu makes 2-pt hook shot from 6 ft (assist by B. Bogdanović),26-11, ,,1,26,11,15,526.0
2:49.0, ,26-14,C. Payne makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,1,26,14,12,551.0
2:32.0,T. Young misses 2-pt jump shot from 9 ft,26-14, ,,1,26,14,12,568.0
2:29.0, ,26-14,Defensive rebound by G. Antetokounmpo,,1,26,14,12,571.0
2:15.0, ,26-16,B. Portis makes 2-pt hook shot from 5 ft,,1,26,16,10,585.0
2:03.0,Personal foul by M. Beauchamp (drawn by T. Young),26-16, ,,1,26,16,10,597.0
1:52.0,S. Bey misses 2-pt layup from 4 ft,26-16, ,,1,26,16,10,608.0
1:52.0,Offensive rebound by Team,26-16, ,,1,26,16,10,608.0
1:47.0,Turnover by B. Bogdanović (bad pass; steal by G. Antetokounmpo),26-16, ,,1,26,16,10,613.0
1:41.0, ,26-18,B. Portis makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,1,26,18,8,619.0
1:31.0,Personal foul by M. Beauchamp (drawn by T. Young),26-18, ,,1,26,18,8,629.0
1:31.0,Away from play foul by C. Payne (drawn by T. Young),26-18, ,,1,26,18,8,629.0
1:31.0,T. Young makes free throw 1 of 1,27-18, ,,1,27,18,9,629.0
1:22.0,B. Bogdanović misses 3-pt jump shot from 28 ft,27-18, ,,1,27,18,9,638.0
1:20.0,Offensive rebound by O. Okongwu,27-18, ,,1,27,18,9,640.0
1:19.0,O. Okongwu makes 2-pt layup from 5 ft,29-18, ,,1,29,18,11,641.0
1:10.0, ,29-20,B. Portis makes 2-pt layup from 5 ft,,1,29,20,9,650.0
1:10.0, ,29-20,Shooting foul by O. Okongwu (drawn by B. Portis),,1,29,20,9,650.0
1:10.0, ,29-21,B. Portis makes free throw 1 of 1,,1,29,21,8,650.0
0:54.0,T. Young misses 2-pt jump shot from 16 ft,29-21, ,,1,29,21,8,666.0
0:53.0,Offensive rebound by O. Okongwu,29-21, ,,1,29,21,8,667.0
0:53.0,O. Okongwu misses 2-pt layup at rim (block by G. Antetokounmpo),29-21, ,,1,29,21,8,667.0
0:53.0,Offensive rebound by Team,29-21, ,,1,29,21,8,667.0
0:41.0,Turnover by T. Young (bad pass; steal by P. Connaughton),29-21, ,,1,29,21,8,679.0
0:37.0, ,29-21,M. Beauchamp misses 2-pt dunk from 2 ft (block by J. Johnson),,1,29,21,8,683.0
0:36.0, ,29-21,Offensive rebound by Team,,1,29,21,8,684.0
0:36.0,Atlanta full timeout,29-21, ,,1,29,21,8,684.0
0:36.0,Instant Replay (Challenge: Ruling Stands),29-21, ,,1,29,21,8,684.0
0:31.0, ,29-21,P. Connaughton misses 3-pt jump shot from 25 ft,,1,29,21,8,689.0
0:27.0, ,29-21,Offensive rebound by M. Beauchamp,,1,29,21,8,693.0
0:27.0, ,29-23,M. Beauchamp makes 2-pt layup at rim,,1,29,23,6,693.0
0:13.0,Personal foul by M. Beauchamp (drawn by T. Young),29-23, ,,1,29,23,6,707.0
0:13.0,T. Young makes free throw 1 of 2,30-23, ,,1,30,23,7,707.0
0:13.0,T. Young makes free throw 2 of 2,31-23, ,,1,31,23,8,707.0
0:03.0, ,31-25,G. Antetokounmpo makes 2-pt hook shot from 4 ft,,1,31,25,6,717.0
0:00.0,End of 1st quarter,31-25,,,1,31,25,6,720.0
12:00.0,Start of 2nd quarter,31-25,,,2,31,25,6,720.0
11:40.0,S. Bey misses 3-pt jump shot from 26 ft,31-25, ,,2,31,25,6,740.0
11:38.0,Offensive rebound by Team,31-25, ,,2,31,25,6,742.0
11:38.0, ,31-25,Loose ball foul by C. Payne (drawn by O. Okongwu),,2,31,25,6,742.0
11:31.0,O. Okongwu misses 3-pt jump shot from 23 ft,31-25, ,,2,31,25,6,749.0
11:29.0, ,31-25,Defensive rebound by B. Portis,,2,31,25,6,751.0
11:21.0, ,31-25,B. Portis misses 3-pt jump shot from 25 ft,,2,31,25,6,759.0
11:19.0,Defensive rebound by S. Bey,31-25, ,,2,31,25,6,761.0
11:14.0,Personal foul by C. Payne (drawn by C. Capela),31-25, ,,2,31,25,6,766.0
11:14.0, ,31-25,M. Beasley enters the game for M. Beauchamp,,2,31,25,6,766.0
11:03.0,T. Young misses 3-pt jump shot from 28 ft,31-25, ,,2,31,25,6,777.0
11:03.0, ,31-25,Defensive rebound by Team,,2,31,25,6,777.0
10:47.0, ,31-25,P. Connaughton misses 3-pt jump shot from 26 ft,,2,31,25,6,793.0
10:43.0,Defensive rebound by C. Capela,31-25, ,,2,31,25,6,797.0
10:31.0,T. Young misses 3-pt jump shot from 29 ft,31-25, ,,2,31,25,6,809.0
10:28.0,Offensive rebound by O. Okongwu,31-25, ,,2,31,25,6,812.0
10:25.0,B. Bogdanović misses 3-pt jump shot from 29 ft,31-25, ,,2,31,25,6,815.0
10:22.0, ,31-25,Defensive rebound by P. Connaughton,,2,31,25,6,818.0
10:05.0, ,31-25,Shooting foul by O. Okongwu (drawn by G. Antetokounmpo),,2,31,25,6,835.0
