Time,Washington,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Muscala vs. C. Capela (D. Hunter gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-3,D. Murray makes 3-pt jump shot from 26 ft (assist by T. Young),,1,3,0,3,17.0
11:23.0,Personal foul by D. Murray (drawn by J. Poole),0-3, ,,1,3,0,3,37.0
11:11.0,D. Avdija makes 3-pt jump shot from 23 ft (assist by K. Kuzma),3-3, ,Tie,1,3,3,0,49.0
10:57.0, ,3-5,T. Young makes 2-pt layup from 4 ft (assist by D. Murray),,1,5,3,2,63.0
10:44.0,K. Kuzma makes 2-pt layup from 1 ft,5-5, ,Tie,1,5,5,0,76.0
10:18.0, ,5-5,D. Hunter misses 3-pt jump shot from 25 ft,,1,5,5,0,102.0
10:15.0,Defensive rebound by K. Kuzma,5-5, ,,1,5,5,0,105.0
10:03.0,K. Kuzma makes 2-pt layup from 1 ft (assist by M. Muscala),7-5, ,Lead change,1,5,7,-2,117.0
9:52.0, ,7-5,Turnover by D. Murray (bad pass),,1,5,7,-2,128.0
9:37.0,T. Jones misses 3-pt jump shot from 25 ft,7-5, ,,1,5,7,-2,143.0
9:31.0,Offensive rebound by D. Avdija,7-5, ,,1,5,7,-2,149.0
9:31.0,D. Avdija misses 2-pt layup at rim,7-5, ,,1,5,7,-2,149.0
9:31.0, ,7-5,Defensive rebound by D. Hunter,,1,5,7,-2,149.0
9:28.0, ,7-5,Turnover by D. Hunter (step out of bounds),,1,5,7,-2,152.0
9:17.0,Turnover by D. Avdija (traveling),7-5, ,,1,5,7,-2,163.0
9:04.0, ,7-5,D. Hunter misses 2-pt layup from 3 ft,,1,5,7,-2,176.0
9:01.0,Defensive rebound by K. Kuzma,7-5, ,,1,5,7,-2,179.0
8:52.0,K. Kuzma misses 3-pt jump shot from 25 ft,7-5, ,,1,5,7,-2,188.0
8:49.0,Offensive rebound by D. Avdija,7-5, ,,1,5,7,-2,191.0
8:47.0,M. Muscala misses 2-pt jump shot from 11 ft,7-5, ,,1,5,7,-2,193.0
8:43.0, ,7-5,Defensive rebound by C. Capela,,1,5,7,-2,197.0
8:36.0, ,7-7,T. Young makes 2-pt jump shot from 10 ft,Tie,1,7,7,0,204.0
8:21.0,J. Poole makes 3-pt jump shot from 27 ft (assist by D. Avdija),10-7, ,,1,7,10,-3,219.0
8:12.0, ,10-7,D. Hunter misses 3-pt jump shot from 25 ft,,1,7,10,-3,228.0
8:10.0,Defensive rebound by D. Avdija,10-7, ,,1,7,10,-3,230.0
8:02.0,K. Kuzma makes 2-pt layup from 1 ft (assist by D. Avdija),12-7, ,,1,7,12,-5,238.0
8:02.0, ,12-7,Atlanta full timeout,,1,7,12,-5,238.0
7:51.0, ,12-7,D. Hunter misses 2-pt layup from 3 ft,,1,7,12,-5,249.0
7:48.0,Defensive rebound by K. Kuzma,12-7, ,,1,7,12,-5,252.0
7:43.0,J. Poole makes 2-pt layup from 1 ft (assist by K. Kuzma),14-7, ,,1,7,14,-7,257.0
7:28.0, ,14-10,S. Bey makes 3-pt jump shot from 22 ft (assist by D. Murray),,1,10,14,-4,272.0
7:15.0,Personal foul by D. Hunter (drawn by K. Kuzma),14-10, ,,1,10,14,-4,285.0
7:08.0,J. Poole misses 3-pt jump shot from 23 ft,14-10, ,,1,10,14,-4,292.0
7:05.0,Offensive rebound by M. Muscala,14-10, ,,1,10,14,-4,295.0
7:02.0,J. Poole makes 3-pt jump shot from 23 ft (assist by K. Kuzma),17-10, ,,1,10,17,-7,298.0
6:48.0, ,17-12,T. Young makes 2-pt jump shot from 11 ft,,1,12,17,-5,312.0
6:39.0,Turnover by K. Kuzma (traveling),17-12, ,,1,12,17,-5,321.0
6:39.0, ,17-12,B. Bogdanović enters the game for S. Bey,,1,12,17,-5,321.0
6:39.0, ,17-12,J. Johnson enters the game for T. Young,,1,12,17,-5,321.0
6:29.0, ,17-12,Turnover by D. Hunter (traveling),,1,12,17,-5,331.0
6:29.0,C. Kispert enters the game for K. Kuzma,17-12, ,,1,12,17,-5,331.0
6:17.0,J. Poole misses 3-pt jump shot from 23 ft,17-12, ,,1,12,17,-5,343.0
6:14.0, ,17-12,Defensive rebound by J. Johnson,,1,12,17,-5,346.0
6:08.0, ,17-12,Turnover by J. Johnson (lost ball; steal by J. Poole),,1,12,17,-5,352.0
6:01.0,J. Poole makes 2-pt layup from 1 ft,19-12, ,,1,12,19,-7,359.0
5:51.0, ,19-12,D. Hunter misses 3-pt jump shot from 23 ft,,1,12,19,-7,369.0
5:48.0,Defensive rebound by M. Muscala,19-12, ,,1,12,19,-7,372.0
5:29.0,D. Avdija misses 3-pt jump shot from 26 ft,19-12, ,,1,12,19,-7,391.0
5:26.0, ,19-12,Defensive rebound by C. Capela,,1,12,19,-7,394.0
5:20.0, ,19-12,D. Murray misses 3-pt jump shot from 26 ft,,1,12,19,-7,400.0
5:19.0,Defensive rebound by Team,19-12, ,,1,12,19,-7,401.0
5:19.0, ,19-12,Loose ball foul by D. Hunter (drawn by J. Poole),,1,12,19,-7,401.0
5:19.0,B. Coulibaly enters the game for D. Avdija,19-12, ,,1,12,19,-7,401.0
5:19.0, ,19-12,A. Griffin enters the game for C. Capela,,1,12,19,-7,401.0
5:19.0, ,19-12,O. Okongwu enters the game for D. Hunter,,1,12,19,-7,401.0
5:04.0,T. Jones misses 3-pt jump shot from 23 ft,19-12, ,,1,12,19,-7,416.0
5:00.0, ,19-12,Defensive rebound by B. Bogdanović,,1,12,19,-7,420.0
4:57.0, ,19-12,A. Griffin misses 3-pt jump shot from 26 ft,,1,12,19,-7,423.0
4:55.0,Defensive rebound by T. Jones,19-12, ,,1,12,19,-7,425.0
4:51.0,T. Jones misses 3-pt jump shot from 25 ft,19-12, ,,1,12,19,-7,429.0
4:48.0, ,19-12,Defensive rebound by J. Johnson,,1,12,19,-7,432.0
4:43.0, ,19-14,D. Murray makes 2-pt layup from 5 ft (assist by J. Johnson),,1,14,19,-5,437.0
4:29.0,T. Jones makes 2-pt jump shot from 7 ft (assist by J. Poole),21-14, ,,1,14,21,-7,451.0
4:16.0, ,21-16,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by O. Okongwu),,1,16,21,-5,464.0
3:59.0,Turnover by M. Muscala (bad pass; steal by B. Bogdanović),21-16, ,,1,16,21,-5,481.0
3:56.0, ,21-18,B. Bogdanović makes 2-pt layup from 3 ft,,1,18,21,-3,484.0
3:56.0, ,21-18,Shooting foul by C. Kispert (drawn by B. Bogdanović),,1,18,21,-3,484.0
3:56.0,D. Gallinari enters the game for T. Jones,21-18, ,,1,18,21,-3,484.0
3:56.0,D. Wright enters the game for M. Muscala,21-18, ,,1,18,21,-3,484.0
3:56.0, ,21-18,T. Young enters the game for D. Murray,,1,18,21,-3,484.0
3:56.0, ,21-19,B. Bogdanović makes free throw 1 of 1,,1,19,21,-2,484.0
3:44.0,J. Poole misses 2-pt jump shot from 8 ft,21-19, ,,1,19,21,-2,496.0
3:41.0, ,21-19,Defensive rebound by O. Okongwu,,1,19,21,-2,499.0
3:37.0, ,21-19,J. Johnson misses 2-pt layup from 5 ft,,1,19,21,-2,503.0
3:36.0, ,21-19,Offensive rebound by J. Johnson,,1,19,21,-2,504.0
3:35.0, ,21-19,J. Johnson misses 2-pt layup from 4 ft,,1,19,21,-2,505.0
3:34.0,Defensive rebound by D. Gallinari,21-19, ,,1,19,21,-2,506.0
