Time,Atlanta,Score,Oklahoma City,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. C. Holmgren (J. Giddey gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-2,C. Holmgren makes 2-pt hook shot from 4 ft (assist by L. Dort),,1,0,2,-2,20.0
11:20.0,Turnover by T. Young (lost ball; steal by C. Holmgren),0-2, ,,1,0,2,-2,40.0
11:04.0, ,0-2,L. Dort misses 2-pt jump shot from 8 ft,,1,0,2,-2,56.0
11:02.0,Defensive rebound by T. Young,0-2, ,,1,0,2,-2,58.0
10:55.0,D. Hunter misses 3-pt jump shot from 24 ft,0-2, ,,1,0,2,-2,65.0
10:53.0, ,0-2,Defensive rebound by L. Dort,,1,0,2,-2,67.0
10:46.0, ,0-2,J. Giddey misses 2-pt layup from 4 ft (block by C. Capela),,1,0,2,-2,74.0
10:42.0,Defensive rebound by J. Johnson,0-2, ,,1,0,2,-2,78.0
10:35.0,D. Murray misses 3-pt jump shot from 23 ft,0-2, ,,1,0,2,-2,85.0
10:31.0, ,0-2,Defensive rebound by C. Holmgren,,1,0,2,-2,89.0
10:27.0, ,0-5,L. Dort makes 3-pt jump shot from 24 ft (assist by J. Giddey),,1,0,5,-5,93.0
10:09.0,T. Young makes 2-pt layup from 5 ft (assist by J. Johnson),2-5, ,,1,2,5,-3,111.0
9:57.0, ,2-5,C. Holmgren misses 2-pt layup from 4 ft,,1,2,5,-3,123.0
9:56.0,Defensive rebound by C. Capela,2-5, ,,1,2,5,-3,124.0
9:51.0,T. Young misses 3-pt jump shot from 30 ft,2-5, ,,1,2,5,-3,129.0
9:47.0,Offensive rebound by T. Young,2-5, ,,1,2,5,-3,133.0
9:37.0,C. Capela misses 2-pt layup from 1 ft,2-5, ,,1,2,5,-3,143.0
9:36.0,Offensive rebound by J. Johnson,2-5, ,,1,2,5,-3,144.0
9:36.0,J. Johnson misses 2-pt layup at rim,2-5, ,,1,2,5,-3,144.0
9:36.0,Offensive rebound by C. Capela,2-5, ,,1,2,5,-3,144.0
9:36.0,Shooting foul by S. Gilgeous-Alexander (drawn by C. Capela),2-5, ,,1,2,5,-3,144.0
9:36.0,C. Capela makes free throw 1 of 2,3-5, ,,1,3,5,-2,144.0
9:36.0,C. Capela misses free throw 2 of 2,3-5, ,,1,3,5,-2,144.0
9:36.0, ,3-5,Defensive rebound by C. Holmgren,,1,3,5,-2,144.0
9:31.0,Violation by Team (kicked ball),3-5, ,,1,3,5,-2,149.0
9:24.0, ,3-8,J. Williams makes 3-pt jump shot from 23 ft,,1,3,8,-5,156.0
9:09.0,D. Hunter misses 2-pt jump shot from 17 ft,3-8, ,,1,3,8,-5,171.0
9:07.0, ,3-8,Defensive rebound by S. Gilgeous-Alexander,,1,3,8,-5,173.0
8:56.0, ,3-11,L. Dort makes 3-pt jump shot from 25 ft (assist by C. Holmgren),,1,3,11,-8,184.0
8:36.0,Shooting foul by J. Williams (drawn by D. Murray),3-11, ,,1,3,11,-8,204.0
8:36.0,D. Murray makes free throw 1 of 2,4-11, ,,1,4,11,-7,204.0
8:36.0, ,4-11,A. Wiggins enters the game for J. Williams,,1,4,11,-7,204.0
8:36.0,D. Murray makes free throw 2 of 2,5-11, ,,1,5,11,-6,204.0
8:13.0, ,5-11,J. Giddey misses 2-pt layup from 3 ft (block by J. Johnson),,1,5,11,-6,227.0
8:13.0, ,5-11,Offensive rebound by Team,,1,5,11,-6,227.0
8:13.0, ,5-11,J. Williams enters the game for A. Wiggins,,1,5,11,-6,227.0
8:11.0, ,5-11,Turnover by J. Giddey (bad pass; steal by C. Capela),,1,5,11,-6,229.0
8:06.0,D. Murray misses 2-pt jump shot from 17 ft,5-11, ,,1,5,11,-6,234.0
8:04.0, ,5-11,Defensive rebound by S. Gilgeous-Alexander,,1,5,11,-6,236.0
7:57.0, ,5-11,Turnover by S. Gilgeous-Alexander (lost ball; steal by D. Murray),,1,5,11,-6,243.0
7:51.0,D. Murray misses 2-pt layup from 6 ft,5-11, ,,1,5,11,-6,249.0
7:45.0,Offensive rebound by J. Johnson,5-11, ,,1,5,11,-6,255.0
7:43.0,J. Johnson misses 2-pt layup from 5 ft (block by C. Holmgren),5-11, ,,1,5,11,-6,257.0
7:40.0, ,5-11,Defensive rebound by S. Gilgeous-Alexander,,1,5,11,-6,260.0
7:38.0, ,5-13,J. Giddey makes 2-pt layup from 2 ft (assist by J. Williams),,1,5,13,-8,262.0
7:26.0,D. Hunter misses 3-pt jump shot from 23 ft,5-13, ,,1,5,13,-8,274.0
7:23.0, ,5-13,Defensive rebound by J. Giddey,,1,5,13,-8,277.0
7:01.0, ,5-13,J. Giddey misses 2-pt jump shot from 6 ft,,1,5,13,-8,299.0
6:59.0,Defensive rebound by C. Capela,5-13, ,,1,5,13,-8,301.0
6:52.0,D. Murray makes 3-pt jump shot from 23 ft (assist by T. Young),8-13, ,,1,8,13,-5,308.0
6:33.0, ,8-15,J. Williams makes 2-pt dunk from 1 ft (assist by J. Giddey),,1,8,15,-7,327.0
