Time,Miami,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. C. Capela (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:40.0,J. Jaquez misses 3-pt jump shot from 22 ft,0-0, ,,1,0,0,0,20.0
11:36.0, ,0-0,Defensive rebound by C. Capela,,1,0,0,0,24.0
11:22.0, ,0-0,D. Hunter misses 2-pt jump shot from 16 ft,,1,0,0,0,38.0
11:17.0,Defensive rebound by B. Adebayo,0-0, ,,1,0,0,0,43.0
11:11.0,K. Lowry misses 2-pt layup from 5 ft,0-0, ,,1,0,0,0,49.0
11:08.0, ,0-0,Defensive rebound by D. Hunter,,1,0,0,0,52.0
11:03.0, ,0-0,T. Young misses 2-pt layup from 1 ft,,1,0,0,0,57.0
10:58.0, ,0-0,Offensive rebound by C. Capela,,1,0,0,0,62.0
10:58.0, ,0-2,C. Capela makes 2-pt layup at rim,,1,2,0,2,62.0
10:50.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by J. Jaquez),2-2, ,Tie,1,2,2,0,70.0
10:31.0, ,2-5,D. Murray makes 3-pt jump shot from 24 ft (assist by T. Young),,1,5,2,3,89.0
10:16.0,J. Jaquez makes 2-pt layup at rim (assist by H. Highsmith),4-5, ,,1,5,4,1,104.0
9:57.0, ,4-5,D. Hunter misses 3-pt jump shot from 25 ft,,1,5,4,1,123.0
9:54.0,Defensive rebound by H. Highsmith,4-5, ,,1,5,4,1,126.0
9:44.0,J. Jaquez misses 3-pt jump shot from 22 ft,4-5, ,,1,5,4,1,136.0
9:42.0, ,4-5,Defensive rebound by C. Capela,,1,5,4,1,138.0
9:38.0, ,4-5,D. Murray misses 3-pt jump shot from 25 ft,,1,5,4,1,142.0
9:35.0,Defensive rebound by B. Adebayo,4-5, ,,1,5,4,1,145.0
9:28.0,B. Adebayo makes 2-pt jump shot from 11 ft,6-5, ,Lead change,1,5,6,-1,152.0
9:17.0, ,6-5,T. Young misses 2-pt jump shot from 19 ft,,1,5,6,-1,163.0
9:14.0, ,6-5,Offensive rebound by C. Capela,,1,5,6,-1,166.0
9:11.0, ,6-5,J. Johnson misses 2-pt jump shot from 7 ft,,1,5,6,-1,169.0
9:07.0,Defensive rebound by J. Jaquez,6-5, ,,1,5,6,-1,173.0
9:02.0,D. Robinson makes 2-pt layup from 1 ft (assist by J. Jaquez),8-5, ,,1,5,8,-3,178.0
8:37.0, ,8-5,D. Hunter misses 3-pt jump shot from 26 ft,,1,5,8,-3,203.0
8:35.0,Defensive rebound by H. Highsmith,8-5, ,,1,5,8,-3,205.0
8:30.0,D. Robinson makes 2-pt layup at rim (assist by K. Lowry),10-5, ,,1,5,10,-5,210.0
8:30.0, ,10-5,Atlanta full timeout,,1,5,10,-5,210.0
8:09.0, ,10-7,J. Johnson makes 2-pt jump shot from 7 ft,,1,7,10,-3,231.0
7:45.0,B. Adebayo makes 2-pt jump shot from 12 ft,12-7, ,,1,7,12,-5,255.0
7:34.0, ,12-9,D. Hunter makes 2-pt jump shot from 11 ft (assist by T. Young),,1,9,12,-3,266.0
7:17.0,B. Adebayo makes 2-pt jump shot from 10 ft,14-9, ,,1,9,14,-5,283.0
7:00.0, ,14-9,C. Capela misses 2-pt hook shot from 6 ft,,1,9,14,-5,300.0
6:58.0,Defensive rebound by H. Highsmith,14-9, ,,1,9,14,-5,302.0
6:44.0,H. Highsmith misses 3-pt jump shot from 25 ft,14-9, ,,1,9,14,-5,316.0
6:40.0,Offensive rebound by J. Jaquez,14-9, ,,1,9,14,-5,320.0
6:39.0,Shooting foul by J. Johnson (drawn by H. Highsmith),14-9, ,,1,9,14,-5,321.0
6:39.0,H. Highsmith makes free throw 1 of 3,15-9, ,,1,9,15,-6,321.0
6:39.0,H. Highsmith misses free throw 2 of 3,15-9, ,,1,9,15,-6,321.0
6:39.0,Offensive rebound by Team,15-9, ,,1,9,15,-6,321.0
6:39.0, ,15-9,B. Bogdanović enters the game for T. Young,,1,9,15,-6,321.0
6:39.0,H. Highsmith makes free throw 3 of 3,16-9, ,,1,9,16,-7,321.0
6:26.0, ,16-9,D. Murray misses 2-pt layup from 4 ft (block by B. Adebayo),,1,9,16,-7,334.0
6:23.0, ,16-9,Offensive rebound by C. Capela,,1,9,16,-7,337.0
6:18.0, ,16-9,B. Bogdanović misses 3-pt jump shot from 23 ft,,1,9,16,-7,342.0
6:16.0,Defensive rebound by B. Adebayo,16-9, ,,1,9,16,-7,344.0
6:07.0,J. Jaquez makes 2-pt layup from 2 ft (assist by B. Adebayo),18-9, ,,1,9,18,-9,353.0
