Time,Atlanta,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. M. Bagley (B. Bogdanović gains possession),0-0,,,1,0,0,0,0.0
11:37.0,Turnover by B. Bogdanović (bad pass; steal by A. Thompson),0-0, ,,1,0,0,0,23.0
11:16.0, ,0-0,C. Cunningham misses 2-pt jump shot from 8 ft,,1,0,0,0,44.0
11:13.0, ,0-0,Offensive rebound by M. Bagley,,1,0,0,0,47.0
11:13.0, ,0-2,M. Bagley makes 2-pt layup from 2 ft,,1,0,2,-2,47.0
10:56.0,D. Murray makes 2-pt jump shot from 7 ft,2-2, ,Tie,1,2,2,0,64.0
10:27.0, ,2-2,K. Hayes misses 2-pt jump shot from 20 ft,,1,2,2,0,93.0
10:26.0,Defensive rebound by D. Hunter,2-2, ,,1,2,2,0,94.0
10:18.0,J. Johnson makes 3-pt jump shot from 27 ft (assist by D. Hunter),5-2, ,Lead change,1,5,2,3,102.0
10:00.0, ,5-2,Turnover by K. Hayes (bad pass; steal by C. Capela),,1,5,2,3,120.0
9:56.0,Turnover by C. Capela (lost ball; steal by C. Cunningham),5-2, ,,1,5,2,3,124.0
9:50.0, ,5-2,I. Stewart misses 3-pt jump shot from 27 ft,,1,5,2,3,130.0
9:47.0, ,5-2,Offensive rebound by M. Bagley,,1,5,2,3,133.0
9:47.0, ,5-4,M. Bagley makes 2-pt layup at rim,,1,5,4,1,133.0
9:34.0,B. Bogdanović makes 2-pt jump shot from 15 ft,7-4, ,,1,7,4,3,146.0
9:15.0, ,7-4,K. Hayes misses 2-pt jump shot from 12 ft,,1,7,4,3,165.0
9:13.0,Defensive rebound by C. Capela,7-4, ,,1,7,4,3,167.0
9:02.0,D. Hunter makes 2-pt layup from 3 ft (assist by D. Murray),9-4, ,,1,9,4,5,178.0
8:46.0, ,9-4,I. Stewart misses 3-pt jump shot from 24 ft,,1,9,4,5,194.0
8:43.0,Defensive rebound by C. Capela,9-4, ,,1,9,4,5,197.0
8:33.0,D. Murray makes 2-pt layup from 3 ft,11-4, ,,1,11,4,7,207.0
8:21.0, ,11-6,M. Bagley makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,11,6,5,219.0
8:09.0,D. Hunter makes 2-pt layup from 2 ft (assist by D. Murray),13-6, ,,1,13,6,7,231.0
8:09.0,Shooting foul by C. Cunningham (drawn by D. Hunter),13-6, ,,1,13,6,7,231.0
8:09.0,D. Hunter makes free throw 1 of 1,14-6, ,,1,14,6,8,231.0
7:55.0, ,14-8,K. Hayes makes 2-pt jump shot from 10 ft (assist by A. Thompson),,1,14,8,6,245.0
7:37.0,C. Capela makes 2-pt hook shot from 4 ft (assist by B. Bogdanović),16-8, ,,1,16,8,8,263.0
7:15.0, ,16-10,I. Stewart makes 2-pt jump shot from 5 ft (assist by C. Cunningham),,1,16,10,6,285.0
7:15.0, ,16-10,Shooting foul by C. Capela (drawn by I. Stewart),,1,16,10,6,285.0
7:15.0, ,16-11,I. Stewart makes free throw 1 of 1,,1,16,11,5,285.0
7:03.0,D. Hunter misses 2-pt jump shot from 7 ft,16-11, ,,1,16,11,5,297.0
7:00.0, ,16-11,Defensive rebound by A. Thompson,,1,16,11,5,300.0
6:48.0, ,16-11,M. Bagley misses 2-pt hook shot from 4 ft,,1,16,11,5,312.0
6:46.0,Defensive rebound by B. Bogdanović,16-11, ,,1,16,11,5,314.0
