Time,New York,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Robinson vs. C. Capela (J. Randle gains possession),0-0,,,1,0,0,0,0.0
11:45.0,J. Hart misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,15.0
11:40.0,Offensive rebound by M. Robinson,0-0, ,,1,0,0,0,20.0
11:31.0,J. Randle makes 2-pt jump shot from 10 ft,2-0, ,,1,0,2,-2,29.0
11:12.0, ,2-3,J. Johnson makes 3-pt jump shot from 23 ft (assist by T. Young),Lead change,1,3,2,1,48.0
10:48.0,J. Randle makes 3-pt jump shot from 26 ft (assist by J. Brunson),5-3, ,Lead change,1,3,5,-2,72.0
10:29.0, ,5-3,D. Murray misses 3-pt jump shot from 25 ft,,1,3,5,-2,91.0
10:24.0,Defensive rebound by J. Hart,5-3, ,,1,3,5,-2,96.0
10:19.0,J. Randle misses 3-pt jump shot from 27 ft,5-3, ,,1,3,5,-2,101.0
10:16.0, ,5-3,Defensive rebound by T. Young,,1,3,5,-2,104.0
10:04.0, ,5-3,Personal foul by J. Randle (drawn by T. Young),,1,3,5,-2,116.0
9:52.0, ,5-5,J. Johnson makes 2-pt jump shot from 7 ft (assist by T. Young),Tie,1,5,5,0,128.0
9:33.0,J. Randle misses 2-pt layup from 2 ft (block by C. Capela),5-5, ,,1,5,5,0,147.0
9:30.0,Offensive rebound by J. Randle,5-5, ,,1,5,5,0,150.0
9:28.0,J. Randle makes 2-pt jump shot from 7 ft,7-5, ,,1,5,7,-2,152.0
9:14.0, ,7-5,Personal foul by J. Hart (drawn by T. Young),,1,5,7,-2,166.0
9:00.0, ,7-5,D. Hunter misses 3-pt jump shot from 23 ft,,1,5,7,-2,180.0
8:56.0,Defensive rebound by J. Randle,7-5, ,,1,5,7,-2,184.0
8:51.0,J. Randle misses 2-pt jump shot from 13 ft,7-5, ,,1,5,7,-2,189.0
8:46.0,Offensive rebound by M. Robinson,7-5, ,,1,5,7,-2,194.0
8:43.0,Personal foul by D. Hunter (drawn by M. Robinson),7-5, ,,1,5,7,-2,197.0
8:32.0,J. Brunson misses 2-pt jump shot from 15 ft,7-5, ,,1,5,7,-2,208.0
8:29.0, ,7-5,Defensive rebound by D. Murray,,1,5,7,-2,211.0
8:24.0, ,7-5,Turnover by T. Young (bad pass; steal by M. Robinson),,1,5,7,-2,216.0
8:12.0,J. Hart misses 2-pt layup from 1 ft (block by J. Johnson),7-5, ,,1,5,7,-2,228.0
