Time,Indiana,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Turner vs. C. Capela (B. Brown gains possession),0-0,,,1,0,0,0,0.0
11:40.0,B. Hield makes 3-pt jump shot from 26 ft (assist by T. Haliburton),3-0, ,,1,0,3,-3,20.0
11:24.0, ,3-0,Turnover by D. Murray (bad pass),,1,0,3,-3,36.0
11:17.0,A. Nesmith makes 3-pt jump shot from 23 ft (assist by T. Haliburton),6-0, ,,1,0,6,-6,43.0
11:06.0, ,6-3,T. Young makes 3-pt jump shot from 28 ft (assist by J. Johnson),,1,3,6,-3,54.0
10:52.0,M. Turner misses 3-pt jump shot from 26 ft,6-3, ,,1,3,6,-3,68.0
10:49.0, ,6-3,Defensive rebound by C. Capela,,1,3,6,-3,71.0
10:41.0, ,6-5,D. Hunter makes 2-pt jump shot from 12 ft (assist by D. Murray),,1,5,6,-1,79.0
10:30.0,B. Hield misses 2-pt layup from 2 ft,6-5, ,,1,5,6,-1,90.0
10:27.0,Offensive rebound by B. Hield,6-5, ,,1,5,6,-1,93.0
10:19.0,M. Turner misses 2-pt layup from 3 ft (block by C. Capela),6-5, ,,1,5,6,-1,101.0
10:14.0,Offensive rebound by M. Turner,6-5, ,,1,5,6,-1,106.0
10:14.0,M. Turner makes 2-pt hook shot from 9 ft,8-5, ,,1,5,8,-3,106.0
10:05.0, ,8-5,Personal foul by A. Nesmith (drawn by T. Young),,1,5,8,-3,115.0
10:02.0, ,8-5,Personal foul by B. Hield (drawn by T. Young),,1,5,8,-3,118.0
9:53.0, ,8-5,J. Johnson misses 2-pt layup from 1 ft,,1,5,8,-3,127.0
9:47.0, ,8-5,Offensive rebound by C. Capela,,1,5,8,-3,133.0
9:47.0, ,8-7,C. Capela makes 2-pt dunk at rim,,1,7,8,-1,133.0
9:42.0,Turnover by M. Turner (bad pass; steal by J. Johnson),8-7, ,,1,7,8,-1,138.0
9:37.0, ,8-9,C. Capela makes 2-pt layup from 1 ft (assist by J. Johnson),Lead change,1,9,8,1,143.0
9:19.0,Turnover by T. Haliburton (out of bounds lost ball),8-9, ,,1,9,8,1,161.0
9:11.0, ,8-11,C. Capela makes 2-pt layup at rim (assist by T. Young),,1,11,8,3,169.0
9:01.0,B. Brown makes 2-pt jump shot from 3 ft (assist by T. Haliburton),10-11, ,,1,11,10,1,179.0
8:38.0, ,10-13,D. Murray makes 2-pt jump shot from 7 ft,,1,13,10,3,202.0
8:29.0,A. Nesmith makes 2-pt layup from 3 ft (assist by T. Haliburton),12-13, ,,1,13,12,1,211.0
8:19.0, ,12-13,J. Johnson misses 2-pt dunk from 1 ft,,1,13,12,1,221.0
8:17.0,Defensive rebound by M. Turner,12-13, ,,1,13,12,1,223.0
8:09.0,T. Haliburton makes 3-pt jump shot from 28 ft (assist by B. Brown),15-13, ,Lead change,1,13,15,-2,231.0
7:50.0, ,15-13,T. Young misses 3-pt jump shot from 26 ft,,1,13,15,-2,250.0
7:46.0,Defensive rebound by M. Turner,15-13, ,,1,13,15,-2,254.0
7:41.0,B. Brown misses 3-pt jump shot from 26 ft,15-13, ,,1,13,15,-2,259.0
7:39.0, ,15-13,Defensive rebound by J. Johnson,,1,13,15,-2,261.0
7:34.0, ,15-15,J. Johnson makes 2-pt dunk from 1 ft,Tie,1,15,15,0,266.0
7:18.0,M. Turner makes 2-pt layup from 5 ft (assist by A. Nesmith),17-15, ,,1,15,17,-2,282.0
7:18.0,Shooting foul by D. Hunter (drawn by M. Turner),17-15, ,,1,15,17,-2,282.0
7:18.0,M. Turner misses free throw 1 of 1,17-15, ,,1,15,17,-2,282.0
7:16.0, ,17-15,Defensive rebound by J. Johnson,,1,15,17,-2,284.0
