Time,Atlanta,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. J. Embiid (T. Maxey gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-2,J. Embiid makes 2-pt jump shot from 6 ft (assist by N. Batum),,1,0,2,-2,15.0
11:25.0,D. Murray misses 2-pt jump shot from 12 ft,0-2, ,,1,0,2,-2,35.0
11:21.0, ,0-2,Defensive rebound by D. Melton,,1,0,2,-2,39.0
11:12.0, ,0-4,J. Embiid makes 2-pt hook shot from 6 ft,,1,0,4,-4,48.0
10:55.0,B. Bogdanović makes 2-pt jump shot from 4 ft (assist by C. Capela),2-4, ,,1,2,4,-2,65.0
10:46.0, ,2-4,J. Embiid misses 3-pt jump shot from 26 ft,,1,2,4,-2,74.0
10:43.0, ,2-4,Offensive rebound by N. Batum,,1,2,4,-2,77.0
10:31.0, ,2-4,T. Harris misses 3-pt jump shot from 26 ft,,1,2,4,-2,89.0
10:28.0,Defensive rebound by D. Murray,2-4, ,,1,2,4,-2,92.0
10:22.0,D. Murray makes 2-pt jump shot from 9 ft,4-4, ,Tie,1,4,4,0,98.0
10:02.0, ,4-4,J. Embiid misses 2-pt layup from 6 ft,,1,4,4,0,118.0
9:57.0, ,4-4,Offensive rebound by T. Harris,,1,4,4,0,123.0
9:57.0, ,4-6,T. Harris makes 2-pt layup at rim,,1,4,6,-2,123.0
9:46.0,S. Bey misses 2-pt jump shot from 7 ft,4-6, ,,1,4,6,-2,134.0
9:43.0, ,4-6,Defensive rebound by J. Embiid,,1,4,6,-2,137.0
9:41.0, ,4-6,Personal foul by D. Hunter (drawn by T. Harris),,1,4,6,-2,139.0
9:25.0, ,4-6,T. Maxey misses 2-pt jump shot from 12 ft,,1,4,6,-2,155.0
9:22.0,Defensive rebound by D. Hunter,4-6, ,,1,4,6,-2,158.0
9:15.0,D. Hunter misses 2-pt jump shot from 9 ft,4-6, ,,1,4,6,-2,165.0
9:11.0, ,4-6,Defensive rebound by T. Maxey,,1,4,6,-2,169.0
8:54.0, ,4-6,D. Melton misses 3-pt jump shot from 26 ft,,1,4,6,-2,186.0
8:51.0,Defensive rebound by C. Capela,4-6, ,,1,4,6,-2,189.0
8:41.0,Turnover by C. Capela (traveling),4-6, ,,1,4,6,-2,199.0
