Time,Denver,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Jokić vs. C. Capela (A. Gordon gains possession),0-0,,,1,0,0,0,0.0
11:43.0,N. Jokić makes 2-pt hook shot from 3 ft,2-0, ,,1,0,2,-2,17.0
11:21.0, ,2-2,T. Young makes 2-pt jump shot from 10 ft (assist by S. Bey),Tie,1,2,2,0,39.0
11:10.0,J. Murray makes 2-pt jump shot from 5 ft (assist by N. Jokić),4-2, ,,1,2,4,-2,50.0
10:48.0, ,4-4,S. Bey makes 2-pt hook shot from 6 ft,Tie,1,4,4,0,72.0
10:36.0,Shooting foul by D. Murray (drawn by K. Caldwell-Pope),4-4, ,,1,4,4,0,84.0
10:36.0,K. Caldwell-Pope misses free throw 1 of 3,4-4, ,,1,4,4,0,84.0
10:36.0,Offensive rebound by Team,4-4, ,,1,4,4,0,84.0
10:36.0,K. Caldwell-Pope makes free throw 2 of 3,5-4, ,,1,4,5,-1,84.0
10:36.0,K. Caldwell-Pope makes free throw 3 of 3,6-4, ,,1,4,6,-2,84.0
10:26.0, ,6-4,D. Murray misses 2-pt jump shot from 19 ft,,1,4,6,-2,94.0
10:23.0,Defensive rebound by A. Gordon,6-4, ,,1,4,6,-2,97.0
10:17.0,J. Murray misses 2-pt layup from 1 ft,6-4, ,,1,4,6,-2,103.0
10:16.0,Offensive rebound by Team,6-4, ,,1,4,6,-2,104.0
10:11.0,M. Porter misses 2-pt jump shot from 20 ft,6-4, ,,1,4,6,-2,109.0
10:08.0, ,6-4,Defensive rebound by C. Capela,,1,4,6,-2,112.0
9:59.0, ,6-6,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),Tie,1,6,6,0,121.0
9:37.0,J. Murray misses 2-pt layup from 1 ft,6-6, ,,1,6,6,0,143.0
9:33.0,Offensive rebound by A. Gordon,6-6, ,,1,6,6,0,147.0
9:33.0,A. Gordon makes 2-pt layup at rim,8-6, ,,1,6,8,-2,147.0
9:13.0, ,8-6,C. Capela misses 2-pt layup from 1 ft,,1,6,8,-2,167.0
9:10.0,Defensive rebound by M. Porter,8-6, ,,1,6,8,-2,170.0
9:00.0,A. Gordon misses 2-pt layup from 3 ft,8-6, ,,1,6,8,-2,180.0
8:57.0,Offensive rebound by M. Porter,8-6, ,,1,6,8,-2,183.0
8:57.0,M. Porter misses 2-pt layup at rim,8-6, ,,1,6,8,-2,183.0
8:54.0,Offensive rebound by A. Gordon,8-6, ,,1,6,8,-2,186.0
8:54.0,A. Gordon makes 2-pt dunk at rim,10-6, ,,1,6,10,-4,186.0
8:45.0, ,10-8,T. Young makes 2-pt layup from 2 ft (assist by C. Capela),,1,8,10,-2,195.0
8:23.0,M. Porter misses 3-pt jump shot from 25 ft,10-8, ,,1,8,10,-2,217.0
8:20.0, ,10-8,Defensive rebound by C. Capela,,1,8,10,-2,220.0
8:14.0, ,10-8,Shooting foul by K. Caldwell-Pope (drawn by T. Young),,1,8,10,-2,226.0
8:14.0, ,10-9,T. Young makes free throw 1 of 2,,1,9,10,-1,226.0
8:14.0, ,10-10,T. Young makes free throw 2 of 2,Tie,1,10,10,0,226.0
8:01.0,N. Jokić misses 2-pt jump shot from 10 ft,10-10, ,,1,10,10,0,239.0
7:59.0, ,10-10,Defensive rebound by S. Bey,,1,10,10,0,241.0
7:47.0, ,10-10,T. Young misses 3-pt jump shot from 29 ft,,1,10,10,0,253.0
7:44.0,Defensive rebound by J. Murray,10-10, ,,1,10,10,0,256.0
7:37.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,10-10, ,,1,10,10,0,263.0
7:33.0,Offensive rebound by J. Murray,10-10, ,,1,10,10,0,267.0
7:32.0,M. Porter misses 3-pt jump shot from 23 ft,10-10, ,,1,10,10,0,268.0
7:32.0, ,10-10,Defensive rebound by Team,,1,10,10,0,268.0
7:30.0,Violation by Team (delay of game),10-10, ,,1,10,10,0,270.0
7:07.0, ,10-10,G. Mathews misses 3-pt jump shot from 25 ft,,1,10,10,0,293.0
7:03.0, ,10-10,Offensive rebound by C. Capela,,1,10,10,0,297.0
7:01.0, ,10-12,C. Capela makes 2-pt layup from 1 ft,Lead change,1,12,10,2,299.0
6:47.0,J. Murray makes 2-pt jump shot from 5 ft (assist by A. Gordon),12-12, ,Tie,1,12,12,0,313.0
6:31.0, ,12-15,D. Murray makes 3-pt jump shot from 26 ft (assist by T. Young),,1,15,12,3,329.0
6:30.0,Denver full timeout,12-15, ,,1,15,12,3,330.0
6:30.0,R. Jackson enters the game for J. Murray,12-15, ,,1,15,12,3,330.0
6:30.0,J. Strawther enters the game for M. Porter,12-15, ,,1,15,12,3,330.0
6:30.0, ,12-15,B. Bogdanović enters the game for T. Young,,1,15,12,3,330.0
6:12.0,R. Jackson misses 3-pt jump shot from 23 ft,12-15, ,,1,15,12,3,348.0
6:10.0,Offensive rebound by A. Gordon,12-15, ,,1,15,12,3,350.0
6:03.0,A. Gordon makes 2-pt layup from 1 ft,14-15, ,,1,15,14,1,357.0
5:50.0, ,14-17,C. Capela makes 2-pt layup from 1 ft (assist by B. Bogdanović),,1,17,14,3,370.0
5:34.0,R. Jackson misses 3-pt jump shot from 25 ft,14-17, ,,1,17,14,3,386.0
5:31.0, ,14-17,Defensive rebound by S. Bey,,1,17,14,3,389.0
5:23.0, ,14-20,D. Murray makes 3-pt jump shot from 26 ft,,1,20,14,6,397.0
5:23.0, ,14-20,W. Matthews enters the game for C. Capela,,1,20,14,6,397.0
5:23.0, ,14-20,O. Okongwu enters the game for G. Mathews,,1,20,14,6,397.0
5:08.0,N. Jokić makes 2-pt jump shot from 5 ft (assist by R. Jackson),16-20, ,,1,20,16,4,412.0
4:48.0, ,16-20,D. Murray misses 2-pt layup from 3 ft,,1,20,16,4,432.0
4:45.0,Defensive rebound by N. Jokić,16-20, ,,1,20,16,4,435.0
4:36.0,Turnover by K. Caldwell-Pope (bad pass; steal by W. Matthews),16-20, ,,1,20,16,4,444.0
4:31.0, ,16-23,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Murray),,1,23,16,7,449.0
4:31.0,P. Watson enters the game for A. Gordon,16-23, ,,1,23,16,7,449.0
4:07.0,N. Jokić makes 2-pt hook shot from 3 ft (assist by R. Jackson),18-23, ,,1,23,18,5,473.0
3:48.0, ,18-25,S. Bey makes 2-pt layup from 2 ft (assist by O. Okongwu),,1,25,18,7,492.0
