Time,Atlanta,Score,Toronto,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. J. Poeltl (D. Schröder gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-2,S. Barnes makes 2-pt layup from 2 ft,,1,0,2,-2,16.0
11:44.0,Violation by Team (def goaltending),0-2, ,,1,0,2,-2,16.0
11:29.0,T. Young misses 2-pt jump shot from 12 ft,0-2, ,,1,0,2,-2,31.0
11:27.0, ,0-2,Defensive rebound by S. Barnes,,1,0,2,-2,33.0
11:23.0, ,0-2,P. Siakam misses 2-pt layup from 3 ft,,1,0,2,-2,37.0
11:22.0, ,0-2,Offensive rebound by S. Barnes,,1,0,2,-2,38.0
11:21.0, ,0-4,S. Barnes makes 2-pt dunk at rim,,1,0,4,-4,39.0
11:05.0,S. Bey misses 3-pt jump shot from 26 ft,0-4, ,,1,0,4,-4,55.0
11:02.0, ,0-4,Defensive rebound by J. Poeltl,,1,0,4,-4,58.0
10:43.0, ,0-4,Turnover by J. Poeltl (bad pass; steal by W. Matthews),,1,0,4,-4,77.0
10:39.0,W. Matthews misses 2-pt layup from 1 ft (block by D. Schröder),0-4, ,,1,0,4,-4,81.0
10:36.0, ,0-4,Defensive rebound by S. Barnes,,1,0,4,-4,84.0
10:32.0, ,0-6,J. Poeltl makes 2-pt layup from 2 ft (assist by S. Barnes),,1,0,6,-6,88.0
10:15.0,D. Murray makes 2-pt jump shot from 14 ft (assist by T. Young),2-6, ,,1,2,6,-4,105.0
10:01.0, ,2-6,P. Siakam misses 2-pt layup from 5 ft,,1,2,6,-4,119.0
9:58.0, ,2-6,Offensive rebound by P. Siakam,,1,2,6,-4,122.0
9:57.0, ,2-8,P. Siakam makes 2-pt layup from 4 ft,,1,2,8,-6,123.0
9:48.0,Shooting foul by J. Poeltl (drawn by C. Capela),2-8, ,,1,2,8,-6,132.0
9:48.0,C. Capela makes free throw 1 of 2,3-8, ,,1,3,8,-5,132.0
9:48.0,C. Capela misses free throw 2 of 2,3-8, ,,1,3,8,-5,132.0
9:46.0, ,3-8,Defensive rebound by J. Poeltl,,1,3,8,-5,134.0
9:34.0, ,3-8,S. Barnes misses 2-pt jump shot from 7 ft,,1,3,8,-5,146.0
9:32.0,Defensive rebound by D. Murray,3-8, ,,1,3,8,-5,148.0
9:26.0,D. Murray makes 3-pt jump shot from 25 ft,6-8, ,,1,6,8,-2,154.0
9:10.0, ,6-10,P. Siakam makes 2-pt jump shot from 6 ft (assist by J. Poeltl),,1,6,10,-4,170.0
8:56.0,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),8-10, ,,1,8,10,-2,184.0
8:41.0, ,8-10,Turnover by P. Siakam (lost ball; steal by W. Matthews),,1,8,10,-2,199.0
8:37.0,T. Young misses 3-pt jump shot from 27 ft,8-10, ,,1,8,10,-2,203.0
8:34.0,Offensive rebound by C. Capela,8-10, ,,1,8,10,-2,206.0
8:20.0,S. Bey misses 2-pt jump shot from 14 ft,8-10, ,,1,8,10,-2,220.0
8:17.0, ,8-10,Defensive rebound by J. Poeltl,,1,8,10,-2,223.0
8:12.0, ,8-10,O. Anunoby misses 3-pt jump shot from 23 ft,,1,8,10,-2,228.0
8:10.0,Defensive rebound by D. Murray,8-10, ,,1,8,10,-2,230.0
8:05.0,D. Murray misses 3-pt jump shot from 27 ft,8-10, ,,1,8,10,-2,235.0
8:01.0, ,8-10,Defensive rebound by S. Barnes,,1,8,10,-2,239.0
7:55.0, ,8-12,O. Anunoby makes 2-pt layup from 2 ft (assist by S. Barnes),,1,8,12,-4,245.0
7:35.0,T. Young misses 2-pt layup from 8 ft (block by J. Poeltl),8-12, ,,1,8,12,-4,265.0
7:33.0, ,8-12,Defensive rebound by P. Siakam,,1,8,12,-4,267.0
7:24.0, ,8-15,D. Schröder makes 3-pt jump shot from 24 ft (assist by O. Anunoby),,1,8,15,-7,276.0
7:05.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by T. Young),11-15, ,,1,11,15,-4,295.0
6:52.0, ,11-17,P. Siakam makes 2-pt jump shot from 7 ft (assist by D. Schröder),,1,11,17,-6,308.0
6:52.0, ,11-17,Shooting foul by W. Matthews (drawn by P. Siakam),,1,11,17,-6,308.0
6:52.0, ,11-17,Toronto full timeout,,1,11,17,-6,308.0
6:52.0,B. Bogdanović enters the game for S. Bey,11-17, ,,1,11,17,-6,308.0
6:52.0,O. Okongwu enters the game for W. Matthews,11-17, ,,1,11,17,-6,308.0
6:52.0, ,11-17,P. Siakam misses free throw 1 of 1,,1,11,17,-6,308.0
6:50.0,Defensive rebound by C. Capela,11-17, ,,1,11,17,-6,310.0
6:39.0,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by T. Young),14-17, ,,1,14,17,-3,321.0
6:20.0, ,14-17,D. Schröder misses 2-pt jump shot from 14 ft,,1,14,17,-3,340.0
6:18.0, ,14-17,Offensive rebound by J. Poeltl,,1,14,17,-3,342.0
6:13.0, ,14-19,P. Siakam makes 2-pt jump shot from 8 ft (assist by O. Anunoby),,1,14,19,-5,347.0
5:57.0,B. Bogdanović makes 2-pt jump shot from 2 ft (assist by T. Young),16-19, ,,1,16,19,-3,363.0
