Time,Detroit,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Bagley vs. C. Capela (B. Bogdanović gains possession),0-0,,,1,0,0,0,0.0
11:47.0,J. Ivey misses 2-pt layup from 1 ft (block by C. Capela),0-0, ,,1,0,0,0,13.0
11:43.0, ,0-0,Defensive rebound by S. Bey,,1,0,0,0,17.0
11:32.0, ,0-3,D. Hunter makes 3-pt jump shot from 25 ft (assist by D. Murray),,1,3,0,3,28.0
11:12.0,B. Bogdanović makes 2-pt jump shot from 11 ft,2-3, ,,1,3,2,1,48.0
10:51.0, ,2-3,C. Capela misses 2-pt hook shot from 2 ft,,1,3,2,1,69.0
10:49.0,Defensive rebound by A. Thompson,2-3, ,,1,3,2,1,71.0
10:44.0,B. Bogdanović misses 3-pt jump shot from 25 ft,2-3, ,,1,3,2,1,76.0
10:40.0, ,2-3,Defensive rebound by D. Hunter,,1,3,2,1,80.0
10:36.0, ,2-6,D. Hunter makes 3-pt jump shot from 26 ft,,1,6,2,4,84.0
10:19.0,B. Bogdanović misses 2-pt jump shot from 10 ft,2-6, ,,1,6,2,4,101.0
10:15.0,Offensive rebound by A. Thompson,2-6, ,,1,6,2,4,105.0
10:15.0,A. Thompson misses 2-pt layup at rim,2-6, ,,1,6,2,4,105.0
10:14.0, ,2-6,Defensive rebound by T. Young,,1,6,2,4,106.0
10:08.0, ,2-9,D. Murray makes 3-pt jump shot from 23 ft (assist by T. Young),,1,9,2,7,112.0
9:45.0,C. Cunningham misses 3-pt jump shot from 26 ft,2-9, ,,1,9,2,7,135.0
9:42.0, ,2-9,Defensive rebound by D. Hunter,,1,9,2,7,138.0
9:41.0, ,2-9,Turnover by D. Hunter (bad pass),,1,9,2,7,139.0
9:27.0,C. Cunningham misses 2-pt layup from 1 ft,2-9, ,,1,9,2,7,153.0
9:24.0,Offensive rebound by M. Bagley,2-9, ,,1,9,2,7,156.0
9:24.0,M. Bagley makes 2-pt layup at rim,4-9, ,,1,9,4,5,156.0
