Time,Atlanta,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. A. Sengun (D. Brooks gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,D. Brooks misses 2-pt jump shot from 7 ft,,1,0,0,0,19.0
11:40.0,Defensive rebound by C. Capela,0-0, ,,1,0,0,0,20.0
11:26.0,D. Hunter makes 3-pt jump shot from 24 ft (assist by D. Murray),3-0, ,,1,3,0,3,34.0
11:14.0, ,3-0,J. Green misses 2-pt jump shot from 14 ft,,1,3,0,3,46.0
11:13.0, ,3-0,Offensive rebound by A. Sengun,,1,3,0,3,47.0
11:13.0, ,3-2,A. Sengun makes 2-pt layup at rim,,1,3,2,1,47.0
10:58.0,T. Young misses 3-pt jump shot from 26 ft,3-2, ,,1,3,2,1,62.0
10:58.0,Offensive rebound by S. Bey,3-2, ,,1,3,2,1,62.0
10:52.0,D. Hunter misses 3-pt jump shot from 27 ft,3-2, ,,1,3,2,1,68.0
10:51.0, ,3-2,Defensive rebound by J. Smith,,1,3,2,1,69.0
10:43.0, ,3-2,J. Green misses 2-pt jump shot from 17 ft,,1,3,2,1,77.0
10:42.0, ,3-2,Offensive rebound by J. Smith,,1,3,2,1,78.0
10:41.0, ,3-4,J. Smith makes 2-pt jump shot from 12 ft,Lead change,1,3,4,-1,79.0
10:22.0,Turnover by D. Murray (out of bounds lost ball),3-4, ,,1,3,4,-1,98.0
10:13.0, ,3-4,F. VanVleet misses 3-pt jump shot from 26 ft,,1,3,4,-1,107.0
10:12.0,Defensive rebound by C. Capela,3-4, ,,1,3,4,-1,108.0
10:04.0,D. Hunter makes 2-pt jump shot from 13 ft,5-4, ,Lead change,1,5,4,1,116.0
9:45.0, ,5-6,A. Sengun makes 2-pt layup from 5 ft (assist by F. VanVleet),Lead change,1,5,6,-1,135.0
9:27.0,D. Murray makes 2-pt jump shot from 12 ft (assist by D. Hunter),7-6, ,Lead change,1,7,6,1,153.0
9:17.0, ,7-6,Shooting foul by T. Young (drawn by F. VanVleet),,1,7,6,1,163.0
9:17.0, ,7-7,F. VanVleet makes free throw 1 of 2,Tie,1,7,7,0,163.0
9:17.0, ,7-8,F. VanVleet makes free throw 2 of 2,Lead change,1,7,8,-1,163.0
9:07.0,T. Young makes 3-pt jump shot from 31 ft,10-8, ,Lead change,1,10,8,2,173.0
8:56.0, ,10-10,J. Green makes 2-pt layup from 2 ft,Tie,1,10,10,0,184.0
8:45.0,D. Murray makes 3-pt jump shot from 26 ft,13-10, ,,1,13,10,3,195.0
8:35.0, ,13-10,Turnover by F. VanVleet (bad pass; steal by C. Capela),,1,13,10,3,205.0
8:27.0,D. Murray misses 3-pt jump shot from 25 ft,13-10, ,,1,13,10,3,213.0
8:26.0, ,13-10,Defensive rebound by J. Green,,1,13,10,3,214.0
8:17.0, ,13-10,J. Green misses 2-pt layup from 3 ft (block by C. Capela),,1,13,10,3,223.0
8:16.0, ,13-10,Offensive rebound by J. Green,,1,13,10,3,224.0
