Time,Atlanta,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. B. Adebayo (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,T. Herro misses 3-pt jump shot from 27 ft,,1,0,0,0,22.0
11:35.0, ,0-0,Offensive rebound by J. Jaquez,,1,0,0,0,25.0
11:33.0, ,0-2,J. Jaquez makes 2-pt layup from 7 ft,,1,0,2,-2,27.0
11:14.0,G. Mathews misses 3-pt jump shot from 22 ft,0-2, ,,1,0,2,-2,46.0
11:11.0, ,0-2,Defensive rebound by T. Herro,,1,0,2,-2,49.0
10:53.0, ,0-4,T. Herro makes 2-pt layup from 5 ft,,1,0,4,-4,67.0
10:28.0,S. Bey misses 3-pt jump shot from 25 ft,0-4, ,,1,0,4,-4,92.0
10:27.0, ,0-4,Defensive rebound by Team,,1,0,4,-4,93.0
10:13.0, ,0-7,K. Lowry makes 3-pt jump shot from 27 ft (assist by C. Martin),,1,0,7,-7,107.0
9:57.0,Turnover by C. Capela (bad pass),0-7, ,,1,0,7,-7,123.0
9:48.0, ,0-9,T. Herro makes 2-pt jump shot from 11 ft,,1,0,9,-9,132.0
9:41.0,Atlanta full timeout,0-9, ,,1,0,9,-9,139.0
9:39.0,Personal foul by J. Jaquez (drawn by T. Young),0-9, ,,1,0,9,-9,141.0
9:32.0,Def 3 sec tech foul by Team,0-9, ,,1,0,9,-9,148.0
9:32.0,T. Young makes technical free throw,1-9, ,,1,1,9,-8,148.0
9:24.0,G. Mathews misses 3-pt jump shot from 22 ft,1-9, ,,1,1,9,-8,156.0
9:21.0, ,1-9,Defensive rebound by C. Martin,,1,1,9,-8,159.0
9:14.0, ,1-11,B. Adebayo makes 2-pt jump shot from 19 ft,,1,1,11,-10,166.0
9:00.0,S. Bey makes 2-pt layup from 4 ft (assist by T. Young),3-11, ,,1,3,11,-8,180.0
8:42.0, ,3-11,Def 3 sec tech foul by Team,,1,3,11,-8,198.0
8:42.0, ,3-12,T. Herro makes technical free throw,,1,3,12,-9,198.0
8:33.0, ,3-14,C. Martin makes 2-pt layup from 6 ft (assist by T. Herro),,1,3,14,-11,207.0
8:33.0, ,3-14,Shooting foul by G. Mathews (drawn by C. Martin),,1,3,14,-11,207.0
8:33.0, ,3-15,C. Martin makes free throw 1 of 1,,1,3,15,-12,207.0
8:17.0,S. Bey misses 3-pt jump shot from 22 ft,3-15, ,,1,3,15,-12,223.0
8:13.0, ,3-15,Defensive rebound by K. Lowry,,1,3,15,-12,227.0
8:13.0, ,3-15,Turnover by K. Lowry (bad pass),,1,3,15,-12,227.0
7:56.0,T. Young makes 3-pt jump shot from 29 ft,6-15, ,,1,6,15,-9,244.0
7:44.0, ,6-15,C. Martin misses 2-pt jump shot from 18 ft,,1,6,15,-9,256.0
7:41.0,Defensive rebound by S. Bey,6-15, ,,1,6,15,-9,259.0
7:32.0,T. Young makes 2-pt jump shot from 19 ft (assist by D. Murray),8-15, ,,1,8,15,-7,268.0
7:14.0, ,8-17,B. Adebayo makes 2-pt jump shot from 13 ft,,1,8,17,-9,286.0
7:03.0,S. Bey misses 2-pt layup from 4 ft,8-17, ,,1,8,17,-9,297.0
6:58.0, ,8-17,Defensive rebound by T. Herro,,1,8,17,-9,302.0
6:55.0, ,8-17,Turnover by T. Herro (bad pass; steal by S. Bey),,1,8,17,-9,305.0
6:53.0,Turnover by T. Young (bad pass; steal by T. Herro),8-17, ,,1,8,17,-9,307.0
6:50.0, ,8-17,T. Herro misses 3-pt jump shot from 26 ft,,1,8,17,-9,310.0
6:49.0,Defensive rebound by T. Young,8-17, ,,1,8,17,-9,311.0
6:41.0,S. Bey misses 3-pt jump shot from 23 ft,8-17, ,,1,8,17,-9,319.0
6:39.0, ,8-17,Defensive rebound by K. Lowry,,1,8,17,-9,321.0
6:28.0, ,8-17,Shooting foul by C. Capela (drawn by B. Adebayo),,1,8,17,-9,332.0
6:28.0, ,8-17,B. Adebayo misses free throw 1 of 2,,1,8,17,-9,332.0
6:28.0, ,8-17,Offensive rebound by Team,,1,8,17,-9,332.0
6:28.0,B. Bogdanović enters the game for S. Bey,8-17, ,,1,8,17,-9,332.0
6:28.0,P. Mills enters the game for G. Mathews,8-17, ,,1,8,17,-9,332.0
6:28.0,O. Okongwu enters the game for T. Young,8-17, ,,1,8,17,-9,332.0
6:28.0, ,8-17,B. Adebayo misses free throw 2 of 2,,1,8,17,-9,332.0
6:26.0,Defensive rebound by C. Capela,8-17, ,,1,8,17,-9,334.0
6:14.0,D. Murray makes 3-pt jump shot from 26 ft (assist by P. Mills),11-17, ,,1,11,17,-6,346.0
6:00.0, ,11-20,T. Herro makes 3-pt jump shot from 25 ft (assist by C. Martin),,1,11,20,-9,360.0
5:47.0,D. Murray makes 2-pt jump shot from 13 ft,13-20, ,,1,13,20,-7,373.0
5:35.0, ,13-20,B. Adebayo misses 3-pt jump shot from 26 ft,,1,13,20,-7,385.0
5:32.0,Defensive rebound by D. Murray,13-20, ,,1,13,20,-7,388.0
5:22.0,B. Bogdanović misses 3-pt jump shot from 23 ft,13-20, ,,1,13,20,-7,398.0
