Time,Sacramento,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Sabonis vs. C. Capela (S. Bey gains possession),0-0,,,1,0,0,0,0.0
11:35.0, ,0-2,S. Bey makes 2-pt dunk from 1 ft (assist by T. Young),,1,2,0,2,25.0
11:19.0,D. Sabonis misses 2-pt hook shot from 7 ft,0-2, ,,1,2,0,2,41.0
11:16.0, ,0-2,Defensive rebound by J. Johnson,,1,2,0,2,44.0
11:01.0, ,0-2,Turnover by C. Capela (bad pass; steal by D. Fox),,1,2,0,2,59.0
10:49.0,K. Huerter misses 3-pt jump shot from 25 ft,0-2, ,,1,2,0,2,71.0
10:44.0, ,0-2,Defensive rebound by C. Capela,,1,2,0,2,76.0
10:35.0, ,0-2,J. Johnson misses 3-pt jump shot from 26 ft,,1,2,0,2,85.0
10:30.0,Defensive rebound by K. Huerter,0-2, ,,1,2,0,2,90.0
10:26.0,D. Fox misses 2-pt layup from 3 ft,0-2, ,,1,2,0,2,94.0
10:25.0, ,0-2,Defensive rebound by Team,,1,2,0,2,95.0
10:15.0, ,0-5,T. Young makes 3-pt jump shot from 26 ft,,1,5,0,5,105.0
9:58.0,H. Barnes misses 3-pt jump shot from 25 ft,0-5, ,,1,5,0,5,122.0
9:54.0, ,0-5,Defensive rebound by J. Johnson,,1,5,0,5,126.0
9:43.0, ,0-5,S. Bey misses 3-pt jump shot from 23 ft,,1,5,0,5,137.0
9:40.0, ,0-5,Offensive rebound by C. Capela,,1,5,0,5,140.0
9:34.0, ,0-8,D. Murray makes 3-pt jump shot from 25 ft,,1,8,0,8,146.0
9:12.0,D. Fox makes 2-pt jump shot from 12 ft (assist by D. Sabonis),2-8, ,,1,8,2,6,168.0
9:00.0, ,2-10,C. Capela makes 2-pt layup from 4 ft (assist by T. Young),,1,10,2,8,180.0
9:00.0, ,2-10,Shooting foul by K. Murray (drawn by C. Capela),,1,10,2,8,180.0
9:00.0, ,2-11,C. Capela makes free throw 1 of 1,,1,11,2,9,180.0
8:47.0,K. Huerter makes 2-pt jump shot from 13 ft (assist by D. Sabonis),4-11, ,,1,11,4,7,193.0
8:35.0, ,4-13,D. Murray makes 2-pt layup from 2 ft (assist by T. Young),,1,13,4,9,205.0
8:28.0,K. Huerter misses 3-pt jump shot from 26 ft,4-13, ,,1,13,4,9,212.0
8:24.0,Offensive rebound by D. Fox,4-13, ,,1,13,4,9,216.0
8:22.0,D. Fox misses 3-pt jump shot from 25 ft,4-13, ,,1,13,4,9,218.0
8:19.0, ,4-13,Defensive rebound by C. Capela,,1,13,4,9,221.0
8:08.0, ,4-13,S. Bey misses 3-pt jump shot from 25 ft,,1,13,4,9,232.0
8:07.0,Defensive rebound by Team,4-13, ,,1,13,4,9,233.0
7:49.0,H. Barnes misses 3-pt jump shot from 23 ft,4-13, ,,1,13,4,9,251.0
7:45.0, ,4-13,Defensive rebound by J. Johnson,,1,13,4,9,255.0
7:37.0, ,4-13,Shooting foul by D. Fox (drawn by C. Capela),,1,13,4,9,263.0
7:37.0, ,4-13,C. Capela misses free throw 1 of 2,,1,13,4,9,263.0
