Time,Atlanta,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. G. Bitadze (T. Young gains possession),0-0,,,1,0,0,0,0.0
11:37.0,T. Young misses 2-pt jump shot from 7 ft,0-0, ,,1,0,0,0,23.0
11:36.0, ,0-0,Defensive rebound by P. Banchero,,1,0,0,0,24.0
11:28.0, ,0-3,C. Okeke makes 3-pt jump shot from 23 ft (assist by J. Suggs),,1,0,3,-3,32.0
11:11.0,D. Murray misses 3-pt jump shot from 27 ft,0-3, ,,1,0,3,-3,49.0
11:09.0, ,0-3,Defensive rebound by P. Banchero,,1,0,3,-3,51.0
10:48.0, ,0-3,C. Houstan misses 3-pt jump shot from 23 ft,,1,0,3,-3,72.0
10:45.0,Defensive rebound by J. Johnson,0-3, ,,1,0,3,-3,75.0
10:36.0,Turnover by J. Johnson (lost ball; steal by P. Banchero),0-3, ,,1,0,3,-3,84.0
10:32.0, ,0-5,P. Banchero makes 2-pt layup from 1 ft,,1,0,5,-5,88.0
10:20.0,J. Johnson misses 3-pt jump shot from 25 ft,0-5, ,,1,0,5,-5,100.0
10:17.0, ,0-5,Defensive rebound by G. Bitadze,,1,0,5,-5,103.0
9:59.0, ,0-5,P. Banchero misses 2-pt jump shot from 18 ft,,1,0,5,-5,121.0
9:55.0,Defensive rebound by S. Bey,0-5, ,,1,0,5,-5,125.0
9:49.0,D. Murray misses 2-pt layup from 3 ft,0-5, ,,1,0,5,-5,131.0
9:47.0, ,0-5,Defensive rebound by P. Banchero,,1,0,5,-5,133.0
9:43.0, ,0-5,C. Houstan misses 3-pt jump shot from 26 ft,,1,0,5,-5,137.0
9:39.0, ,0-5,Offensive rebound by P. Banchero,,1,0,5,-5,141.0
9:38.0, ,0-5,P. Banchero misses 2-pt hook shot from 8 ft (block by C. Capela),,1,0,5,-5,142.0
9:34.0,Defensive rebound by J. Johnson,0-5, ,,1,0,5,-5,146.0
9:26.0,T. Young misses 3-pt jump shot from 25 ft,0-5, ,,1,0,5,-5,154.0
9:23.0, ,0-5,Defensive rebound by C. Okeke,,1,0,5,-5,157.0
9:08.0, ,0-5,Shooting foul by J. Johnson (drawn by P. Banchero),,1,0,5,-5,172.0
9:08.0, ,0-6,P. Banchero makes free throw 1 of 2,,1,0,6,-6,172.0
9:08.0, ,0-7,P. Banchero makes free throw 2 of 2,,1,0,7,-7,172.0
9:02.0,Personal foul by J. Suggs (drawn by T. Young),0-7, ,,1,0,7,-7,178.0
8:57.0,S. Bey makes 3-pt jump shot from 23 ft (assist by T. Young),3-7, ,,1,3,7,-4,183.0
8:42.0, ,3-10,J. Suggs makes 3-pt jump shot from 25 ft,,1,3,10,-7,198.0
8:31.0,Personal foul by C. Houstan (drawn by T. Young),3-10, ,,1,3,10,-7,209.0
8:23.0,D. Murray misses 2-pt jump shot from 10 ft,3-10, ,,1,3,10,-7,217.0
8:19.0, ,3-10,Defensive rebound by C. Okeke,,1,3,10,-7,221.0
7:59.0, ,3-13,C. Houstan makes 3-pt jump shot from 23 ft (assist by P. Banchero),,1,3,13,-10,241.0
7:42.0,S. Bey misses 3-pt jump shot from 25 ft,3-13, ,,1,3,13,-10,258.0
7:40.0, ,3-13,Defensive rebound by G. Bitadze,,1,3,13,-10,260.0
7:29.0, ,3-16,C. Houstan makes 3-pt jump shot from 25 ft (assist by C. Okeke),,1,3,16,-13,271.0
7:28.0,Atlanta full timeout,3-16, ,,1,3,16,-13,272.0
7:04.0,T. Young makes 2-pt layup from 3 ft,5-16, ,,1,5,16,-11,296.0
6:43.0, ,5-19,J. Suggs makes 3-pt jump shot from 27 ft (assist by G. Bitadze),,1,5,19,-14,317.0
