Time,Philadelphia,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: P. Reed vs. O. Okongwu (T. Young gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-2,O. Okongwu makes 2-pt layup from 2 ft (assist by T. Young),,1,2,0,2,16.0
11:44.0, ,0-2,Shooting foul by P. Reed (drawn by O. Okongwu),,1,2,0,2,16.0
11:44.0, ,0-3,O. Okongwu makes free throw 1 of 1,,1,3,0,3,16.0
11:25.0,T. Harris misses 2-pt jump shot from 18 ft,0-3, ,,1,3,0,3,35.0
11:22.0, ,0-3,Defensive rebound by D. Murray,,1,3,0,3,38.0
11:15.0, ,0-5,D. Murray makes 2-pt jump shot from 11 ft,,1,5,0,5,45.0
11:01.0,D. Melton makes 3-pt jump shot from 24 ft (assist by T. Harris),3-5, ,,1,5,3,2,59.0
10:46.0, ,3-5,D. Murray misses 2-pt jump shot from 5 ft,,1,5,3,2,74.0
10:44.0,Defensive rebound by P. Reed,3-5, ,,1,5,3,2,76.0
10:34.0,T. Harris misses 2-pt layup from 1 ft,3-5, ,,1,5,3,2,86.0
10:32.0, ,3-5,Defensive rebound by O. Okongwu,,1,5,3,2,88.0
10:27.0, ,3-5,Shooting foul by N. Batum (drawn by O. Okongwu),,1,5,3,2,93.0
10:27.0, ,3-6,O. Okongwu makes free throw 1 of 2,,1,6,3,3,93.0
10:27.0, ,3-7,O. Okongwu makes free throw 2 of 2,,1,7,3,4,93.0
10:12.0,P. Reed misses 2-pt jump shot from 15 ft,3-7, ,,1,7,3,4,108.0
10:10.0, ,3-7,Defensive rebound by J. Johnson,,1,7,3,4,110.0
9:54.0, ,3-7,T. Young misses 2-pt jump shot from 12 ft,,1,7,3,4,126.0
9:51.0,Defensive rebound by P. Reed,3-7, ,,1,7,3,4,129.0
9:43.0,P. Reed makes 2-pt layup from 1 ft (assist by D. Melton),5-7, ,,1,7,5,2,137.0
9:43.0,Shooting foul by O. Okongwu (drawn by P. Reed),5-7, ,,1,7,5,2,137.0
9:43.0,P. Reed makes free throw 1 of 1,6-7, ,,1,7,6,1,137.0
9:33.0, ,6-7,J. Johnson misses 2-pt jump shot from 6 ft,,1,7,6,1,147.0
9:31.0,Defensive rebound by P. Reed,6-7, ,,1,7,6,1,149.0
9:25.0,T. Maxey makes 3-pt jump shot from 25 ft,9-7, ,Lead change,1,7,9,-2,155.0
9:11.0, ,9-7,S. Bey misses 2-pt layup from 2 ft,,1,7,9,-2,169.0
9:08.0,Defensive rebound by P. Reed,9-7, ,,1,7,9,-2,172.0
9:05.0,Shooting foul by D. Murray (drawn by N. Batum),9-7, ,,1,7,9,-2,175.0
9:05.0,N. Batum misses free throw 1 of 2,9-7, ,,1,7,9,-2,175.0
9:05.0,Offensive rebound by Team,9-7, ,,1,7,9,-2,175.0
9:05.0,N. Batum makes free throw 2 of 2,10-7, ,,1,7,10,-3,175.0
8:50.0, ,10-9,O. Okongwu makes 2-pt layup from 1 ft (assist by T. Young),,1,9,10,-1,190.0
8:41.0,T. Harris makes 3-pt jump shot from 26 ft (assist by T. Maxey),13-9, ,,1,9,13,-4,199.0
8:25.0, ,13-11,S. Bey makes 2-pt dunk from 1 ft (assist by D. Murray),,1,11,13,-2,215.0
8:12.0,P. Reed makes 2-pt layup at rim (assist by T. Maxey),15-11, ,,1,11,15,-4,228.0
7:53.0, ,15-13,O. Okongwu makes 2-pt layup from 2 ft (assist by T. Young),,1,13,15,-2,247.0
7:43.0,D. Melton misses 3-pt jump shot from 24 ft,15-13, ,,1,13,15,-2,257.0
7:41.0, ,15-13,Defensive rebound by J. Johnson,,1,13,15,-2,259.0
7:34.0, ,15-13,S. Bey misses 3-pt jump shot from 24 ft,,1,13,15,-2,266.0
7:31.0, ,15-13,Offensive rebound by O. Okongwu,,1,13,15,-2,269.0
7:22.0, ,15-16,D. Murray makes 3-pt jump shot from 26 ft (assist by T. Young),Lead change,1,16,15,1,278.0
7:01.0,D. Melton makes 2-pt jump shot from 4 ft,17-16, ,Lead change,1,16,17,-1,299.0
6:53.0, ,17-16,D. Murray misses 2-pt layup from 2 ft,,1,16,17,-1,307.0
6:51.0,Defensive rebound by T. Harris,17-16, ,,1,16,17,-1,309.0
6:47.0,Turnover by T. Harris (out of bounds lost ball),17-16, ,,1,16,17,-1,313.0
6:47.0, ,17-16,Atlanta full timeout,,1,16,17,-1,313.0
6:47.0,K. Oubre enters the game for D. Melton,17-16, ,,1,16,17,-1,313.0
6:47.0, ,17-16,B. Bogdanović enters the game for J. Johnson,,1,16,17,-1,313.0
6:47.0, ,17-16,T. Forrest enters the game for T. Young,,1,16,17,-1,313.0
6:35.0, ,17-16,Shooting foul by P. Reed (drawn by O. Okongwu),,1,16,17,-1,325.0
6:35.0, ,17-17,O. Okongwu makes free throw 1 of 2,Tie,1,17,17,0,325.0
6:35.0,M. Bamba enters the game for P. Reed,17-17, ,,1,17,17,0,325.0
6:35.0, ,17-18,O. Okongwu makes free throw 2 of 2,Lead change,1,18,17,1,325.0
6:17.0,K. Oubre makes 2-pt jump shot from 13 ft,19-18, ,Lead change,1,18,19,-1,343.0
5:57.0, ,19-18,S. Bey misses 3-pt jump shot from 23 ft,,1,18,19,-1,363.0
5:54.0,Defensive rebound by T. Maxey,19-18, ,,1,18,19,-1,366.0
5:49.0,T. Maxey makes 2-pt jump shot from 14 ft,21-18, ,,1,18,21,-3,371.0
5:49.0,Shooting foul by T. Forrest (drawn by T. Maxey),21-18, ,,1,18,21,-3,371.0
5:49.0,T. Maxey makes free throw 1 of 1,22-18, ,,1,18,22,-4,371.0
5:33.0, ,22-18,B. Bogdanović misses 2-pt layup from 3 ft (block by M. Bamba),,1,18,22,-4,387.0
5:31.0, ,22-18,Offensive rebound by Team,,1,18,22,-4,389.0
5:27.0, ,22-18,D. Murray misses 3-pt jump shot from 23 ft,,1,18,22,-4,393.0
5:24.0,Defensive rebound by T. Maxey,22-18, ,,1,18,22,-4,396.0
5:13.0,M. Bamba misses 3-pt jump shot from 25 ft,22-18, ,,1,18,22,-4,407.0
5:09.0, ,22-18,Defensive rebound by O. Okongwu,,1,18,22,-4,411.0
5:00.0, ,22-18,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,18,22,-4,420.0
4:57.0,Defensive rebound by T. Harris,22-18, ,,1,18,22,-4,423.0
4:49.0,T. Harris misses 2-pt jump shot from 5 ft,22-18, ,,1,18,22,-4,431.0
